context: Don't, Nee-san! response:	Let go of me!
context: Don't, Nee-san!\Let go of me! response:	I absolutely will not...
context: Don't, Nee-san!\Let go of me!\I absolutely will not... response:	Sugar Boy and... an octopus?!
context: Don't, Nee-san!\Let go of me!\I absolutely will not...\Sugar Boy and... an octopus?! response:	That's Byro.
context: Don't, Nee-san!\Let go of me!\I absolutely will not...\Sugar Boy and... an octopus?!\That's Byro. response:	Guild wizards. Do you intend to defy me to the bitter end?
context: Don't, Nee-san!\Let go of me!\I absolutely will not...\Sugar Boy and... an octopus?!\That's Byro.\Guild wizards. Do you intend to defy me to the bitter end? response:	It's been a lot of fun, but it's about time to bring this to an end, hot boy.
context: Don't, Nee-san!\Let go of me!\I absolutely will not...\Sugar Boy and... an octopus?!\That's Byro.\Guild wizards. Do you intend to defy me to the bitter end?\It's been a lot of fun, but it's about time to bring this to an end, hot boy. response:	Happy...
context: Don't, Nee-san!\Let go of me!\I absolutely will not...\Sugar Boy and... an octopus?!\That's Byro.\Guild wizards. Do you intend to defy me to the bitter end?\It's been a lot of fun, but it's about time to bring this to an end, hot boy.\Happy... response:	You think I'd get sick ridin' on that?
context: Let go of me!\I absolutely will not...\Sugar Boy and... an octopus?!\That's Byro.\Guild wizards. Do you intend to defy me to the bitter end?\It's been a lot of fun, but it's about time to bring this to an end, hot boy.\Happy...\You think I'd get sick ridin' on that? response:	That's not transportation! It's obviously an octopus!
context: I absolutely will not...\Sugar Boy and... an octopus?!\That's Byro.\Guild wizards. Do you intend to defy me to the bitter end?\It's been a lot of fun, but it's about time to bring this to an end, hot boy.\Happy...\You think I'd get sick ridin' on that?\That's not transportation! It's obviously an octopus! response:	That thing's so gigantic, it's clearly for transport!
context: Sugar Boy and... an octopus?!\That's Byro.\Guild wizards. Do you intend to defy me to the bitter end?\It's been a lot of fun, but it's about time to bring this to an end, hot boy.\Happy...\You think I'd get sick ridin' on that?\That's not transportation! It's obviously an octopus!\That thing's so gigantic, it's clearly for transport! response:	I feel sick just lookin' at it!
context: That's Byro.\Guild wizards. Do you intend to defy me to the bitter end?\It's been a lot of fun, but it's about time to bring this to an end, hot boy.\Happy...\You think I'd get sick ridin' on that?\That's not transportation! It's obviously an octopus!\That thing's so gigantic, it's clearly for transport!\I feel sick just lookin' at it! response:	Oh, Natsu...
context: Guild wizards. Do you intend to defy me to the bitter end?\It's been a lot of fun, but it's about time to bring this to an end, hot boy.\Happy...\You think I'd get sick ridin' on that?\That's not transportation! It's obviously an octopus!\That thing's so gigantic, it's clearly for transport!\I feel sick just lookin' at it!\Oh, Natsu... response:	Spicy!
context: It's been a lot of fun, but it's about time to bring this to an end, hot boy.\Happy...\You think I'd get sick ridin' on that?\That's not transportation! It's obviously an octopus!\That thing's so gigantic, it's clearly for transport!\I feel sick just lookin' at it!\Oh, Natsu...\Spicy! response:	Bastard! I've had it up to here with your gooey crap!
context: Happy...\You think I'd get sick ridin' on that?\That's not transportation! It's obviously an octopus!\That thing's so gigantic, it's clearly for transport!\I feel sick just lookin' at it!\Oh, Natsu...\Spicy!\Bastard! I've had it up to here with your gooey crap! response:	Roar of the Fire Dragon!
context: You think I'd get sick ridin' on that?\That's not transportation! It's obviously an octopus!\That thing's so gigantic, it's clearly for transport!\I feel sick just lookin' at it!\Oh, Natsu...\Spicy!\Bastard! I've had it up to here with your gooey crap!\Roar of the Fire Dragon! response:	Natsu's flames d-disappeared?!
context: That's not transportation! It's obviously an octopus!\That thing's so gigantic, it's clearly for transport!\I feel sick just lookin' at it!\Oh, Natsu...\Spicy!\Bastard! I've had it up to here with your gooey crap!\Roar of the Fire Dragon!\Natsu's flames d-disappeared?! response:	Hot boy, Byro-sama negates his opponent's magic.
context: That thing's so gigantic, it's clearly for transport!\I feel sick just lookin' at it!\Oh, Natsu...\Spicy!\Bastard! I've had it up to here with your gooey crap!\Roar of the Fire Dragon!\Natsu's flames d-disappeared?!\Hot boy, Byro-sama negates his opponent's magic. response:	What the hell is that?! It's the first I've heard!
context: I feel sick just lookin' at it!\Oh, Natsu...\Spicy!\Bastard! I've had it up to here with your gooey crap!\Roar of the Fire Dragon!\Natsu's flames d-disappeared?!\Hot boy, Byro-sama negates his opponent's magic.\What the hell is that?! It's the first I've heard! response:	Wing Slash of the Fire Dragon!
context: Oh, Natsu...\Spicy!\Bastard! I've had it up to here with your gooey crap!\Roar of the Fire Dragon!\Natsu's flames d-disappeared?!\Hot boy, Byro-sama negates his opponent's magic.\What the hell is that?! It's the first I've heard!\Wing Slash of the Fire Dragon! response:	What was that?!
context: Spicy!\Bastard! I've had it up to here with your gooey crap!\Roar of the Fire Dragon!\Natsu's flames d-disappeared?!\Hot boy, Byro-sama negates his opponent's magic.\What the hell is that?! It's the first I've heard!\Wing Slash of the Fire Dragon!\What was that?! response:	Baby! Come on! Grow up!
context: Bastard! I've had it up to here with your gooey crap!\Roar of the Fire Dragon!\Natsu's flames d-disappeared?!\Hot boy, Byro-sama negates his opponent's magic.\What the hell is that?! It's the first I've heard!\Wing Slash of the Fire Dragon!\What was that?!\Baby! Come on! Grow up! response:	His magic absorbs his opponent's magic and takes nourishment from it.
context: Roar of the Fire Dragon!\Natsu's flames d-disappeared?!\Hot boy, Byro-sama negates his opponent's magic.\What the hell is that?! It's the first I've heard!\Wing Slash of the Fire Dragon!\What was that?!\Baby! Come on! Grow up!\His magic absorbs his opponent's magic and takes nourishment from it. response:	Eliminate him, please.
context: Natsu's flames d-disappeared?!\Hot boy, Byro-sama negates his opponent's magic.\What the hell is that?! It's the first I've heard!\Wing Slash of the Fire Dragon!\What was that?!\Baby! Come on! Grow up!\His magic absorbs his opponent's magic and takes nourishment from it.\Eliminate him, please. response:	As you wish.
context: Hot boy, Byro-sama negates his opponent's magic.\What the hell is that?! It's the first I've heard!\Wing Slash of the Fire Dragon!\What was that?!\Baby! Come on! Grow up!\His magic absorbs his opponent's magic and takes nourishment from it.\Eliminate him, please.\As you wish. response:	Hold on!
context: What the hell is that?! It's the first I've heard!\Wing Slash of the Fire Dragon!\What was that?!\Baby! Come on! Grow up!\His magic absorbs his opponent's magic and takes nourishment from it.\Eliminate him, please.\As you wish.\Hold on! response:	Damn octopus!
context: Wing Slash of the Fire Dragon!\What was that?!\Baby! Come on! Grow up!\His magic absorbs his opponent's magic and takes nourishment from it.\Eliminate him, please.\As you wish.\Hold on!\Damn octopus! response:	Byro-sama is busy.
context: What was that?!\Baby! Come on! Grow up!\His magic absorbs his opponent's magic and takes nourishment from it.\Eliminate him, please.\As you wish.\Hold on!\Damn octopus!\Byro-sama is busy. response:	The Fury of Legion!
context: Baby! Come on! Grow up!\His magic absorbs his opponent's magic and takes nourishment from it.\Eliminate him, please.\As you wish.\Hold on!\Damn octopus!\Byro-sama is busy.\The Fury of Legion! response:	Gate of the Ram, I open thee! Aries!
context: His magic absorbs his opponent's magic and takes nourishment from it.\Eliminate him, please.\As you wish.\Hold on!\Damn octopus!\Byro-sama is busy.\The Fury of Legion!\Gate of the Ram, I open thee! Aries! response:	I'm sorry!
context: Eliminate him, please.\As you wish.\Hold on!\Damn octopus!\Byro-sama is busy.\The Fury of Legion!\Gate of the Ram, I open thee! Aries!\I'm sorry! response:	Is that good enough?! I'm sorry!
