context: =Someday,= =I'll become a wonderful person.= response:	=I want to bring happiness=
context: =Someday,= =I'll become a wonderful person.=\=I want to bring happiness= response:	=with my own magic.=
context: =Someday,= =I'll become a wonderful person.=\=I want to bring happiness=\=with my own magic.= response:	I was so nervous.
context: =Someday,= =I'll become a wonderful person.=\=I want to bring happiness=\=with my own magic.=\I was so nervous. response:	It was wonderful.
context: =Someday,= =I'll become a wonderful person.=\=I want to bring happiness=\=with my own magic.=\I was so nervous.\It was wonderful. response:	Not bad,
context: =Someday,= =I'll become a wonderful person.=\=I want to bring happiness=\=with my own magic.=\I was so nervous.\It was wonderful.\Not bad, response:	but not as good as me.
context: =Someday,= =I'll become a wonderful person.=\=I want to bring happiness=\=with my own magic.=\I was so nervous.\It was wonderful.\Not bad,\but not as good as me. response:	This karaoke mic turns out really well.
context: =Someday,= =I'll become a wonderful person.=\=I want to bring happiness=\=with my own magic.=\I was so nervous.\It was wonderful.\Not bad,\but not as good as me.\This karaoke mic turns out really well. response:	It's from your mother's company, isn't it?
context: =I want to bring happiness=\=with my own magic.=\I was so nervous.\It was wonderful.\Not bad,\but not as good as me.\This karaoke mic turns out really well.\It's from your mother's company, isn't it? response:	Yes, but it is not for sale in the stores yet.
context: =with my own magic.=\I was so nervous.\It was wonderful.\Not bad,\but not as good as me.\This karaoke mic turns out really well.\It's from your mother's company, isn't it?\Yes, but it is not for sale in the stores yet. response:	It's nice to have one when watching the cherry blossoms.
context: I was so nervous.\It was wonderful.\Not bad,\but not as good as me.\This karaoke mic turns out really well.\It's from your mother's company, isn't it?\Yes, but it is not for sale in the stores yet.\It's nice to have one when watching the cherry blossoms. response:	It's nice for parties!
context: It was wonderful.\Not bad,\but not as good as me.\This karaoke mic turns out really well.\It's from your mother's company, isn't it?\Yes, but it is not for sale in the stores yet.\It's nice to have one when watching the cherry blossoms.\It's nice for parties! response:	You know, about karaoke'
context: Not bad,\but not as good as me.\This karaoke mic turns out really well.\It's from your mother's company, isn't it?\Yes, but it is not for sale in the stores yet.\It's nice to have one when watching the cherry blossoms.\It's nice for parties!\You know, about karaoke' response:	Next, it's Tomoyo-chan's turn!
context: but not as good as me.\This karaoke mic turns out really well.\It's from your mother's company, isn't it?\Yes, but it is not for sale in the stores yet.\It's nice to have one when watching the cherry blossoms.\It's nice for parties!\You know, about karaoke'\Next, it's Tomoyo-chan's turn! response:	Okay.
context: This karaoke mic turns out really well.\It's from your mother's company, isn't it?\Yes, but it is not for sale in the stores yet.\It's nice to have one when watching the cherry blossoms.\It's nice for parties!\You know, about karaoke'\Next, it's Tomoyo-chan's turn!\Okay. response:	I love to hear Tomoyo-chan sing.
context: It's from your mother's company, isn't it?\Yes, but it is not for sale in the stores yet.\It's nice to have one when watching the cherry blossoms.\It's nice for parties!\You know, about karaoke'\Next, it's Tomoyo-chan's turn!\Okay.\I love to hear Tomoyo-chan sing. response:	Don't you, Mei Lin-chan?
context: Yes, but it is not for sale in the stores yet.\It's nice to have one when watching the cherry blossoms.\It's nice for parties!\You know, about karaoke'\Next, it's Tomoyo-chan's turn!\Okay.\I love to hear Tomoyo-chan sing.\Don't you, Mei Lin-chan? response:	I guess so.
