context: You're saying, people who drink that liquor become immortally young? response:	Surprised? You see, I'm an immortal.
context: You're saying, people who drink that liquor become immortally young?\Surprised? You see, I'm an immortal. response:	I know. Fascinating.
context: You're saying, people who drink that liquor become immortally young?\Surprised? You see, I'm an immortal.\I know. Fascinating. response:	You really think that you're not going to die?
context: You're saying, people who drink that liquor become immortally young?\Surprised? You see, I'm an immortal.\I know. Fascinating.\You really think that you're not going to die? response:	Of course. After all, the world is mine.
context: You're saying, people who drink that liquor become immortally young?\Surprised? You see, I'm an immortal.\I know. Fascinating.\You really think that you're not going to die?\Of course. After all, the world is mine. response:	Rachel- kun,
context: You're saying, people who drink that liquor become immortally young?\Surprised? You see, I'm an immortal.\I know. Fascinating.\You really think that you're not going to die?\Of course. After all, the world is mine.\Rachel- kun, response:	would you tell me about that injury to your leg now?
context: You're saying, people who drink that liquor become immortally young?\Surprised? You see, I'm an immortal.\I know. Fascinating.\You really think that you're not going to die?\Of course. After all, the world is mine.\Rachel- kun,\would you tell me about that injury to your leg now? response:	It was...
context: You're saying, people who drink that liquor become immortally young?\Surprised? You see, I'm an immortal.\I know. Fascinating.\You really think that you're not going to die?\Of course. After all, the world is mine.\Rachel- kun,\would you tell me about that injury to your leg now?\It was... response:	What?
context: Surprised? You see, I'm an immortal.\I know. Fascinating.\You really think that you're not going to die?\Of course. After all, the world is mine.\Rachel- kun,\would you tell me about that injury to your leg now?\It was...\What? response:	Are you hurt? If not, we're getting out of here.
context: I know. Fascinating.\You really think that you're not going to die?\Of course. After all, the world is mine.\Rachel- kun,\would you tell me about that injury to your leg now?\It was...\What?\Are you hurt? If not, we're getting out of here. response:	That was another act that deviated considerably
context: You really think that you're not going to die?\Of course. After all, the world is mine.\Rachel- kun,\would you tell me about that injury to your leg now?\It was...\What?\Are you hurt? If not, we're getting out of here.\That was another act that deviated considerably response:	from the duties of an information broker, was it not?
