context: Plastic Surgery Yu Otosaka, 15 yr old male attending doctor: Dr. Koike response:	It hurts...
context: Plastic Surgery Yu Otosaka, 15 yr old male attending doctor: Dr. Koike\It hurts... response:	Of course it hurts. It's only been two days since the surgery.
context: Plastic Surgery Yu Otosaka, 15 yr old male attending doctor: Dr. Koike\It hurts...\Of course it hurts. It's only been two days since the surgery. response:	Two days?
context: Plastic Surgery Yu Otosaka, 15 yr old male attending doctor: Dr. Koike\It hurts...\Of course it hurts. It's only been two days since the surgery.\Two days? response:	That's right.
context: Plastic Surgery Yu Otosaka, 15 yr old male attending doctor: Dr. Koike\It hurts...\Of course it hurts. It's only been two days since the surgery.\Two days?\That's right. response:	Why can't I move?
context: Plastic Surgery Yu Otosaka, 15 yr old male attending doctor: Dr. Koike\It hurts...\Of course it hurts. It's only been two days since the surgery.\Two days?\That's right.\Why can't I move? response:	Like I know. Ask the doctor.
context: Plastic Surgery Yu Otosaka, 15 yr old male attending doctor: Dr. Koike\It hurts...\Of course it hurts. It's only been two days since the surgery.\Two days?\That's right.\Why can't I move?\Like I know. Ask the doctor. response:	Episode 12: Promise
context: Plastic Surgery Yu Otosaka, 15 yr old male attending doctor: Dr. Koike\It hurts...\Of course it hurts. It's only been two days since the surgery.\Two days?\That's right.\Why can't I move?\Like I know. Ask the doctor.\Episode 12: Promise response:	Yu, are you all right?
context: It hurts...\Of course it hurts. It's only been two days since the surgery.\Two days?\That's right.\Why can't I move?\Like I know. Ask the doctor.\Episode 12: Promise\Yu, are you all right? response:	Medoki?
context: Of course it hurts. It's only been two days since the surgery.\Two days?\That's right.\Why can't I move?\Like I know. Ask the doctor.\Episode 12: Promise\Yu, are you all right?\Medoki? response:	I'm glad.
context: Two days?\That's right.\Why can't I move?\Like I know. Ask the doctor.\Episode 12: Promise\Yu, are you all right?\Medoki?\I'm glad. response:	Just like we planned, we were able to prevent a collapse.
context: That's right.\Why can't I move?\Like I know. Ask the doctor.\Episode 12: Promise\Yu, are you all right?\Medoki?\I'm glad.\Just like we planned, we were able to prevent a collapse. response:	You don't call this an operation. This is just dealing with it.
context: Why can't I move?\Like I know. Ask the doctor.\Episode 12: Promise\Yu, are you all right?\Medoki?\I'm glad.\Just like we planned, we were able to prevent a collapse.\You don't call this an operation. This is just dealing with it. response:	You just said dealing with it, but after the shot you didn't do anything.
context: Like I know. Ask the doctor.\Episode 12: Promise\Yu, are you all right?\Medoki?\I'm glad.\Just like we planned, we were able to prevent a collapse.\You don't call this an operation. This is just dealing with it.\You just said dealing with it, but after the shot you didn't do anything. response:	I'm not a doctor.
context: Episode 12: Promise\Yu, are you all right?\Medoki?\I'm glad.\Just like we planned, we were able to prevent a collapse.\You don't call this an operation. This is just dealing with it.\You just said dealing with it, but after the shot you didn't do anything.\I'm not a doctor. response:	Um, what happened, and how did I end up like this?
context: Yu, are you all right?\Medoki?\I'm glad.\Just like we planned, we were able to prevent a collapse.\You don't call this an operation. This is just dealing with it.\You just said dealing with it, but after the shot you didn't do anything.\I'm not a doctor.\Um, what happened, and how did I end up like this? response:	Tomori! Is Tomori all right?
context: Medoki?\I'm glad.\Just like we planned, we were able to prevent a collapse.\You don't call this an operation. This is just dealing with it.\You just said dealing with it, but after the shot you didn't do anything.\I'm not a doctor.\Um, what happened, and how did I end up like this?\Tomori! Is Tomori all right? response:	She's fine. She's also here in this hospital.
context: I'm glad.\Just like we planned, we were able to prevent a collapse.\You don't call this an operation. This is just dealing with it.\You just said dealing with it, but after the shot you didn't do anything.\I'm not a doctor.\Um, what happened, and how did I end up like this?\Tomori! Is Tomori all right?\She's fine. She's also here in this hospital. response:	Thanks to Kumagami.
context: Just like we planned, we were able to prevent a collapse.\You don't call this an operation. This is just dealing with it.\You just said dealing with it, but after the shot you didn't do anything.\I'm not a doctor.\Um, what happened, and how did I end up like this?\Tomori! Is Tomori all right?\She's fine. She's also here in this hospital.\Thanks to Kumagami. response:	I see.
context: You don't call this an operation. This is just dealing with it.\You just said dealing with it, but after the shot you didn't do anything.\I'm not a doctor.\Um, what happened, and how did I end up like this?\Tomori! Is Tomori all right?\She's fine. She's also here in this hospital.\Thanks to Kumagami.\I see. response:	I'm glad.
context: You just said dealing with it, but after the shot you didn't do anything.\I'm not a doctor.\Um, what happened, and how did I end up like this?\Tomori! Is Tomori all right?\She's fine. She's also here in this hospital.\Thanks to Kumagami.\I see.\I'm glad. response:	And what about Kumagami?
context: I'm not a doctor.\Um, what happened, and how did I end up like this?\Tomori! Is Tomori all right?\She's fine. She's also here in this hospital.\Thanks to Kumagami.\I see.\I'm glad.\And what about Kumagami? response:	It can't be...
context: Um, what happened, and how did I end up like this?\Tomori! Is Tomori all right?\She's fine. She's also here in this hospital.\Thanks to Kumagami.\I see.\I'm glad.\And what about Kumagami?\It can't be... response:	It was all while you were busy saving yourself with your own ability!
context: Tomori! Is Tomori all right?\She's fine. She's also here in this hospital.\Thanks to Kumagami.\I see.\I'm glad.\And what about Kumagami?\It can't be...\It was all while you were busy saving yourself with your own ability! response:	How much longer are you going to complain?
context: She's fine. She's also here in this hospital.\Thanks to Kumagami.\I see.\I'm glad.\And what about Kumagami?\It can't be...\It was all while you were busy saving yourself with your own ability!\How much longer are you going to complain? response:	In the first place, you were the one that said we should bet on his ability to time-leap!
context: Thanks to Kumagami.\I see.\I'm glad.\And what about Kumagami?\It can't be...\It was all while you were busy saving yourself with your own ability!\How much longer are you going to complain?\In the first place, you were the one that said we should bet on his ability to time-leap! response:	That can't be. Kumagami...
context: I see.\I'm glad.\And what about Kumagami?\It can't be...\It was all while you were busy saving yourself with your own ability!\How much longer are you going to complain?\In the first place, you were the one that said we should bet on his ability to time-leap!\That can't be. Kumagami... response:	- Did you forget that? - Now, now...
