context: Shinonome Institute response:	Nichijou ED
context: Shinonome Institute\Nichijou ED response:	Nichijou
context: Shinonome Institute\Nichijou ED\Nichijou response:	TL - NeWbY/Shoujo_Q
context: Shinonome Institute\Nichijou ED\Nichijou\TL - NeWbY/Shoujo_Q response:	TLC - Shoujo_Q/Nanakoto
context: Shinonome Institute\Nichijou ED\Nichijou\TL - NeWbY/Shoujo_Q\TLC - Shoujo_Q/Nanakoto response:	K-Timer - Pahndamonium
context: Shinonome Institute\Nichijou ED\Nichijou\TL - NeWbY/Shoujo_Q\TLC - Shoujo_Q/Nanakoto\K-Timer - Pahndamonium response:	Timer - DiabeticBee
context: Shinonome Institute\Nichijou ED\Nichijou\TL - NeWbY/Shoujo_Q\TLC - Shoujo_Q/Nanakoto\K-Timer - Pahndamonium\Timer - DiabeticBee response:	Editor - Akashic, Gyzome, Spiffy
context: Shinonome Institute\Nichijou ED\Nichijou\TL - NeWbY/Shoujo_Q\TLC - Shoujo_Q/Nanakoto\K-Timer - Pahndamonium\Timer - DiabeticBee\Editor - Akashic, Gyzome, Spiffy response:	TS - Zdm321
context: Nichijou ED\Nichijou\TL - NeWbY/Shoujo_Q\TLC - Shoujo_Q/Nanakoto\K-Timer - Pahndamonium\Timer - DiabeticBee\Editor - Akashic, Gyzome, Spiffy\TS - Zdm321 response:	encoder - kokus
context: Nichijou\TL - NeWbY/Shoujo_Q\TLC - Shoujo_Q/Nanakoto\K-Timer - Pahndamonium\Timer - DiabeticBee\Editor - Akashic, Gyzome, Spiffy\TS - Zdm321\encoder - kokus response:	QC - Spiffy
context: TL - NeWbY/Shoujo_Q\TLC - Shoujo_Q/Nanakoto\K-Timer - Pahndamonium\Timer - DiabeticBee\Editor - Akashic, Gyzome, Spiffy\TS - Zdm321\encoder - kokus\QC - Spiffy response:	Project Leader - Zdm321
context: TLC - Shoujo_Q/Nanakoto\K-Timer - Pahndamonium\Timer - DiabeticBee\Editor - Akashic, Gyzome, Spiffy\TS - Zdm321\encoder - kokus\QC - Spiffy\Project Leader - Zdm321 response:	Current: Spiffy QC
context: K-Timer - Pahndamonium\Timer - DiabeticBee\Editor - Akashic, Gyzome, Spiffy\TS - Zdm321\encoder - kokus\QC - Spiffy\Project Leader - Zdm321\Current: Spiffy QC response:	em-dash: -
context: Timer - DiabeticBee\Editor - Akashic, Gyzome, Spiffy\TS - Zdm321\encoder - kokus\QC - Spiffy\Project Leader - Zdm321\Current: Spiffy QC\em-dash: - response:	italics: word
context: Editor - Akashic, Gyzome, Spiffy\TS - Zdm321\encoder - kokus\QC - Spiffy\Project Leader - Zdm321\Current: Spiffy QC\em-dash: -\italics: word response:	Section Titles: Nichijou
context: TS - Zdm321\encoder - kokus\QC - Spiffy\Project Leader - Zdm321\Current: Spiffy QC\em-dash: -\italics: word\Section Titles: Nichijou response:	Characters
context: encoder - kokus\QC - Spiffy\Project Leader - Zdm321\Current: Spiffy QC\em-dash: -\italics: word\Section Titles: Nichijou\Characters response:	Naganohara Mio - Schoolgirl, Blue hair twin tails.
context: QC - Spiffy\Project Leader - Zdm321\Current: Spiffy QC\em-dash: -\italics: word\Section Titles: Nichijou\Characters\Naganohara Mio - Schoolgirl, Blue hair twin tails. response:	Aioi Yuuko - Schoolgirl, Chin length light brown hair. (Nickname = Yukko)
context: Project Leader - Zdm321\Current: Spiffy QC\em-dash: -\italics: word\Section Titles: Nichijou\Characters\Naganohara Mio - Schoolgirl, Blue hair twin tails.\Aioi Yuuko - Schoolgirl, Chin length light brown hair. (Nickname = Yukko) response:	Minakami Mai - Schoolgirl, Long dark hair, glasses.
context: Current: Spiffy QC\em-dash: -\italics: word\Section Titles: Nichijou\Characters\Naganohara Mio - Schoolgirl, Blue hair twin tails.\Aioi Yuuko - Schoolgirl, Chin length light brown hair. (Nickname = Yukko)\Minakami Mai - Schoolgirl, Long dark hair, glasses. response:	Shinonome Nano - Schoolgirl, Robot
context: em-dash: -\italics: word\Section Titles: Nichijou\Characters\Naganohara Mio - Schoolgirl, Blue hair twin tails.\Aioi Yuuko - Schoolgirl, Chin length light brown hair. (Nickname = Yukko)\Minakami Mai - Schoolgirl, Long dark hair, glasses.\Shinonome Nano - Schoolgirl, Robot response:	Professor - Nano's Inventor. No formal name (yet...)
context: italics: word\Section Titles: Nichijou\Characters\Naganohara Mio - Schoolgirl, Blue hair twin tails.\Aioi Yuuko - Schoolgirl, Chin length light brown hair. (Nickname = Yukko)\Minakami Mai - Schoolgirl, Long dark hair, glasses.\Shinonome Nano - Schoolgirl, Robot\Professor - Nano's Inventor. No formal name (yet...) response:	Sakamoto - Their cat. (Nano uses the -san honorific, the doctor doesn't).
