context: If I remember correctly response:	70,000 years ago by Ruoshui Riverbank
context: If I remember correctly\70,000 years ago by Ruoshui Riverbank response:	there was one female general among those who fought against Kunlun Mountain.
context: If I remember correctly\70,000 years ago by Ruoshui Riverbank\there was one female general among those who fought against Kunlun Mountain. response:	That was you?
context: If I remember correctly\70,000 years ago by Ruoshui Riverbank\there was one female general among those who fought against Kunlun Mountain.\That was you? response:	Exactly. I'm from the Ghost Tribe.
context: If I remember correctly\70,000 years ago by Ruoshui Riverbank\there was one female general among those who fought against Kunlun Mountain.\That was you?\Exactly. I'm from the Ghost Tribe. response:	Kunlun Mountain has no dealings with the Ghost Tribe.
context: If I remember correctly\70,000 years ago by Ruoshui Riverbank\there was one female general among those who fought against Kunlun Mountain.\That was you?\Exactly. I'm from the Ghost Tribe.\Kunlun Mountain has no dealings with the Ghost Tribe. response:	Please leave.
context: If I remember correctly\70,000 years ago by Ruoshui Riverbank\there was one female general among those who fought against Kunlun Mountain.\That was you?\Exactly. I'm from the Ghost Tribe.\Kunlun Mountain has no dealings with the Ghost Tribe.\Please leave. response:	Please let me see Taoist Master Zi Lan.
context: If I remember correctly\70,000 years ago by Ruoshui Riverbank\there was one female general among those who fought against Kunlun Mountain.\That was you?\Exactly. I'm from the Ghost Tribe.\Kunlun Mountain has no dealings with the Ghost Tribe.\Please leave.\Please let me see Taoist Master Zi Lan. response:	Zi Lan?
context: 70,000 years ago by Ruoshui Riverbank\there was one female general among those who fought against Kunlun Mountain.\That was you?\Exactly. I'm from the Ghost Tribe.\Kunlun Mountain has no dealings with the Ghost Tribe.\Please leave.\Please let me see Taoist Master Zi Lan.\Zi Lan? response:	Why would Zi Lan see a demonic woman like you?
context: there was one female general among those who fought against Kunlun Mountain.\That was you?\Exactly. I'm from the Ghost Tribe.\Kunlun Mountain has no dealings with the Ghost Tribe.\Please leave.\Please let me see Taoist Master Zi Lan.\Zi Lan?\Why would Zi Lan see a demonic woman like you? response:	Please leave now.
context: That was you?\Exactly. I'm from the Ghost Tribe.\Kunlun Mountain has no dealings with the Ghost Tribe.\Please leave.\Please let me see Taoist Master Zi Lan.\Zi Lan?\Why would Zi Lan see a demonic woman like you?\Please leave now. response:	Please show me some mercy.
context: Exactly. I'm from the Ghost Tribe.\Kunlun Mountain has no dealings with the Ghost Tribe.\Please leave.\Please let me see Taoist Master Zi Lan.\Zi Lan?\Why would Zi Lan see a demonic woman like you?\Please leave now.\Please show me some mercy. response:	I'm not here to stir up any trouble.
context: Kunlun Mountain has no dealings with the Ghost Tribe.\Please leave.\Please let me see Taoist Master Zi Lan.\Zi Lan?\Why would Zi Lan see a demonic woman like you?\Please leave now.\Please show me some mercy.\I'm not here to stir up any trouble. response:	I just wish to see Zi Lan.
