context: Yeesh. You're gonna make me drunk without even drinking anything. response:	So, did you find out anything?
context: Yeesh. You're gonna make me drunk without even drinking anything.\So, did you find out anything? response:	Everything is starting to add up.
context: Yeesh. You're gonna make me drunk without even drinking anything.\So, did you find out anything?\Everything is starting to add up. response:	Thanks to you, Dora...
context: Yeesh. You're gonna make me drunk without even drinking anything.\So, did you find out anything?\Everything is starting to add up.\Thanks to you, Dora... response:	Mest.
context: Yeesh. You're gonna make me drunk without even drinking anything.\So, did you find out anything?\Everything is starting to add up.\Thanks to you, Dora...\Mest. response:	The new Oracion Seis is responsible for the serial destruction of those churches.
context: Yeesh. You're gonna make me drunk without even drinking anything.\So, did you find out anything?\Everything is starting to add up.\Thanks to you, Dora...\Mest.\The new Oracion Seis is responsible for the serial destruction of those churches. response:	In some of the churches that they attacked,
context: Yeesh. You're gonna make me drunk without even drinking anything.\So, did you find out anything?\Everything is starting to add up.\Thanks to you, Dora...\Mest.\The new Oracion Seis is responsible for the serial destruction of those churches.\In some of the churches that they attacked, response:	there were signs that someone had been taking shelter there.
context: Yeesh. You're gonna make me drunk without even drinking anything.\So, did you find out anything?\Everything is starting to add up.\Thanks to you, Dora...\Mest.\The new Oracion Seis is responsible for the serial destruction of those churches.\In some of the churches that they attacked,\there were signs that someone had been taking shelter there. response:	About the victims,
context: So, did you find out anything?\Everything is starting to add up.\Thanks to you, Dora...\Mest.\The new Oracion Seis is responsible for the serial destruction of those churches.\In some of the churches that they attacked,\there were signs that someone had been taking shelter there.\About the victims, response:	there's no record of them in any of Zentopia's documents.
context: Everything is starting to add up.\Thanks to you, Dora...\Mest.\The new Oracion Seis is responsible for the serial destruction of those churches.\In some of the churches that they attacked,\there were signs that someone had been taking shelter there.\About the victims,\there's no record of them in any of Zentopia's documents. response:	At first, I thought they were corpses...
context: Thanks to you, Dora...\Mest.\The new Oracion Seis is responsible for the serial destruction of those churches.\In some of the churches that they attacked,\there were signs that someone had been taking shelter there.\About the victims,\there's no record of them in any of Zentopia's documents.\At first, I thought they were corpses... response:	It must be some kind of suspended animation.
context: Mest.\The new Oracion Seis is responsible for the serial destruction of those churches.\In some of the churches that they attacked,\there were signs that someone had been taking shelter there.\About the victims,\there's no record of them in any of Zentopia's documents.\At first, I thought they were corpses...\It must be some kind of suspended animation. response:	It's like... No, never mind.
context: The new Oracion Seis is responsible for the serial destruction of those churches.\In some of the churches that they attacked,\there were signs that someone had been taking shelter there.\About the victims,\there's no record of them in any of Zentopia's documents.\At first, I thought they were corpses...\It must be some kind of suspended animation.\It's like... No, never mind. response:	The Zentopia headquarters
context: In some of the churches that they attacked,\there were signs that someone had been taking shelter there.\About the victims,\there's no record of them in any of Zentopia's documents.\At first, I thought they were corpses...\It must be some kind of suspended animation.\It's like... No, never mind.\The Zentopia headquarters response:	and the underground organization that exists among some of the local parishes...
context: there were signs that someone had been taking shelter there.\About the victims,\there's no record of them in any of Zentopia's documents.\At first, I thought they were corpses...\It must be some kind of suspended animation.\It's like... No, never mind.\The Zentopia headquarters\and the underground organization that exists among some of the local parishes... response:	Something is happening there that involves whoever had been secretly harbored.
context: About the victims,\there's no record of them in any of Zentopia's documents.\At first, I thought they were corpses...\It must be some kind of suspended animation.\It's like... No, never mind.\The Zentopia headquarters\and the underground organization that exists among some of the local parishes...\Something is happening there that involves whoever had been secretly harbored. response:	And we need to find out the identity of that person?
context: there's no record of them in any of Zentopia's documents.\At first, I thought they were corpses...\It must be some kind of suspended animation.\It's like... No, never mind.\The Zentopia headquarters\and the underground organization that exists among some of the local parishes...\Something is happening there that involves whoever had been secretly harbored.\And we need to find out the identity of that person? response:	Did you hear something, Nico?
context: At first, I thought they were corpses...\It must be some kind of suspended animation.\It's like... No, never mind.\The Zentopia headquarters\and the underground organization that exists among some of the local parishes...\Something is happening there that involves whoever had been secretly harbored.\And we need to find out the identity of that person?\Did you hear something, Nico? response:	Anti-Link!
context: It must be some kind of suspended animation.\It's like... No, never mind.\The Zentopia headquarters\and the underground organization that exists among some of the local parishes...\Something is happening there that involves whoever had been secretly harbored.\And we need to find out the identity of that person?\Did you hear something, Nico?\Anti-Link! response:	Oh, my! A handsome man!
context: It's like... No, never mind.\The Zentopia headquarters\and the underground organization that exists among some of the local parishes...\Something is happening there that involves whoever had been secretly harbored.\And we need to find out the identity of that person?\Did you hear something, Nico?\Anti-Link!\Oh, my! A handsome man! response:	The new Oracion Seis!
context: The Zentopia headquarters\and the underground organization that exists among some of the local parishes...\Something is happening there that involves whoever had been secretly harbored.\And we need to find out the identity of that person?\Did you hear something, Nico?\Anti-Link!\Oh, my! A handsome man!\The new Oracion Seis! response:	So you're the one called Angel?
context: and the underground organization that exists among some of the local parishes...\Something is happening there that involves whoever had been secretly harbored.\And we need to find out the identity of that person?\Did you hear something, Nico?\Anti-Link!\Oh, my! A handsome man!\The new Oracion Seis!\So you're the one called Angel? response:	An-gel-tan!
context: Something is happening there that involves whoever had been secretly harbored.\And we need to find out the identity of that person?\Did you hear something, Nico?\Anti-Link!\Oh, my! A handsome man!\The new Oracion Seis!\So you're the one called Angel?\An-gel-tan! response:	You're my angel!
context: And we need to find out the identity of that person?\Did you hear something, Nico?\Anti-Link!\Oh, my! A handsome man!\The new Oracion Seis!\So you're the one called Angel?\An-gel-tan!\You're my angel! response:	I hate clingy men.
context: Did you hear something, Nico?\Anti-Link!\Oh, my! A handsome man!\The new Oracion Seis!\So you're the one called Angel?\An-gel-tan!\You're my angel!\I hate clingy men. response:	What is he? Another one of the Six Generals?
context: Anti-Link!\Oh, my! A handsome man!\The new Oracion Seis!\So you're the one called Angel?\An-gel-tan!\You're my angel!\I hate clingy men.\What is he? Another one of the Six Generals? response:	No!
context: Oh, my! A handsome man!\The new Oracion Seis!\So you're the one called Angel?\An-gel-tan!\You're my angel!\I hate clingy men.\What is he? Another one of the Six Generals?\No! response:	I'm Legion's number one lancer, Dan Straight!
