context: This is a world of magic. response:	Magic is bought and sold here every day, and is an integral part of people's daily lives.
context: This is a world of magic.\Magic is bought and sold here every day, and is an integral part of people's daily lives. response:	Wizards, those who use magic in order to make a living,
context: This is a world of magic.\Magic is bought and sold here every day, and is an integral part of people's daily lives.\Wizards, those who use magic in order to make a living, response:	belong to various guilds, and perform jobs on commission.
context: This is a world of magic.\Magic is bought and sold here every day, and is an integral part of people's daily lives.\Wizards, those who use magic in order to make a living,\belong to various guilds, and perform jobs on commission. response:	And in a certain city, there lies a certain guild.
context: This is a world of magic.\Magic is bought and sold here every day, and is an integral part of people's daily lives.\Wizards, those who use magic in order to make a living,\belong to various guilds, and perform jobs on commission.\And in a certain city, there lies a certain guild. response:	A guild from which various legends were once born...
context: This is a world of magic.\Magic is bought and sold here every day, and is an integral part of people's daily lives.\Wizards, those who use magic in order to make a living,\belong to various guilds, and perform jobs on commission.\And in a certain city, there lies a certain guild.\A guild from which various legends were once born... response:	Or rather, will continue to be born long into the future...
context: This is a world of magic.\Magic is bought and sold here every day, and is an integral part of people's daily lives.\Wizards, those who use magic in order to make a living,\belong to various guilds, and perform jobs on commission.\And in a certain city, there lies a certain guild.\A guild from which various legends were once born...\Or rather, will continue to be born long into the future... response:	Fairy Tail.
context: This is a world of magic.\Magic is bought and sold here every day, and is an integral part of people's daily lives.\Wizards, those who use magic in order to make a living,\belong to various guilds, and perform jobs on commission.\And in a certain city, there lies a certain guild.\A guild from which various legends were once born...\Or rather, will continue to be born long into the future...\Fairy Tail. response:	Magnolia, during sakura season.
context: Magic is bought and sold here every day, and is an integral part of people's daily lives.\Wizards, those who use magic in order to make a living,\belong to various guilds, and perform jobs on commission.\And in a certain city, there lies a certain guild.\A guild from which various legends were once born...\Or rather, will continue to be born long into the future...\Fairy Tail.\Magnolia, during sakura season. response:	And here is Fairy Tail.
context: Wizards, those who use magic in order to make a living,\belong to various guilds, and perform jobs on commission.\And in a certain city, there lies a certain guild.\A guild from which various legends were once born...\Or rather, will continue to be born long into the future...\Fairy Tail.\Magnolia, during sakura season.\And here is Fairy Tail. response:	Listen up, everyone!
context: belong to various guilds, and perform jobs on commission.\And in a certain city, there lies a certain guild.\A guild from which various legends were once born...\Or rather, will continue to be born long into the future...\Fairy Tail.\Magnolia, during sakura season.\And here is Fairy Tail.\Listen up, everyone! response:	Those who call themselves wizards shall ne'er neglect sharpening their skills!
context: And in a certain city, there lies a certain guild.\A guild from which various legends were once born...\Or rather, will continue to be born long into the future...\Fairy Tail.\Magnolia, during sakura season.\And here is Fairy Tail.\Listen up, everyone!\Those who call themselves wizards shall ne'er neglect sharpening their skills! response:	They shall polish their techniques, and perform jobs on request!
context: A guild from which various legends were once born...\Or rather, will continue to be born long into the future...\Fairy Tail.\Magnolia, during sakura season.\And here is Fairy Tail.\Listen up, everyone!\Those who call themselves wizards shall ne'er neglect sharpening their skills!\They shall polish their techniques, and perform jobs on request! response:	And they must earn their daily bread!
context: Or rather, will continue to be born long into the future...\Fairy Tail.\Magnolia, during sakura season.\And here is Fairy Tail.\Listen up, everyone!\Those who call themselves wizards shall ne'er neglect sharpening their skills!\They shall polish their techniques, and perform jobs on request!\And they must earn their daily bread! response:	For as there be sunny days, surely there be rainy ones!
context: Fairy Tail.\Magnolia, during sakura season.\And here is Fairy Tail.\Listen up, everyone!\Those who call themselves wizards shall ne'er neglect sharpening their skills!\They shall polish their techniques, and perform jobs on request!\And they must earn their daily bread!\For as there be sunny days, surely there be rainy ones! response:	For as there be days in which work is finished without trouble,
context: Magnolia, during sakura season.\And here is Fairy Tail.\Listen up, everyone!\Those who call themselves wizards shall ne'er neglect sharpening their skills!\They shall polish their techniques, and perform jobs on request!\And they must earn their daily bread!\For as there be sunny days, surely there be rainy ones!\For as there be days in which work is finished without trouble, response:	surely there be days which are naught but an uphill struggle!
context: And here is Fairy Tail.\Listen up, everyone!\Those who call themselves wizards shall ne'er neglect sharpening their skills!\They shall polish their techniques, and perform jobs on request!\And they must earn their daily bread!\For as there be sunny days, surely there be rainy ones!\For as there be days in which work is finished without trouble,\surely there be days which are naught but an uphill struggle! response:	However!
