context: There are those who absolutely refused to stop pushing forward. response:	On occasion, they become one with their personal convictions, transforming into karma itself.
context: There are those who absolutely refused to stop pushing forward.\On occasion, they become one with their personal convictions, transforming into karma itself. response:	These beings, who while human, have also transcended humanity,
context: There are those who absolutely refused to stop pushing forward.\On occasion, they become one with their personal convictions, transforming into karma itself.\These beings, who while human, have also transcended humanity, response:	and continue to watch over everything with the gaze of inhuman eyes.
context: There are those who absolutely refused to stop pushing forward.\On occasion, they become one with their personal convictions, transforming into karma itself.\These beings, who while human, have also transcended humanity,\and continue to watch over everything with the gaze of inhuman eyes. response:	Everyone, unable to resist, goes down in
context: There are those who absolutely refused to stop pushing forward.\On occasion, they become one with their personal convictions, transforming into karma itself.\These beings, who while human, have also transcended humanity,\and continue to watch over everything with the gaze of inhuman eyes.\Everyone, unable to resist, goes down in response:	Make those eyes shine brighter than a torch
context: There are those who absolutely refused to stop pushing forward.\On occasion, they become one with their personal convictions, transforming into karma itself.\These beings, who while human, have also transcended humanity,\and continue to watch over everything with the gaze of inhuman eyes.\Everyone, unable to resist, goes down in\Make those eyes shine brighter than a torch response:	The destination we are aiming for is deep
context: There are those who absolutely refused to stop pushing forward.\On occasion, they become one with their personal convictions, transforming into karma itself.\These beings, who while human, have also transcended humanity,\and continue to watch over everything with the gaze of inhuman eyes.\Everyone, unable to resist, goes down in\Make those eyes shine brighter than a torch\The destination we are aiming for is deep response:	We squarely lose our way
context: There are those who absolutely refused to stop pushing forward.\On occasion, they become one with their personal convictions, transforming into karma itself.\These beings, who while human, have also transcended humanity,\and continue to watch over everything with the gaze of inhuman eyes.\Everyone, unable to resist, goes down in\Make those eyes shine brighter than a torch\The destination we are aiming for is deep\We squarely lose our way response:	The trap of the open-mouthed netherworld
context: On occasion, they become one with their personal convictions, transforming into karma itself.\These beings, who while human, have also transcended humanity,\and continue to watch over everything with the gaze of inhuman eyes.\Everyone, unable to resist, goes down in\Make those eyes shine brighter than a torch\The destination we are aiming for is deep\We squarely lose our way\The trap of the open-mouthed netherworld response:	Let's chase the traces of truth
context: These beings, who while human, have also transcended humanity,\and continue to watch over everything with the gaze of inhuman eyes.\Everyone, unable to resist, goes down in\Make those eyes shine brighter than a torch\The destination we are aiming for is deep\We squarely lose our way\The trap of the open-mouthed netherworld\Let's chase the traces of truth response:	If an answer can be found now, we don't mind losing it all
context: and continue to watch over everything with the gaze of inhuman eyes.\Everyone, unable to resist, goes down in\Make those eyes shine brighter than a torch\The destination we are aiming for is deep\We squarely lose our way\The trap of the open-mouthed netherworld\Let's chase the traces of truth\If an answer can be found now, we don't mind losing it all response:	The echo is still reverberating
context: Everyone, unable to resist, goes down in\Make those eyes shine brighter than a torch\The destination we are aiming for is deep\We squarely lose our way\The trap of the open-mouthed netherworld\Let's chase the traces of truth\If an answer can be found now, we don't mind losing it all\The echo is still reverberating response:	So that we do not part with that voice
context: Make those eyes shine brighter than a torch\The destination we are aiming for is deep\We squarely lose our way\The trap of the open-mouthed netherworld\Let's chase the traces of truth\If an answer can be found now, we don't mind losing it all\The echo is still reverberating\So that we do not part with that voice response:	The compass is always
context: The destination we are aiming for is deep\We squarely lose our way\The trap of the open-mouthed netherworld\Let's chase the traces of truth\If an answer can be found now, we don't mind losing it all\The echo is still reverberating\So that we do not part with that voice\The compass is always response:	Pointed to the darkness
context: We squarely lose our way\The trap of the open-mouthed netherworld\Let's chase the traces of truth\If an answer can be found now, we don't mind losing it all\The echo is still reverberating\So that we do not part with that voice\The compass is always\Pointed to the darkness response:	Where there is no escape
context: The trap of the open-mouthed netherworld\Let's chase the traces of truth\If an answer can be found now, we don't mind losing it all\The echo is still reverberating\So that we do not part with that voice\The compass is always\Pointed to the darkness\Where there is no escape response:	In that direction
context: Let's chase the traces of truth\If an answer can be found now, we don't mind losing it all\The echo is still reverberating\So that we do not part with that voice\The compass is always\Pointed to the darkness\Where there is no escape\In that direction response:	Even if that is a curse
