context: Hey, all you viewers out there! response:	When you're watchin' Fairy Tail, make sure to keep the room nice and bright,
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright, response:	and sit back from the screen,'kay?
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay? response:	Previously on Fairy Tail!
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\Previously on Fairy Tail! response:	We managed to stop the Magic Giant, but our guild's been destroyed!
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\Previously on Fairy Tail!\We managed to stop the Magic Giant, but our guild's been destroyed! response:	During it all, Master Jose has come to attack Erza!
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\Previously on Fairy Tail!\We managed to stop the Magic Giant, but our guild's been destroyed!\During it all, Master Jose has come to attack Erza! response:	And the battle between Natsu and Gajeel is now reaching its conclusion!
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\Previously on Fairy Tail!\We managed to stop the Magic Giant, but our guild's been destroyed!\During it all, Master Jose has come to attack Erza!\And the battle between Natsu and Gajeel is now reaching its conclusion! response:	It'll be all right! I'll yell it out countless times.
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\Previously on Fairy Tail!\We managed to stop the Magic Giant, but our guild's been destroyed!\During it all, Master Jose has come to attack Erza!\And the battle between Natsu and Gajeel is now reaching its conclusion!\It'll be all right! I'll yell it out countless times. response:	I believe your every tomorrow will be shining.
context: When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\Previously on Fairy Tail!\We managed to stop the Magic Giant, but our guild's been destroyed!\During it all, Master Jose has come to attack Erza!\And the battle between Natsu and Gajeel is now reaching its conclusion!\It'll be all right! I'll yell it out countless times.\I believe your every tomorrow will be shining. response:	The intersection of all people
context: and sit back from the screen,'kay?\Previously on Fairy Tail!\We managed to stop the Magic Giant, but our guild's been destroyed!\During it all, Master Jose has come to attack Erza!\And the battle between Natsu and Gajeel is now reaching its conclusion!\It'll be all right! I'll yell it out countless times.\I believe your every tomorrow will be shining.\The intersection of all people response:	Never giving up. And that's why we're not gonna lose!
context: Previously on Fairy Tail!\We managed to stop the Magic Giant, but our guild's been destroyed!\During it all, Master Jose has come to attack Erza!\And the battle between Natsu and Gajeel is now reaching its conclusion!\It'll be all right! I'll yell it out countless times.\I believe your every tomorrow will be shining.\The intersection of all people\Never giving up. And that's why we're not gonna lose! response:	When it seems like you'll be blown away by the headwinds,
