context: My Mom and my sisters moved overseas because of Dad's job... response:	However, my first time living alone only lasted for a few days.
context: My Mom and my sisters moved overseas because of Dad's job...\However, my first time living alone only lasted for a few days. response:	Hey, Rikka. I'm opening the door.
context: My Mom and my sisters moved overseas because of Dad's job...\However, my first time living alone only lasted for a few days.\Hey, Rikka. I'm opening the door. response:	Wake up already. School starts today.
context: My Mom and my sisters moved overseas because of Dad's job...\However, my first time living alone only lasted for a few days.\Hey, Rikka. I'm opening the door.\Wake up already. School starts today. response:	In a virtual repeat of last year's attempt...
context: My Mom and my sisters moved overseas because of Dad's job...\However, my first time living alone only lasted for a few days.\Hey, Rikka. I'm opening the door.\Wake up already. School starts today.\In a virtual repeat of last year's attempt... response:	I command you to awaken, Rikka Takanashi!
context: My Mom and my sisters moved overseas because of Dad's job...\However, my first time living alone only lasted for a few days.\Hey, Rikka. I'm opening the door.\Wake up already. School starts today.\In a virtual repeat of last year's attempt...\I command you to awaken, Rikka Takanashi! response:	Or rather, Wicked Lord Shingan. The time of awakening has come!
context: My Mom and my sisters moved overseas because of Dad's job...\However, my first time living alone only lasted for a few days.\Hey, Rikka. I'm opening the door.\Wake up already. School starts today.\In a virtual repeat of last year's attempt...\I command you to awaken, Rikka Takanashi!\Or rather, Wicked Lord Shingan. The time of awakening has come! response:	Rikka, is sunny side up okay?
context: My Mom and my sisters moved overseas because of Dad's job...\However, my first time living alone only lasted for a few days.\Hey, Rikka. I'm opening the door.\Wake up already. School starts today.\In a virtual repeat of last year's attempt...\I command you to awaken, Rikka Takanashi!\Or rather, Wicked Lord Shingan. The time of awakening has come!\Rikka, is sunny side up okay? response:	Dark side up, please.
context: However, my first time living alone only lasted for a few days.\Hey, Rikka. I'm opening the door.\Wake up already. School starts today.\In a virtual repeat of last year's attempt...\I command you to awaken, Rikka Takanashi!\Or rather, Wicked Lord Shingan. The time of awakening has come!\Rikka, is sunny side up okay?\Dark side up, please. response:	Sunny side up it is.
context: Hey, Rikka. I'm opening the door.\Wake up already. School starts today.\In a virtual repeat of last year's attempt...\I command you to awaken, Rikka Takanashi!\Or rather, Wicked Lord Shingan. The time of awakening has come!\Rikka, is sunny side up okay?\Dark side up, please.\Sunny side up it is. response:	Turn over!
context: Wake up already. School starts today.\In a virtual repeat of last year's attempt...\I command you to awaken, Rikka Takanashi!\Or rather, Wicked Lord Shingan. The time of awakening has come!\Rikka, is sunny side up okay?\Dark side up, please.\Sunny side up it is.\Turn over! response:	So, which is it?
context: In a virtual repeat of last year's attempt...\I command you to awaken, Rikka Takanashi!\Or rather, Wicked Lord Shingan. The time of awakening has come!\Rikka, is sunny side up okay?\Dark side up, please.\Sunny side up it is.\Turn over!\So, which is it? response:	I gave her too many options.
context: I command you to awaken, Rikka Takanashi!\Or rather, Wicked Lord Shingan. The time of awakening has come!\Rikka, is sunny side up okay?\Dark side up, please.\Sunny side up it is.\Turn over!\So, which is it?\I gave her too many options. response:	Yuta!
context: Or rather, Wicked Lord Shingan. The time of awakening has come!\Rikka, is sunny side up okay?\Dark side up, please.\Sunny side up it is.\Turn over!\So, which is it?\I gave her too many options.\Yuta! response:	Yes?
context: Rikka, is sunny side up okay?\Dark side up, please.\Sunny side up it is.\Turn over!\So, which is it?\I gave her too many options.\Yuta!\Yes? response:	I can't find the ribbon for my school uniform.
context: Dark side up, please.\Sunny side up it is.\Turn over!\So, which is it?\I gave her too many options.\Yuta!\Yes?\I can't find the ribbon for my school uniform. response:	Huh?
context: Sunny side up it is.\Turn over!\So, which is it?\I gave her too many options.\Yuta!\Yes?\I can't find the ribbon for my school uniform.\Huh? response:	Gasp! Was it their doing?!
context: Turn over!\So, which is it?\I gave her too many options.\Yuta!\Yes?\I can't find the ribbon for my school uniform.\Huh?\Gasp! Was it their doing?! response:	I let my guard down.
context: So, which is it?\I gave her too many options.\Yuta!\Yes?\I can't find the ribbon for my school uniform.\Huh?\Gasp! Was it their doing?!\I let my guard down. response:	That's why I told you to get it ready yesterday.
context: I gave her too many options.\Yuta!\Yes?\I can't find the ribbon for my school uniform.\Huh?\Gasp! Was it their doing?!\I let my guard down.\That's why I told you to get it ready yesterday. response:	I'm coming in.
context: Yuta!\Yes?\I can't find the ribbon for my school uniform.\Huh?\Gasp! Was it their doing?!\I let my guard down.\That's why I told you to get it ready yesterday.\I'm coming in. response:	There's no time for goofing around!
context: Yes?\I can't find the ribbon for my school uniform.\Huh?\Gasp! Was it their doing?!\I let my guard down.\That's why I told you to get it ready yesterday.\I'm coming in.\There's no time for goofing around! response:	I'll yank out your antenna hair!
context: I can't find the ribbon for my school uniform.\Huh?\Gasp! Was it their doing?!\I let my guard down.\That's why I told you to get it ready yesterday.\I'm coming in.\There's no time for goofing around!\I'll yank out your antenna hair! response:	Please don't! It's my most attractive feature!
context: Huh?\Gasp! Was it their doing?!\I let my guard down.\That's why I told you to get it ready yesterday.\I'm coming in.\There's no time for goofing around!\I'll yank out your antenna hair!\Please don't! It's my most attractive feature! response:	Rikka's mother also had to move out of town for work this spring...
context: Gasp! Was it their doing?!\I let my guard down.\That's why I told you to get it ready yesterday.\I'm coming in.\There's no time for goofing around!\I'll yank out your antenna hair!\Please don't! It's my most attractive feature!\Rikka's mother also had to move out of town for work this spring... response:	Heave-ho...
context: I let my guard down.\That's why I told you to get it ready yesterday.\I'm coming in.\There's no time for goofing around!\I'll yank out your antenna hair!\Please don't! It's my most attractive feature!\Rikka's mother also had to move out of town for work this spring...\Heave-ho... response:	Why are your things being moved out?
context: That's why I told you to get it ready yesterday.\I'm coming in.\There's no time for goofing around!\I'll yank out your antenna hair!\Please don't! It's my most attractive feature!\Rikka's mother also had to move out of town for work this spring...\Heave-ho...\Why are your things being moved out? response:	Have they finally made their move?!
context: I'm coming in.\There's no time for goofing around!\I'll yank out your antenna hair!\Please don't! It's my most attractive feature!\Rikka's mother also had to move out of town for work this spring...\Heave-ho...\Why are your things being moved out?\Have they finally made their move?! response:	What? Rikka's grandfather accidentally let go of their apartment?
context: There's no time for goofing around!\I'll yank out your antenna hair!\Please don't! It's my most attractive feature!\Rikka's mother also had to move out of town for work this spring...\Heave-ho...\Why are your things being moved out?\Have they finally made their move?!\What? Rikka's grandfather accidentally let go of their apartment? response:	It's sabotage!
context: I'll yank out your antenna hair!\Please don't! It's my most attractive feature!\Rikka's mother also had to move out of town for work this spring...\Heave-ho...\Why are your things being moved out?\Have they finally made their move?!\What? Rikka's grandfather accidentally let go of their apartment?\It's sabotage! response:	I guess you'll have to live with me until your new place is sorted out.
context: Please don't! It's my most attractive feature!\Rikka's mother also had to move out of town for work this spring...\Heave-ho...\Why are your things being moved out?\Have they finally made their move?!\What? Rikka's grandfather accidentally let go of their apartment?\It's sabotage!\I guess you'll have to live with me until your new place is sorted out. response:	Activating emergency code: Triple Four!
context: Rikka's mother also had to move out of town for work this spring...\Heave-ho...\Why are your things being moved out?\Have they finally made their move?!\What? Rikka's grandfather accidentally let go of their apartment?\It's sabotage!\I guess you'll have to live with me until your new place is sorted out.\Activating emergency code: Triple Four! response:	And so, Rikka temporarily came to live with me.
context: Heave-ho...\Why are your things being moved out?\Have they finally made their move?!\What? Rikka's grandfather accidentally let go of their apartment?\It's sabotage!\I guess you'll have to live with me until your new place is sorted out.\Activating emergency code: Triple Four!\And so, Rikka temporarily came to live with me. response:	It's pleasant to be woken up by you.
