context: J To catch them is my real test To train them is my cause J response:	J I will travel across the land Searching far and wide J
context: J To catch them is my real test To train them is my cause J\J I will travel across the land Searching far and wide J response:	J Teach Pokemon to understand The power that's inside J
context: J To catch them is my real test To train them is my cause J\J I will travel across the land Searching far and wide J\J Teach Pokemon to understand The power that's inside J response:	J Pokemon! Gotta catch'em all J
context: J To catch them is my real test To train them is my cause J\J I will travel across the land Searching far and wide J\J Teach Pokemon to understand The power that's inside J\J Pokemon! Gotta catch'em all J response:	J It's you and me, I know it's my destiny Pokemon! J
context: J To catch them is my real test To train them is my cause J\J I will travel across the land Searching far and wide J\J Teach Pokemon to understand The power that's inside J\J Pokemon! Gotta catch'em all J\J It's you and me, I know it's my destiny Pokemon! J response:	J Oh, you're my best friend In a world we must defend J
context: J To catch them is my real test To train them is my cause J\J I will travel across the land Searching far and wide J\J Teach Pokemon to understand The power that's inside J\J Pokemon! Gotta catch'em all J\J It's you and me, I know it's my destiny Pokemon! J\J Oh, you're my best friend In a world we must defend J response:	J Pokemon! Gotta catch'em all J
context: J To catch them is my real test To train them is my cause J\J I will travel across the land Searching far and wide J\J Teach Pokemon to understand The power that's inside J\J Pokemon! Gotta catch'em all J\J It's you and me, I know it's my destiny Pokemon! J\J Oh, you're my best friend In a world we must defend J\J Pokemon! Gotta catch'em all J response:	J A heart so true Our courage will pull us through J
context: J To catch them is my real test To train them is my cause J\J I will travel across the land Searching far and wide J\J Teach Pokemon to understand The power that's inside J\J Pokemon! Gotta catch'em all J\J It's you and me, I know it's my destiny Pokemon! J\J Oh, you're my best friend In a world we must defend J\J Pokemon! Gotta catch'em all J\J A heart so true Our courage will pull us through J response:	J You teach me and I'll teach you Pokemon! J
context: J I will travel across the land Searching far and wide J\J Teach Pokemon to understand The power that's inside J\J Pokemon! Gotta catch'em all J\J It's you and me, I know it's my destiny Pokemon! J\J Oh, you're my best friend In a world we must defend J\J Pokemon! Gotta catch'em all J\J A heart so true Our courage will pull us through J\J You teach me and I'll teach you Pokemon! J response:	J Gotta catch'em all, gotta catch'em all Pokemon! J
context: J Teach Pokemon to understand The power that's inside J\J Pokemon! Gotta catch'em all J\J It's you and me, I know it's my destiny Pokemon! J\J Oh, you're my best friend In a world we must defend J\J Pokemon! Gotta catch'em all J\J A heart so true Our courage will pull us through J\J You teach me and I'll teach you Pokemon! J\J Gotta catch'em all, gotta catch'em all Pokemon! J response:	Deep in the dark Viridian forest,
context: J Pokemon! Gotta catch'em all J\J It's you and me, I know it's my destiny Pokemon! J\J Oh, you're my best friend In a world we must defend J\J Pokemon! Gotta catch'em all J\J A heart so true Our courage will pull us through J\J You teach me and I'll teach you Pokemon! J\J Gotta catch'em all, gotta catch'em all Pokemon! J\Deep in the dark Viridian forest, response:	Ash discovers a Caterpie
context: J It's you and me, I know it's my destiny Pokemon! J\J Oh, you're my best friend In a world we must defend J\J Pokemon! Gotta catch'em all J\J A heart so true Our courage will pull us through J\J You teach me and I'll teach you Pokemon! J\J Gotta catch'em all, gotta catch'em all Pokemon! J\Deep in the dark Viridian forest,\Ash discovers a Caterpie response:	and tries his best to make his first Pokemon catch.
context: J Oh, you're my best friend In a world we must defend J\J Pokemon! Gotta catch'em all J\J A heart so true Our courage will pull us through J\J You teach me and I'll teach you Pokemon! J\J Gotta catch'em all, gotta catch'em all Pokemon! J\Deep in the dark Viridian forest,\Ash discovers a Caterpie\and tries his best to make his first Pokemon catch. response:	Caterpie, you're mine!
context: J Pokemon! Gotta catch'em all J\J A heart so true Our courage will pull us through J\J You teach me and I'll teach you Pokemon! J\J Gotta catch'em all, gotta catch'em all Pokemon! J\Deep in the dark Viridian forest,\Ash discovers a Caterpie\and tries his best to make his first Pokemon catch.\Caterpie, you're mine! response:	Hm.
context: J A heart so true Our courage will pull us through J\J You teach me and I'll teach you Pokemon! J\J Gotta catch'em all, gotta catch'em all Pokemon! J\Deep in the dark Viridian forest,\Ash discovers a Caterpie\and tries his best to make his first Pokemon catch.\Caterpie, you're mine!\Hm. response:	Hm?
context: J You teach me and I'll teach you Pokemon! J\J Gotta catch'em all, gotta catch'em all Pokemon! J\Deep in the dark Viridian forest,\Ash discovers a Caterpie\and tries his best to make his first Pokemon catch.\Caterpie, you're mine!\Hm.\Hm? response:	Yes! I did it!
context: J Gotta catch'em all, gotta catch'em all Pokemon! J\Deep in the dark Viridian forest,\Ash discovers a Caterpie\and tries his best to make his first Pokemon catch.\Caterpie, you're mine!\Hm.\Hm?\Yes! I did it! response:	Aha! I did it! I got Caterpie!
context: Deep in the dark Viridian forest,\Ash discovers a Caterpie\and tries his best to make his first Pokemon catch.\Caterpie, you're mine!\Hm.\Hm?\Yes! I did it!\Aha! I did it! I got Caterpie! response:	I did it all by myself. I caught my first Pokemon!
context: Ash discovers a Caterpie\and tries his best to make his first Pokemon catch.\Caterpie, you're mine!\Hm.\Hm?\Yes! I did it!\Aha! I did it! I got Caterpie!\I did it all by myself. I caught my first Pokemon! response:	This is the first step
context: and tries his best to make his first Pokemon catch.\Caterpie, you're mine!\Hm.\Hm?\Yes! I did it!\Aha! I did it! I got Caterpie!\I did it all by myself. I caught my first Pokemon!\This is the first step response:	on my way to becoming the number one Pokemon Master in the whole world.
context: Caterpie, you're mine!\Hm.\Hm?\Yes! I did it!\Aha! I did it! I got Caterpie!\I did it all by myself. I caught my first Pokemon!\This is the first step\on my way to becoming the number one Pokemon Master in the whole world. response:	-Ah! Hey! Wait a minute! -Ha-ha.
context: Hm.\Hm?\Yes! I did it!\Aha! I did it! I got Caterpie!\I did it all by myself. I caught my first Pokemon!\This is the first step\on my way to becoming the number one Pokemon Master in the whole world.\-Ah! Hey! Wait a minute! -Ha-ha. response:	I'm getting dizzy! I'm going to get sick! Quit it!
context: Hm?\Yes! I did it!\Aha! I did it! I got Caterpie!\I did it all by myself. I caught my first Pokemon!\This is the first step\on my way to becoming the number one Pokemon Master in the whole world.\-Ah! Hey! Wait a minute! -Ha-ha.\I'm getting dizzy! I'm going to get sick! Quit it! response:	Look out, Pokemon. Nothing's going to stop me now.
