context: Mashima-senpai! response:	What's this atmosphere?
context: Mashima-senpai!\What's this atmosphere? response:	I can't lose... I can't lose...
context: Mashima-senpai!\What's this atmosphere?\I can't lose... I can't lose... response:	I will win... I will win...
context: Mashima-senpai!\What's this atmosphere?\I can't lose... I can't lose...\I will win... I will win... response:	I'll beat Mashima
context: Mashima-senpai!\What's this atmosphere?\I can't lose... I can't lose...\I will win... I will win...\I'll beat Mashima response:	and make Class A!
context: Mashima-senpai!\What's this atmosphere?\I can't lose... I can't lose...\I will win... I will win...\I'll beat Mashima\and make Class A! response:	Chihaya Furu
context: Mashima-senpai!\What's this atmosphere?\I can't lose... I can't lose...\I will win... I will win...\I'll beat Mashima\and make Class A!\Chihaya Furu response:	Episode 23
context: Mashima-senpai!\What's this atmosphere?\I can't lose... I can't lose...\I will win... I will win...\I'll beat Mashima\and make Class A!\Chihaya Furu\Episode 23 response:	To see the beautiful cherry blossoms
context: What's this atmosphere?\I can't lose... I can't lose...\I will win... I will win...\I'll beat Mashima\and make Class A!\Chihaya Furu\Episode 23\To see the beautiful cherry blossoms response:	In order to restore my faith in this world,
context: I can't lose... I can't lose...\I will win... I will win...\I'll beat Mashima\and make Class A!\Chihaya Furu\Episode 23\To see the beautiful cherry blossoms\In order to restore my faith in this world, response:	I-I can't find my rhythm...
context: I will win... I will win...\I'll beat Mashima\and make Class A!\Chihaya Furu\Episode 23\To see the beautiful cherry blossoms\In order to restore my faith in this world,\I-I can't find my rhythm... response:	Emuro-senpai's being dominated.
context: I'll beat Mashima\and make Class A!\Chihaya Furu\Episode 23\To see the beautiful cherry blossoms\In order to restore my faith in this world,\I-I can't find my rhythm...\Emuro-senpai's being dominated. response:	While it brings me no joy, the road beyond Mount Oe is too long
context: and make Class A!\Chihaya Furu\Episode 23\To see the beautiful cherry blossoms\In order to restore my faith in this world,\I-I can't find my rhythm...\Emuro-senpai's being dominated.\While it brings me no joy, the road beyond Mount Oe is too long response:	The two of them are on a completely different level.
