context: Fairy Tail... response:	Natsu...san?
context: Fairy Tail...\Natsu...san? response:	You came here to pick a fight with Master?
context: Fairy Tail...\Natsu...san?\You came here to pick a fight with Master? response:	That's suicidal!
context: Fairy Tail...\Natsu...san?\You came here to pick a fight with Master?\That's suicidal! response:	Fro thinks so, too...
context: Fairy Tail...\Natsu...san?\You came here to pick a fight with Master?\That's suicidal!\Fro thinks so, too... response:	Are you serious, kid?
context: Fairy Tail...\Natsu...san?\You came here to pick a fight with Master?\That's suicidal!\Fro thinks so, too...\Are you serious, kid? response:	Anybody who doesn't think of their comrades as comrades
context: Fairy Tail...\Natsu...san?\You came here to pick a fight with Master?\That's suicidal!\Fro thinks so, too...\Are you serious, kid?\Anybody who doesn't think of their comrades as comrades response:	is on my list!
context: Fairy Tail...\Natsu...san?\You came here to pick a fight with Master?\That's suicidal!\Fro thinks so, too...\Are you serious, kid?\Anybody who doesn't think of their comrades as comrades\is on my list! response:	Is he talking about Yukino?
context: Natsu...san?\You came here to pick a fight with Master?\That's suicidal!\Fro thinks so, too...\Are you serious, kid?\Anybody who doesn't think of their comrades as comrades\is on my list!\Is he talking about Yukino? response:	That's got nothin' to do with you!
context: You came here to pick a fight with Master?\That's suicidal!\Fro thinks so, too...\Are you serious, kid?\Anybody who doesn't think of their comrades as comrades\is on my list!\Is he talking about Yukino?\That's got nothin' to do with you! response:	Who would storm in here over something like that?!
context: That's suicidal!\Fro thinks so, too...\Are you serious, kid?\Anybody who doesn't think of their comrades as comrades\is on my list!\Is he talking about Yukino?\That's got nothin' to do with you!\Who would storm in here over something like that?! response:	I don't know what you're talking about,
context: Fro thinks so, too...\Are you serious, kid?\Anybody who doesn't think of their comrades as comrades\is on my list!\Is he talking about Yukino?\That's got nothin' to do with you!\Who would storm in here over something like that?!\I don't know what you're talking about, response:	but I suppose you've got your reasons.
context: Are you serious, kid?\Anybody who doesn't think of their comrades as comrades\is on my list!\Is he talking about Yukino?\That's got nothin' to do with you!\Who would storm in here over something like that?!\I don't know what you're talking about,\but I suppose you've got your reasons. response:	You don't know what I'm talkin' about?!
context: Anybody who doesn't think of their comrades as comrades\is on my list!\Is he talking about Yukino?\That's got nothin' to do with you!\Who would storm in here over something like that?!\I don't know what you're talking about,\but I suppose you've got your reasons.\You don't know what I'm talkin' about?! response:	Dobengal.
context: is on my list!\Is he talking about Yukino?\That's got nothin' to do with you!\Who would storm in here over something like that?!\I don't know what you're talking about,\but I suppose you've got your reasons.\You don't know what I'm talkin' about?!\Dobengal. response:	Deal with him.
context: Is he talking about Yukino?\That's got nothin' to do with you!\Who would storm in here over something like that?!\I don't know what you're talking about,\but I suppose you've got your reasons.\You don't know what I'm talkin' about?!\Dobengal.\Deal with him. response:	Yes, sir!
context: That's got nothin' to do with you!\Who would storm in here over something like that?!\I don't know what you're talking about,\but I suppose you've got your reasons.\You don't know what I'm talkin' about?!\Dobengal.\Deal with him.\Yes, sir! response:	You're avoiding me?
context: Who would storm in here over something like that?!\I don't know what you're talking about,\but I suppose you've got your reasons.\You don't know what I'm talkin' about?!\Dobengal.\Deal with him.\Yes, sir!\You're avoiding me? response:	A guild soldier like you needs 100 more years of experience.
