context: What are you guys going to do!? response:	Are you going to go back to your own planet now!?
context: What are you guys going to do!?\Are you going to go back to your own planet now!? response:	Or would you rather be knocked flat, like this guy!?
context: What are you guys going to do!?\Are you going to go back to your own planet now!?\Or would you rather be knocked flat, like this guy!? response:	Did you hear that, Butta?
context: What are you guys going to do!?\Are you going to go back to your own planet now!?\Or would you rather be knocked flat, like this guy!?\Did you hear that, Butta? response:	That manly-man is spouting that drivel again.
context: What are you guys going to do!?\Are you going to go back to your own planet now!?\Or would you rather be knocked flat, like this guy!?\Did you hear that, Butta?\That manly-man is spouting that drivel again. response:	Yeah, he seems to be under the mistaken impression
context: What are you guys going to do!?\Are you going to go back to your own planet now!?\Or would you rather be knocked flat, like this guy!?\Did you hear that, Butta?\That manly-man is spouting that drivel again.\Yeah, he seems to be under the mistaken impression response:	that he defeated ReaCoom by force.
context: What are you guys going to do!?\Are you going to go back to your own planet now!?\Or would you rather be knocked flat, like this guy!?\Did you hear that, Butta?\That manly-man is spouting that drivel again.\Yeah, he seems to be under the mistaken impression\that he defeated ReaCoom by force. response:	It was just a strange coincidence,
context: What are you guys going to do!?\Are you going to go back to your own planet now!?\Or would you rather be knocked flat, like this guy!?\Did you hear that, Butta?\That manly-man is spouting that drivel again.\Yeah, he seems to be under the mistaken impression\that he defeated ReaCoom by force.\It was just a strange coincidence, response:	overlapping with ReaCoom letting his guard down. Right?
context: Are you going to go back to your own planet now!?\Or would you rather be knocked flat, like this guy!?\Did you hear that, Butta?\That manly-man is spouting that drivel again.\Yeah, he seems to be under the mistaken impression\that he defeated ReaCoom by force.\It was just a strange coincidence,\overlapping with ReaCoom letting his guard down. Right? response:	Yeah, of course it was just by chance.
context: Or would you rather be knocked flat, like this guy!?\Did you hear that, Butta?\That manly-man is spouting that drivel again.\Yeah, he seems to be under the mistaken impression\that he defeated ReaCoom by force.\It was just a strange coincidence,\overlapping with ReaCoom letting his guard down. Right?\Yeah, of course it was just by chance. response:	His battle power rating barely changed at all.
context: Did you hear that, Butta?\That manly-man is spouting that drivel again.\Yeah, he seems to be under the mistaken impression\that he defeated ReaCoom by force.\It was just a strange coincidence,\overlapping with ReaCoom letting his guard down. Right?\Yeah, of course it was just by chance.\His battle power rating barely changed at all. response:	W- what's going on with Goku being so self-possessed?
context: That manly-man is spouting that drivel again.\Yeah, he seems to be under the mistaken impression\that he defeated ReaCoom by force.\It was just a strange coincidence,\overlapping with ReaCoom letting his guard down. Right?\Yeah, of course it was just by chance.\His battle power rating barely changed at all.\W- what's going on with Goku being so self-possessed? response:	F- Father...
