context: Love, it is gentle. Love, it is pure. response:	And yet, he takes advantage of such a girl's affections!
context: Love, it is gentle. Love, it is pure.\And yet, he takes advantage of such a girl's affections! response:	Sailor Moon will arrest you on the charge of romantic fraud!
context: Love, it is gentle. Love, it is pure.\And yet, he takes advantage of such a girl's affections!\Sailor Moon will arrest you on the charge of romantic fraud! response:	I'm sorry I'm not straightforward, I can say it in my dreams
context: Love, it is gentle. Love, it is pure.\And yet, he takes advantage of such a girl's affections!\Sailor Moon will arrest you on the charge of romantic fraud!\I'm sorry I'm not straightforward, I can say it in my dreams response:	My thoughts are about to short circuit, I want to see you right now
context: Love, it is gentle. Love, it is pure.\And yet, he takes advantage of such a girl's affections!\Sailor Moon will arrest you on the charge of romantic fraud!\I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now response:	Moonlight that makes me want to cry, midnight that keeps me from calling
context: Love, it is gentle. Love, it is pure.\And yet, he takes advantage of such a girl's affections!\Sailor Moon will arrest you on the charge of romantic fraud!\I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling response:	Because I'm so innocent, what should I do? The heart is a kaleidoscope
context: Love, it is gentle. Love, it is pure.\And yet, he takes advantage of such a girl's affections!\Sailor Moon will arrest you on the charge of romantic fraud!\I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope response:	Guided by the light of the moon
context: Love, it is gentle. Love, it is pure.\And yet, he takes advantage of such a girl's affections!\Sailor Moon will arrest you on the charge of romantic fraud!\I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon response:	We will meet again and again
context: And yet, he takes advantage of such a girl's affections!\Sailor Moon will arrest you on the charge of romantic fraud!\I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon\We will meet again and again response:	I count the sparkle of constellations to foretell the future of my love
context: Sailor Moon will arrest you on the charge of romantic fraud!\I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon\We will meet again and again\I count the sparkle of constellations to foretell the future of my love response:	We were born in the same land, miracle romance
context: I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon\We will meet again and again\I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance response:	I believe in it, miracle romance
