context: I knew that Ren wanted a child. response:	I also knew that having a child wouldn't stop me from singing.
context: I knew that Ren wanted a child.\I also knew that having a child wouldn't stop me from singing. response:	I think I just didn't have the confidence to become a mother.
context: I knew that Ren wanted a child.\I also knew that having a child wouldn't stop me from singing.\I think I just didn't have the confidence to become a mother. response:	Blinking eyes call the wind
context: I knew that Ren wanted a child.\I also knew that having a child wouldn't stop me from singing.\I think I just didn't have the confidence to become a mother.\Blinking eyes call the wind response:	A smile clears all the noise away
context: I knew that Ren wanted a child.\I also knew that having a child wouldn't stop me from singing.\I think I just didn't have the confidence to become a mother.\Blinking eyes call the wind\A smile clears all the noise away response:	The angel in your eyes whispers
context: I knew that Ren wanted a child.\I also knew that having a child wouldn't stop me from singing.\I think I just didn't have the confidence to become a mother.\Blinking eyes call the wind\A smile clears all the noise away\The angel in your eyes whispers response:	Everything begins now
context: I knew that Ren wanted a child.\I also knew that having a child wouldn't stop me from singing.\I think I just didn't have the confidence to become a mother.\Blinking eyes call the wind\A smile clears all the noise away\The angel in your eyes whispers\Everything begins now response:	Can you feel it now Can you feel it now
context: I knew that Ren wanted a child.\I also knew that having a child wouldn't stop me from singing.\I think I just didn't have the confidence to become a mother.\Blinking eyes call the wind\A smile clears all the noise away\The angel in your eyes whispers\Everything begins now\Can you feel it now Can you feel it now response:	It's like being caught in a wave
context: I also knew that having a child wouldn't stop me from singing.\I think I just didn't have the confidence to become a mother.\Blinking eyes call the wind\A smile clears all the noise away\The angel in your eyes whispers\Everything begins now\Can you feel it now Can you feel it now\It's like being caught in a wave response:	Pulling on my heart Pulling on my heart
context: I think I just didn't have the confidence to become a mother.\Blinking eyes call the wind\A smile clears all the noise away\The angel in your eyes whispers\Everything begins now\Can you feel it now Can you feel it now\It's like being caught in a wave\Pulling on my heart Pulling on my heart response:	Breath held, arms reaching out
context: Blinking eyes call the wind\A smile clears all the noise away\The angel in your eyes whispers\Everything begins now\Can you feel it now Can you feel it now\It's like being caught in a wave\Pulling on my heart Pulling on my heart\Breath held, arms reaching out response:	Baby this world is different from yesterday's
context: A smile clears all the noise away\The angel in your eyes whispers\Everything begins now\Can you feel it now Can you feel it now\It's like being caught in a wave\Pulling on my heart Pulling on my heart\Breath held, arms reaching out\Baby this world is different from yesterday's response:	You're the only one I can see
context: The angel in your eyes whispers\Everything begins now\Can you feel it now Can you feel it now\It's like being caught in a wave\Pulling on my heart Pulling on my heart\Breath held, arms reaching out\Baby this world is different from yesterday's\You're the only one I can see response:	Baby my wish on a wing
context: Everything begins now\Can you feel it now Can you feel it now\It's like being caught in a wave\Pulling on my heart Pulling on my heart\Breath held, arms reaching out\Baby this world is different from yesterday's\You're the only one I can see\Baby my wish on a wing response:	This sky is torn
context: Can you feel it now Can you feel it now\It's like being caught in a wave\Pulling on my heart Pulling on my heart\Breath held, arms reaching out\Baby this world is different from yesterday's\You're the only one I can see\Baby my wish on a wing\This sky is torn response:	By a single overflowing word
context: It's like being caught in a wave\Pulling on my heart Pulling on my heart\Breath held, arms reaching out\Baby this world is different from yesterday's\You're the only one I can see\Baby my wish on a wing\This sky is torn\By a single overflowing word response:	REN FROM 1:00 A.M. PLEASE RECORD HUTCH FOR ME.
context: Pulling on my heart Pulling on my heart\Breath held, arms reaching out\Baby this world is different from yesterday's\You're the only one I can see\Baby my wish on a wing\This sky is torn\By a single overflowing word\REN FROM 1:00 A.M. PLEASE RECORD HUTCH FOR ME. response:	You're here again?
