context: You're Senator Beriam's wife, right? response:	The order has been switched around.
context: You're Senator Beriam's wife, right?\The order has been switched around. response:	Is that liquor?
context: You're Senator Beriam's wife, right?\The order has been switched around.\Is that liquor? response:	Is that box that important to you?
context: You're Senator Beriam's wife, right?\The order has been switched around.\Is that liquor?\Is that box that important to you? response:	There is one way to keep the Rail Tracer from coming here.
context: You're Senator Beriam's wife, right?\The order has been switched around.\Is that liquor?\Is that box that important to you?\There is one way to keep the Rail Tracer from coming here. response:	No, um, you see, uh...
context: You're Senator Beriam's wife, right?\The order has been switched around.\Is that liquor?\Is that box that important to you?\There is one way to keep the Rail Tracer from coming here.\No, um, you see, uh... response:	Um, how can I put this?
context: You're Senator Beriam's wife, right?\The order has been switched around.\Is that liquor?\Is that box that important to you?\There is one way to keep the Rail Tracer from coming here.\No, um, you see, uh...\Um, how can I put this? response:	Yeah, let's, you know, settle this peacefully, see? Okay?
context: You're Senator Beriam's wife, right?\The order has been switched around.\Is that liquor?\Is that box that important to you?\There is one way to keep the Rail Tracer from coming here.\No, um, you see, uh...\Um, how can I put this?\Yeah, let's, you know, settle this peacefully, see? Okay? response:	It's okay, I know we can do it. Okay?
context: The order has been switched around.\Is that liquor?\Is that box that important to you?\There is one way to keep the Rail Tracer from coming here.\No, um, you see, uh...\Um, how can I put this?\Yeah, let's, you know, settle this peacefully, see? Okay?\It's okay, I know we can do it. Okay? response:	So... so... just put the guns down, okay? Okay?
context: Is that liquor?\Is that box that important to you?\There is one way to keep the Rail Tracer from coming here.\No, um, you see, uh...\Um, how can I put this?\Yeah, let's, you know, settle this peacefully, see? Okay?\It's okay, I know we can do it. Okay?\So... so... just put the guns down, okay? Okay? response:	Please, I'm really scared here.
context: Is that box that important to you?\There is one way to keep the Rail Tracer from coming here.\No, um, you see, uh...\Um, how can I put this?\Yeah, let's, you know, settle this peacefully, see? Okay?\It's okay, I know we can do it. Okay?\So... so... just put the guns down, okay? Okay?\Please, I'm really scared here. response:	Right now, I don't have a penny on me, so I'll have to apologize.
context: There is one way to keep the Rail Tracer from coming here.\No, um, you see, uh...\Um, how can I put this?\Yeah, let's, you know, settle this peacefully, see? Okay?\It's okay, I know we can do it. Okay?\So... so... just put the guns down, okay? Okay?\Please, I'm really scared here.\Right now, I don't have a penny on me, so I'll have to apologize. response:	Put down your guns... put them down!
context: No, um, you see, uh...\Um, how can I put this?\Yeah, let's, you know, settle this peacefully, see? Okay?\It's okay, I know we can do it. Okay?\So... so... just put the guns down, okay? Okay?\Please, I'm really scared here.\Right now, I don't have a penny on me, so I'll have to apologize.\Put down your guns... put them down! response:	Hey, are you really sure this is the right guy?
context: Um, how can I put this?\Yeah, let's, you know, settle this peacefully, see? Okay?\It's okay, I know we can do it. Okay?\So... so... just put the guns down, okay? Okay?\Please, I'm really scared here.\Right now, I don't have a penny on me, so I'll have to apologize.\Put down your guns... put them down!\Hey, are you really sure this is the right guy? response:	He's supposed to be.
context: Yeah, let's, you know, settle this peacefully, see? Okay?\It's okay, I know we can do it. Okay?\So... so... just put the guns down, okay? Okay?\Please, I'm really scared here.\Right now, I don't have a penny on me, so I'll have to apologize.\Put down your guns... put them down!\Hey, are you really sure this is the right guy?\He's supposed to be. response:	There's no mistaking the sword tattoo on his face.
context: It's okay, I know we can do it. Okay?\So... so... just put the guns down, okay? Okay?\Please, I'm really scared here.\Right now, I don't have a penny on me, so I'll have to apologize.\Put down your guns... put them down!\Hey, are you really sure this is the right guy?\He's supposed to be.\There's no mistaking the sword tattoo on his face. response:	I have to admit, he's worse than pathetic.
context: So... so... just put the guns down, okay? Okay?\Please, I'm really scared here.\Right now, I don't have a penny on me, so I'll have to apologize.\Put down your guns... put them down!\Hey, are you really sure this is the right guy?\He's supposed to be.\There's no mistaking the sword tattoo on his face.\I have to admit, he's worse than pathetic. response:	Hey.
