context: Keep the Chance Alive!! Piccolo's Suicide Support Strike response:	What is it? What is he doing?
context: Keep the Chance Alive!! Piccolo's Suicide Support Strike\What is it? What is he doing? response:	Why is he just standing there like that, not showing any movement?
context: Keep the Chance Alive!! Piccolo's Suicide Support Strike\What is it? What is he doing?\Why is he just standing there like that, not showing any movement? response:	Grass, trees, and animals of Namek, as well as all living things in the universe, share your Genki...
context: Keep the Chance Alive!! Piccolo's Suicide Support Strike\What is it? What is he doing?\Why is he just standing there like that, not showing any movement?\Grass, trees, and animals of Namek, as well as all living things in the universe, share your Genki... response:	just a little bit each is fine... share your Genki with me, please...
context: Keep the Chance Alive!! Piccolo's Suicide Support Strike\What is it? What is he doing?\Why is he just standing there like that, not showing any movement?\Grass, trees, and animals of Namek, as well as all living things in the universe, share your Genki...\just a little bit each is fine... share your Genki with me, please... response:	You guys don't know how strong Son-kun is!
context: Keep the Chance Alive!! Piccolo's Suicide Support Strike\What is it? What is he doing?\Why is he just standing there like that, not showing any movement?\Grass, trees, and animals of Namek, as well as all living things in the universe, share your Genki...\just a little bit each is fine... share your Genki with me, please...\You guys don't know how strong Son-kun is! response:	From the time he was little, he endured ri-igorous training under the Turtle Hermit!
context: Keep the Chance Alive!! Piccolo's Suicide Support Strike\What is it? What is he doing?\Why is he just standing there like that, not showing any movement?\Grass, trees, and animals of Namek, as well as all living things in the universe, share your Genki...\just a little bit each is fine... share your Genki with me, please...\You guys don't know how strong Son-kun is!\From the time he was little, he endured ri-igorous training under the Turtle Hermit! response:	He also won the Tenkaichi Tournament, and such.
context: Keep the Chance Alive!! Piccolo's Suicide Support Strike\What is it? What is he doing?\Why is he just standing there like that, not showing any movement?\Grass, trees, and animals of Namek, as well as all living things in the universe, share your Genki...\just a little bit each is fine... share your Genki with me, please...\You guys don't know how strong Son-kun is!\From the time he was little, he endured ri-igorous training under the Turtle Hermit!\He also won the Tenkaichi Tournament, and such. response:	He takes care of the bad guys in the blink of an eye!
context: What is it? What is he doing?\Why is he just standing there like that, not showing any movement?\Grass, trees, and animals of Namek, as well as all living things in the universe, share your Genki...\just a little bit each is fine... share your Genki with me, please...\You guys don't know how strong Son-kun is!\From the time he was little, he endured ri-igorous training under the Turtle Hermit!\He also won the Tenkaichi Tournament, and such.\He takes care of the bad guys in the blink of an eye! response:	Get it!?
context: Why is he just standing there like that, not showing any movement?\Grass, trees, and animals of Namek, as well as all living things in the universe, share your Genki...\just a little bit each is fine... share your Genki with me, please...\You guys don't know how strong Son-kun is!\From the time he was little, he endured ri-igorous training under the Turtle Hermit!\He also won the Tenkaichi Tournament, and such.\He takes care of the bad guys in the blink of an eye!\Get it!? response:	If Son-kun goes all-out, that strange alien would be finished with one blow!
context: Grass, trees, and animals of Namek, as well as all living things in the universe, share your Genki...\just a little bit each is fine... share your Genki with me, please...\You guys don't know how strong Son-kun is!\From the time he was little, he endured ri-igorous training under the Turtle Hermit!\He also won the Tenkaichi Tournament, and such.\He takes care of the bad guys in the blink of an eye!\Get it!?\If Son-kun goes all-out, that strange alien would be finished with one blow! response:	You're friends with that alien, aren't you?
context: just a little bit each is fine... share your Genki with me, please...\You guys don't know how strong Son-kun is!\From the time he was little, he endured ri-igorous training under the Turtle Hermit!\He also won the Tenkaichi Tournament, and such.\He takes care of the bad guys in the blink of an eye!\Get it!?\If Son-kun goes all-out, that strange alien would be finished with one blow!\You're friends with that alien, aren't you? response:	If you are friends, then it's in that alien's best interest for you to stop him before Son-kun gets serious!
context: You guys don't know how strong Son-kun is!\From the time he was little, he endured ri-igorous training under the Turtle Hermit!\He also won the Tenkaichi Tournament, and such.\He takes care of the bad guys in the blink of an eye!\Get it!?\If Son-kun goes all-out, that strange alien would be finished with one blow!\You're friends with that alien, aren't you?\If you are friends, then it's in that alien's best interest for you to stop him before Son-kun gets serious! response:	How about you go persuade him?
context: From the time he was little, he endured ri-igorous training under the Turtle Hermit!\He also won the Tenkaichi Tournament, and such.\He takes care of the bad guys in the blink of an eye!\Get it!?\If Son-kun goes all-out, that strange alien would be finished with one blow!\You're friends with that alien, aren't you?\If you are friends, then it's in that alien's best interest for you to stop him before Son-kun gets serious!\How about you go persuade him? response:	Make that clear to him! Make it clear!
context: He also won the Tenkaichi Tournament, and such.\He takes care of the bad guys in the blink of an eye!\Get it!?\If Son-kun goes all-out, that strange alien would be finished with one blow!\You're friends with that alien, aren't you?\If you are friends, then it's in that alien's best interest for you to stop him before Son-kun gets serious!\How about you go persuade him?\Make that clear to him! Make it clear! response:	l- It's huge! Man, is that huge!
context: He takes care of the bad guys in the blink of an eye!\Get it!?\If Son-kun goes all-out, that strange alien would be finished with one blow!\You're friends with that alien, aren't you?\If you are friends, then it's in that alien's best interest for you to stop him before Son-kun gets serious!\How about you go persuade him?\Make that clear to him! Make it clear!\l- It's huge! Man, is that huge! response:	Is it really all that huge?
context: Get it!?\If Son-kun goes all-out, that strange alien would be finished with one blow!\You're friends with that alien, aren't you?\If you are friends, then it's in that alien's best interest for you to stop him before Son-kun gets serious!\How about you go persuade him?\Make that clear to him! Make it clear!\l- It's huge! Man, is that huge!\Is it really all that huge? response:	The one on Earth was about this big.
context: If Son-kun goes all-out, that strange alien would be finished with one blow!\You're friends with that alien, aren't you?\If you are friends, then it's in that alien's best interest for you to stop him before Son-kun gets serious!\How about you go persuade him?\Make that clear to him! Make it clear!\l- It's huge! Man, is that huge!\Is it really all that huge?\The one on Earth was about this big. response:	This one's about fifty meters in diameter!
context: You're friends with that alien, aren't you?\If you are friends, then it's in that alien's best interest for you to stop him before Son-kun gets serious!\How about you go persuade him?\Make that clear to him! Make it clear!\l- It's huge! Man, is that huge!\Is it really all that huge?\The one on Earth was about this big.\This one's about fifty meters in diameter! response:	No matter what he's done, he couldn't have made that large a Genki Dama with just the energy of this planet.
context: If you are friends, then it's in that alien's best interest for you to stop him before Son-kun gets serious!\How about you go persuade him?\Make that clear to him! Make it clear!\l- It's huge! Man, is that huge!\Is it really all that huge?\The one on Earth was about this big.\This one's about fifty meters in diameter!\No matter what he's done, he couldn't have made that large a Genki Dama with just the energy of this planet. response:	Goku must be gathering Ki from planets all over the place!
context: How about you go persuade him?\Make that clear to him! Make it clear!\l- It's huge! Man, is that huge!\Is it really all that huge?\The one on Earth was about this big.\This one's about fifty meters in diameter!\No matter what he's done, he couldn't have made that large a Genki Dama with just the energy of this planet.\Goku must be gathering Ki from planets all over the place! response:	Freeza still doesn't seem to have realized it.
context: Make that clear to him! Make it clear!\l- It's huge! Man, is that huge!\Is it really all that huge?\The one on Earth was about this big.\This one's about fifty meters in diameter!\No matter what he's done, he couldn't have made that large a Genki Dama with just the energy of this planet.\Goku must be gathering Ki from planets all over the place!\Freeza still doesn't seem to have realized it. response:	Why doesn't he attack with that ball right now?
context: l- It's huge! Man, is that huge!\Is it really all that huge?\The one on Earth was about this big.\This one's about fifty meters in diameter!\No matter what he's done, he couldn't have made that large a Genki Dama with just the energy of this planet.\Goku must be gathering Ki from planets all over the place!\Freeza still doesn't seem to have realized it.\Why doesn't he attack with that ball right now? response:	Unless he gathers more Ki, he won't be able to defeat Freeza. That must be what Goku's thinking.
context: Is it really all that huge?\The one on Earth was about this big.\This one's about fifty meters in diameter!\No matter what he's done, he couldn't have made that large a Genki Dama with just the energy of this planet.\Goku must be gathering Ki from planets all over the place!\Freeza still doesn't seem to have realized it.\Why doesn't he attack with that ball right now?\Unless he gathers more Ki, he won't be able to defeat Freeza. That must be what Goku's thinking. response:	F- Father, hurry! Hurry!
context: The one on Earth was about this big.\This one's about fifty meters in diameter!\No matter what he's done, he couldn't have made that large a Genki Dama with just the energy of this planet.\Goku must be gathering Ki from planets all over the place!\Freeza still doesn't seem to have realized it.\Why doesn't he attack with that ball right now?\Unless he gathers more Ki, he won't be able to defeat Freeza. That must be what Goku's thinking.\F- Father, hurry! Hurry! response:	Planets of the universe, lend me your Genki!
context: This one's about fifty meters in diameter!\No matter what he's done, he couldn't have made that large a Genki Dama with just the energy of this planet.\Goku must be gathering Ki from planets all over the place!\Freeza still doesn't seem to have realized it.\Why doesn't he attack with that ball right now?\Unless he gathers more Ki, he won't be able to defeat Freeza. That must be what Goku's thinking.\F- Father, hurry! Hurry!\Planets of the universe, lend me your Genki! response:	What's wrong? You're planning to do something, aren't you? So do it!
context: No matter what he's done, he couldn't have made that large a Genki Dama with just the energy of this planet.\Goku must be gathering Ki from planets all over the place!\Freeza still doesn't seem to have realized it.\Why doesn't he attack with that ball right now?\Unless he gathers more Ki, he won't be able to defeat Freeza. That must be what Goku's thinking.\F- Father, hurry! Hurry!\Planets of the universe, lend me your Genki!\What's wrong? You're planning to do something, aren't you? So do it! response:	That is unless, are you supposed to be raising your hands in surrender?
context: Goku must be gathering Ki from planets all over the place!\Freeza still doesn't seem to have realized it.\Why doesn't he attack with that ball right now?\Unless he gathers more Ki, he won't be able to defeat Freeza. That must be what Goku's thinking.\F- Father, hurry! Hurry!\Planets of the universe, lend me your Genki!\What's wrong? You're planning to do something, aren't you? So do it!\That is unless, are you supposed to be raising your hands in surrender? response:	All the time it takes to gather the Ki required is this technique's greatest weak spot!
context: Freeza still doesn't seem to have realized it.\Why doesn't he attack with that ball right now?\Unless he gathers more Ki, he won't be able to defeat Freeza. That must be what Goku's thinking.\F- Father, hurry! Hurry!\Planets of the universe, lend me your Genki!\What's wrong? You're planning to do something, aren't you? So do it!\That is unless, are you supposed to be raising your hands in surrender?\All the time it takes to gather the Ki required is this technique's greatest weak spot! response:	Don't let him find out about this for a little while more, please!
context: Why doesn't he attack with that ball right now?\Unless he gathers more Ki, he won't be able to defeat Freeza. That must be what Goku's thinking.\F- Father, hurry! Hurry!\Planets of the universe, lend me your Genki!\What's wrong? You're planning to do something, aren't you? So do it!\That is unless, are you supposed to be raising your hands in surrender?\All the time it takes to gather the Ki required is this technique's greatest weak spot!\Don't let him find out about this for a little while more, please! response:	ReaCoom!
context: Unless he gathers more Ki, he won't be able to defeat Freeza. That must be what Goku's thinking.\F- Father, hurry! Hurry!\Planets of the universe, lend me your Genki!\What's wrong? You're planning to do something, aren't you? So do it!\That is unless, are you supposed to be raising your hands in surrender?\All the time it takes to gather the Ki required is this technique's greatest weak spot!\Don't let him find out about this for a little while more, please!\ReaCoom! response:	Butta!
context: F- Father, hurry! Hurry!\Planets of the universe, lend me your Genki!\What's wrong? You're planning to do something, aren't you? So do it!\That is unless, are you supposed to be raising your hands in surrender?\All the time it takes to gather the Ki required is this technique's greatest weak spot!\Don't let him find out about this for a little while more, please!\ReaCoom!\Butta! response:	Jheese!
context: Planets of the universe, lend me your Genki!\What's wrong? You're planning to do something, aren't you? So do it!\That is unless, are you supposed to be raising your hands in surrender?\All the time it takes to gather the Ki required is this technique's greatest weak spot!\Don't let him find out about this for a little while more, please!\ReaCoom!\Butta!\Jheese! response:	Ghurd!
context: What's wrong? You're planning to do something, aren't you? So do it!\That is unless, are you supposed to be raising your hands in surrender?\All the time it takes to gather the Ki required is this technique's greatest weak spot!\Don't let him find out about this for a little while more, please!\ReaCoom!\Butta!\Jheese!\Ghurd! response:	Together we are...
context: That is unless, are you supposed to be raising your hands in surrender?\All the time it takes to gather the Ki required is this technique's greatest weak spot!\Don't let him find out about this for a little while more, please!\ReaCoom!\Butta!\Jheese!\Ghurd!\Together we are... response:	The Ginyu Special Corps!
context: All the time it takes to gather the Ki required is this technique's greatest weak spot!\Don't let him find out about this for a little while more, please!\ReaCoom!\Butta!\Jheese!\Ghurd!\Together we are...\The Ginyu Special Corps! response:	That's it! That's it!
