context: Stop! response:	Don't hurt Saizo any more!
context: Stop!\Don't hurt Saizo any more! response:	Well, this is interesting.
context: Stop!\Don't hurt Saizo any more!\Well, this is interesting. response:	Does your sadness awaken the power of the Kushimitama?
context: Stop!\Don't hurt Saizo any more!\Well, this is interesting.\Does your sadness awaken the power of the Kushimitama? response:	Shunko!
context: Stop!\Don't hurt Saizo any more!\Well, this is interesting.\Does your sadness awaken the power of the Kushimitama?\Shunko! response:	Kasho Zanmai!
context: Stop!\Don't hurt Saizo any more!\Well, this is interesting.\Does your sadness awaken the power of the Kushimitama?\Shunko!\Kasho Zanmai! response:	No!
context: Stop!\Don't hurt Saizo any more!\Well, this is interesting.\Does your sadness awaken the power of the Kushimitama?\Shunko!\Kasho Zanmai!\No! response:	If he had never met you,
context: Stop!\Don't hurt Saizo any more!\Well, this is interesting.\Does your sadness awaken the power of the Kushimitama?\Shunko!\Kasho Zanmai!\No!\If he had never met you, response:	never had anything to do with you,
context: Don't hurt Saizo any more!\Well, this is interesting.\Does your sadness awaken the power of the Kushimitama?\Shunko!\Kasho Zanmai!\No!\If he had never met you,\never had anything to do with you, response:	this never would have happened to Saizo.
context: Well, this is interesting.\Does your sadness awaken the power of the Kushimitama?\Shunko!\Kasho Zanmai!\No!\If he had never met you,\never had anything to do with you,\this never would have happened to Saizo. response:	My...
context: Does your sadness awaken the power of the Kushimitama?\Shunko!\Kasho Zanmai!\No!\If he had never met you,\never had anything to do with you,\this never would have happened to Saizo.\My... response:	Isanami, don't listen to him.
context: Shunko!\Kasho Zanmai!\No!\If he had never met you,\never had anything to do with you,\this never would have happened to Saizo.\My...\Isanami, don't listen to him. response:	All the other braves should have drawn their last breath by now.
context: Kasho Zanmai!\No!\If he had never met you,\never had anything to do with you,\this never would have happened to Saizo.\My...\Isanami, don't listen to him.\All the other braves should have drawn their last breath by now. response:	It's all your fault.
context: No!\If he had never met you,\never had anything to do with you,\this never would have happened to Saizo.\My...\Isanami, don't listen to him.\All the other braves should have drawn their last breath by now.\It's all your fault. response:	Isanami...
context: If he had never met you,\never had anything to do with you,\this never would have happened to Saizo.\My...\Isanami, don't listen to him.\All the other braves should have drawn their last breath by now.\It's all your fault.\Isanami... response:	The Wail of Darkness
context: never had anything to do with you,\this never would have happened to Saizo.\My...\Isanami, don't listen to him.\All the other braves should have drawn their last breath by now.\It's all your fault.\Isanami...\The Wail of Darkness response:	Bored, bored, bored!
context: this never would have happened to Saizo.\My...\Isanami, don't listen to him.\All the other braves should have drawn their last breath by now.\It's all your fault.\Isanami...\The Wail of Darkness\Bored, bored, bored! response:	Everyone's so serious about what's going on with Isanami.
context: My...\Isanami, don't listen to him.\All the other braves should have drawn their last breath by now.\It's all your fault.\Isanami...\The Wail of Darkness\Bored, bored, bored!\Everyone's so serious about what's going on with Isanami. response:	Don't worry. Saizo is with her.
context: Isanami, don't listen to him.\All the other braves should have drawn their last breath by now.\It's all your fault.\Isanami...\The Wail of Darkness\Bored, bored, bored!\Everyone's so serious about what's going on with Isanami.\Don't worry. Saizo is with her. response:	I wanna fight Saizo!
