context: Good morning. This is Morioh Radio, response:	brought to you again today by your neighbor, Kai Harada.
context: Good morning. This is Morioh Radio,\brought to you again today by your neighbor, Kai Harada. response:	Our first song of the morning is this...
context: Good morning. This is Morioh Radio,\brought to you again today by your neighbor, Kai Harada.\Our first song of the morning is this... response:	All right, let's eat.
context: Good morning. This is Morioh Radio,\brought to you again today by your neighbor, Kai Harada.\Our first song of the morning is this...\All right, let's eat. response:	Oh, yes. I have a present for you.
context: Good morning. This is Morioh Radio,\brought to you again today by your neighbor, Kai Harada.\Our first song of the morning is this...\All right, let's eat.\Oh, yes. I have a present for you. response:	JoJo's Bizarre Adventure
context: Good morning. This is Morioh Radio,\brought to you again today by your neighbor, Kai Harada.\Our first song of the morning is this...\All right, let's eat.\Oh, yes. I have a present for you.\JoJo's Bizarre Adventure response:	Diamond is Unbreakable
context: Good morning. This is Morioh Radio,\brought to you again today by your neighbor, Kai Harada.\Our first song of the morning is this...\All right, let's eat.\Oh, yes. I have a present for you.\JoJo's Bizarre Adventure\Diamond is Unbreakable response:	Jojo's Bizarre Adventure
context: Good morning. This is Morioh Radio,\brought to you again today by your neighbor, Kai Harada.\Our first song of the morning is this...\All right, let's eat.\Oh, yes. I have a present for you.\JoJo's Bizarre Adventure\Diamond is Unbreakable\Jojo's Bizarre Adventure response:	Diamond is Unbreakable
context: brought to you again today by your neighbor, Kai Harada.\Our first song of the morning is this...\All right, let's eat.\Oh, yes. I have a present for you.\JoJo's Bizarre Adventure\Diamond is Unbreakable\Jojo's Bizarre Adventure\Diamond is Unbreakable response:	Episode 21 Yoshikage Kira Just Wants to Live Quietly, Part 1
context: Our first song of the morning is this...\All right, let's eat.\Oh, yes. I have a present for you.\JoJo's Bizarre Adventure\Diamond is Unbreakable\Jojo's Bizarre Adventure\Diamond is Unbreakable\Episode 21 Yoshikage Kira Just Wants to Live Quietly, Part 1 response:	Mr. Kira... Um, Mr. Kira?
context: All right, let's eat.\Oh, yes. I have a present for you.\JoJo's Bizarre Adventure\Diamond is Unbreakable\Jojo's Bizarre Adventure\Diamond is Unbreakable\Episode 21 Yoshikage Kira Just Wants to Live Quietly, Part 1\Mr. Kira... Um, Mr. Kira? response:	Mr. Kira, if you're not busy, would you like to have lunch with us?
context: Oh, yes. I have a present for you.\JoJo's Bizarre Adventure\Diamond is Unbreakable\Jojo's Bizarre Adventure\Diamond is Unbreakable\Episode 21 Yoshikage Kira Just Wants to Live Quietly, Part 1\Mr. Kira... Um, Mr. Kira?\Mr. Kira, if you're not busy, would you like to have lunch with us? response:	Sorry, but I'll have to pass.
context: JoJo's Bizarre Adventure\Diamond is Unbreakable\Jojo's Bizarre Adventure\Diamond is Unbreakable\Episode 21 Yoshikage Kira Just Wants to Live Quietly, Part 1\Mr. Kira... Um, Mr. Kira?\Mr. Kira, if you're not busy, would you like to have lunch with us?\Sorry, but I'll have to pass. response:	I need to go deliver these documents.
context: Diamond is Unbreakable\Jojo's Bizarre Adventure\Diamond is Unbreakable\Episode 21 Yoshikage Kira Just Wants to Live Quietly, Part 1\Mr. Kira... Um, Mr. Kira?\Mr. Kira, if you're not busy, would you like to have lunch with us?\Sorry, but I'll have to pass.\I need to go deliver these documents. response:	Goodbye.
context: Jojo's Bizarre Adventure\Diamond is Unbreakable\Episode 21 Yoshikage Kira Just Wants to Live Quietly, Part 1\Mr. Kira... Um, Mr. Kira?\Mr. Kira, if you're not busy, would you like to have lunch with us?\Sorry, but I'll have to pass.\I need to go deliver these documents.\Goodbye. response:	Give it up!
context: Diamond is Unbreakable\Episode 21 Yoshikage Kira Just Wants to Live Quietly, Part 1\Mr. Kira... Um, Mr. Kira?\Mr. Kira, if you're not busy, would you like to have lunch with us?\Sorry, but I'll have to pass.\I need to go deliver these documents.\Goodbye.\Give it up! response:	He never wants to hang out.
context: Episode 21 Yoshikage Kira Just Wants to Live Quietly, Part 1\Mr. Kira... Um, Mr. Kira?\Mr. Kira, if you're not busy, would you like to have lunch with us?\Sorry, but I'll have to pass.\I need to go deliver these documents.\Goodbye.\Give it up!\He never wants to hang out. response:	Whenever we invite him out somewhere,
context: Mr. Kira... Um, Mr. Kira?\Mr. Kira, if you're not busy, would you like to have lunch with us?\Sorry, but I'll have to pass.\I need to go deliver these documents.\Goodbye.\Give it up!\He never wants to hang out.\Whenever we invite him out somewhere, response:	I can't tell if he's really having fun or not.
context: Mr. Kira, if you're not busy, would you like to have lunch with us?\Sorry, but I'll have to pass.\I need to go deliver these documents.\Goodbye.\Give it up!\He never wants to hang out.\Whenever we invite him out somewhere,\I can't tell if he's really having fun or not. response:	Yoshikage Kira, age 33, single.
