context: There are likely no Titans among the 104th Cadet Corps recruits! response:	Multiple Titans from the south!
context: There are likely no Titans among the 104th Cadet Corps recruits!\Multiple Titans from the south! response:	Wall Rose has been breached!
context: There are likely no Titans among the 104th Cadet Corps recruits!\Multiple Titans from the south!\Wall Rose has been breached! response:	The 104th Cadet Corps were kept isolated under suspicion of Titans within their ranks.
context: There are likely no Titans among the 104th Cadet Corps recruits!\Multiple Titans from the south!\Wall Rose has been breached!\The 104th Cadet Corps were kept isolated under suspicion of Titans within their ranks. response:	But with the sudden appearance of Titans, couriers were dispatched to warn each district.
context: There are likely no Titans among the 104th Cadet Corps recruits!\Multiple Titans from the south!\Wall Rose has been breached!\The 104th Cadet Corps were kept isolated under suspicion of Titans within their ranks.\But with the sudden appearance of Titans, couriers were dispatched to warn each district. response:	As you may know,
context: There are likely no Titans among the 104th Cadet Corps recruits!\Multiple Titans from the south!\Wall Rose has been breached!\The 104th Cadet Corps were kept isolated under suspicion of Titans within their ranks.\But with the sudden appearance of Titans, couriers were dispatched to warn each district.\As you may know, response:	today marks the new darkest day in humanity's history!
context: There are likely no Titans among the 104th Cadet Corps recruits!\Multiple Titans from the south!\Wall Rose has been breached!\The 104th Cadet Corps were kept isolated under suspicion of Titans within their ranks.\But with the sudden appearance of Titans, couriers were dispatched to warn each district.\As you may know,\today marks the new darkest day in humanity's history! response:	If ever humankind needed to give its all, that time is now!
context: There are likely no Titans among the 104th Cadet Corps recruits!\Multiple Titans from the south!\Wall Rose has been breached!\The 104th Cadet Corps were kept isolated under suspicion of Titans within their ranks.\But with the sudden appearance of Titans, couriers were dispatched to warn each district.\As you may know,\today marks the new darkest day in humanity's history!\If ever humankind needed to give its all, that time is now! response:	However...
context: Multiple Titans from the south!\Wall Rose has been breached!\The 104th Cadet Corps were kept isolated under suspicion of Titans within their ranks.\But with the sudden appearance of Titans, couriers were dispatched to warn each district.\As you may know,\today marks the new darkest day in humanity's history!\If ever humankind needed to give its all, that time is now!\However... response:	What?!
context: Wall Rose has been breached!\The 104th Cadet Corps were kept isolated under suspicion of Titans within their ranks.\But with the sudden appearance of Titans, couriers were dispatched to warn each district.\As you may know,\today marks the new darkest day in humanity's history!\If ever humankind needed to give its all, that time is now!\However...\What?! response:	They all started sprinting!
context: The 104th Cadet Corps were kept isolated under suspicion of Titans within their ranks.\But with the sudden appearance of Titans, couriers were dispatched to warn each district.\As you may know,\today marks the new darkest day in humanity's history!\If ever humankind needed to give its all, that time is now!\However...\What?!\They all started sprinting! response:	The cause of this crisis remains in the dark.
context: But with the sudden appearance of Titans, couriers were dispatched to warn each district.\As you may know,\today marks the new darkest day in humanity's history!\If ever humankind needed to give its all, that time is now!\However...\What?!\They all started sprinting!\The cause of this crisis remains in the dark. response:	For now, no one yet knows.
context: As you may know,\today marks the new darkest day in humanity's history!\If ever humankind needed to give its all, that time is now!\However...\What?!\They all started sprinting!\The cause of this crisis remains in the dark.\For now, no one yet knows. response:	I must say, what a clever idea.
