context: Though my true power has been unleashed, response:	you are still able to keep up.
context: Though my true power has been unleashed,\you are still able to keep up. response:	Yeah.
context: Though my true power has been unleashed,\you are still able to keep up.\Yeah. response:	You're pretty strong, too.
context: Though my true power has been unleashed,\you are still able to keep up.\Yeah.\You're pretty strong, too. response:	Putting City A back together might be impossible.
context: Though my true power has been unleashed,\you are still able to keep up.\Yeah.\You're pretty strong, too.\Putting City A back together might be impossible. response:	Well, right now I should be focusing on the battle.
context: Though my true power has been unleashed,\you are still able to keep up.\Yeah.\You're pretty strong, too.\Putting City A back together might be impossible.\Well, right now I should be focusing on the battle. response:	She may be rank 2 or whatever,
context: Though my true power has been unleashed,\you are still able to keep up.\Yeah.\You're pretty strong, too.\Putting City A back together might be impossible.\Well, right now I should be focusing on the battle.\She may be rank 2 or whatever, response:	but I can't leave it to one little girl.
context: Though my true power has been unleashed,\you are still able to keep up.\Yeah.\You're pretty strong, too.\Putting City A back together might be impossible.\Well, right now I should be focusing on the battle.\She may be rank 2 or whatever,\but I can't leave it to one little girl. response:	I got my own ways of fighting enemies in the air.
context: you are still able to keep up.\Yeah.\You're pretty strong, too.\Putting City A back together might be impossible.\Well, right now I should be focusing on the battle.\She may be rank 2 or whatever,\but I can't leave it to one little girl.\I got my own ways of fighting enemies in the air. response:	Like this!
context: Yeah.\You're pretty strong, too.\Putting City A back together might be impossible.\Well, right now I should be focusing on the battle.\She may be rank 2 or whatever,\but I can't leave it to one little girl.\I got my own ways of fighting enemies in the air.\Like this! response:	Hey!
context: You're pretty strong, too.\Putting City A back together might be impossible.\Well, right now I should be focusing on the battle.\She may be rank 2 or whatever,\but I can't leave it to one little girl.\I got my own ways of fighting enemies in the air.\Like this!\Hey! response:	What do you think you're doing?
context: Putting City A back together might be impossible.\Well, right now I should be focusing on the battle.\She may be rank 2 or whatever,\but I can't leave it to one little girl.\I got my own ways of fighting enemies in the air.\Like this!\Hey!\What do you think you're doing? response:	This area's got some nice rubble.
context: Well, right now I should be focusing on the battle.\She may be rank 2 or whatever,\but I can't leave it to one little girl.\I got my own ways of fighting enemies in the air.\Like this!\Hey!\What do you think you're doing?\This area's got some nice rubble. response:	Hurry up and get out of my way.
context: She may be rank 2 or whatever,\but I can't leave it to one little girl.\I got my own ways of fighting enemies in the air.\Like this!\Hey!\What do you think you're doing?\This area's got some nice rubble.\Hurry up and get out of my way. response:	She's using her psychic power?!
context: but I can't leave it to one little girl.\I got my own ways of fighting enemies in the air.\Like this!\Hey!\What do you think you're doing?\This area's got some nice rubble.\Hurry up and get out of my way.\She's using her psychic power?! response:	I give up!
context: I got my own ways of fighting enemies in the air.\Like this!\Hey!\What do you think you're doing?\This area's got some nice rubble.\Hurry up and get out of my way.\She's using her psychic power?!\I give up! response:	We're under attack again!
context: Like this!\Hey!\What do you think you're doing?\This area's got some nice rubble.\Hurry up and get out of my way.\She's using her psychic power?!\I give up!\We're under attack again! response:	Return fire!
context: Hey!\What do you think you're doing?\This area's got some nice rubble.\Hurry up and get out of my way.\She's using her psychic power?!\I give up!\We're under attack again!\Return fire! response:	The guns are jacked!
