context: Forth springs Thought! response:	Separate Paths
context: Forth springs Thought!\Separate Paths response:	Next Time
context: Forth springs Thought!\Separate Paths\Next Time response:	Beasts of Love
context: Forth springs Thought!\Separate Paths\Next Time\Beasts of Love response:	kaze ni ubawareta wake janai
context: Forth springs Thought!\Separate Paths\Next Time\Beasts of Love\kaze ni ubawareta wake janai response:	We weren't spirited away on the wind
context: Forth springs Thought!\Separate Paths\Next Time\Beasts of Love\kaze ni ubawareta wake janai\We weren't spirited away on the wind response:	katamichi bun no yuuki de bokura
context: Forth springs Thought!\Separate Paths\Next Time\Beasts of Love\kaze ni ubawareta wake janai\We weren't spirited away on the wind\katamichi bun no yuuki de bokura response:	We knew we could never return, and found the courage
context: Forth springs Thought!\Separate Paths\Next Time\Beasts of Love\kaze ni ubawareta wake janai\We weren't spirited away on the wind\katamichi bun no yuuki de bokura\We knew we could never return, and found the courage response:	higeki wo ukeireru
context: Separate Paths\Next Time\Beasts of Love\kaze ni ubawareta wake janai\We weren't spirited away on the wind\katamichi bun no yuuki de bokura\We knew we could never return, and found the courage\higeki wo ukeireru response:	to accept the hardship
context: Next Time\Beasts of Love\kaze ni ubawareta wake janai\We weren't spirited away on the wind\katamichi bun no yuuki de bokura\We knew we could never return, and found the courage\higeki wo ukeireru\to accept the hardship response:	kokoro ga koko ni atta hazu no kuudou
context: Beasts of Love\kaze ni ubawareta wake janai\We weren't spirited away on the wind\katamichi bun no yuuki de bokura\We knew we could never return, and found the courage\higeki wo ukeireru\to accept the hardship\kokoro ga koko ni atta hazu no kuudou response:	There's an emptiness where my heart used to be
context: kaze ni ubawareta wake janai\We weren't spirited away on the wind\katamichi bun no yuuki de bokura\We knew we could never return, and found the courage\higeki wo ukeireru\to accept the hardship\kokoro ga koko ni atta hazu no kuudou\There's an emptiness where my heart used to be response:	motto boku ga ookikereba
context: We weren't spirited away on the wind\katamichi bun no yuuki de bokura\We knew we could never return, and found the courage\higeki wo ukeireru\to accept the hardship\kokoro ga koko ni atta hazu no kuudou\There's an emptiness where my heart used to be\motto boku ga ookikereba response:	If only I was stronger
context: katamichi bun no yuuki de bokura\We knew we could never return, and found the courage\higeki wo ukeireru\to accept the hardship\kokoro ga koko ni atta hazu no kuudou\There's an emptiness where my heart used to be\motto boku ga ookikereba\If only I was stronger response:	kimi wo mirai wo sukueta darou ka
context: We knew we could never return, and found the courage\higeki wo ukeireru\to accept the hardship\kokoro ga koko ni atta hazu no kuudou\There's an emptiness where my heart used to be\motto boku ga ookikereba\If only I was stronger\kimi wo mirai wo sukueta darou ka response:	I could have saved you, and our future...
context: higeki wo ukeireru\to accept the hardship\kokoro ga koko ni atta hazu no kuudou\There's an emptiness where my heart used to be\motto boku ga ookikereba\If only I was stronger\kimi wo mirai wo sukueta darou ka\I could have saved you, and our future... response:	taisetsu na hito wo mamoru sube ga tatta hitotsu shika motanai
context: to accept the hardship\kokoro ga koko ni atta hazu no kuudou\There's an emptiness where my heart used to be\motto boku ga ookikereba\If only I was stronger\kimi wo mirai wo sukueta darou ka\I could have saved you, and our future...\taisetsu na hito wo mamoru sube ga tatta hitotsu shika motanai response:	I only know of one way to keep the people I love
context: kokoro ga koko ni atta hazu no kuudou\There's an emptiness where my heart used to be\motto boku ga ookikereba\If only I was stronger\kimi wo mirai wo sukueta darou ka\I could have saved you, and our future...\taisetsu na hito wo mamoru sube ga tatta hitotsu shika motanai\I only know of one way to keep the people I love response:	sonna anata ga haguretadayou sora
context: There's an emptiness where my heart used to be\motto boku ga ookikereba\If only I was stronger\kimi wo mirai wo sukueta darou ka\I could have saved you, and our future...\taisetsu na hito wo mamoru sube ga tatta hitotsu shika motanai\I only know of one way to keep the people I love\sonna anata ga haguretadayou sora response:	And you left me and disappeared into the sky
