context: 29th Suimei University of the Arts High School Graduation Ceremony response:	Yeah, everything's fine here.
context: 29th Suimei University of the Arts High School Graduation Ceremony\Yeah, everything's fine here. response:	We're waiting for you, Sorata.
context: 29th Suimei University of the Arts High School Graduation Ceremony\Yeah, everything's fine here.\We're waiting for you, Sorata. response:	Jin!
context: 29th Suimei University of the Arts High School Graduation Ceremony\Yeah, everything's fine here.\We're waiting for you, Sorata.\Jin! response:	How did yours go?
context: 29th Suimei University of the Arts High School Graduation Ceremony\Yeah, everything's fine here.\We're waiting for you, Sorata.\Jin!\How did yours go? response:	Perfectly!
context: 29th Suimei University of the Arts High School Graduation Ceremony\Yeah, everything's fine here.\We're waiting for you, Sorata.\Jin!\How did yours go?\Perfectly! response:	It's our last time wearing our uniforms...
context: 29th Suimei University of the Arts High School Graduation Ceremony\Yeah, everything's fine here.\We're waiting for you, Sorata.\Jin!\How did yours go?\Perfectly!\It's our last time wearing our uniforms... response:	Are you getting horny?
context: 29th Suimei University of the Arts High School Graduation Ceremony\Yeah, everything's fine here.\We're waiting for you, Sorata.\Jin!\How did yours go?\Perfectly!\It's our last time wearing our uniforms...\Are you getting horny? response:	Well? Do you want to cop a feel one last time?
context: Yeah, everything's fine here.\We're waiting for you, Sorata.\Jin!\How did yours go?\Perfectly!\It's our last time wearing our uniforms...\Are you getting horny?\Well? Do you want to cop a feel one last time? response:	What?
context: We're waiting for you, Sorata.\Jin!\How did yours go?\Perfectly!\It's our last time wearing our uniforms...\Are you getting horny?\Well? Do you want to cop a feel one last time?\What? response:	You're right. After all, it's good luck.
context: Jin!\How did yours go?\Perfectly!\It's our last time wearing our uniforms...\Are you getting horny?\Well? Do you want to cop a feel one last time?\What?\You're right. After all, it's good luck. response:	Wait, Jin!
context: How did yours go?\Perfectly!\It's our last time wearing our uniforms...\Are you getting horny?\Well? Do you want to cop a feel one last time?\What?\You're right. After all, it's good luck.\Wait, Jin! response:	You're supposed to say no!
context: Perfectly!\It's our last time wearing our uniforms...\Are you getting horny?\Well? Do you want to cop a feel one last time?\What?\You're right. After all, it's good luck.\Wait, Jin!\You're supposed to say no! response:	Really? I didn't realize you couldn't handle boldness.
context: It's our last time wearing our uniforms...\Are you getting horny?\Well? Do you want to cop a feel one last time?\What?\You're right. After all, it's good luck.\Wait, Jin!\You're supposed to say no!\Really? I didn't realize you couldn't handle boldness. response:	I don't mind later, but...
context: Are you getting horny?\Well? Do you want to cop a feel one last time?\What?\You're right. After all, it's good luck.\Wait, Jin!\You're supposed to say no!\Really? I didn't realize you couldn't handle boldness.\I don't mind later, but... response:	Please take one!
context: Well? Do you want to cop a feel one last time?\What?\You're right. After all, it's good luck.\Wait, Jin!\You're supposed to say no!\Really? I didn't realize you couldn't handle boldness.\I don't mind later, but...\Please take one! response:	What are those?
context: What?\You're right. After all, it's good luck.\Wait, Jin!\You're supposed to say no!\Really? I didn't realize you couldn't handle boldness.\I don't mind later, but...\Please take one!\What are those? response:	Take this.
context: You're right. After all, it's good luck.\Wait, Jin!\You're supposed to say no!\Really? I didn't realize you couldn't handle boldness.\I don't mind later, but...\Please take one!\What are those?\Take this. response:	Please take one.
context: Wait, Jin!\You're supposed to say no!\Really? I didn't realize you couldn't handle boldness.\I don't mind later, but...\Please take one!\What are those?\Take this.\Please take one. response:	Pin it on your chest.
context: You're supposed to say no!\Really? I didn't realize you couldn't handle boldness.\I don't mind later, but...\Please take one!\What are those?\Take this.\Please take one.\Pin it on your chest. response:	It's so cute.
context: Really? I didn't realize you couldn't handle boldness.\I don't mind later, but...\Please take one!\What are those?\Take this.\Please take one.\Pin it on your chest.\It's so cute. response:	What are these things?
context: I don't mind later, but...\Please take one!\What are those?\Take this.\Please take one.\Pin it on your chest.\It's so cute.\What are these things? response:	Good morning.
context: Please take one!\What are those?\Take this.\Please take one.\Pin it on your chest.\It's so cute.\What are these things?\Good morning. response:	Senpai, you too.
context: What are those?\Take this.\Please take one.\Pin it on your chest.\It's so cute.\What are these things?\Good morning.\Senpai, you too. response:	Take one.
context: Take this.\Please take one.\Pin it on your chest.\It's so cute.\What are these things?\Good morning.\Senpai, you too.\Take one. response:	Cherry blossoms?
context: Please take one.\Pin it on your chest.\It's so cute.\What are these things?\Good morning.\Senpai, you too.\Take one.\Cherry blossoms? response:	What are they? Brooches?
context: Pin it on your chest.\It's so cute.\What are these things?\Good morning.\Senpai, you too.\Take one.\Cherry blossoms?\What are they? Brooches? response:	What? You mean you don't know?
context: It's so cute.\What are these things?\Good morning.\Senpai, you too.\Take one.\Cherry blossoms?\What are they? Brooches?\What? You mean you don't know? response:	I heard it was Sakura Hall's idea...
context: What are these things?\Good morning.\Senpai, you too.\Take one.\Cherry blossoms?\What are they? Brooches?\What? You mean you don't know?\I heard it was Sakura Hall's idea... response:	Sakura Hall's?
context: Good morning.\Senpai, you too.\Take one.\Cherry blossoms?\What are they? Brooches?\What? You mean you don't know?\I heard it was Sakura Hall's idea...\Sakura Hall's? response:	Stop!
context: Senpai, you too.\Take one.\Cherry blossoms?\What are they? Brooches?\What? You mean you don't know?\I heard it was Sakura Hall's idea...\Sakura Hall's?\Stop! response:	No matter the hurry you're in, you have to stop at red lights!
context: Take one.\Cherry blossoms?\What are they? Brooches?\What? You mean you don't know?\I heard it was Sakura Hall's idea...\Sakura Hall's?\Stop!\No matter the hurry you're in, you have to stop at red lights! response:	Even now?!
context: Cherry blossoms?\What are they? Brooches?\What? You mean you don't know?\I heard it was Sakura Hall's idea...\Sakura Hall's?\Stop!\No matter the hurry you're in, you have to stop at red lights!\Even now?! response:	Since we have a spare minute, I made these for everyone...
context: What are they? Brooches?\What? You mean you don't know?\I heard it was Sakura Hall's idea...\Sakura Hall's?\Stop!\No matter the hurry you're in, you have to stop at red lights!\Even now?!\Since we have a spare minute, I made these for everyone... response:	Cute.
context: What? You mean you don't know?\I heard it was Sakura Hall's idea...\Sakura Hall's?\Stop!\No matter the hurry you're in, you have to stop at red lights!\Even now?!\Since we have a spare minute, I made these for everyone...\Cute. response:	Rita, what are they?
context: I heard it was Sakura Hall's idea...\Sakura Hall's?\Stop!\No matter the hurry you're in, you have to stop at red lights!\Even now?!\Since we have a spare minute, I made these for everyone...\Cute.\Rita, what are they? response:	I heard that cherry blossoms are important...
context: Sakura Hall's?\Stop!\No matter the hurry you're in, you have to stop at red lights!\Even now?!\Since we have a spare minute, I made these for everyone...\Cute.\Rita, what are they?\I heard that cherry blossoms are important... response:	to the Japanese at departures.
context: Stop!\No matter the hurry you're in, you have to stop at red lights!\Even now?!\Since we have a spare minute, I made these for everyone...\Cute.\Rita, what are they?\I heard that cherry blossoms are important...\to the Japanese at departures. response:	So I thought it'd be nice if all the students of Suimei...
context: No matter the hurry you're in, you have to stop at red lights!\Even now?!\Since we have a spare minute, I made these for everyone...\Cute.\Rita, what are they?\I heard that cherry blossoms are important...\to the Japanese at departures.\So I thought it'd be nice if all the students of Suimei... response:	could wear the same flowers...
context: Even now?!\Since we have a spare minute, I made these for everyone...\Cute.\Rita, what are they?\I heard that cherry blossoms are important...\to the Japanese at departures.\So I thought it'd be nice if all the students of Suimei...\could wear the same flowers... response:	on their chests for the graduation ceremony.
context: Since we have a spare minute, I made these for everyone...\Cute.\Rita, what are they?\I heard that cherry blossoms are important...\to the Japanese at departures.\So I thought it'd be nice if all the students of Suimei...\could wear the same flowers...\on their chests for the graduation ceremony. response:	What?
context: Cute.\Rita, what are they?\I heard that cherry blossoms are important...\to the Japanese at departures.\So I thought it'd be nice if all the students of Suimei...\could wear the same flowers...\on their chests for the graduation ceremony.\What? response:	There's enough for every student?!
context: Rita, what are they?\I heard that cherry blossoms are important...\to the Japanese at departures.\So I thought it'd be nice if all the students of Suimei...\could wear the same flowers...\on their chests for the graduation ceremony.\What?\There's enough for every student?! response:	Yes, it was Ryunosuke's idea
context: I heard that cherry blossoms are important...\to the Japanese at departures.\So I thought it'd be nice if all the students of Suimei...\could wear the same flowers...\on their chests for the graduation ceremony.\What?\There's enough for every student?!\Yes, it was Ryunosuke's idea response:	At the former freeloader's request,
context: to the Japanese at departures.\So I thought it'd be nice if all the students of Suimei...\could wear the same flowers...\on their chests for the graduation ceremony.\What?\There's enough for every student?!\Yes, it was Ryunosuke's idea\At the former freeloader's request, response:	I had the Student Council make the necessary arrangements.
context: So I thought it'd be nice if all the students of Suimei...\could wear the same flowers...\on their chests for the graduation ceremony.\What?\There's enough for every student?!\Yes, it was Ryunosuke's idea\At the former freeloader's request,\I had the Student Council make the necessary arrangements. response:	They should have already been distributed.
context: could wear the same flowers...\on their chests for the graduation ceremony.\What?\There's enough for every student?!\Yes, it was Ryunosuke's idea\At the former freeloader's request,\I had the Student Council make the necessary arrangements.\They should have already been distributed. response:	That's amazing. Thanks, both of you!
context: on their chests for the graduation ceremony.\What?\There's enough for every student?!\Yes, it was Ryunosuke's idea\At the former freeloader's request,\I had the Student Council make the necessary arrangements.\They should have already been distributed.\That's amazing. Thanks, both of you! response:	Everyone's going to be wearing cherry blossoms, huh?
