context: I am bored to death. response:	I've had it. This is still only the seventh day, too.
context: I am bored to death.\I've had it. This is still only the seventh day, too. response:	We've still got twenty-some days to go. I should have installed hibernation devices.
context: I am bored to death.\I've had it. This is still only the seventh day, too.\We've still got twenty-some days to go. I should have installed hibernation devices. response:	Are you guys image training again?
context: I am bored to death.\I've had it. This is still only the seventh day, too.\We've still got twenty-some days to go. I should have installed hibernation devices.\Are you guys image training again? response:	Nice for you to be able to pass the time.
context: I am bored to death.\I've had it. This is still only the seventh day, too.\We've still got twenty-some days to go. I should have installed hibernation devices.\Are you guys image training again?\Nice for you to be able to pass the time. response:	Wow, you're not bad! You sure are strong.
context: I am bored to death.\I've had it. This is still only the seventh day, too.\We've still got twenty-some days to go. I should have installed hibernation devices.\Are you guys image training again?\Nice for you to be able to pass the time.\Wow, you're not bad! You sure are strong. response:	You've inherited Goku's blood, and you've been trained by Piccolo, after all.
context: I am bored to death.\I've had it. This is still only the seventh day, too.\We've still got twenty-some days to go. I should have installed hibernation devices.\Are you guys image training again?\Nice for you to be able to pass the time.\Wow, you're not bad! You sure are strong.\You've inherited Goku's blood, and you've been trained by Piccolo, after all. response:	Still, I was surprised by how many techniques you have, Kuririn.
context: I am bored to death.\I've had it. This is still only the seventh day, too.\We've still got twenty-some days to go. I should have installed hibernation devices.\Are you guys image training again?\Nice for you to be able to pass the time.\Wow, you're not bad! You sure are strong.\You've inherited Goku's blood, and you've been trained by Piccolo, after all.\Still, I was surprised by how many techniques you have, Kuririn. response:	Listen...
context: I've had it. This is still only the seventh day, too.\We've still got twenty-some days to go. I should have installed hibernation devices.\Are you guys image training again?\Nice for you to be able to pass the time.\Wow, you're not bad! You sure are strong.\You've inherited Goku's blood, and you've been trained by Piccolo, after all.\Still, I was surprised by how many techniques you have, Kuririn.\Listen... response:	It's fine for you to train inside your heads,
context: We've still got twenty-some days to go. I should have installed hibernation devices.\Are you guys image training again?\Nice for you to be able to pass the time.\Wow, you're not bad! You sure are strong.\You've inherited Goku's blood, and you've been trained by Piccolo, after all.\Still, I was surprised by how many techniques you have, Kuririn.\Listen...\It's fine for you to train inside your heads, response:	but the room is starting to get pretty messy, so would you tidy it up for us?
context: Are you guys image training again?\Nice for you to be able to pass the time.\Wow, you're not bad! You sure are strong.\You've inherited Goku's blood, and you've been trained by Piccolo, after all.\Still, I was surprised by how many techniques you have, Kuririn.\Listen...\It's fine for you to train inside your heads,\but the room is starting to get pretty messy, so would you tidy it up for us? response:	There's a lady present.
