context: We've come to this island to execute a certain mission. response:	Y-Yes... It is to capture the legendary Black Wizard, Zeref.
context: We've come to this island to execute a certain mission.\Y-Yes... It is to capture the legendary Black Wizard, Zeref. response:	And something else... I forget.
context: We've come to this island to execute a certain mission.\Y-Yes... It is to capture the legendary Black Wizard, Zeref.\And something else... I forget. response:	And, um... Why am I on my own?
context: We've come to this island to execute a certain mission.\Y-Yes... It is to capture the legendary Black Wizard, Zeref.\And something else... I forget.\And, um... Why am I on my own? response:	Where did everyone go?
context: We've come to this island to execute a certain mission.\Y-Yes... It is to capture the legendary Black Wizard, Zeref.\And something else... I forget.\And, um... Why am I on my own?\Where did everyone go? response:	As is Fairy Tail tradition, I shall count to three before rendering judgment upon you.
context: We've come to this island to execute a certain mission.\Y-Yes... It is to capture the legendary Black Wizard, Zeref.\And something else... I forget.\And, um... Why am I on my own?\Where did everyone go?\As is Fairy Tail tradition, I shall count to three before rendering judgment upon you. response:	The super magic which affects only those whom the caster views as enemies...
context: We've come to this island to execute a certain mission.\Y-Yes... It is to capture the legendary Black Wizard, Zeref.\And something else... I forget.\And, um... Why am I on my own?\Where did everyone go?\As is Fairy Tail tradition, I shall count to three before rendering judgment upon you.\The super magic which affects only those whom the caster views as enemies... response:	One!
context: We've come to this island to execute a certain mission.\Y-Yes... It is to capture the legendary Black Wizard, Zeref.\And something else... I forget.\And, um... Why am I on my own?\Where did everyone go?\As is Fairy Tail tradition, I shall count to three before rendering judgment upon you.\The super magic which affects only those whom the caster views as enemies...\One! response:	Fairy Law, is it?
context: Y-Yes... It is to capture the legendary Black Wizard, Zeref.\And something else... I forget.\And, um... Why am I on my own?\Where did everyone go?\As is Fairy Tail tradition, I shall count to three before rendering judgment upon you.\The super magic which affects only those whom the caster views as enemies...\One!\Fairy Law, is it? response:	Two!
context: And something else... I forget.\And, um... Why am I on my own?\Where did everyone go?\As is Fairy Tail tradition, I shall count to three before rendering judgment upon you.\The super magic which affects only those whom the caster views as enemies...\One!\Fairy Law, is it?\Two! response:	Three!
context: And, um... Why am I on my own?\Where did everyone go?\As is Fairy Tail tradition, I shall count to three before rendering judgment upon you.\The super magic which affects only those whom the caster views as enemies...\One!\Fairy Law, is it?\Two!\Three! response:	That's it!
context: Where did everyone go?\As is Fairy Tail tradition, I shall count to three before rendering judgment upon you.\The super magic which affects only those whom the caster views as enemies...\One!\Fairy Law, is it?\Two!\Three!\That's it! response:	Fairy Law!
context: As is Fairy Tail tradition, I shall count to three before rendering judgment upon you.\The super magic which affects only those whom the caster views as enemies...\One!\Fairy Law, is it?\Two!\Three!\That's it!\Fairy Law! response:	Stop that.
context: The super magic which affects only those whom the caster views as enemies...\One!\Fairy Law, is it?\Two!\Three!\That's it!\Fairy Law!\Stop that. response:	Grimoire Law.
context: One!\Fairy Law, is it?\Two!\Three!\That's it!\Fairy Law!\Stop that.\Grimoire Law. response:	T-T-That's...
context: Fairy Law, is it?\Two!\Three!\That's it!\Fairy Law!\Stop that.\Grimoire Law.\T-T-That's... response:	It can't be...!
context: Two!\Three!\That's it!\Fairy Law!\Stop that.\Grimoire Law.\T-T-That's...\It can't be...! response:	It has been a while, boy.
context: Three!\That's it!\Fairy Law!\Stop that.\Grimoire Law.\T-T-That's...\It can't be...!\It has been a while, boy. response:	Master... Purehito...
context: That's it!\Fairy Law!\Stop that.\Grimoire Law.\T-T-That's...\It can't be...!\It has been a while, boy.\Master... Purehito... response:	God damn those Magic Council bastards!
context: Fairy Law!\Stop that.\Grimoire Law.\T-T-That's...\It can't be...!\It has been a while, boy.\Master... Purehito...\God damn those Magic Council bastards! response:	They are so damn annoying!
context: Stop that.\Grimoire Law.\T-T-That's...\It can't be...!\It has been a while, boy.\Master... Purehito...\God damn those Magic Council bastards!\They are so damn annoying! response:	Calm down!
context: Grimoire Law.\T-T-That's...\It can't be...!\It has been a while, boy.\Master... Purehito...\God damn those Magic Council bastards!\They are so damn annoying!\Calm down! response:	Calm down?! Do I look like I wanna calm down to you, huh?!
context: T-T-That's...\It can't be...!\It has been a while, boy.\Master... Purehito...\God damn those Magic Council bastards!\They are so damn annoying!\Calm down!\Calm down?! Do I look like I wanna calm down to you, huh?! response:	Yeah, but...
context: It can't be...!\It has been a while, boy.\Master... Purehito...\God damn those Magic Council bastards!\They are so damn annoying!\Calm down!\Calm down?! Do I look like I wanna calm down to you, huh?!\Yeah, but... response:	Let it be, boy.
context: It has been a while, boy.\Master... Purehito...\God damn those Magic Council bastards!\They are so damn annoying!\Calm down!\Calm down?! Do I look like I wanna calm down to you, huh?!\Yeah, but...\Let it be, boy. response:	Oh? You back, Master?
context: Master... Purehito...\God damn those Magic Council bastards!\They are so damn annoying!\Calm down!\Calm down?! Do I look like I wanna calm down to you, huh?!\Yeah, but...\Let it be, boy.\Oh? You back, Master? response:	It seems like you have caused quite a mess during your last job, again.
context: God damn those Magic Council bastards!\They are so damn annoying!\Calm down!\Calm down?! Do I look like I wanna calm down to you, huh?!\Yeah, but...\Let it be, boy.\Oh? You back, Master?\It seems like you have caused quite a mess during your last job, again. response:	These wannabe wizard thieves were talking crap about our guild.
context: They are so damn annoying!\Calm down!\Calm down?! Do I look like I wanna calm down to you, huh?!\Yeah, but...\Let it be, boy.\Oh? You back, Master?\It seems like you have caused quite a mess during your last job, again.\These wannabe wizard thieves were talking crap about our guild. response:	Your feelings toward the guild are true.
context: Calm down!\Calm down?! Do I look like I wanna calm down to you, huh?!\Yeah, but...\Let it be, boy.\Oh? You back, Master?\It seems like you have caused quite a mess during your last job, again.\These wannabe wizard thieves were talking crap about our guild.\Your feelings toward the guild are true. response:	But violence begets naught but more violence.
context: Calm down?! Do I look like I wanna calm down to you, huh?!\Yeah, but...\Let it be, boy.\Oh? You back, Master?\It seems like you have caused quite a mess during your last job, again.\These wannabe wizard thieves were talking crap about our guild.\Your feelings toward the guild are true.\But violence begets naught but more violence. response:	I don't get you at all.
context: Yeah, but...\Let it be, boy.\Oh? You back, Master?\It seems like you have caused quite a mess during your last job, again.\These wannabe wizard thieves were talking crap about our guild.\Your feelings toward the guild are true.\But violence begets naught but more violence.\I don't get you at all. response:	A spirit of peace.
context: Let it be, boy.\Oh? You back, Master?\It seems like you have caused quite a mess during your last job, again.\These wannabe wizard thieves were talking crap about our guild.\Your feelings toward the guild are true.\But violence begets naught but more violence.\I don't get you at all.\A spirit of peace. response:	Caring for one another, in harmony.
context: Oh? You back, Master?\It seems like you have caused quite a mess during your last job, again.\These wannabe wizard thieves were talking crap about our guild.\Your feelings toward the guild are true.\But violence begets naught but more violence.\I don't get you at all.\A spirit of peace.\Caring for one another, in harmony. response:	Humans were once a single being, and such is true for magic.
context: It seems like you have caused quite a mess during your last job, again.\These wannabe wizard thieves were talking crap about our guild.\Your feelings toward the guild are true.\But violence begets naught but more violence.\I don't get you at all.\A spirit of peace.\Caring for one another, in harmony.\Humans were once a single being, and such is true for magic. response:	Spirit o' peace, huh?
context: These wannabe wizard thieves were talking crap about our guild.\Your feelings toward the guild are true.\But violence begets naught but more violence.\I don't get you at all.\A spirit of peace.\Caring for one another, in harmony.\Humans were once a single being, and such is true for magic.\Spirit o' peace, huh? response:	Perhaps you are still too young to grasp this subject, boy.
context: Your feelings toward the guild are true.\But violence begets naught but more violence.\I don't get you at all.\A spirit of peace.\Caring for one another, in harmony.\Humans were once a single being, and such is true for magic.\Spirit o' peace, huh?\Perhaps you are still too young to grasp this subject, boy. response:	And hey! Stop callin' me boy!
context: But violence begets naught but more violence.\I don't get you at all.\A spirit of peace.\Caring for one another, in harmony.\Humans were once a single being, and such is true for magic.\Spirit o' peace, huh?\Perhaps you are still too young to grasp this subject, boy.\And hey! Stop callin' me boy! response:	Master... Purehito...
context: I don't get you at all.\A spirit of peace.\Caring for one another, in harmony.\Humans were once a single being, and such is true for magic.\Spirit o' peace, huh?\Perhaps you are still too young to grasp this subject, boy.\And hey! Stop callin' me boy!\Master... Purehito... response:	Why? Why you?
context: A spirit of peace.\Caring for one another, in harmony.\Humans were once a single being, and such is true for magic.\Spirit o' peace, huh?\Perhaps you are still too young to grasp this subject, boy.\And hey! Stop callin' me boy!\Master... Purehito...\Why? Why you? response:	Lost Magic!
context: Caring for one another, in harmony.\Humans were once a single being, and such is true for magic.\Spirit o' peace, huh?\Perhaps you are still too young to grasp this subject, boy.\And hey! Stop callin' me boy!\Master... Purehito...\Why? Why you?\Lost Magic! response:	Why did you form a Dark Guild?
