context: Young Master, why don't you take a break now? response:	I'll be fine.
context: Young Master, why don't you take a break now?\I'll be fine. response:	I'm getting time off later anyway, so I at least have to earn it.
context: Young Master, why don't you take a break now?\I'll be fine.\I'm getting time off later anyway, so I at least have to earn it. response:	What's that you got there?
context: Young Master, why don't you take a break now?\I'll be fine.\I'm getting time off later anyway, so I at least have to earn it.\What's that you got there? response:	Snacks. I'm gonna take these to the guys manning the other stalls.
context: Young Master, why don't you take a break now?\I'll be fine.\I'm getting time off later anyway, so I at least have to earn it.\What's that you got there?\Snacks. I'm gonna take these to the guys manning the other stalls. response:	Young Master... You're too much!
context: Young Master, why don't you take a break now?\I'll be fine.\I'm getting time off later anyway, so I at least have to earn it.\What's that you got there?\Snacks. I'm gonna take these to the guys manning the other stalls.\Young Master... You're too much! response:	What a stand-up fella!
context: Young Master, why don't you take a break now?\I'll be fine.\I'm getting time off later anyway, so I at least have to earn it.\What's that you got there?\Snacks. I'm gonna take these to the guys manning the other stalls.\Young Master... You're too much!\What a stand-up fella! response:	As long as they give me some time off tonight,
context: Young Master, why don't you take a break now?\I'll be fine.\I'm getting time off later anyway, so I at least have to earn it.\What's that you got there?\Snacks. I'm gonna take these to the guys manning the other stalls.\Young Master... You're too much!\What a stand-up fella!\As long as they give me some time off tonight, response:	helping them out is no big deal.
context: I'll be fine.\I'm getting time off later anyway, so I at least have to earn it.\What's that you got there?\Snacks. I'm gonna take these to the guys manning the other stalls.\Young Master... You're too much!\What a stand-up fella!\As long as they give me some time off tonight,\helping them out is no big deal. response:	Tonight I have a mission of the utmost priority that I can't afford to fail!
context: I'm getting time off later anyway, so I at least have to earn it.\What's that you got there?\Snacks. I'm gonna take these to the guys manning the other stalls.\Young Master... You're too much!\What a stand-up fella!\As long as they give me some time off tonight,\helping them out is no big deal.\Tonight I have a mission of the utmost priority that I can't afford to fail! response:	Specifically!
context: What's that you got there?\Snacks. I'm gonna take these to the guys manning the other stalls.\Young Master... You're too much!\What a stand-up fella!\As long as they give me some time off tonight,\helping them out is no big deal.\Tonight I have a mission of the utmost priority that I can't afford to fail!\Specifically! response:	Romantic Relationship
context: Snacks. I'm gonna take these to the guys manning the other stalls.\Young Master... You're too much!\What a stand-up fella!\As long as they give me some time off tonight,\helping them out is no big deal.\Tonight I have a mission of the utmost priority that I can't afford to fail!\Specifically!\Romantic Relationship response:	Romantic Relationship
context: Young Master... You're too much!\What a stand-up fella!\As long as they give me some time off tonight,\helping them out is no big deal.\Tonight I have a mission of the utmost priority that I can't afford to fail!\Specifically!\Romantic Relationship\Romantic Relationship response:	Romantic Relationship
context: What a stand-up fella!\As long as they give me some time off tonight,\helping them out is no big deal.\Tonight I have a mission of the utmost priority that I can't afford to fail!\Specifically!\Romantic Relationship\Romantic Relationship\Romantic Relationship response:	Romantic Relationship
context: As long as they give me some time off tonight,\helping them out is no big deal.\Tonight I have a mission of the utmost priority that I can't afford to fail!\Specifically!\Romantic Relationship\Romantic Relationship\Romantic Relationship\Romantic Relationship response:	Romantic Relationship
context: helping them out is no big deal.\Tonight I have a mission of the utmost priority that I can't afford to fail!\Specifically!\Romantic Relationship\Romantic Relationship\Romantic Relationship\Romantic Relationship\Romantic Relationship response:	Romantic Relationship
context: Tonight I have a mission of the utmost priority that I can't afford to fail!\Specifically!\Romantic Relationship\Romantic Relationship\Romantic Relationship\Romantic Relationship\Romantic Relationship\Romantic Relationship response:	Romantic Relationship
context: Specifically!\Romantic Relationship\Romantic Relationship\Romantic Relationship\Romantic Relationship\Romantic Relationship\Romantic Relationship\Romantic Relationship response:	Romantic Relationship
context: Romantic Relationship\Romantic Relationship\Romantic Relationship\Romantic Relationship\Romantic Relationship\Romantic Relationship\Romantic Relationship\Romantic Relationship response:	Romantic Relationship
context: Romantic Relationship\Romantic Relationship\Romantic Relationship\Romantic Relationship\Romantic Relationship\Romantic Relationship\Romantic Relationship\Romantic Relationship response:	Romantic Relationship
context: Romantic Relationship\Romantic Relationship\Romantic Relationship\Romantic Relationship\Romantic Relationship\Romantic Relationship\Romantic Relationship\Romantic Relationship response:	I have to get the super-ultra matchmaking itema romantic relationship charm!
context: Romantic Relationship\Romantic Relationship\Romantic Relationship\Romantic Relationship\Romantic Relationship\Romantic Relationship\Romantic Relationship\I have to get the super-ultra matchmaking itema romantic relationship charm! response:	Romantic Relationship
context: Romantic Relationship\Romantic Relationship\Romantic Relationship\Romantic Relationship\Romantic Relationship\Romantic Relationship\I have to get the super-ultra matchmaking itema romantic relationship charm!\Romantic Relationship response:	Romantic Relationship
context: Romantic Relationship\Romantic Relationship\Romantic Relationship\Romantic Relationship\Romantic Relationship\I have to get the super-ultra matchmaking itema romantic relationship charm!\Romantic Relationship\Romantic Relationship response:	Romantic Relationship
context: Romantic Relationship\Romantic Relationship\Romantic Relationship\Romantic Relationship\I have to get the super-ultra matchmaking itema romantic relationship charm!\Romantic Relationship\Romantic Relationship\Romantic Relationship response:	Romantic Relationship
context: Romantic Relationship\Romantic Relationship\Romantic Relationship\I have to get the super-ultra matchmaking itema romantic relationship charm!\Romantic Relationship\Romantic Relationship\Romantic Relationship\Romantic Relationship response:	Romantic Relationship
context: Romantic Relationship\Romantic Relationship\I have to get the super-ultra matchmaking itema romantic relationship charm!\Romantic Relationship\Romantic Relationship\Romantic Relationship\Romantic Relationship\Romantic Relationship response:	Romantic Relationship
context: Romantic Relationship\I have to get the super-ultra matchmaking itema romantic relationship charm!\Romantic Relationship\Romantic Relationship\Romantic Relationship\Romantic Relationship\Romantic Relationship\Romantic Relationship response:	Romantic Relationship
context: I have to get the super-ultra matchmaking itema romantic relationship charm!\Romantic Relationship\Romantic Relationship\Romantic Relationship\Romantic Relationship\Romantic Relationship\Romantic Relationship\Romantic Relationship response:	Romantic Relationship
context: Romantic Relationship\Romantic Relationship\Romantic Relationship\Romantic Relationship\Romantic Relationship\Romantic Relationship\Romantic Relationship\Romantic Relationship response:	Romantic Relationship
context: Romantic Relationship\Romantic Relationship\Romantic Relationship\Romantic Relationship\Romantic Relationship\Romantic Relationship\Romantic Relationship\Romantic Relationship response:	Romantic Relationship
context: Romantic Relationship\Romantic Relationship\Romantic Relationship\Romantic Relationship\Romantic Relationship\Romantic Relationship\Romantic Relationship\Romantic Relationship response:	Romantic Relationship
context: Romantic Relationship\Romantic Relationship\Romantic Relationship\Romantic Relationship\Romantic Relationship\Romantic Relationship\Romantic Relationship\Romantic Relationship response:	Romantic Relationship
context: Romantic Relationship\Romantic Relationship\Romantic Relationship\Romantic Relationship\Romantic Relationship\Romantic Relationship\Romantic Relationship\Romantic Relationship response:	Romantic Relationship
context: Romantic Relationship\Romantic Relationship\Romantic Relationship\Romantic Relationship\Romantic Relationship\Romantic Relationship\Romantic Relationship\Romantic Relationship response:	Romantic Relationship
context: Romantic Relationship\Romantic Relationship\Romantic Relationship\Romantic Relationship\Romantic Relationship\Romantic Relationship\Romantic Relationship\Romantic Relationship response:	Romantic Relationship
