context: You didn't think of that? response:	My spirit might not be able to hurt you, but this Double Crescent Halberd will!
context: You didn't think of that?\My spirit might not be able to hurt you, but this Double Crescent Halberd will! response:	Li Jing, I'll take your life!
context: You didn't think of that?\My spirit might not be able to hurt you, but this Double Crescent Halberd will!\Li Jing, I'll take your life! response:	What a good son.
context: You didn't think of that?\My spirit might not be able to hurt you, but this Double Crescent Halberd will!\Li Jing, I'll take your life!\What a good son. response:	I couldn't have left the Bell of East Emperor so soon.
context: You didn't think of that?\My spirit might not be able to hurt you, but this Double Crescent Halberd will!\Li Jing, I'll take your life!\What a good son.\I couldn't have left the Bell of East Emperor so soon. response:	I owe you.
context: You didn't think of that?\My spirit might not be able to hurt you, but this Double Crescent Halberd will!\Li Jing, I'll take your life!\What a good son.\I couldn't have left the Bell of East Emperor so soon.\I owe you. response:	Once your life is given to me...
context: You didn't think of that?\My spirit might not be able to hurt you, but this Double Crescent Halberd will!\Li Jing, I'll take your life!\What a good son.\I couldn't have left the Bell of East Emperor so soon.\I owe you.\Once your life is given to me... response:	I'd add 100,000 years of cultivation.
context: You didn't think of that?\My spirit might not be able to hurt you, but this Double Crescent Halberd will!\Li Jing, I'll take your life!\What a good son.\I couldn't have left the Bell of East Emperor so soon.\I owe you.\Once your life is given to me...\I'd add 100,000 years of cultivation. response:	This is the day I avenge myself!
context: My spirit might not be able to hurt you, but this Double Crescent Halberd will!\Li Jing, I'll take your life!\What a good son.\I couldn't have left the Bell of East Emperor so soon.\I owe you.\Once your life is given to me...\I'd add 100,000 years of cultivation.\This is the day I avenge myself! response:	Everyone has betrayed me!
context: Li Jing, I'll take your life!\What a good son.\I couldn't have left the Bell of East Emperor so soon.\I owe you.\Once your life is given to me...\I'd add 100,000 years of cultivation.\This is the day I avenge myself!\Everyone has betrayed me! response:	Even you betrayed me!
context: What a good son.\I couldn't have left the Bell of East Emperor so soon.\I owe you.\Once your life is given to me...\I'd add 100,000 years of cultivation.\This is the day I avenge myself!\Everyone has betrayed me!\Even you betrayed me! response:	The day my spirit returns to my body
context: I couldn't have left the Bell of East Emperor so soon.\I owe you.\Once your life is given to me...\I'd add 100,000 years of cultivation.\This is the day I avenge myself!\Everyone has betrayed me!\Even you betrayed me!\The day my spirit returns to my body response:	is the day I break out of the bell and torch the Eight Far Lands
context: I owe you.\Once your life is given to me...\I'd add 100,000 years of cultivation.\This is the day I avenge myself!\Everyone has betrayed me!\Even you betrayed me!\The day my spirit returns to my body\is the day I break out of the bell and torch the Eight Far Lands response:	with my crimson hellfire to destroy Heaven and Earth!
context: Once your life is given to me...\I'd add 100,000 years of cultivation.\This is the day I avenge myself!\Everyone has betrayed me!\Even you betrayed me!\The day my spirit returns to my body\is the day I break out of the bell and torch the Eight Far Lands\with my crimson hellfire to destroy Heaven and Earth! response:	It's the crimson hellfire!
context: I'd add 100,000 years of cultivation.\This is the day I avenge myself!\Everyone has betrayed me!\Even you betrayed me!\The day my spirit returns to my body\is the day I break out of the bell and torch the Eight Far Lands\with my crimson hellfire to destroy Heaven and Earth!\It's the crimson hellfire! response:	The Ghost Lord has returned!
context: This is the day I avenge myself!\Everyone has betrayed me!\Even you betrayed me!\The day my spirit returns to my body\is the day I break out of the bell and torch the Eight Far Lands\with my crimson hellfire to destroy Heaven and Earth!\It's the crimson hellfire!\The Ghost Lord has returned! response:	- The Ghost Lord has returned! - The Ghost Lord has returned...
context: Everyone has betrayed me!\Even you betrayed me!\The day my spirit returns to my body\is the day I break out of the bell and torch the Eight Far Lands\with my crimson hellfire to destroy Heaven and Earth!\It's the crimson hellfire!\The Ghost Lord has returned!\- The Ghost Lord has returned! - The Ghost Lord has returned... response:	Jiu'er!
context: Even you betrayed me!\The day my spirit returns to my body\is the day I break out of the bell and torch the Eight Far Lands\with my crimson hellfire to destroy Heaven and Earth!\It's the crimson hellfire!\The Ghost Lord has returned!\- The Ghost Lord has returned! - The Ghost Lord has returned...\Jiu'er! response:	Your Lordship, what happened to the Little Princess?
