context: Did you wake up!? response:	why not? Do you want anything?
context: Did you wake up!?\why not? Do you want anything? response:	And aaah! What..?
context: Did you wake up!?\why not? Do you want anything?\And aaah! What..? response:	You think things are immoral, right?
context: Did you wake up!?\why not? Do you want anything?\And aaah! What..?\You think things are immoral, right? response:	You're thinking muscles, right?
context: Did you wake up!?\why not? Do you want anything?\And aaah! What..?\You think things are immoral, right?\You're thinking muscles, right? response:	Good morning, Rico-sama
context: Did you wake up!?\why not? Do you want anything?\And aaah! What..?\You think things are immoral, right?\You're thinking muscles, right?\Good morning, Rico-sama response:	Is there something?
context: Did you wake up!?\why not? Do you want anything?\And aaah! What..?\You think things are immoral, right?\You're thinking muscles, right?\Good morning, Rico-sama\Is there something? response:	From this road
context: Did you wake up!?\why not? Do you want anything?\And aaah! What..?\You think things are immoral, right?\You're thinking muscles, right?\Good morning, Rico-sama\Is there something?\From this road response:	As we get out of the back door?
context: why not? Do you want anything?\And aaah! What..?\You think things are immoral, right?\You're thinking muscles, right?\Good morning, Rico-sama\Is there something?\From this road\As we get out of the back door? response:	Did you forget the reaction that happened yesterday?
context: And aaah! What..?\You think things are immoral, right?\You're thinking muscles, right?\Good morning, Rico-sama\Is there something?\From this road\As we get out of the back door?\Did you forget the reaction that happened yesterday? response:	M-What are you doing here, O commoner?
context: You think things are immoral, right?\You're thinking muscles, right?\Good morning, Rico-sama\Is there something?\From this road\As we get out of the back door?\Did you forget the reaction that happened yesterday?\M-What are you doing here, O commoner? response:	Have you ever heard something?
context: You're thinking muscles, right?\Good morning, Rico-sama\Is there something?\From this road\As we get out of the back door?\Did you forget the reaction that happened yesterday?\M-What are you doing here, O commoner?\Have you ever heard something? response:	Er, what's wrong today?
context: Good morning, Rico-sama\Is there something?\From this road\As we get out of the back door?\Did you forget the reaction that happened yesterday?\M-What are you doing here, O commoner?\Have you ever heard something?\Er, what's wrong today? response:	why not?
