context: The enemy's strategy is simple in the extreme. response:	Use the shockwave from the Landing Castle impact to clear out the area,
context: The enemy's strategy is simple in the extreme.\Use the shockwave from the Landing Castle impact to clear out the area, response:	which both eliminates our own forces and gives them a beachhead.
context: The enemy's strategy is simple in the extreme.\Use the shockwave from the Landing Castle impact to clear out the area,\which both eliminates our own forces and gives them a beachhead. response:	However, we have been making plans for this attack for the past 15 years!
context: The enemy's strategy is simple in the extreme.\Use the shockwave from the Landing Castle impact to clear out the area,\which both eliminates our own forces and gives them a beachhead.\However, we have been making plans for this attack for the past 15 years! response:	We will combine all our forces
context: The enemy's strategy is simple in the extreme.\Use the shockwave from the Landing Castle impact to clear out the area,\which both eliminates our own forces and gives them a beachhead.\However, we have been making plans for this attack for the past 15 years!\We will combine all our forces response:	and we will surround and annihilate the enemy before they can deploy any ground troops.
context: The enemy's strategy is simple in the extreme.\Use the shockwave from the Landing Castle impact to clear out the area,\which both eliminates our own forces and gives them a beachhead.\However, we have been making plans for this attack for the past 15 years!\We will combine all our forces\and we will surround and annihilate the enemy before they can deploy any ground troops. response:	Dismissed!
context: The enemy's strategy is simple in the extreme.\Use the shockwave from the Landing Castle impact to clear out the area,\which both eliminates our own forces and gives them a beachhead.\However, we have been making plans for this attack for the past 15 years!\We will combine all our forces\and we will surround and annihilate the enemy before they can deploy any ground troops.\Dismissed! response:	So that's...
context: The enemy's strategy is simple in the extreme.\Use the shockwave from the Landing Castle impact to clear out the area,\which both eliminates our own forces and gives them a beachhead.\However, we have been making plans for this attack for the past 15 years!\We will combine all our forces\and we will surround and annihilate the enemy before they can deploy any ground troops.\Dismissed!\So that's... response:	a Martian Landing Castle!
context: Use the shockwave from the Landing Castle impact to clear out the area,\which both eliminates our own forces and gives them a beachhead.\However, we have been making plans for this attack for the past 15 years!\We will combine all our forces\and we will surround and annihilate the enemy before they can deploy any ground troops.\Dismissed!\So that's...\a Martian Landing Castle! response:	Neutralize them!
context: which both eliminates our own forces and gives them a beachhead.\However, we have been making plans for this attack for the past 15 years!\We will combine all our forces\and we will surround and annihilate the enemy before they can deploy any ground troops.\Dismissed!\So that's...\a Martian Landing Castle!\Neutralize them! response:	Dickhead!
context: However, we have been making plans for this attack for the past 15 years!\We will combine all our forces\and we will surround and annihilate the enemy before they can deploy any ground troops.\Dismissed!\So that's...\a Martian Landing Castle!\Neutralize them!\Dickhead! response:	Enemy missiles!
context: We will combine all our forces\and we will surround and annihilate the enemy before they can deploy any ground troops.\Dismissed!\So that's...\a Martian Landing Castle!\Neutralize them!\Dickhead!\Enemy missiles! response:	Intercept! RAM!
context: and we will surround and annihilate the enemy before they can deploy any ground troops.\Dismissed!\So that's...\a Martian Landing Castle!\Neutralize them!\Dickhead!\Enemy missiles!\Intercept! RAM! response:	No, hold on...
context: Dismissed!\So that's...\a Martian Landing Castle!\Neutralize them!\Dickhead!\Enemy missiles!\Intercept! RAM!\No, hold on... response:	Undersea cables Southern Cross, Concerto 1 severed!
context: So that's...\a Martian Landing Castle!\Neutralize them!\Dickhead!\Enemy missiles!\Intercept! RAM!\No, hold on...\Undersea cables Southern Cross, Concerto 1 severed! response:	Miami Landing Station has gone silent!
context: a Martian Landing Castle!\Neutralize them!\Dickhead!\Enemy missiles!\Intercept! RAM!\No, hold on...\Undersea cables Southern Cross, Concerto 1 severed!\Miami Landing Station has gone silent! response:	What about comm satellites?!
context: Neutralize them!\Dickhead!\Enemy missiles!\Intercept! RAM!\No, hold on...\Undersea cables Southern Cross, Concerto 1 severed!\Miami Landing Station has gone silent!\What about comm satellites?! response:	They're under attack from the Landing Castles still in orbit!
context: Dickhead!\Enemy missiles!\Intercept! RAM!\No, hold on...\Undersea cables Southern Cross, Concerto 1 severed!\Miami Landing Station has gone silent!\What about comm satellites?!\They're under attack from the Landing Castles still in orbit! response:	Comm links to U.E. HQ and branch offices are down!
context: Enemy missiles!\Intercept! RAM!\No, hold on...\Undersea cables Southern Cross, Concerto 1 severed!\Miami Landing Station has gone silent!\What about comm satellites?!\They're under attack from the Landing Castles still in orbit!\Comm links to U.E. HQ and branch offices are down! response:	Alpha Leader to all planes. Will now begin attack.
context: Intercept! RAM!\No, hold on...\Undersea cables Southern Cross, Concerto 1 severed!\Miami Landing Station has gone silent!\What about comm satellites?!\They're under attack from the Landing Castles still in orbit!\Comm links to U.E. HQ and branch offices are down!\Alpha Leader to all planes. Will now begin attack. response:	What?!
context: No, hold on...\Undersea cables Southern Cross, Concerto 1 severed!\Miami Landing Station has gone silent!\What about comm satellites?!\They're under attack from the Landing Castles still in orbit!\Comm links to U.E. HQ and branch offices are down!\Alpha Leader to all planes. Will now begin attack.\What?! response:	The fighter squadron was...
context: Undersea cables Southern Cross, Concerto 1 severed!\Miami Landing Station has gone silent!\What about comm satellites?!\They're under attack from the Landing Castles still in orbit!\Comm links to U.E. HQ and branch offices are down!\Alpha Leader to all planes. Will now begin attack.\What?!\The fighter squadron was... response:	One enemy reading detected.
context: Miami Landing Station has gone silent!\What about comm satellites?!\They're under attack from the Landing Castles still in orbit!\Comm links to U.E. HQ and branch offices are down!\Alpha Leader to all planes. Will now begin attack.\What?!\The fighter squadron was...\One enemy reading detected. response:	Silver 22!
context: What about comm satellites?!\They're under attack from the Landing Castles still in orbit!\Comm links to U.E. HQ and branch offices are down!\Alpha Leader to all planes. Will now begin attack.\What?!\The fighter squadron was...\One enemy reading detected.\Silver 22! response:	Jamming, huh?
context: They're under attack from the Landing Castles still in orbit!\Comm links to U.E. HQ and branch offices are down!\Alpha Leader to all planes. Will now begin attack.\What?!\The fighter squadron was...\One enemy reading detected.\Silver 22!\Jamming, huh? response:	Lead Silver Squad appears to have encountered the enemy.
context: Comm links to U.E. HQ and branch offices are down!\Alpha Leader to all planes. Will now begin attack.\What?!\The fighter squadron was...\One enemy reading detected.\Silver 22!\Jamming, huh?\Lead Silver Squad appears to have encountered the enemy. response:	All units, deploy. Attack at will.
context: Alpha Leader to all planes. Will now begin attack.\What?!\The fighter squadron was...\One enemy reading detected.\Silver 22!\Jamming, huh?\Lead Silver Squad appears to have encountered the enemy.\All units, deploy. Attack at will. response:	That's it?
context: What?!\The fighter squadron was...\One enemy reading detected.\Silver 22!\Jamming, huh?\Lead Silver Squad appears to have encountered the enemy.\All units, deploy. Attack at will.\That's it? response:	Commander!
context: The fighter squadron was...\One enemy reading detected.\Silver 22!\Jamming, huh?\Lead Silver Squad appears to have encountered the enemy.\All units, deploy. Attack at will.\That's it?\Commander! response:	Stupid primitives.
context: One enemy reading detected.\Silver 22!\Jamming, huh?\Lead Silver Squad appears to have encountered the enemy.\All units, deploy. Attack at will.\That's it?\Commander!\Stupid primitives. response:	Bow down before the might of the gods.
context: Silver 22!\Jamming, huh?\Lead Silver Squad appears to have encountered the enemy.\All units, deploy. Attack at will.\That's it?\Commander!\Stupid primitives.\Bow down before the might of the gods. response:	Swear allegiance or be annihilated.
context: Jamming, huh?\Lead Silver Squad appears to have encountered the enemy.\All units, deploy. Attack at will.\That's it?\Commander!\Stupid primitives.\Bow down before the might of the gods.\Swear allegiance or be annihilated. response:	You have but two choices.
context: Lead Silver Squad appears to have encountered the enemy.\All units, deploy. Attack at will.\That's it?\Commander!\Stupid primitives.\Bow down before the might of the gods.\Swear allegiance or be annihilated.\You have but two choices. response:	Pathetic...
context: All units, deploy. Attack at will.\That's it?\Commander!\Stupid primitives.\Bow down before the might of the gods.\Swear allegiance or be annihilated.\You have but two choices.\Pathetic... response:	How can this be happening?!
context: That's it?\Commander!\Stupid primitives.\Bow down before the might of the gods.\Swear allegiance or be annihilated.\You have but two choices.\Pathetic...\How can this be happening?! response:	Those are Martian Kataphrakts!
context: Commander!\Stupid primitives.\Bow down before the might of the gods.\Swear allegiance or be annihilated.\You have but two choices.\Pathetic...\How can this be happening?!\Those are Martian Kataphrakts! response:	We can't possibly beat these guys... We're insects to them.
