context: Anzai, please... response:	drink my blood.
context: Anzai, please...\drink my blood. response:	I'll give you some... every day.
context: Anzai, please...\drink my blood.\I'll give you some... every day. response:	The man who attacked the weather reporter
context: Anzai, please...\drink my blood.\I'll give you some... every day.\The man who attacked the weather reporter response:	jumped from a nearby apartment complex to his death.
context: Anzai, please...\drink my blood.\I'll give you some... every day.\The man who attacked the weather reporter\jumped from a nearby apartment complex to his death. response:	A woman was found nearby, stabbed in the abdomen.
context: Anzai, please...\drink my blood.\I'll give you some... every day.\The man who attacked the weather reporter\jumped from a nearby apartment complex to his death.\A woman was found nearby, stabbed in the abdomen. response:	What crazy ideas are you putting in her head? A woman was found nearby, stabbed in the abdomen.
context: Anzai, please...\drink my blood.\I'll give you some... every day.\The man who attacked the weather reporter\jumped from a nearby apartment complex to his death.\A woman was found nearby, stabbed in the abdomen.\What crazy ideas are you putting in her head? A woman was found nearby, stabbed in the abdomen. response:	You make it sound so bad.
context: Anzai, please...\drink my blood.\I'll give you some... every day.\The man who attacked the weather reporter\jumped from a nearby apartment complex to his death.\A woman was found nearby, stabbed in the abdomen.\What crazy ideas are you putting in her head? A woman was found nearby, stabbed in the abdomen.\You make it sound so bad. response:	What'd you tell him about?
context: drink my blood.\I'll give you some... every day.\The man who attacked the weather reporter\jumped from a nearby apartment complex to his death.\A woman was found nearby, stabbed in the abdomen.\What crazy ideas are you putting in her head? A woman was found nearby, stabbed in the abdomen.\You make it sound so bad.\What'd you tell him about? response:	Blood tolerance? Healing? Life expectancy?
context: I'll give you some... every day.\The man who attacked the weather reporter\jumped from a nearby apartment complex to his death.\A woman was found nearby, stabbed in the abdomen.\What crazy ideas are you putting in her head? A woman was found nearby, stabbed in the abdomen.\You make it sound so bad.\What'd you tell him about?\Blood tolerance? Healing? Life expectancy? response:	She told a devil to drink her blood!
context: The man who attacked the weather reporter\jumped from a nearby apartment complex to his death.\A woman was found nearby, stabbed in the abdomen.\What crazy ideas are you putting in her head? A woman was found nearby, stabbed in the abdomen.\You make it sound so bad.\What'd you tell him about?\Blood tolerance? Healing? Life expectancy?\She told a devil to drink her blood! response:	Did you put her up to it?
context: jumped from a nearby apartment complex to his death.\A woman was found nearby, stabbed in the abdomen.\What crazy ideas are you putting in her head? A woman was found nearby, stabbed in the abdomen.\You make it sound so bad.\What'd you tell him about?\Blood tolerance? Healing? Life expectancy?\She told a devil to drink her blood!\Did you put her up to it? response:	I never forced her to do anything.
context: A woman was found nearby, stabbed in the abdomen.\What crazy ideas are you putting in her head? A woman was found nearby, stabbed in the abdomen.\You make it sound so bad.\What'd you tell him about?\Blood tolerance? Healing? Life expectancy?\She told a devil to drink her blood!\Did you put her up to it?\I never forced her to do anything. response:	But anyway...
context: What crazy ideas are you putting in her head? A woman was found nearby, stabbed in the abdomen.\You make it sound so bad.\What'd you tell him about?\Blood tolerance? Healing? Life expectancy?\She told a devil to drink her blood!\Did you put her up to it?\I never forced her to do anything.\But anyway... response:	I can't believe you transformed just hearing her say it.
context: You make it sound so bad.\What'd you tell him about?\Blood tolerance? Healing? Life expectancy?\She told a devil to drink her blood!\Did you put her up to it?\I never forced her to do anything.\But anyway...\I can't believe you transformed just hearing her say it. response:	Any other physical changes?
context: What'd you tell him about?\Blood tolerance? Healing? Life expectancy?\She told a devil to drink her blood!\Did you put her up to it?\I never forced her to do anything.\But anyway...\I can't believe you transformed just hearing her say it.\Any other physical changes? response:	Did you make it up? Is it some religion?
context: Blood tolerance? Healing? Life expectancy?\She told a devil to drink her blood!\Did you put her up to it?\I never forced her to do anything.\But anyway...\I can't believe you transformed just hearing her say it.\Any other physical changes?\Did you make it up? Is it some religion? response:	This baseless nonsense is...
context: She told a devil to drink her blood!\Did you put her up to it?\I never forced her to do anything.\But anyway...\I can't believe you transformed just hearing her say it.\Any other physical changes?\Did you make it up? Is it some religion?\This baseless nonsense is... response:	It's not baseless. We even have a proven case.
context: Did you put her up to it?\I never forced her to do anything.\But anyway...\I can't believe you transformed just hearing her say it.\Any other physical changes?\Did you make it up? Is it some religion?\This baseless nonsense is...\It's not baseless. We even have a proven case. response:	A proven case of cell regeneration after blood consumption.
context: I never forced her to do anything.\But anyway...\I can't believe you transformed just hearing her say it.\Any other physical changes?\Did you make it up? Is it some religion?\This baseless nonsense is...\It's not baseless. We even have a proven case.\A proven case of cell regeneration after blood consumption. response:	If I hadn't happened to show up and give you some blood,
context: But anyway...\I can't believe you transformed just hearing her say it.\Any other physical changes?\Did you make it up? Is it some religion?\This baseless nonsense is...\It's not baseless. We even have a proven case.\A proven case of cell regeneration after blood consumption.\If I hadn't happened to show up and give you some blood, response:	you'd still have a hole in your lung, and you'd be dead.
context: I can't believe you transformed just hearing her say it.\Any other physical changes?\Did you make it up? Is it some religion?\This baseless nonsense is...\It's not baseless. We even have a proven case.\A proven case of cell regeneration after blood consumption.\If I hadn't happened to show up and give you some blood,\you'd still have a hole in your lung, and you'd be dead. response:	Did the near-death thing make you forget?
context: Any other physical changes?\Did you make it up? Is it some religion?\This baseless nonsense is...\It's not baseless. We even have a proven case.\A proven case of cell regeneration after blood consumption.\If I hadn't happened to show up and give you some blood,\you'd still have a hole in your lung, and you'd be dead.\Did the near-death thing make you forget? response:	About how you were listening to that girl's sob story and she shot you?
context: Did you make it up? Is it some religion?\This baseless nonsense is...\It's not baseless. We even have a proven case.\A proven case of cell regeneration after blood consumption.\If I hadn't happened to show up and give you some blood,\you'd still have a hole in your lung, and you'd be dead.\Did the near-death thing make you forget?\About how you were listening to that girl's sob story and she shot you? response:	A devil killed her mother, so she's convinced all devils are blood-sucking rapists.
context: This baseless nonsense is...\It's not baseless. We even have a proven case.\A proven case of cell regeneration after blood consumption.\If I hadn't happened to show up and give you some blood,\you'd still have a hole in your lung, and you'd be dead.\Did the near-death thing make you forget?\About how you were listening to that girl's sob story and she shot you?\A devil killed her mother, so she's convinced all devils are blood-sucking rapists. response:	And now she's a terrorist that kills devils indiscriminately.
context: It's not baseless. We even have a proven case.\A proven case of cell regeneration after blood consumption.\If I hadn't happened to show up and give you some blood,\you'd still have a hole in your lung, and you'd be dead.\Did the near-death thing make you forget?\About how you were listening to that girl's sob story and she shot you?\A devil killed her mother, so she's convinced all devils are blood-sucking rapists.\And now she's a terrorist that kills devils indiscriminately. response:	Is she the sniper?
context: A proven case of cell regeneration after blood consumption.\If I hadn't happened to show up and give you some blood,\you'd still have a hole in your lung, and you'd be dead.\Did the near-death thing make you forget?\About how you were listening to that girl's sob story and she shot you?\A devil killed her mother, so she's convinced all devils are blood-sucking rapists.\And now she's a terrorist that kills devils indiscriminately.\Is she the sniper? response:	Is she worth crying over?
context: If I hadn't happened to show up and give you some blood,\you'd still have a hole in your lung, and you'd be dead.\Did the near-death thing make you forget?\About how you were listening to that girl's sob story and she shot you?\A devil killed her mother, so she's convinced all devils are blood-sucking rapists.\And now she's a terrorist that kills devils indiscriminately.\Is she the sniper?\Is she worth crying over? response:	Don't tell me you feel sorry for her.
context: you'd still have a hole in your lung, and you'd be dead.\Did the near-death thing make you forget?\About how you were listening to that girl's sob story and she shot you?\A devil killed her mother, so she's convinced all devils are blood-sucking rapists.\And now she's a terrorist that kills devils indiscriminately.\Is she the sniper?\Is she worth crying over?\Don't tell me you feel sorry for her. response:	You're walking around with human blood, blabbing on about your ungrounded fairytales.
context: Did the near-death thing make you forget?\About how you were listening to that girl's sob story and she shot you?\A devil killed her mother, so she's convinced all devils are blood-sucking rapists.\And now she's a terrorist that kills devils indiscriminately.\Is she the sniper?\Is she worth crying over?\Don't tell me you feel sorry for her.\You're walking around with human blood, blabbing on about your ungrounded fairytales. response:	You have no ID, you're the definition of suspicious, and you want me to trust you?
context: About how you were listening to that girl's sob story and she shot you?\A devil killed her mother, so she's convinced all devils are blood-sucking rapists.\And now she's a terrorist that kills devils indiscriminately.\Is she the sniper?\Is she worth crying over?\Don't tell me you feel sorry for her.\You're walking around with human blood, blabbing on about your ungrounded fairytales.\You have no ID, you're the definition of suspicious, and you want me to trust you? response:	Good point.
context: A devil killed her mother, so she's convinced all devils are blood-sucking rapists.\And now she's a terrorist that kills devils indiscriminately.\Is she the sniper?\Is she worth crying over?\Don't tell me you feel sorry for her.\You're walking around with human blood, blabbing on about your ungrounded fairytales.\You have no ID, you're the definition of suspicious, and you want me to trust you?\Good point. response:	Promise to hide me out here for a while?
context: And now she's a terrorist that kills devils indiscriminately.\Is she the sniper?\Is she worth crying over?\Don't tell me you feel sorry for her.\You're walking around with human blood, blabbing on about your ungrounded fairytales.\You have no ID, you're the definition of suspicious, and you want me to trust you?\Good point.\Promise to hide me out here for a while? response:	Then I can give you a proper introduction.
context: Is she the sniper?\Is she worth crying over?\Don't tell me you feel sorry for her.\You're walking around with human blood, blabbing on about your ungrounded fairytales.\You have no ID, you're the definition of suspicious, and you want me to trust you?\Good point.\Promise to hide me out here for a while?\Then I can give you a proper introduction. response:	Oh, and I do have blood, but I haven't killed anyone, okay?
context: Is she worth crying over?\Don't tell me you feel sorry for her.\You're walking around with human blood, blabbing on about your ungrounded fairytales.\You have no ID, you're the definition of suspicious, and you want me to trust you?\Good point.\Promise to hide me out here for a while?\Then I can give you a proper introduction.\Oh, and I do have blood, but I haven't killed anyone, okay? response:	And there's one other thing I want to make clear.
context: Don't tell me you feel sorry for her.\You're walking around with human blood, blabbing on about your ungrounded fairytales.\You have no ID, you're the definition of suspicious, and you want me to trust you?\Good point.\Promise to hide me out here for a while?\Then I can give you a proper introduction.\Oh, and I do have blood, but I haven't killed anyone, okay?\And there's one other thing I want to make clear. response:	A sap who always lets his emotions get the better of him...
context: You're walking around with human blood, blabbing on about your ungrounded fairytales.\You have no ID, you're the definition of suspicious, and you want me to trust you?\Good point.\Promise to hide me out here for a while?\Then I can give you a proper introduction.\Oh, and I do have blood, but I haven't killed anyone, okay?\And there's one other thing I want to make clear.\A sap who always lets his emotions get the better of him... response:	can never protect anyone.
context: You have no ID, you're the definition of suspicious, and you want me to trust you?\Good point.\Promise to hide me out here for a while?\Then I can give you a proper introduction.\Oh, and I do have blood, but I haven't killed anyone, okay?\And there's one other thing I want to make clear.\A sap who always lets his emotions get the better of him...\can never protect anyone. response:	It was a silent night
context: Good point.\Promise to hide me out here for a while?\Then I can give you a proper introduction.\Oh, and I do have blood, but I haven't killed anyone, okay?\And there's one other thing I want to make clear.\A sap who always lets his emotions get the better of him...\can never protect anyone.\It was a silent night response:	Eclipse was beginnin'
context: Promise to hide me out here for a while?\Then I can give you a proper introduction.\Oh, and I do have blood, but I haven't killed anyone, okay?\And there's one other thing I want to make clear.\A sap who always lets his emotions get the better of him...\can never protect anyone.\It was a silent night\Eclipse was beginnin' response:	Kasaneau setsuna o
context: Then I can give you a proper introduction.\Oh, and I do have blood, but I haven't killed anyone, okay?\And there's one other thing I want to make clear.\A sap who always lets his emotions get the better of him...\can never protect anyone.\It was a silent night\Eclipse was beginnin'\Kasaneau setsuna o response:	Kitto eien to shinjikomu
context: Oh, and I do have blood, but I haven't killed anyone, okay?\And there's one other thing I want to make clear.\A sap who always lets his emotions get the better of him...\can never protect anyone.\It was a silent night\Eclipse was beginnin'\Kasaneau setsuna o\Kitto eien to shinjikomu response:	In darkness...
context: And there's one other thing I want to make clear.\A sap who always lets his emotions get the better of him...\can never protect anyone.\It was a silent night\Eclipse was beginnin'\Kasaneau setsuna o\Kitto eien to shinjikomu\In darkness... response:	It's darker than black
context: A sap who always lets his emotions get the better of him...\can never protect anyone.\It was a silent night\Eclipse was beginnin'\Kasaneau setsuna o\Kitto eien to shinjikomu\In darkness...\It's darker than black response:	Meikyuu no sora
