context: Who are you? response:	Like you, I despise Inuyasha.
context: Who are you?\Like you, I despise Inuyasha. response:	Tell me your name.
context: Who are you?\Like you, I despise Inuyasha.\Tell me your name. response:	It is Naruku.
context: Who are you?\Like you, I despise Inuyasha.\Tell me your name.\It is Naruku. response:	I'm not afraid!
context: Who are you?\Like you, I despise Inuyasha.\Tell me your name.\It is Naruku.\I'm not afraid! response:	Naraku is an awful demon! We must destroy him!
context: Who are you?\Like you, I despise Inuyasha.\Tell me your name.\It is Naruku.\I'm not afraid!\Naraku is an awful demon! We must destroy him! response:	Trying to gain time?!
context: Who are you?\Like you, I despise Inuyasha.\Tell me your name.\It is Naruku.\I'm not afraid!\Naraku is an awful demon! We must destroy him!\Trying to gain time?! response:	I was scared.
context: Who are you?\Like you, I despise Inuyasha.\Tell me your name.\It is Naruku.\I'm not afraid!\Naraku is an awful demon! We must destroy him!\Trying to gain time?!\I was scared. response:	What're you doing, Inuyasha?!
context: Like you, I despise Inuyasha.\Tell me your name.\It is Naruku.\I'm not afraid!\Naraku is an awful demon! We must destroy him!\Trying to gain time?!\I was scared.\What're you doing, Inuyasha?! response:	Shut up!
context: Tell me your name.\It is Naruku.\I'm not afraid!\Naraku is an awful demon! We must destroy him!\Trying to gain time?!\I was scared.\What're you doing, Inuyasha?!\Shut up! response:	If you destroy the well, Kagome won't be able to return!
context: It is Naruku.\I'm not afraid!\Naraku is an awful demon! We must destroy him!\Trying to gain time?!\I was scared.\What're you doing, Inuyasha?!\Shut up!\If you destroy the well, Kagome won't be able to return! response:	Don't you care if you never see her again?!
context: I'm not afraid!\Naraku is an awful demon! We must destroy him!\Trying to gain time?!\I was scared.\What're you doing, Inuyasha?!\Shut up!\If you destroy the well, Kagome won't be able to return!\Don't you care if you never see her again?! response:	When she's around, I can't fight the way I want.
context: Naraku is an awful demon! We must destroy him!\Trying to gain time?!\I was scared.\What're you doing, Inuyasha?!\Shut up!\If you destroy the well, Kagome won't be able to return!\Don't you care if you never see her again?!\When she's around, I can't fight the way I want. response:	Let's go, Miroku.
context: Trying to gain time?!\I was scared.\What're you doing, Inuyasha?!\Shut up!\If you destroy the well, Kagome won't be able to return!\Don't you care if you never see her again?!\When she's around, I can't fight the way I want.\Let's go, Miroku. response:	Where to?
context: I was scared.\What're you doing, Inuyasha?!\Shut up!\If you destroy the well, Kagome won't be able to return!\Don't you care if you never see her again?!\When she's around, I can't fight the way I want.\Let's go, Miroku.\Where to? response:	Isn't it obvious?
context: What're you doing, Inuyasha?!\Shut up!\If you destroy the well, Kagome won't be able to return!\Don't you care if you never see her again?!\When she's around, I can't fight the way I want.\Let's go, Miroku.\Where to?\Isn't it obvious? response:	To find Naraku and beat the hell out of him!
context: Shut up!\If you destroy the well, Kagome won't be able to return!\Don't you care if you never see her again?!\When she's around, I can't fight the way I want.\Let's go, Miroku.\Where to?\Isn't it obvious?\To find Naraku and beat the hell out of him! response:	Well, Shippo?
context: If you destroy the well, Kagome won't be able to return!\Don't you care if you never see her again?!\When she's around, I can't fight the way I want.\Let's go, Miroku.\Where to?\Isn't it obvious?\To find Naraku and beat the hell out of him!\Well, Shippo? response:	Forget it! I hate Inuyasha!
context: Don't you care if you never see her again?!\When she's around, I can't fight the way I want.\Let's go, Miroku.\Where to?\Isn't it obvious?\To find Naraku and beat the hell out of him!\Well, Shippo?\Forget it! I hate Inuyasha! response:	Awright! Please yourself!
context: When she's around, I can't fight the way I want.\Let's go, Miroku.\Where to?\Isn't it obvious?\To find Naraku and beat the hell out of him!\Well, Shippo?\Forget it! I hate Inuyasha!\Awright! Please yourself! response:	I think you were a bit too rough.
context: Let's go, Miroku.\Where to?\Isn't it obvious?\To find Naraku and beat the hell out of him!\Well, Shippo?\Forget it! I hate Inuyasha!\Awright! Please yourself!\I think you were a bit too rough. response:	Although I understand that you don't want her to get hurt.
context: Where to?\Isn't it obvious?\To find Naraku and beat the hell out of him!\Well, Shippo?\Forget it! I hate Inuyasha!\Awright! Please yourself!\I think you were a bit too rough.\Although I understand that you don't want her to get hurt. response:	If you understand, shut up!
context: Isn't it obvious?\To find Naraku and beat the hell out of him!\Well, Shippo?\Forget it! I hate Inuyasha!\Awright! Please yourself!\I think you were a bit too rough.\Although I understand that you don't want her to get hurt.\If you understand, shut up! response:	So you're going to look for Naraku...
context: To find Naraku and beat the hell out of him!\Well, Shippo?\Forget it! I hate Inuyasha!\Awright! Please yourself!\I think you were a bit too rough.\Although I understand that you don't want her to get hurt.\If you understand, shut up!\So you're going to look for Naraku... response:	but how will you find him? You have any ideas?
context: Well, Shippo?\Forget it! I hate Inuyasha!\Awright! Please yourself!\I think you were a bit too rough.\Although I understand that you don't want her to get hurt.\If you understand, shut up!\So you're going to look for Naraku...\but how will you find him? You have any ideas? response:	Well...
context: Forget it! I hate Inuyasha!\Awright! Please yourself!\I think you were a bit too rough.\Although I understand that you don't want her to get hurt.\If you understand, shut up!\So you're going to look for Naraku...\but how will you find him? You have any ideas?\Well... response:	You don't?
context: Awright! Please yourself!\I think you were a bit too rough.\Although I understand that you don't want her to get hurt.\If you understand, shut up!\So you're going to look for Naraku...\but how will you find him? You have any ideas?\Well...\You don't? response:	Shaddup!
context: I think you were a bit too rough.\Although I understand that you don't want her to get hurt.\If you understand, shut up!\So you're going to look for Naraku...\but how will you find him? You have any ideas?\Well...\You don't?\Shaddup! response:	You sent her back.
context: Although I understand that you don't want her to get hurt.\If you understand, shut up!\So you're going to look for Naraku...\but how will you find him? You have any ideas?\Well...\You don't?\Shaddup!\You sent her back. response:	Just because Kagome isn't here now, don't take it out on me!
context: If you understand, shut up!\So you're going to look for Naraku...\but how will you find him? You have any ideas?\Well...\You don't?\Shaddup!\You sent her back.\Just because Kagome isn't here now, don't take it out on me! response:	You!
context: So you're going to look for Naraku...\but how will you find him? You have any ideas?\Well...\You don't?\Shaddup!\You sent her back.\Just because Kagome isn't here now, don't take it out on me!\You! response:	Oh well... Let's just calm down and think things through!
context: but how will you find him? You have any ideas?\Well...\You don't?\Shaddup!\You sent her back.\Just because Kagome isn't here now, don't take it out on me!\You!\Oh well... Let's just calm down and think things through! response:	We don't have the time!
context: Well...\You don't?\Shaddup!\You sent her back.\Just because Kagome isn't here now, don't take it out on me!\You!\Oh well... Let's just calm down and think things through!\We don't have the time! response:	I, too!
context: You don't?\Shaddup!\You sent her back.\Just because Kagome isn't here now, don't take it out on me!\You!\Oh well... Let's just calm down and think things through!\We don't have the time!\I, too! response:	I, too, want to find him quickly and slay him with these hands!
context: Shaddup!\You sent her back.\Just because Kagome isn't here now, don't take it out on me!\You!\Oh well... Let's just calm down and think things through!\We don't have the time!\I, too!\I, too, want to find him quickly and slay him with these hands! response:	Fifty years ago, he opened the Wind Tunnel in my grandfather's hand.
context: You sent her back.\Just because Kagome isn't here now, don't take it out on me!\You!\Oh well... Let's just calm down and think things through!\We don't have the time!\I, too!\I, too, want to find him quickly and slay him with these hands!\Fifty years ago, he opened the Wind Tunnel in my grandfather's hand. response:	The curse has carried over generation after generation to me!
context: Just because Kagome isn't here now, don't take it out on me!\You!\Oh well... Let's just calm down and think things through!\We don't have the time!\I, too!\I, too, want to find him quickly and slay him with these hands!\Fifty years ago, he opened the Wind Tunnel in my grandfather's hand.\The curse has carried over generation after generation to me! response:	Miroku...
context: You!\Oh well... Let's just calm down and think things through!\We don't have the time!\I, too!\I, too, want to find him quickly and slay him with these hands!\Fifty years ago, he opened the Wind Tunnel in my grandfather's hand.\The curse has carried over generation after generation to me!\Miroku... response:	I'm not good at thinking. You think of something.
context: Oh well... Let's just calm down and think things through!\We don't have the time!\I, too!\I, too, want to find him quickly and slay him with these hands!\Fifty years ago, he opened the Wind Tunnel in my grandfather's hand.\The curse has carried over generation after generation to me!\Miroku...\I'm not good at thinking. You think of something. response:	These things must be taken in order.
context: We don't have the time!\I, too!\I, too, want to find him quickly and slay him with these hands!\Fifty years ago, he opened the Wind Tunnel in my grandfather's hand.\The curse has carried over generation after generation to me!\Miroku...\I'm not good at thinking. You think of something.\These things must be taken in order. response:	Inuyasha, you said you fell into Naraku's trap 50 years ago...
context: I, too!\I, too, want to find him quickly and slay him with these hands!\Fifty years ago, he opened the Wind Tunnel in my grandfather's hand.\The curse has carried over generation after generation to me!\Miroku...\I'm not good at thinking. You think of something.\These things must be taken in order.\Inuyasha, you said you fell into Naraku's trap 50 years ago... response:	in this village.
context: I, too, want to find him quickly and slay him with these hands!\Fifty years ago, he opened the Wind Tunnel in my grandfather's hand.\The curse has carried over generation after generation to me!\Miroku...\I'm not good at thinking. You think of something.\These things must be taken in order.\Inuyasha, you said you fell into Naraku's trap 50 years ago...\in this village. response:	Yeah.
context: Fifty years ago, he opened the Wind Tunnel in my grandfather's hand.\The curse has carried over generation after generation to me!\Miroku...\I'm not good at thinking. You think of something.\These things must be taken in order.\Inuyasha, you said you fell into Naraku's trap 50 years ago...\in this village.\Yeah. response:	So you've met Naraku then?
context: The curse has carried over generation after generation to me!\Miroku...\I'm not good at thinking. You think of something.\These things must be taken in order.\Inuyasha, you said you fell into Naraku's trap 50 years ago...\in this village.\Yeah.\So you've met Naraku then? response:	Well...
context: Miroku...\I'm not good at thinking. You think of something.\These things must be taken in order.\Inuyasha, you said you fell into Naraku's trap 50 years ago...\in this village.\Yeah.\So you've met Naraku then?\Well... response:	Inuyasha, you can become a mortal.
context: I'm not good at thinking. You think of something.\These things must be taken in order.\Inuyasha, you said you fell into Naraku's trap 50 years ago...\in this village.\Yeah.\So you've met Naraku then?\Well...\Inuyasha, you can become a mortal. response:	If you use the Sacred Jewel.
context: These things must be taken in order.\Inuyasha, you said you fell into Naraku's trap 50 years ago...\in this village.\Yeah.\So you've met Naraku then?\Well...\Inuyasha, you can become a mortal.\If you use the Sacred Jewel. response:	Tomorrow at dawn, right here...
context: Inuyasha, you said you fell into Naraku's trap 50 years ago...\in this village.\Yeah.\So you've met Naraku then?\Well...\Inuyasha, you can become a mortal.\If you use the Sacred Jewel.\Tomorrow at dawn, right here... response:	I will bring the Sacred Jewel.
context: in this village.\Yeah.\So you've met Naraku then?\Well...\Inuyasha, you can become a mortal.\If you use the Sacred Jewel.\Tomorrow at dawn, right here...\I will bring the Sacred Jewel. response:	Die, Inuyasha!
context: Yeah.\So you've met Naraku then?\Well...\Inuyasha, you can become a mortal.\If you use the Sacred Jewel.\Tomorrow at dawn, right here...\I will bring the Sacred Jewel.\Die, Inuyasha! response:	Even if I met him, he was disguised as Kikyo.
context: So you've met Naraku then?\Well...\Inuyasha, you can become a mortal.\If you use the Sacred Jewel.\Tomorrow at dawn, right here...\I will bring the Sacred Jewel.\Die, Inuyasha!\Even if I met him, he was disguised as Kikyo. response:	I don't know what he looks like.
context: Well...\Inuyasha, you can become a mortal.\If you use the Sacred Jewel.\Tomorrow at dawn, right here...\I will bring the Sacred Jewel.\Die, Inuyasha!\Even if I met him, he was disguised as Kikyo.\I don't know what he looks like. response:	That's the strange part.
context: Inuyasha, you can become a mortal.\If you use the Sacred Jewel.\Tomorrow at dawn, right here...\I will bring the Sacred Jewel.\Die, Inuyasha!\Even if I met him, he was disguised as Kikyo.\I don't know what he looks like.\That's the strange part. response:	You don't know Naraku...
context: If you use the Sacred Jewel.\Tomorrow at dawn, right here...\I will bring the Sacred Jewel.\Die, Inuyasha!\Even if I met him, he was disguised as Kikyo.\I don't know what he looks like.\That's the strange part.\You don't know Naraku... response:	yet he disguised himself as Kikyo and shot an arrow at you.
context: Tomorrow at dawn, right here...\I will bring the Sacred Jewel.\Die, Inuyasha!\Even if I met him, he was disguised as Kikyo.\I don't know what he looks like.\That's the strange part.\You don't know Naraku...\yet he disguised himself as Kikyo and shot an arrow at you. response:	Did you do something that embittered him?
context: I will bring the Sacred Jewel.\Die, Inuyasha!\Even if I met him, he was disguised as Kikyo.\I don't know what he looks like.\That's the strange part.\You don't know Naraku...\yet he disguised himself as Kikyo and shot an arrow at you.\Did you do something that embittered him? response:	I've never seen his face! How would I know?!
context: Die, Inuyasha!\Even if I met him, he was disguised as Kikyo.\I don't know what he looks like.\That's the strange part.\You don't know Naraku...\yet he disguised himself as Kikyo and shot an arrow at you.\Did you do something that embittered him?\I've never seen his face! How would I know?! response:	In any case, Kikyo was a priestess.
context: Even if I met him, he was disguised as Kikyo.\I don't know what he looks like.\That's the strange part.\You don't know Naraku...\yet he disguised himself as Kikyo and shot an arrow at you.\Did you do something that embittered him?\I've never seen his face! How would I know?!\In any case, Kikyo was a priestess. response:	It could be that Naraku...
context: I don't know what he looks like.\That's the strange part.\You don't know Naraku...\yet he disguised himself as Kikyo and shot an arrow at you.\Did you do something that embittered him?\I've never seen his face! How would I know?!\In any case, Kikyo was a priestess.\It could be that Naraku... response:	had something to do with Kikyo rather than you.
context: That's the strange part.\You don't know Naraku...\yet he disguised himself as Kikyo and shot an arrow at you.\Did you do something that embittered him?\I've never seen his face! How would I know?!\In any case, Kikyo was a priestess.\It could be that Naraku...\had something to do with Kikyo rather than you. response:	Kikyo and Naraku?!
context: You don't know Naraku...\yet he disguised himself as Kikyo and shot an arrow at you.\Did you do something that embittered him?\I've never seen his face! How would I know?!\In any case, Kikyo was a priestess.\It could be that Naraku...\had something to do with Kikyo rather than you.\Kikyo and Naraku?! response:	Kagome!
context: yet he disguised himself as Kikyo and shot an arrow at you.\Did you do something that embittered him?\I've never seen his face! How would I know?!\In any case, Kikyo was a priestess.\It could be that Naraku...\had something to do with Kikyo rather than you.\Kikyo and Naraku?!\Kagome! response:	It's been so long! Is your rheumatism better?
context: Did you do something that embittered him?\I've never seen his face! How would I know?!\In any case, Kikyo was a priestess.\It could be that Naraku...\had something to do with Kikyo rather than you.\Kikyo and Naraku?!\Kagome!\It's been so long! Is your rheumatism better? response:	Not! She had beriberi!
context: I've never seen his face! How would I know?!\In any case, Kikyo was a priestess.\It could be that Naraku...\had something to do with Kikyo rather than you.\Kikyo and Naraku?!\Kagome!\It's been so long! Is your rheumatism better?\Not! She had beriberi! response:	Huh? You're not in uniform. What happened?
context: In any case, Kikyo was a priestess.\It could be that Naraku...\had something to do with Kikyo rather than you.\Kikyo and Naraku?!\Kagome!\It's been so long! Is your rheumatism better?\Not! She had beriberi!\Huh? You're not in uniform. What happened? response:	My uniform was dirty... with blood all over.
context: It could be that Naraku...\had something to do with Kikyo rather than you.\Kikyo and Naraku?!\Kagome!\It's been so long! Is your rheumatism better?\Not! She had beriberi!\Huh? You're not in uniform. What happened?\My uniform was dirty... with blood all over. response:	Huh?! Now it's hemorrhaging?!
context: had something to do with Kikyo rather than you.\Kikyo and Naraku?!\Kagome!\It's been so long! Is your rheumatism better?\Not! She had beriberi!\Huh? You're not in uniform. What happened?\My uniform was dirty... with blood all over.\Huh?! Now it's hemorrhaging?! response:	My illness is going from bad to worse.
context: Kikyo and Naraku?!\Kagome!\It's been so long! Is your rheumatism better?\Not! She had beriberi!\Huh? You're not in uniform. What happened?\My uniform was dirty... with blood all over.\Huh?! Now it's hemorrhaging?!\My illness is going from bad to worse. response:	Inuyasha's bleeding hadn't stopped.
context: Kagome!\It's been so long! Is your rheumatism better?\Not! She had beriberi!\Huh? You're not in uniform. What happened?\My uniform was dirty... with blood all over.\Huh?! Now it's hemorrhaging?!\My illness is going from bad to worse.\Inuyasha's bleeding hadn't stopped. response:	I was so worried for him...
context: It's been so long! Is your rheumatism better?\Not! She had beriberi!\Huh? You're not in uniform. What happened?\My uniform was dirty... with blood all over.\Huh?! Now it's hemorrhaging?!\My illness is going from bad to worse.\Inuyasha's bleeding hadn't stopped.\I was so worried for him... response:	When he embraced me...
context: Not! She had beriberi!\Huh? You're not in uniform. What happened?\My uniform was dirty... with blood all over.\Huh?! Now it's hemorrhaging?!\My illness is going from bad to worse.\Inuyasha's bleeding hadn't stopped.\I was so worried for him...\When he embraced me... response:	I'll hold onto this!
context: Huh? You're not in uniform. What happened?\My uniform was dirty... with blood all over.\Huh?! Now it's hemorrhaging?!\My illness is going from bad to worse.\Inuyasha's bleeding hadn't stopped.\I was so worried for him...\When he embraced me...\I'll hold onto this! response:	What if he did that on purpose to get the Sacred Jewel?
context: My uniform was dirty... with blood all over.\Huh?! Now it's hemorrhaging?!\My illness is going from bad to worse.\Inuyasha's bleeding hadn't stopped.\I was so worried for him...\When he embraced me...\I'll hold onto this!\What if he did that on purpose to get the Sacred Jewel? response:	If so, I'll never forgive him!
context: Huh?! Now it's hemorrhaging?!\My illness is going from bad to worse.\Inuyasha's bleeding hadn't stopped.\I was so worried for him...\When he embraced me...\I'll hold onto this!\What if he did that on purpose to get the Sacred Jewel?\If so, I'll never forgive him! response:	Higurashi...
context: My illness is going from bad to worse.\Inuyasha's bleeding hadn't stopped.\I was so worried for him...\When he embraced me...\I'll hold onto this!\What if he did that on purpose to get the Sacred Jewel?\If so, I'll never forgive him!\Higurashi... response:	Go stand in the hallway.
context: Inuyasha's bleeding hadn't stopped.\I was so worried for him...\When he embraced me...\I'll hold onto this!\What if he did that on purpose to get the Sacred Jewel?\If so, I'll never forgive him!\Higurashi...\Go stand in the hallway. response:	I had never been held like that by a boy...
context: I was so worried for him...\When he embraced me...\I'll hold onto this!\What if he did that on purpose to get the Sacred Jewel?\If so, I'll never forgive him!\Higurashi...\Go stand in the hallway.\I had never been held like that by a boy... response:	I guess he passes for a boy. Since he's half-human.
context: When he embraced me...\I'll hold onto this!\What if he did that on purpose to get the Sacred Jewel?\If so, I'll never forgive him!\Higurashi...\Go stand in the hallway.\I had never been held like that by a boy...\I guess he passes for a boy. Since he's half-human. response:	Inuyasha, with these injuries, you won't be able to fight for a while.
context: I'll hold onto this!\What if he did that on purpose to get the Sacred Jewel?\If so, I'll never forgive him!\Higurashi...\Go stand in the hallway.\I had never been held like that by a boy...\I guess he passes for a boy. Since he's half-human.\Inuyasha, with these injuries, you won't be able to fight for a while. response:	Shaddup! It'll be better in a few days.
context: What if he did that on purpose to get the Sacred Jewel?\If so, I'll never forgive him!\Higurashi...\Go stand in the hallway.\I had never been held like that by a boy...\I guess he passes for a boy. Since he's half-human.\Inuyasha, with these injuries, you won't be able to fight for a while.\Shaddup! It'll be better in a few days. response:	Well, I'm done.
context: If so, I'll never forgive him!\Higurashi...\Go stand in the hallway.\I had never been held like that by a boy...\I guess he passes for a boy. Since he's half-human.\Inuyasha, with these injuries, you won't be able to fight for a while.\Shaddup! It'll be better in a few days.\Well, I'm done. response:	What're you doing?!
context: Higurashi...\Go stand in the hallway.\I had never been held like that by a boy...\I guess he passes for a boy. Since he's half-human.\Inuyasha, with these injuries, you won't be able to fight for a while.\Shaddup! It'll be better in a few days.\Well, I'm done.\What're you doing?! response:	With that kind of energy, you may recover quickly.
context: Go stand in the hallway.\I had never been held like that by a boy...\I guess he passes for a boy. Since he's half-human.\Inuyasha, with these injuries, you won't be able to fight for a while.\Shaddup! It'll be better in a few days.\Well, I'm done.\What're you doing?!\With that kind of energy, you may recover quickly. response:	But I've been thinking...
context: I had never been held like that by a boy...\I guess he passes for a boy. Since he's half-human.\Inuyasha, with these injuries, you won't be able to fight for a while.\Shaddup! It'll be better in a few days.\Well, I'm done.\What're you doing?!\With that kind of energy, you may recover quickly.\But I've been thinking... response:	ever since that time my sister Kikyo was resurrected from mud.
context: I guess he passes for a boy. Since he's half-human.\Inuyasha, with these injuries, you won't be able to fight for a while.\Shaddup! It'll be better in a few days.\Well, I'm done.\What're you doing?!\With that kind of energy, you may recover quickly.\But I've been thinking...\ever since that time my sister Kikyo was resurrected from mud. response:	My sister said that her Sacred Jewel was stolen by you.
context: Inuyasha, with these injuries, you won't be able to fight for a while.\Shaddup! It'll be better in a few days.\Well, I'm done.\What're you doing?!\With that kind of energy, you may recover quickly.\But I've been thinking...\ever since that time my sister Kikyo was resurrected from mud.\My sister said that her Sacred Jewel was stolen by you. response:	Don't you think it strange?
context: Shaddup! It'll be better in a few days.\Well, I'm done.\What're you doing?!\With that kind of energy, you may recover quickly.\But I've been thinking...\ever since that time my sister Kikyo was resurrected from mud.\My sister said that her Sacred Jewel was stolen by you.\Don't you think it strange? response:	This man who disguised himself as you...
context: Well, I'm done.\What're you doing?!\With that kind of energy, you may recover quickly.\But I've been thinking...\ever since that time my sister Kikyo was resurrected from mud.\My sister said that her Sacred Jewel was stolen by you.\Don't you think it strange?\This man who disguised himself as you... response:	Why, he could have made his escape with the Jewel.
context: What're you doing?!\With that kind of energy, you may recover quickly.\But I've been thinking...\ever since that time my sister Kikyo was resurrected from mud.\My sister said that her Sacred Jewel was stolen by you.\Don't you think it strange?\This man who disguised himself as you...\Why, he could have made his escape with the Jewel. response:	Yet...
context: With that kind of energy, you may recover quickly.\But I've been thinking...\ever since that time my sister Kikyo was resurrected from mud.\My sister said that her Sacred Jewel was stolen by you.\Don't you think it strange?\This man who disguised himself as you...\Why, he could have made his escape with the Jewel.\Yet... response:	He tricked you into terrorizing the village...
context: But I've been thinking...\ever since that time my sister Kikyo was resurrected from mud.\My sister said that her Sacred Jewel was stolen by you.\Don't you think it strange?\This man who disguised himself as you...\Why, he could have made his escape with the Jewel.\Yet...\He tricked you into terrorizing the village... response:	and going after the Sacred Jewel.
context: ever since that time my sister Kikyo was resurrected from mud.\My sister said that her Sacred Jewel was stolen by you.\Don't you think it strange?\This man who disguised himself as you...\Why, he could have made his escape with the Jewel.\Yet...\He tricked you into terrorizing the village...\and going after the Sacred Jewel. response:	And then...
context: My sister said that her Sacred Jewel was stolen by you.\Don't you think it strange?\This man who disguised himself as you...\Why, he could have made his escape with the Jewel.\Yet...\He tricked you into terrorizing the village...\and going after the Sacred Jewel.\And then... response:	Kikyo sealed you to the tree.
context: Don't you think it strange?\This man who disguised himself as you...\Why, he could have made his escape with the Jewel.\Yet...\He tricked you into terrorizing the village...\and going after the Sacred Jewel.\And then...\Kikyo sealed you to the tree. response:	Did he want to make you despise each other?
context: This man who disguised himself as you...\Why, he could have made his escape with the Jewel.\Yet...\He tricked you into terrorizing the village...\and going after the Sacred Jewel.\And then...\Kikyo sealed you to the tree.\Did he want to make you despise each other? response:	Or was he trying to fill Kikyo's heart with hate and bitterness?
context: Why, he could have made his escape with the Jewel.\Yet...\He tricked you into terrorizing the village...\and going after the Sacred Jewel.\And then...\Kikyo sealed you to the tree.\Did he want to make you despise each other?\Or was he trying to fill Kikyo's heart with hate and bitterness? response:	What?
context: Yet...\He tricked you into terrorizing the village...\and going after the Sacred Jewel.\And then...\Kikyo sealed you to the tree.\Did he want to make you despise each other?\Or was he trying to fill Kikyo's heart with hate and bitterness?\What? response:	In Kikyo's possession, the Sacred Jewel remained pure.
context: He tricked you into terrorizing the village...\and going after the Sacred Jewel.\And then...\Kikyo sealed you to the tree.\Did he want to make you despise each other?\Or was he trying to fill Kikyo's heart with hate and bitterness?\What?\In Kikyo's possession, the Sacred Jewel remained pure. response:	But when her heart became unclean and hateful...
context: and going after the Sacred Jewel.\And then...\Kikyo sealed you to the tree.\Did he want to make you despise each other?\Or was he trying to fill Kikyo's heart with hate and bitterness?\What?\In Kikyo's possession, the Sacred Jewel remained pure.\But when her heart became unclean and hateful... response:	the Jewel also became unclean and filled with evil strength.
context: And then...\Kikyo sealed you to the tree.\Did he want to make you despise each other?\Or was he trying to fill Kikyo's heart with hate and bitterness?\What?\In Kikyo's possession, the Sacred Jewel remained pure.\But when her heart became unclean and hateful...\the Jewel also became unclean and filled with evil strength. response:	And at that time, only one person would have hoped for that.
