context: All right, homeroom's over! response:	Okay, guys, give it your all today!
context: All right, homeroom's over!\Okay, guys, give it your all today! response:	Okay!
context: All right, homeroom's over!\Okay, guys, give it your all today!\Okay! response:	Hey, but that was fast. How long has it been since we became second-years?
context: All right, homeroom's over!\Okay, guys, give it your all today!\Okay!\Hey, but that was fast. How long has it been since we became second-years? response:	We're already so used to it now, aren't we?
context: All right, homeroom's over!\Okay, guys, give it your all today!\Okay!\Hey, but that was fast. How long has it been since we became second-years?\We're already so used to it now, aren't we? response:	But I'm so glad that we all got to be in the same class.
context: All right, homeroom's over!\Okay, guys, give it your all today!\Okay!\Hey, but that was fast. How long has it been since we became second-years?\We're already so used to it now, aren't we?\But I'm so glad that we all got to be in the same class. response:	And we have Ms. Kyoko again.
context: All right, homeroom's over!\Okay, guys, give it your all today!\Okay!\Hey, but that was fast. How long has it been since we became second-years?\We're already so used to it now, aren't we?\But I'm so glad that we all got to be in the same class.\And we have Ms. Kyoko again. response:	Right. Especially for you.
context: All right, homeroom's over!\Okay, guys, give it your all today!\Okay!\Hey, but that was fast. How long has it been since we became second-years?\We're already so used to it now, aren't we?\But I'm so glad that we all got to be in the same class.\And we have Ms. Kyoko again.\Right. Especially for you. response:	The day they announced what class we'd be in, this one was so happy she was in tears.
context: Okay, guys, give it your all today!\Okay!\Hey, but that was fast. How long has it been since we became second-years?\We're already so used to it now, aren't we?\But I'm so glad that we all got to be in the same class.\And we have Ms. Kyoko again.\Right. Especially for you.\The day they announced what class we'd be in, this one was so happy she was in tears. response:	Ruri!
context: Okay!\Hey, but that was fast. How long has it been since we became second-years?\We're already so used to it now, aren't we?\But I'm so glad that we all got to be in the same class.\And we have Ms. Kyoko again.\Right. Especially for you.\The day they announced what class we'd be in, this one was so happy she was in tears.\Ruri! response:	You really are a sweetheart, Onodera!
context: Hey, but that was fast. How long has it been since we became second-years?\We're already so used to it now, aren't we?\But I'm so glad that we all got to be in the same class.\And we have Ms. Kyoko again.\Right. Especially for you.\The day they announced what class we'd be in, this one was so happy she was in tears.\Ruri!\You really are a sweetheart, Onodera! response:	Isn't it great that we even have the same seats?
context: We're already so used to it now, aren't we?\But I'm so glad that we all got to be in the same class.\And we have Ms. Kyoko again.\Right. Especially for you.\The day they announced what class we'd be in, this one was so happy she was in tears.\Ruri!\You really are a sweetheart, Onodera!\Isn't it great that we even have the same seats? response:	What's so great about that?
context: But I'm so glad that we all got to be in the same class.\And we have Ms. Kyoko again.\Right. Especially for you.\The day they announced what class we'd be in, this one was so happy she was in tears.\Ruri!\You really are a sweetheart, Onodera!\Isn't it great that we even have the same seats?\What's so great about that? response:	Really, Ruri!
context: And we have Ms. Kyoko again.\Right. Especially for you.\The day they announced what class we'd be in, this one was so happy she was in tears.\Ruri!\You really are a sweetheart, Onodera!\Isn't it great that we even have the same seats?\What's so great about that?\Really, Ruri! response:	Oh, I get it!
context: Right. Especially for you.\The day they announced what class we'd be in, this one was so happy she was in tears.\Ruri!\You really are a sweetheart, Onodera!\Isn't it great that we even have the same seats?\What's so great about that?\Really, Ruri!\Oh, I get it! response:	Because you're sitting near me, Ruri!
