context: Not Enough Money response:	Will I get to make an appearance this time around?
context: Not Enough Money\Will I get to make an appearance this time around? response:	*nervous*
context: Not Enough Money\Will I get to make an appearance this time around?\*nervous* response:	Poor guy
context: Not Enough Money\Will I get to make an appearance this time around?\*nervous*\Poor guy response:	Grr
context: Not Enough Money\Will I get to make an appearance this time around?\*nervous*\Poor guy\Grr response:	They cut down on the extra mini-segments because there isn't enough money?!
context: Not Enough Money\Will I get to make an appearance this time around?\*nervous*\Poor guy\Grr\They cut down on the extra mini-segments because there isn't enough money?! response:	Put together a two-hour Saturday 8 o'clock special!
context: Not Enough Money\Will I get to make an appearance this time around?\*nervous*\Poor guy\Grr\They cut down on the extra mini-segments because there isn't enough money?!\Put together a two-hour Saturday 8 o'clock special! response:	Write a 500 page script!
context: Not Enough Money\Will I get to make an appearance this time around?\*nervous*\Poor guy\Grr\They cut down on the extra mini-segments because there isn't enough money?!\Put together a two-hour Saturday 8 o'clock special!\Write a 500 page script! response:	Don't spend the whole time talking about Chihaya!
context: Will I get to make an appearance this time around?\*nervous*\Poor guy\Grr\They cut down on the extra mini-segments because there isn't enough money?!\Put together a two-hour Saturday 8 o'clock special!\Write a 500 page script!\Don't spend the whole time talking about Chihaya! response:	Pissed
context: *nervous*\Poor guy\Grr\They cut down on the extra mini-segments because there isn't enough money?!\Put together a two-hour Saturday 8 o'clock special!\Write a 500 page script!\Don't spend the whole time talking about Chihaya!\Pissed response:	What?! I thought you were finally going to show my Road to Class A!
context: Poor guy\Grr\They cut down on the extra mini-segments because there isn't enough money?!\Put together a two-hour Saturday 8 o'clock special!\Write a 500 page script!\Don't spend the whole time talking about Chihaya!\Pissed\What?! I thought you were finally going to show my Road to Class A! response:	Stop toying with me!
context: Grr\They cut down on the extra mini-segments because there isn't enough money?!\Put together a two-hour Saturday 8 o'clock special!\Write a 500 page script!\Don't spend the whole time talking about Chihaya!\Pissed\What?! I thought you were finally going to show my Road to Class A!\Stop toying with me! response:	Considering my skill, it's obvious that I'll make Class A before Mashima does!
context: They cut down on the extra mini-segments because there isn't enough money?!\Put together a two-hour Saturday 8 o'clock special!\Write a 500 page script!\Don't spend the whole time talking about Chihaya!\Pissed\What?! I thought you were finally going to show my Road to Class A!\Stop toying with me!\Considering my skill, it's obvious that I'll make Class A before Mashima does! response:	I didn't get any screen time the first season,
context: Put together a two-hour Saturday 8 o'clock special!\Write a 500 page script!\Don't spend the whole time talking about Chihaya!\Pissed\What?! I thought you were finally going to show my Road to Class A!\Stop toying with me!\Considering my skill, it's obvious that I'll make Class A before Mashima does!\I didn't get any screen time the first season, response:	so I'll be the main character this time around, yes?
context: Write a 500 page script!\Don't spend the whole time talking about Chihaya!\Pissed\What?! I thought you were finally going to show my Road to Class A!\Stop toying with me!\Considering my skill, it's obvious that I'll make Class A before Mashima does!\I didn't get any screen time the first season,\so I'll be the main character this time around, yes? response:	What? I'm not?
context: Don't spend the whole time talking about Chihaya!\Pissed\What?! I thought you were finally going to show my Road to Class A!\Stop toying with me!\Considering my skill, it's obvious that I'll make Class A before Mashima does!\I didn't get any screen time the first season,\so I'll be the main character this time around, yes?\What? I'm not? response:	My story about giving up on love to pursue my dream of designing
context: Pissed\What?! I thought you were finally going to show my Road to Class A!\Stop toying with me!\Considering my skill, it's obvious that I'll make Class A before Mashima does!\I didn't get any screen time the first season,\so I'll be the main character this time around, yes?\What? I'm not?\My story about giving up on love to pursue my dream of designing response:	Wait! Who is this Johnny Depp look-alike?!
context: What?! I thought you were finally going to show my Road to Class A!\Stop toying with me!\Considering my skill, it's obvious that I'll make Class A before Mashima does!\I didn't get any screen time the first season,\so I'll be the main character this time around, yes?\What? I'm not?\My story about giving up on love to pursue my dream of designing\Wait! Who is this Johnny Depp look-alike?! response:	Lock on
context: Stop toying with me!\Considering my skill, it's obvious that I'll make Class A before Mashima does!\I didn't get any screen time the first season,\so I'll be the main character this time around, yes?\What? I'm not?\My story about giving up on love to pursue my dream of designing\Wait! Who is this Johnny Depp look-alike?!\Lock on response:	He's so hot!
context: Considering my skill, it's obvious that I'll make Class A before Mashima does!\I didn't get any screen time the first season,\so I'll be the main character this time around, yes?\What? I'm not?\My story about giving up on love to pursue my dream of designing\Wait! Who is this Johnny Depp look-alike?!\Lock on\He's so hot! response:	Good morning.
context: I didn't get any screen time the first season,\so I'll be the main character this time around, yes?\What? I'm not?\My story about giving up on love to pursue my dream of designing\Wait! Who is this Johnny Depp look-alike?!\Lock on\He's so hot!\Good morning. response:	Impossible...
context: so I'll be the main character this time around, yes?\What? I'm not?\My story about giving up on love to pursue my dream of designing\Wait! Who is this Johnny Depp look-alike?!\Lock on\He's so hot!\Good morning.\Impossible... response:	I was dumped...
context: What? I'm not?\My story about giving up on love to pursue my dream of designing\Wait! Who is this Johnny Depp look-alike?!\Lock on\He's so hot!\Good morning.\Impossible...\I was dumped... response:	I need to find a new boyfriend!
context: My story about giving up on love to pursue my dream of designing\Wait! Who is this Johnny Depp look-alike?!\Lock on\He's so hot!\Good morning.\Impossible...\I was dumped...\I need to find a new boyfriend! response:	The hottest guy in this school!
context: Wait! Who is this Johnny Depp look-alike?!\Lock on\He's so hot!\Good morning.\Impossible...\I was dumped...\I need to find a new boyfriend!\The hottest guy in this school! response:	This is the last new member, um...
context: Lock on\He's so hot!\Good morning.\Impossible...\I was dumped...\I need to find a new boyfriend!\The hottest guy in this school!\This is the last new member, um... response:	I'm Tsukuba from class 1-10.
context: He's so hot!\Good morning.\Impossible...\I was dumped...\I need to find a new boyfriend!\The hottest guy in this school!\This is the last new member, um...\I'm Tsukuba from class 1-10. response:	Um, nobody was in the classroom...
context: Good morning.\Impossible...\I was dumped...\I need to find a new boyfriend!\The hottest guy in this school!\This is the last new member, um...\I'm Tsukuba from class 1-10.\Um, nobody was in the classroom... response:	Are we in here today?
context: Impossible...\I was dumped...\I need to find a new boyfriend!\The hottest guy in this school!\This is the last new member, um...\I'm Tsukuba from class 1-10.\Um, nobody was in the classroom...\Are we in here today? response:	Thank you for coming, Hanano-san!
context: I was dumped...\I need to find a new boyfriend!\The hottest guy in this school!\This is the last new member, um...\I'm Tsukuba from class 1-10.\Um, nobody was in the classroom...\Are we in here today?\Thank you for coming, Hanano-san! response:	Thank you!
context: I need to find a new boyfriend!\The hottest guy in this school!\This is the last new member, um...\I'm Tsukuba from class 1-10.\Um, nobody was in the classroom...\Are we in here today?\Thank you for coming, Hanano-san!\Thank you! response:	So the flower has wilted during the long spring rains, just as my beauty has faded
context: The hottest guy in this school!\This is the last new member, um...\I'm Tsukuba from class 1-10.\Um, nobody was in the classroom...\Are we in here today?\Thank you for coming, Hanano-san!\Thank you!\So the flower has wilted during the long spring rains, just as my beauty has faded response:	I know this one!
context: This is the last new member, um...\I'm Tsukuba from class 1-10.\Um, nobody was in the classroom...\Are we in here today?\Thank you for coming, Hanano-san!\Thank you!\So the flower has wilted during the long spring rains, just as my beauty has faded\I know this one! response:	You were happy about taking your first card, right?
context: I'm Tsukuba from class 1-10.\Um, nobody was in the classroom...\Are we in here today?\Thank you for coming, Hanano-san!\Thank you!\So the flower has wilted during the long spring rains, just as my beauty has faded\I know this one!\You were happy about taking your first card, right? response:	You'll start moving faster and faster to take cards, Sumire-chan.
context: Um, nobody was in the classroom...\Are we in here today?\Thank you for coming, Hanano-san!\Thank you!\So the flower has wilted during the long spring rains, just as my beauty has faded\I know this one!\You were happy about taking your first card, right?\You'll start moving faster and faster to take cards, Sumire-chan. response:	O-Okay, how about your right hand?
context: Are we in here today?\Thank you for coming, Hanano-san!\Thank you!\So the flower has wilted during the long spring rains, just as my beauty has faded\I know this one!\You were happy about taking your first card, right?\You'll start moving faster and faster to take cards, Sumire-chan.\O-Okay, how about your right hand? response:	Just trim your right hand.
