context: I'm home. response:	It's just you?
context: I'm home.\It's just you? response:	Well, I'm terribly sorry to disappoint.
context: I'm home.\It's just you?\Well, I'm terribly sorry to disappoint. response:	Were you waiting for a friend or something?
context: I'm home.\It's just you?\Well, I'm terribly sorry to disappoint.\Were you waiting for a friend or something? response:	Nothing to do with you.
context: I'm home.\It's just you?\Well, I'm terribly sorry to disappoint.\Were you waiting for a friend or something?\Nothing to do with you. response:	And I thought it came too, since I heard a motorcycle...
context: I'm home.\It's just you?\Well, I'm terribly sorry to disappoint.\Were you waiting for a friend or something?\Nothing to do with you.\And I thought it came too, since I heard a motorcycle... response:	She's been kind of restless the past few days...
context: I'm home.\It's just you?\Well, I'm terribly sorry to disappoint.\Were you waiting for a friend or something?\Nothing to do with you.\And I thought it came too, since I heard a motorcycle...\She's been kind of restless the past few days... response:	The next life counseling will be the last one.
context: I'm home.\It's just you?\Well, I'm terribly sorry to disappoint.\Were you waiting for a friend or something?\Nothing to do with you.\And I thought it came too, since I heard a motorcycle...\She's been kind of restless the past few days...\The next life counseling will be the last one. response:	She hasn't said anything since that, either.
context: It's just you?\Well, I'm terribly sorry to disappoint.\Were you waiting for a friend or something?\Nothing to do with you.\And I thought it came too, since I heard a motorcycle...\She's been kind of restless the past few days...\The next life counseling will be the last one.\She hasn't said anything since that, either. response:	What's she thinking?
context: Well, I'm terribly sorry to disappoint.\Were you waiting for a friend or something?\Nothing to do with you.\And I thought it came too, since I heard a motorcycle...\She's been kind of restless the past few days...\The next life counseling will be the last one.\She hasn't said anything since that, either.\What's she thinking? response:	I'll leave your dinner in the fridge.
context: Were you waiting for a friend or something?\Nothing to do with you.\And I thought it came too, since I heard a motorcycle...\She's been kind of restless the past few days...\The next life counseling will be the last one.\She hasn't said anything since that, either.\What's she thinking?\I'll leave your dinner in the fridge. response:	Mom and Dad said they'll be back around 10, so eat it whenever.
context: Nothing to do with you.\And I thought it came too, since I heard a motorcycle...\She's been kind of restless the past few days...\The next life counseling will be the last one.\She hasn't said anything since that, either.\What's she thinking?\I'll leave your dinner in the fridge.\Mom and Dad said they'll be back around 10, so eat it whenever. response:	Hey, are you listening?
context: And I thought it came too, since I heard a motorcycle...\She's been kind of restless the past few days...\The next life counseling will be the last one.\She hasn't said anything since that, either.\What's she thinking?\I'll leave your dinner in the fridge.\Mom and Dad said they'll be back around 10, so eat it whenever.\Hey, are you listening? response:	Dammit, I want to play it already!
context: She's been kind of restless the past few days...\The next life counseling will be the last one.\She hasn't said anything since that, either.\What's she thinking?\I'll leave your dinner in the fridge.\Mom and Dad said they'll be back around 10, so eat it whenever.\Hey, are you listening?\Dammit, I want to play it already! response:	Damn you people who got it on the first day!
context: The next life counseling will be the last one.\She hasn't said anything since that, either.\What's she thinking?\I'll leave your dinner in the fridge.\Mom and Dad said they'll be back around 10, so eat it whenever.\Hey, are you listening?\Dammit, I want to play it already!\Damn you people who got it on the first day! response:	She's not even listening...
