context: Don't you get bored? You've been sniffing stuff all day. response:	Cut it out.
context: Don't you get bored? You've been sniffing stuff all day.\Cut it out. response:	Ouch...
context: Don't you get bored? You've been sniffing stuff all day.\Cut it out.\Ouch... response:	Huh? I feel dizzy...
context: Don't you get bored? You've been sniffing stuff all day.\Cut it out.\Ouch...\Huh? I feel dizzy... response:	Party is over
context: Don't you get bored? You've been sniffing stuff all day.\Cut it out.\Ouch...\Huh? I feel dizzy...\Party is over response:	But I still wanna dance
context: Don't you get bored? You've been sniffing stuff all day.\Cut it out.\Ouch...\Huh? I feel dizzy...\Party is over\But I still wanna dance response:	I can't even sleep
context: Don't you get bored? You've been sniffing stuff all day.\Cut it out.\Ouch...\Huh? I feel dizzy...\Party is over\But I still wanna dance\I can't even sleep response:	Someday, one day my passion's fire will
context: Don't you get bored? You've been sniffing stuff all day.\Cut it out.\Ouch...\Huh? I feel dizzy...\Party is over\But I still wanna dance\I can't even sleep\Someday, one day my passion's fire will response:	From the beginning I knew
context: Cut it out.\Ouch...\Huh? I feel dizzy...\Party is over\But I still wanna dance\I can't even sleep\Someday, one day my passion's fire will\From the beginning I knew response:	One day the flames would die out
context: Ouch...\Huh? I feel dizzy...\Party is over\But I still wanna dance\I can't even sleep\Someday, one day my passion's fire will\From the beginning I knew\One day the flames would die out response:	Hey, I thought I didn't need anything
context: Huh? I feel dizzy...\Party is over\But I still wanna dance\I can't even sleep\Someday, one day my passion's fire will\From the beginning I knew\One day the flames would die out\Hey, I thought I didn't need anything response:	But even now, I'm so serious
context: Party is over\But I still wanna dance\I can't even sleep\Someday, one day my passion's fire will\From the beginning I knew\One day the flames would die out\Hey, I thought I didn't need anything\But even now, I'm so serious response:	Ah... I still have time to make it
context: But I still wanna dance\I can't even sleep\Someday, one day my passion's fire will\From the beginning I knew\One day the flames would die out\Hey, I thought I didn't need anything\But even now, I'm so serious\Ah... I still have time to make it response:	Ah... but I'm gonna burn it up, baby
context: I can't even sleep\Someday, one day my passion's fire will\From the beginning I knew\One day the flames would die out\Hey, I thought I didn't need anything\But even now, I'm so serious\Ah... I still have time to make it\Ah... but I'm gonna burn it up, baby response:	Sorry darling, it's not that easy
context: Someday, one day my passion's fire will\From the beginning I knew\One day the flames would die out\Hey, I thought I didn't need anything\But even now, I'm so serious\Ah... I still have time to make it\Ah... but I'm gonna burn it up, baby\Sorry darling, it's not that easy response:	But surely it's not that bad either
context: From the beginning I knew\One day the flames would die out\Hey, I thought I didn't need anything\But even now, I'm so serious\Ah... I still have time to make it\Ah... but I'm gonna burn it up, baby\Sorry darling, it's not that easy\But surely it's not that bad either response:	Give me fire
context: One day the flames would die out\Hey, I thought I didn't need anything\But even now, I'm so serious\Ah... I still have time to make it\Ah... but I'm gonna burn it up, baby\Sorry darling, it's not that easy\But surely it's not that bad either\Give me fire response:	Light it up, baby. I'm gonna burn it up, yeah
context: Hey, I thought I didn't need anything\But even now, I'm so serious\Ah... I still have time to make it\Ah... but I'm gonna burn it up, baby\Sorry darling, it's not that easy\But surely it's not that bad either\Give me fire\Light it up, baby. I'm gonna burn it up, yeah response:	Party is over
context: But even now, I'm so serious\Ah... I still have time to make it\Ah... but I'm gonna burn it up, baby\Sorry darling, it's not that easy\But surely it's not that bad either\Give me fire\Light it up, baby. I'm gonna burn it up, yeah\Party is over response:	Sorry darling Hurry up Ah... I still have time to make it
context: Ah... I still have time to make it\Ah... but I'm gonna burn it up, baby\Sorry darling, it's not that easy\But surely it's not that bad either\Give me fire\Light it up, baby. I'm gonna burn it up, yeah\Party is over\Sorry darling Hurry up Ah... I still have time to make it response:	Sorry darling Hurry up Ah... I still have time to make it
context: Ah... but I'm gonna burn it up, baby\Sorry darling, it's not that easy\But surely it's not that bad either\Give me fire\Light it up, baby. I'm gonna burn it up, yeah\Party is over\Sorry darling Hurry up Ah... I still have time to make it\Sorry darling Hurry up Ah... I still have time to make it response:	Give me fire
context: Sorry darling, it's not that easy\But surely it's not that bad either\Give me fire\Light it up, baby. I'm gonna burn it up, yeah\Party is over\Sorry darling Hurry up Ah... I still have time to make it\Sorry darling Hurry up Ah... I still have time to make it\Give me fire response:	Light it up, baby. I'm gonna burn it up, yeah
context: But surely it's not that bad either\Give me fire\Light it up, baby. I'm gonna burn it up, yeah\Party is over\Sorry darling Hurry up Ah... I still have time to make it\Sorry darling Hurry up Ah... I still have time to make it\Give me fire\Light it up, baby. I'm gonna burn it up, yeah response:	9 The story of the mercilessness
context: Give me fire\Light it up, baby. I'm gonna burn it up, yeah\Party is over\Sorry darling Hurry up Ah... I still have time to make it\Sorry darling Hurry up Ah... I still have time to make it\Give me fire\Light it up, baby. I'm gonna burn it up, yeah\9 The story of the mercilessness response:	What do you want?
context: Light it up, baby. I'm gonna burn it up, yeah\Party is over\Sorry darling Hurry up Ah... I still have time to make it\Sorry darling Hurry up Ah... I still have time to make it\Give me fire\Light it up, baby. I'm gonna burn it up, yeah\9 The story of the mercilessness\What do you want? response:	Dororo...
context: Party is over\Sorry darling Hurry up Ah... I still have time to make it\Sorry darling Hurry up Ah... I still have time to make it\Give me fire\Light it up, baby. I'm gonna burn it up, yeah\9 The story of the mercilessness\What do you want?\Dororo... response:	Dororo, body, hot...
context: Sorry darling Hurry up Ah... I still have time to make it\Sorry darling Hurry up Ah... I still have time to make it\Give me fire\Light it up, baby. I'm gonna burn it up, yeah\9 The story of the mercilessness\What do you want?\Dororo...\Dororo, body, hot... response:	Sick, huh? Sorry, but I'm just a farmer.
context: Sorry darling Hurry up Ah... I still have time to make it\Give me fire\Light it up, baby. I'm gonna burn it up, yeah\9 The story of the mercilessness\What do you want?\Dororo...\Dororo, body, hot...\Sick, huh? Sorry, but I'm just a farmer. response:	I ain't got no medicine. Don't know how to help.
context: Give me fire\Light it up, baby. I'm gonna burn it up, yeah\9 The story of the mercilessness\What do you want?\Dororo...\Dororo, body, hot...\Sick, huh? Sorry, but I'm just a farmer.\I ain't got no medicine. Don't know how to help. response:	Sorry, kid.
context: Light it up, baby. I'm gonna burn it up, yeah\9 The story of the mercilessness\What do you want?\Dororo...\Dororo, body, hot...\Sick, huh? Sorry, but I'm just a farmer.\I ain't got no medicine. Don't know how to help.\Sorry, kid. response:	Mama?
context: 9 The story of the mercilessness\What do you want?\Dororo...\Dororo, body, hot...\Sick, huh? Sorry, but I'm just a farmer.\I ain't got no medicine. Don't know how to help.\Sorry, kid.\Mama? response:	Is something the matter?
context: What do you want?\Dororo...\Dororo, body, hot...\Sick, huh? Sorry, but I'm just a farmer.\I ain't got no medicine. Don't know how to help.\Sorry, kid.\Mama?\Is something the matter? response:	Mama...
context: Dororo...\Dororo, body, hot...\Sick, huh? Sorry, but I'm just a farmer.\I ain't got no medicine. Don't know how to help.\Sorry, kid.\Mama?\Is something the matter?\Mama... response:	Don't worry, you just sleep some more.
context: Dororo, body, hot...\Sick, huh? Sorry, but I'm just a farmer.\I ain't got no medicine. Don't know how to help.\Sorry, kid.\Mama?\Is something the matter?\Mama...\Don't worry, you just sleep some more. response:	This is a temple. Your friend brought you here.
context: Sick, huh? Sorry, but I'm just a farmer.\I ain't got no medicine. Don't know how to help.\Sorry, kid.\Mama?\Is something the matter?\Mama...\Don't worry, you just sleep some more.\This is a temple. Your friend brought you here. response:	Hyakkimaru?
context: I ain't got no medicine. Don't know how to help.\Sorry, kid.\Mama?\Is something the matter?\Mama...\Don't worry, you just sleep some more.\This is a temple. Your friend brought you here.\Hyakkimaru? response:	Oh no!
context: Sorry, kid.\Mama?\Is something the matter?\Mama...\Don't worry, you just sleep some more.\This is a temple. Your friend brought you here.\Hyakkimaru?\Oh no! response:	You mustn't!
context: Mama?\Is something the matter?\Mama...\Don't worry, you just sleep some more.\This is a temple. Your friend brought you here.\Hyakkimaru?\Oh no!\You mustn't! response:	No! He'll leave me behind again.
context: Is something the matter?\Mama...\Don't worry, you just sleep some more.\This is a temple. Your friend brought you here.\Hyakkimaru?\Oh no!\You mustn't!\No! He'll leave me behind again. response:	Don't worry, he just went to go fetch some water.
context: Mama...\Don't worry, you just sleep some more.\This is a temple. Your friend brought you here.\Hyakkimaru?\Oh no!\You mustn't!\No! He'll leave me behind again.\Don't worry, he just went to go fetch some water. response:	Nobody is going to leave you behind.
context: Don't worry, you just sleep some more.\This is a temple. Your friend brought you here.\Hyakkimaru?\Oh no!\You mustn't!\No! He'll leave me behind again.\Don't worry, he just went to go fetch some water.\Nobody is going to leave you behind. response:	I hate Manjushage, the red spider lilies.
context: This is a temple. Your friend brought you here.\Hyakkimaru?\Oh no!\You mustn't!\No! He'll leave me behind again.\Don't worry, he just went to go fetch some water.\Nobody is going to leave you behind.\I hate Manjushage, the red spider lilies. response:	They remind me of my papa and mama.
context: Hyakkimaru?\Oh no!\You mustn't!\No! He'll leave me behind again.\Don't worry, he just went to go fetch some water.\Nobody is going to leave you behind.\I hate Manjushage, the red spider lilies.\They remind me of my papa and mama. response:	Were they such terrible parents?
context: Oh no!\You mustn't!\No! He'll leave me behind again.\Don't worry, he just went to go fetch some water.\Nobody is going to leave you behind.\I hate Manjushage, the red spider lilies.\They remind me of my papa and mama.\Were they such terrible parents? response:	No!
context: You mustn't!\No! He'll leave me behind again.\Don't worry, he just went to go fetch some water.\Nobody is going to leave you behind.\I hate Manjushage, the red spider lilies.\They remind me of my papa and mama.\Were they such terrible parents?\No! response:	That's not it.
context: No! He'll leave me behind again.\Don't worry, he just went to go fetch some water.\Nobody is going to leave you behind.\I hate Manjushage, the red spider lilies.\They remind me of my papa and mama.\Were they such terrible parents?\No!\That's not it. response:	Papa and Mama were strong and kind.
context: Don't worry, he just went to go fetch some water.\Nobody is going to leave you behind.\I hate Manjushage, the red spider lilies.\They remind me of my papa and mama.\Were they such terrible parents?\No!\That's not it.\Papa and Mama were strong and kind. response:	Papa, take me with you next time.
context: Nobody is going to leave you behind.\I hate Manjushage, the red spider lilies.\They remind me of my papa and mama.\Were they such terrible parents?\No!\That's not it.\Papa and Mama were strong and kind.\Papa, take me with you next time. response:	If your mama says okay.
context: I hate Manjushage, the red spider lilies.\They remind me of my papa and mama.\Were they such terrible parents?\No!\That's not it.\Papa and Mama were strong and kind.\Papa, take me with you next time.\If your mama says okay. response:	Those samurai had it coming.
context: They remind me of my papa and mama.\Were they such terrible parents?\No!\That's not it.\Papa and Mama were strong and kind.\Papa, take me with you next time.\If your mama says okay.\Those samurai had it coming. response:	Right, Boss?
context: Were they such terrible parents?\No!\That's not it.\Papa and Mama were strong and kind.\Papa, take me with you next time.\If your mama says okay.\Those samurai had it coming.\Right, Boss? response:	All shivering pale like they saw a ghost.
context: No!\That's not it.\Papa and Mama were strong and kind.\Papa, take me with you next time.\If your mama says okay.\Those samurai had it coming.\Right, Boss?\All shivering pale like they saw a ghost. response:	We wouldn't even lose to Daigo's army now.
context: That's not it.\Papa and Mama were strong and kind.\Papa, take me with you next time.\If your mama says okay.\Those samurai had it coming.\Right, Boss?\All shivering pale like they saw a ghost.\We wouldn't even lose to Daigo's army now. response:	No doubt.
context: Papa and Mama were strong and kind.\Papa, take me with you next time.\If your mama says okay.\Those samurai had it coming.\Right, Boss?\All shivering pale like they saw a ghost.\We wouldn't even lose to Daigo's army now.\No doubt. response:	Who should we get next?
context: Papa, take me with you next time.\If your mama says okay.\Those samurai had it coming.\Right, Boss?\All shivering pale like they saw a ghost.\We wouldn't even lose to Daigo's army now.\No doubt.\Who should we get next? response:	Let's see.
context: If your mama says okay.\Those samurai had it coming.\Right, Boss?\All shivering pale like they saw a ghost.\We wouldn't even lose to Daigo's army now.\No doubt.\Who should we get next?\Let's see. response:	Go on to Mama now.
context: Those samurai had it coming.\Right, Boss?\All shivering pale like they saw a ghost.\We wouldn't even lose to Daigo's army now.\No doubt.\Who should we get next?\Let's see.\Go on to Mama now. response:	I wanna listen.
context: Right, Boss?\All shivering pale like they saw a ghost.\We wouldn't even lose to Daigo's army now.\No doubt.\Who should we get next?\Let's see.\Go on to Mama now.\I wanna listen. response:	Dororo, I'll play with you later.
context: All shivering pale like they saw a ghost.\We wouldn't even lose to Daigo's army now.\No doubt.\Who should we get next?\Let's see.\Go on to Mama now.\I wanna listen.\Dororo, I'll play with you later. response:	Humph, no way.
context: We wouldn't even lose to Daigo's army now.\No doubt.\Who should we get next?\Let's see.\Go on to Mama now.\I wanna listen.\Dororo, I'll play with you later.\Humph, no way. response:	Mama!
context: No doubt.\Who should we get next?\Let's see.\Go on to Mama now.\I wanna listen.\Dororo, I'll play with you later.\Humph, no way.\Mama! response:	I want to go with Papa.
context: Who should we get next?\Let's see.\Go on to Mama now.\I wanna listen.\Dororo, I'll play with you later.\Humph, no way.\Mama!\I want to go with Papa. response:	I told you, no.
context: Let's see.\Go on to Mama now.\I wanna listen.\Dororo, I'll play with you later.\Humph, no way.\Mama!\I want to go with Papa.\I told you, no. response:	I can beat up the bad guys, too.
context: Go on to Mama now.\I wanna listen.\Dororo, I'll play with you later.\Humph, no way.\Mama!\I want to go with Papa.\I told you, no.\I can beat up the bad guys, too. response:	When you get a little bigger, okay?
context: I wanna listen.\Dororo, I'll play with you later.\Humph, no way.\Mama!\I want to go with Papa.\I told you, no.\I can beat up the bad guys, too.\When you get a little bigger, okay? response:	I wanna go now! Please!
context: Dororo, I'll play with you later.\Humph, no way.\Mama!\I want to go with Papa.\I told you, no.\I can beat up the bad guys, too.\When you get a little bigger, okay?\I wanna go now! Please! response:	Do you want me to hang you up on a tree again?
context: Humph, no way.\Mama!\I want to go with Papa.\I told you, no.\I can beat up the bad guys, too.\When you get a little bigger, okay?\I wanna go now! Please!\Do you want me to hang you up on a tree again? response:	What's with the puffed cheeks? Trying to be a squirrel?
context: Mama!\I want to go with Papa.\I told you, no.\I can beat up the bad guys, too.\When you get a little bigger, okay?\I wanna go now! Please!\Do you want me to hang you up on a tree again?\What's with the puffed cheeks? Trying to be a squirrel? response:	I'm no squirrel.
context: I want to go with Papa.\I told you, no.\I can beat up the bad guys, too.\When you get a little bigger, okay?\I wanna go now! Please!\Do you want me to hang you up on a tree again?\What's with the puffed cheeks? Trying to be a squirrel?\I'm no squirrel. response:	Whatcha doing?
context: I told you, no.\I can beat up the bad guys, too.\When you get a little bigger, okay?\I wanna go now! Please!\Do you want me to hang you up on a tree again?\What's with the puffed cheeks? Trying to be a squirrel?\I'm no squirrel.\Whatcha doing? response:	Throwing rocks. I can't use a sword, so I'll beat the bad guys like this.
context: I can beat up the bad guys, too.\When you get a little bigger, okay?\I wanna go now! Please!\Do you want me to hang you up on a tree again?\What's with the puffed cheeks? Trying to be a squirrel?\I'm no squirrel.\Whatcha doing?\Throwing rocks. I can't use a sword, so I'll beat the bad guys like this. response:	I like the way you think.
context: When you get a little bigger, okay?\I wanna go now! Please!\Do you want me to hang you up on a tree again?\What's with the puffed cheeks? Trying to be a squirrel?\I'm no squirrel.\Whatcha doing?\Throwing rocks. I can't use a sword, so I'll beat the bad guys like this.\I like the way you think. response:	But you know Dororo, you can't live on just strength from now on.
context: I wanna go now! Please!\Do you want me to hang you up on a tree again?\What's with the puffed cheeks? Trying to be a squirrel?\I'm no squirrel.\Whatcha doing?\Throwing rocks. I can't use a sword, so I'll beat the bad guys like this.\I like the way you think.\But you know Dororo, you can't live on just strength from now on. response:	Big trouble!
context: Do you want me to hang you up on a tree again?\What's with the puffed cheeks? Trying to be a squirrel?\I'm no squirrel.\Whatcha doing?\Throwing rocks. I can't use a sword, so I'll beat the bad guys like this.\I like the way you think.\But you know Dororo, you can't live on just strength from now on.\Big trouble! response:	The samurai are coming!
context: What's with the puffed cheeks? Trying to be a squirrel?\I'm no squirrel.\Whatcha doing?\Throwing rocks. I can't use a sword, so I'll beat the bad guys like this.\I like the way you think.\But you know Dororo, you can't live on just strength from now on.\Big trouble!\The samurai are coming! response:	Dororo, you hide over there.
context: I'm no squirrel.\Whatcha doing?\Throwing rocks. I can't use a sword, so I'll beat the bad guys like this.\I like the way you think.\But you know Dororo, you can't live on just strength from now on.\Big trouble!\The samurai are coming!\Dororo, you hide over there. response:	-Boss! -Came for revenge, huh.
context: Whatcha doing?\Throwing rocks. I can't use a sword, so I'll beat the bad guys like this.\I like the way you think.\But you know Dororo, you can't live on just strength from now on.\Big trouble!\The samurai are coming!\Dororo, you hide over there.\-Boss! -Came for revenge, huh. response:	You'll pay for what you did, you crooks!
context: Throwing rocks. I can't use a sword, so I'll beat the bad guys like this.\I like the way you think.\But you know Dororo, you can't live on just strength from now on.\Big trouble!\The samurai are coming!\Dororo, you hide over there.\-Boss! -Came for revenge, huh.\You'll pay for what you did, you crooks! response:	We only strike samurai.
context: I like the way you think.\But you know Dororo, you can't live on just strength from now on.\Big trouble!\The samurai are coming!\Dororo, you hide over there.\-Boss! -Came for revenge, huh.\You'll pay for what you did, you crooks!\We only strike samurai. response:	Don't take us for some lowlife scumbags!
context: But you know Dororo, you can't live on just strength from now on.\Big trouble!\The samurai are coming!\Dororo, you hide over there.\-Boss! -Came for revenge, huh.\You'll pay for what you did, you crooks!\We only strike samurai.\Don't take us for some lowlife scumbags! response:	Shut up!
context: Big trouble!\The samurai are coming!\Dororo, you hide over there.\-Boss! -Came for revenge, huh.\You'll pay for what you did, you crooks!\We only strike samurai.\Don't take us for some lowlife scumbags!\Shut up! response:	-Dororo! -Mama.
context: The samurai are coming!\Dororo, you hide over there.\-Boss! -Came for revenge, huh.\You'll pay for what you did, you crooks!\We only strike samurai.\Don't take us for some lowlife scumbags!\Shut up!\-Dororo! -Mama. response:	Mama...
context: Dororo, you hide over there.\-Boss! -Came for revenge, huh.\You'll pay for what you did, you crooks!\We only strike samurai.\Don't take us for some lowlife scumbags!\Shut up!\-Dororo! -Mama.\Mama... response:	Don't worry. Your papa will always be your papa.
context: -Boss! -Came for revenge, huh.\You'll pay for what you did, you crooks!\We only strike samurai.\Don't take us for some lowlife scumbags!\Shut up!\-Dororo! -Mama.\Mama...\Don't worry. Your papa will always be your papa. response:	Yeah...
context: You'll pay for what you did, you crooks!\We only strike samurai.\Don't take us for some lowlife scumbags!\Shut up!\-Dororo! -Mama.\Mama...\Don't worry. Your papa will always be your papa.\Yeah... response:	So, what now?
context: We only strike samurai.\Don't take us for some lowlife scumbags!\Shut up!\-Dororo! -Mama.\Mama...\Don't worry. Your papa will always be your papa.\Yeah...\So, what now? response:	We'll round up some men and regroup.
context: Don't take us for some lowlife scumbags!\Shut up!\-Dororo! -Mama.\Mama...\Don't worry. Your papa will always be your papa.\Yeah...\So, what now?\We'll round up some men and regroup. response:	We can't run away now, for the sake of the men we lost.
context: Shut up!\-Dororo! -Mama.\Mama...\Don't worry. Your papa will always be your papa.\Yeah...\So, what now?\We'll round up some men and regroup.\We can't run away now, for the sake of the men we lost. response:	Ojiya, we'll have to move around for a while.
context: -Dororo! -Mama.\Mama...\Don't worry. Your papa will always be your papa.\Yeah...\So, what now?\We'll round up some men and regroup.\We can't run away now, for the sake of the men we lost.\Ojiya, we'll have to move around for a while. response:	I guess so.
context: Mama...\Don't worry. Your papa will always be your papa.\Yeah...\So, what now?\We'll round up some men and regroup.\We can't run away now, for the sake of the men we lost.\Ojiya, we'll have to move around for a while.\I guess so. response:	During these days, brigands scourged the lands of every region.
context: Don't worry. Your papa will always be your papa.\Yeah...\So, what now?\We'll round up some men and regroup.\We can't run away now, for the sake of the men we lost.\Ojiya, we'll have to move around for a while.\I guess so.\During these days, brigands scourged the lands of every region. response:	Their brutality brought fear into the hearts of the helpless.
context: Yeah...\So, what now?\We'll round up some men and regroup.\We can't run away now, for the sake of the men we lost.\Ojiya, we'll have to move around for a while.\I guess so.\During these days, brigands scourged the lands of every region.\Their brutality brought fear into the hearts of the helpless. response:	Samurai who'd lost their lords formed their own bands.
context: So, what now?\We'll round up some men and regroup.\We can't run away now, for the sake of the men we lost.\Ojiya, we'll have to move around for a while.\I guess so.\During these days, brigands scourged the lands of every region.\Their brutality brought fear into the hearts of the helpless.\Samurai who'd lost their lords formed their own bands. response:	And the poor joined them in order to make a living.
