context: That day, my world was all white. response:	My hands and feet felt numb from the cold.
context: That day, my world was all white.\My hands and feet felt numb from the cold. response:	I couldn't find my Ashikabi-sama...
context: That day, my world was all white.\My hands and feet felt numb from the cold.\I couldn't find my Ashikabi-sama... response:	Wait!
context: That day, my world was all white.\My hands and feet felt numb from the cold.\I couldn't find my Ashikabi-sama...\Wait! response:	This is for your own good! Just let us defeat you!
context: That day, my world was all white.\My hands and feet felt numb from the cold.\I couldn't find my Ashikabi-sama...\Wait!\This is for your own good! Just let us defeat you! response:	Hey, are you okay?
context: That day, my world was all white.\My hands and feet felt numb from the cold.\I couldn't find my Ashikabi-sama...\Wait!\This is for your own good! Just let us defeat you!\Hey, are you okay? response:	Shit! She's gone.
context: That day, my world was all white.\My hands and feet felt numb from the cold.\I couldn't find my Ashikabi-sama...\Wait!\This is for your own good! Just let us defeat you!\Hey, are you okay?\Shit! She's gone. response:	I don't have the strength to fight with other Sekireis.
context: That day, my world was all white.\My hands and feet felt numb from the cold.\I couldn't find my Ashikabi-sama...\Wait!\This is for your own good! Just let us defeat you!\Hey, are you okay?\Shit! She's gone.\I don't have the strength to fight with other Sekireis. response:	All I can ever do is cry.
context: My hands and feet felt numb from the cold.\I couldn't find my Ashikabi-sama...\Wait!\This is for your own good! Just let us defeat you!\Hey, are you okay?\Shit! She's gone.\I don't have the strength to fight with other Sekireis.\All I can ever do is cry. response:	I'm no good, I'm hopeless...
context: I couldn't find my Ashikabi-sama...\Wait!\This is for your own good! Just let us defeat you!\Hey, are you okay?\Shit! She's gone.\I don't have the strength to fight with other Sekireis.\All I can ever do is cry.\I'm no good, I'm hopeless... response:	Hey.
context: Wait!\This is for your own good! Just let us defeat you!\Hey, are you okay?\Shit! She's gone.\I don't have the strength to fight with other Sekireis.\All I can ever do is cry.\I'm no good, I'm hopeless...\Hey. response:	You've been sitting there quite a while.
context: This is for your own good! Just let us defeat you!\Hey, are you okay?\Shit! She's gone.\I don't have the strength to fight with other Sekireis.\All I can ever do is cry.\I'm no good, I'm hopeless...\Hey.\You've been sitting there quite a while. response:	Eh... um... you looked like you were crying.
context: Hey, are you okay?\Shit! She's gone.\I don't have the strength to fight with other Sekireis.\All I can ever do is cry.\I'm no good, I'm hopeless...\Hey.\You've been sitting there quite a while.\Eh... um... you looked like you were crying. response:	So, here.
context: Shit! She's gone.\I don't have the strength to fight with other Sekireis.\All I can ever do is cry.\I'm no good, I'm hopeless...\Hey.\You've been sitting there quite a while.\Eh... um... you looked like you were crying.\So, here. response:	When the weather's cold like this, these are the best things.
context: I don't have the strength to fight with other Sekireis.\All I can ever do is cry.\I'm no good, I'm hopeless...\Hey.\You've been sitting there quite a while.\Eh... um... you looked like you were crying.\So, here.\When the weather's cold like this, these are the best things. response:	They'll make you feel better, so eat them while they're hot, okay?
context: All I can ever do is cry.\I'm no good, I'm hopeless...\Hey.\You've been sitting there quite a while.\Eh... um... you looked like you were crying.\So, here.\When the weather's cold like this, these are the best things.\They'll make you feel better, so eat them while they're hot, okay? response:	Wait! Why are you crying?
context: I'm no good, I'm hopeless...\Hey.\You've been sitting there quite a while.\Eh... um... you looked like you were crying.\So, here.\When the weather's cold like this, these are the best things.\They'll make you feel better, so eat them while they're hot, okay?\Wait! Why are you crying? response:	Those meat buns were really warm.
context: Hey.\You've been sitting there quite a while.\Eh... um... you looked like you were crying.\So, here.\When the weather's cold like this, these are the best things.\They'll make you feel better, so eat them while they're hot, okay?\Wait! Why are you crying?\Those meat buns were really warm. response:	Really, really warm...
context: You've been sitting there quite a while.\Eh... um... you looked like you were crying.\So, here.\When the weather's cold like this, these are the best things.\They'll make you feel better, so eat them while they're hot, okay?\Wait! Why are you crying?\Those meat buns were really warm.\Really, really warm... response:	See ya!
context: Eh... um... you looked like you were crying.\So, here.\When the weather's cold like this, these are the best things.\They'll make you feel better, so eat them while they're hot, okay?\Wait! Why are you crying?\Those meat buns were really warm.\Really, really warm...\See ya! response:	I found you.
context: So, here.\When the weather's cold like this, these are the best things.\They'll make you feel better, so eat them while they're hot, okay?\Wait! Why are you crying?\Those meat buns were really warm.\Really, really warm...\See ya!\I found you. response:	My Ashikabi-sama.
context: When the weather's cold like this, these are the best things.\They'll make you feel better, so eat them while they're hot, okay?\Wait! Why are you crying?\Those meat buns were really warm.\Really, really warm...\See ya!\I found you.\My Ashikabi-sama. response:	Ima inochi ga hora kizashite chitte yuku
context: They'll make you feel better, so eat them while they're hot, okay?\Wait! Why are you crying?\Those meat buns were really warm.\Really, really warm...\See ya!\I found you.\My Ashikabi-sama.\Ima inochi ga hora kizashite chitte yuku response:	Nigirishimeta unmei
context: Wait! Why are you crying?\Those meat buns were really warm.\Really, really warm...\See ya!\I found you.\My Ashikabi-sama.\Ima inochi ga hora kizashite chitte yuku\Nigirishimeta unmei response:	Mou mayou koto wa nai
context: Those meat buns were really warm.\Really, really warm...\See ya!\I found you.\My Ashikabi-sama.\Ima inochi ga hora kizashite chitte yuku\Nigirishimeta unmei\Mou mayou koto wa nai response:	Musubiau kizuna
context: Really, really warm...\See ya!\I found you.\My Ashikabi-sama.\Ima inochi ga hora kizashite chitte yuku\Nigirishimeta unmei\Mou mayou koto wa nai\Musubiau kizuna response:	Akatsuki matsu sora ni
context: See ya!\I found you.\My Ashikabi-sama.\Ima inochi ga hora kizashite chitte yuku\Nigirishimeta unmei\Mou mayou koto wa nai\Musubiau kizuna\Akatsuki matsu sora ni response:	Aishi kimi dakishimete
context: I found you.\My Ashikabi-sama.\Ima inochi ga hora kizashite chitte yuku\Nigirishimeta unmei\Mou mayou koto wa nai\Musubiau kizuna\Akatsuki matsu sora ni\Aishi kimi dakishimete response:	Orenai inori wo
context: My Ashikabi-sama.\Ima inochi ga hora kizashite chitte yuku\Nigirishimeta unmei\Mou mayou koto wa nai\Musubiau kizuna\Akatsuki matsu sora ni\Aishi kimi dakishimete\Orenai inori wo response:	Mada dare mo yoru no naka
context: Ima inochi ga hora kizashite chitte yuku\Nigirishimeta unmei\Mou mayou koto wa nai\Musubiau kizuna\Akatsuki matsu sora ni\Aishi kimi dakishimete\Orenai inori wo\Mada dare mo yoru no naka response:	Ima wa tada
context: Nigirishimeta unmei\Mou mayou koto wa nai\Musubiau kizuna\Akatsuki matsu sora ni\Aishi kimi dakishimete\Orenai inori wo\Mada dare mo yoru no naka\Ima wa tada response:	Kokoro no oku ni sawatte
context: Mou mayou koto wa nai\Musubiau kizuna\Akatsuki matsu sora ni\Aishi kimi dakishimete\Orenai inori wo\Mada dare mo yoru no naka\Ima wa tada\Kokoro no oku ni sawatte response:	Afureru atsusa subete sasagetai
context: Musubiau kizuna\Akatsuki matsu sora ni\Aishi kimi dakishimete\Orenai inori wo\Mada dare mo yoru no naka\Ima wa tada\Kokoro no oku ni sawatte\Afureru atsusa subete sasagetai response:	Yume miru ashita e
context: Akatsuki matsu sora ni\Aishi kimi dakishimete\Orenai inori wo\Mada dare mo yoru no naka\Ima wa tada\Kokoro no oku ni sawatte\Afureru atsusa subete sasagetai\Yume miru ashita e response:	Hirogeru tsubasa wa
context: Aishi kimi dakishimete\Orenai inori wo\Mada dare mo yoru no naka\Ima wa tada\Kokoro no oku ni sawatte\Afureru atsusa subete sasagetai\Yume miru ashita e\Hirogeru tsubasa wa response:	Ano hi no kimi ga kureta
context: Orenai inori wo\Mada dare mo yoru no naka\Ima wa tada\Kokoro no oku ni sawatte\Afureru atsusa subete sasagetai\Yume miru ashita e\Hirogeru tsubasa wa\Ano hi no kimi ga kureta response:	Omoi wa kizamareta
context: Mada dare mo yoru no naka\Ima wa tada\Kokoro no oku ni sawatte\Afureru atsusa subete sasagetai\Yume miru ashita e\Hirogeru tsubasa wa\Ano hi no kimi ga kureta\Omoi wa kizamareta response:	Chikai no kotoba ga
context: Ima wa tada\Kokoro no oku ni sawatte\Afureru atsusa subete sasagetai\Yume miru ashita e\Hirogeru tsubasa wa\Ano hi no kimi ga kureta\Omoi wa kizamareta\Chikai no kotoba ga response:	Kiseki wo okosu yo
context: Kokoro no oku ni sawatte\Afureru atsusa subete sasagetai\Yume miru ashita e\Hirogeru tsubasa wa\Ano hi no kimi ga kureta\Omoi wa kizamareta\Chikai no kotoba ga\Kiseki wo okosu yo response:	Takanaru mune habatake
context: Afureru atsusa subete sasagetai\Yume miru ashita e\Hirogeru tsubasa wa\Ano hi no kimi ga kureta\Omoi wa kizamareta\Chikai no kotoba ga\Kiseki wo okosu yo\Takanaru mune habatake response:	Tobitateru negai haruka tataku
context: Yume miru ashita e\Hirogeru tsubasa wa\Ano hi no kimi ga kureta\Omoi wa kizamareta\Chikai no kotoba ga\Kiseki wo okosu yo\Takanaru mune habatake\Tobitateru negai haruka tataku response:	Feather 10: The Night Before the Escape
context: Hirogeru tsubasa wa\Ano hi no kimi ga kureta\Omoi wa kizamareta\Chikai no kotoba ga\Kiseki wo okosu yo\Takanaru mune habatake\Tobitateru negai haruka tataku\Feather 10: The Night Before the Escape response:	Feather 10: The Night Before the Escape Wow! What a nice story!
context: Ano hi no kimi ga kureta\Omoi wa kizamareta\Chikai no kotoba ga\Kiseki wo okosu yo\Takanaru mune habatake\Tobitateru negai haruka tataku\Feather 10: The Night Before the Escape\Feather 10: The Night Before the Escape Wow! What a nice story! response:	Feather 10: The Night Before the Escape Grabbing a scarf... the beginning of the little love story...
context: Omoi wa kizamareta\Chikai no kotoba ga\Kiseki wo okosu yo\Takanaru mune habatake\Tobitateru negai haruka tataku\Feather 10: The Night Before the Escape\Feather 10: The Night Before the Escape Wow! What a nice story!\Feather 10: The Night Before the Escape Grabbing a scarf... the beginning of the little love story... response:	Grabbing a scarf... the beginning of the little love story...
context: Chikai no kotoba ga\Kiseki wo okosu yo\Takanaru mune habatake\Tobitateru negai haruka tataku\Feather 10: The Night Before the Escape\Feather 10: The Night Before the Escape Wow! What a nice story!\Feather 10: The Night Before the Escape Grabbing a scarf... the beginning of the little love story...\Grabbing a scarf... the beginning of the little love story... response:	Carp? Grabbing a scarf... the beginning of the little love story...
context: Kiseki wo okosu yo\Takanaru mune habatake\Tobitateru negai haruka tataku\Feather 10: The Night Before the Escape\Feather 10: The Night Before the Escape Wow! What a nice story!\Feather 10: The Night Before the Escape Grabbing a scarf... the beginning of the little love story...\Grabbing a scarf... the beginning of the little love story...\Carp? Grabbing a scarf... the beginning of the little love story... response:	Carp? I knew it! Sekireis should live for love!
context: Takanaru mune habatake\Tobitateru negai haruka tataku\Feather 10: The Night Before the Escape\Feather 10: The Night Before the Escape Wow! What a nice story!\Feather 10: The Night Before the Escape Grabbing a scarf... the beginning of the little love story...\Grabbing a scarf... the beginning of the little love story...\Carp? Grabbing a scarf... the beginning of the little love story...\Carp? I knew it! Sekireis should live for love! response:	I knew it! Sekireis should live for love!
context: Tobitateru negai haruka tataku\Feather 10: The Night Before the Escape\Feather 10: The Night Before the Escape Wow! What a nice story!\Feather 10: The Night Before the Escape Grabbing a scarf... the beginning of the little love story...\Grabbing a scarf... the beginning of the little love story...\Carp? Grabbing a scarf... the beginning of the little love story...\Carp? I knew it! Sekireis should live for love!\I knew it! Sekireis should live for love! response:	You don't need to be ashamed of not fighting, Incompetence-chan!
context: Feather 10: The Night Before the Escape\Feather 10: The Night Before the Escape Wow! What a nice story!\Feather 10: The Night Before the Escape Grabbing a scarf... the beginning of the little love story...\Grabbing a scarf... the beginning of the little love story...\Carp? Grabbing a scarf... the beginning of the little love story...\Carp? I knew it! Sekireis should live for love!\I knew it! Sekireis should live for love!\You don't need to be ashamed of not fighting, Incompetence-chan! response:	I'm Kuno.
context: Feather 10: The Night Before the Escape Wow! What a nice story!\Feather 10: The Night Before the Escape Grabbing a scarf... the beginning of the little love story...\Grabbing a scarf... the beginning of the little love story...\Carp? Grabbing a scarf... the beginning of the little love story...\Carp? I knew it! Sekireis should live for love!\I knew it! Sekireis should live for love!\You don't need to be ashamed of not fighting, Incompetence-chan!\I'm Kuno. response:	Sekireis' real nature is love!
context: Feather 10: The Night Before the Escape Grabbing a scarf... the beginning of the little love story...\Grabbing a scarf... the beginning of the little love story...\Carp? Grabbing a scarf... the beginning of the little love story...\Carp? I knew it! Sekireis should live for love!\I knew it! Sekireis should live for love!\You don't need to be ashamed of not fighting, Incompetence-chan!\I'm Kuno.\Sekireis' real nature is love! response:	- All the Sekireis in the world... - Why is she here?
context: Grabbing a scarf... the beginning of the little love story...\Carp? Grabbing a scarf... the beginning of the little love story...\Carp? I knew it! Sekireis should live for love!\I knew it! Sekireis should live for love!\You don't need to be ashamed of not fighting, Incompetence-chan!\I'm Kuno.\Sekireis' real nature is love!\- All the Sekireis in the world... - Why is she here? response:	- Should live for love... - After I talked about the escape plan, she just came along with us...
context: Carp? Grabbing a scarf... the beginning of the little love story...\Carp? I knew it! Sekireis should live for love!\I knew it! Sekireis should live for love!\You don't need to be ashamed of not fighting, Incompetence-chan!\I'm Kuno.\Sekireis' real nature is love!\- All the Sekireis in the world... - Why is she here?\- Should live for love... - After I talked about the escape plan, she just came along with us... response:	So?
context: Carp? I knew it! Sekireis should live for love!\I knew it! Sekireis should live for love!\You don't need to be ashamed of not fighting, Incompetence-chan!\I'm Kuno.\Sekireis' real nature is love!\- All the Sekireis in the world... - Why is she here?\- Should live for love... - After I talked about the escape plan, she just came along with us...\So? response:	I understand those two kids want to escape the capital but...
context: I knew it! Sekireis should live for love!\You don't need to be ashamed of not fighting, Incompetence-chan!\I'm Kuno.\Sekireis' real nature is love!\- All the Sekireis in the world... - Why is she here?\- Should live for love... - After I talked about the escape plan, she just came along with us...\So?\I understand those two kids want to escape the capital but... response:	Kids?
context: You don't need to be ashamed of not fighting, Incompetence-chan!\I'm Kuno.\Sekireis' real nature is love!\- All the Sekireis in the world... - Why is she here?\- Should live for love... - After I talked about the escape plan, she just came along with us...\So?\I understand those two kids want to escape the capital but...\Kids? response:	Why the hell did all you guys barge into here this early in the morning?!
context: I'm Kuno.\Sekireis' real nature is love!\- All the Sekireis in the world... - Why is she here?\- Should live for love... - After I talked about the escape plan, she just came along with us...\So?\I understand those two kids want to escape the capital but...\Kids?\Why the hell did all you guys barge into here this early in the morning?! response:	I'm sorry.
context: Sekireis' real nature is love!\- All the Sekireis in the world... - Why is she here?\- Should live for love... - After I talked about the escape plan, she just came along with us...\So?\I understand those two kids want to escape the capital but...\Kids?\Why the hell did all you guys barge into here this early in the morning?!\I'm sorry. response:	Well, I wasn't happy about the way MBI's been doing things lately.
context: - All the Sekireis in the world... - Why is she here?\- Should live for love... - After I talked about the escape plan, she just came along with us...\So?\I understand those two kids want to escape the capital but...\Kids?\Why the hell did all you guys barge into here this early in the morning?!\I'm sorry.\Well, I wasn't happy about the way MBI's been doing things lately. response:	Then?
context: - Should live for love... - After I talked about the escape plan, she just came along with us...\So?\I understand those two kids want to escape the capital but...\Kids?\Why the hell did all you guys barge into here this early in the morning?!\I'm sorry.\Well, I wasn't happy about the way MBI's been doing things lately.\Then? response:	Yeah, I'll help you guys.
context: So?\I understand those two kids want to escape the capital but...\Kids?\Why the hell did all you guys barge into here this early in the morning?!\I'm sorry.\Well, I wasn't happy about the way MBI's been doing things lately.\Then?\Yeah, I'll help you guys. response:	Thank you very much.
context: I understand those two kids want to escape the capital but...\Kids?\Why the hell did all you guys barge into here this early in the morning?!\I'm sorry.\Well, I wasn't happy about the way MBI's been doing things lately.\Then?\Yeah, I'll help you guys.\Thank you very much. response:	So, pay up.
context: Kids?\Why the hell did all you guys barge into here this early in the morning?!\I'm sorry.\Well, I wasn't happy about the way MBI's been doing things lately.\Then?\Yeah, I'll help you guys.\Thank you very much.\So, pay up. response:	Are you going to charge a fee?!
context: Why the hell did all you guys barge into here this early in the morning?!\I'm sorry.\Well, I wasn't happy about the way MBI's been doing things lately.\Then?\Yeah, I'll help you guys.\Thank you very much.\So, pay up.\Are you going to charge a fee?! response:	Grownups don't move for free.
context: I'm sorry.\Well, I wasn't happy about the way MBI's been doing things lately.\Then?\Yeah, I'll help you guys.\Thank you very much.\So, pay up.\Are you going to charge a fee?!\Grownups don't move for free. response:	Don't call me a kid!
context: Well, I wasn't happy about the way MBI's been doing things lately.\Then?\Yeah, I'll help you guys.\Thank you very much.\So, pay up.\Are you going to charge a fee?!\Grownups don't move for free.\Don't call me a kid! response:	This is Sahashi.
context: Then?\Yeah, I'll help you guys.\Thank you very much.\So, pay up.\Are you going to charge a fee?!\Grownups don't move for free.\Don't call me a kid!\This is Sahashi. response:	I'm twenty, already!
context: Yeah, I'll help you guys.\Thank you very much.\So, pay up.\Are you going to charge a fee?!\Grownups don't move for free.\Don't call me a kid!\This is Sahashi.\I'm twenty, already! response:	Seo-san.
context: Thank you very much.\So, pay up.\Are you going to charge a fee?!\Grownups don't move for free.\Don't call me a kid!\This is Sahashi.\I'm twenty, already!\Seo-san. response:	For me?
context: So, pay up.\Are you going to charge a fee?!\Grownups don't move for free.\Don't call me a kid!\This is Sahashi.\I'm twenty, already!\Seo-san.\For me? response:	Kaoru-san?
context: Are you going to charge a fee?!\Grownups don't move for free.\Don't call me a kid!\This is Sahashi.\I'm twenty, already!\Seo-san.\For me?\Kaoru-san? response:	No! I wasn't bullying them! Really!
context: Grownups don't move for free.\Don't call me a kid!\This is Sahashi.\I'm twenty, already!\Seo-san.\For me?\Kaoru-san?\No! I wasn't bullying them! Really! response:	You won't let me eat there anymore?!
context: Don't call me a kid!\This is Sahashi.\I'm twenty, already!\Seo-san.\For me?\Kaoru-san?\No! I wasn't bullying them! Really!\You won't let me eat there anymore?! response:	No! That's bad! That's really bad!
context: This is Sahashi.\I'm twenty, already!\Seo-san.\For me?\Kaoru-san?\No! I wasn't bullying them! Really!\You won't let me eat there anymore?!\No! That's bad! That's really bad! response:	Who did you call?
context: I'm twenty, already!\Seo-san.\For me?\Kaoru-san?\No! I wasn't bullying them! Really!\You won't let me eat there anymore?!\No! That's bad! That's really bad!\Who did you call? response:	The Landlady.
context: Seo-san.\For me?\Kaoru-san?\No! I wasn't bullying them! Really!\You won't let me eat there anymore?!\No! That's bad! That's really bad!\Who did you call?\The Landlady. response:	Ah, she's unbeatable.
context: For me?\Kaoru-san?\No! I wasn't bullying them! Really!\You won't let me eat there anymore?!\No! That's bad! That's really bad!\Who did you call?\The Landlady.\Ah, she's unbeatable. response:	You bastard! Using a dirty trick on me!
context: Kaoru-san?\No! I wasn't bullying them! Really!\You won't let me eat there anymore?!\No! That's bad! That's really bad!\Who did you call?\The Landlady.\Ah, she's unbeatable.\You bastard! Using a dirty trick on me! response:	I thought you were a pure and amiable kid!
context: No! I wasn't bullying them! Really!\You won't let me eat there anymore?!\No! That's bad! That's really bad!\Who did you call?\The Landlady.\Ah, she's unbeatable.\You bastard! Using a dirty trick on me!\I thought you were a pure and amiable kid! response:	That Minato... What is he thinking?
context: You won't let me eat there anymore?!\No! That's bad! That's really bad!\Who did you call?\The Landlady.\Ah, she's unbeatable.\You bastard! Using a dirty trick on me!\I thought you were a pure and amiable kid!\That Minato... What is he thinking? response:	If that will let them stay together, then I want to help them.
context: No! That's bad! That's really bad!\Who did you call?\The Landlady.\Ah, she's unbeatable.\You bastard! Using a dirty trick on me!\I thought you were a pure and amiable kid!\That Minato... What is he thinking?\If that will let them stay together, then I want to help them. response:	Yes! Let them run away as fast as they can!
context: Who did you call?\The Landlady.\Ah, she's unbeatable.\You bastard! Using a dirty trick on me!\I thought you were a pure and amiable kid!\That Minato... What is he thinking?\If that will let them stay together, then I want to help them.\Yes! Let them run away as fast as they can! response:	If that's what you want, I won't spare any cooperation.
context: The Landlady.\Ah, she's unbeatable.\You bastard! Using a dirty trick on me!\I thought you were a pure and amiable kid!\That Minato... What is he thinking?\If that will let them stay together, then I want to help them.\Yes! Let them run away as fast as they can!\If that's what you want, I won't spare any cooperation. response:	Thank you.
context: Ah, she's unbeatable.\You bastard! Using a dirty trick on me!\I thought you were a pure and amiable kid!\That Minato... What is he thinking?\If that will let them stay together, then I want to help them.\Yes! Let them run away as fast as they can!\If that's what you want, I won't spare any cooperation.\Thank you. response:	Trying to help someone who doesn't fight escape... Unthinkable!
context: You bastard! Using a dirty trick on me!\I thought you were a pure and amiable kid!\That Minato... What is he thinking?\If that will let them stay together, then I want to help them.\Yes! Let them run away as fast as they can!\If that's what you want, I won't spare any cooperation.\Thank you.\Trying to help someone who doesn't fight escape... Unthinkable! response:	I warned him how dangerous this plan was.
context: I thought you were a pure and amiable kid!\That Minato... What is he thinking?\If that will let them stay together, then I want to help them.\Yes! Let them run away as fast as they can!\If that's what you want, I won't spare any cooperation.\Thank you.\Trying to help someone who doesn't fight escape... Unthinkable!\I warned him how dangerous this plan was. response:	He decided knowing that.
context: That Minato... What is he thinking?\If that will let them stay together, then I want to help them.\Yes! Let them run away as fast as they can!\If that's what you want, I won't spare any cooperation.\Thank you.\Trying to help someone who doesn't fight escape... Unthinkable!\I warned him how dangerous this plan was.\He decided knowing that. response:	In truth, thou art not keen on this plan either, art thou?
context: If that will let them stay together, then I want to help them.\Yes! Let them run away as fast as they can!\If that's what you want, I won't spare any cooperation.\Thank you.\Trying to help someone who doesn't fight escape... Unthinkable!\I warned him how dangerous this plan was.\He decided knowing that.\In truth, thou art not keen on this plan either, art thou? response:	To do the best for one's Ashikabi is the Sekirei's duty.
context: Yes! Let them run away as fast as they can!\If that's what you want, I won't spare any cooperation.\Thank you.\Trying to help someone who doesn't fight escape... Unthinkable!\I warned him how dangerous this plan was.\He decided knowing that.\In truth, thou art not keen on this plan either, art thou?\To do the best for one's Ashikabi is the Sekirei's duty. response:	The first duty of a Sekirei is to fight on!
context: If that's what you want, I won't spare any cooperation.\Thank you.\Trying to help someone who doesn't fight escape... Unthinkable!\I warned him how dangerous this plan was.\He decided knowing that.\In truth, thou art not keen on this plan either, art thou?\To do the best for one's Ashikabi is the Sekirei's duty.\The first duty of a Sekirei is to fight on! response:	And yet thou hidest thyself in this place...
context: Thank you.\Trying to help someone who doesn't fight escape... Unthinkable!\I warned him how dangerous this plan was.\He decided knowing that.\In truth, thou art not keen on this plan either, art thou?\To do the best for one's Ashikabi is the Sekirei's duty.\The first duty of a Sekirei is to fight on!\And yet thou hidest thyself in this place... response:	In the end, thou art the same as those two!
context: Trying to help someone who doesn't fight escape... Unthinkable!\I warned him how dangerous this plan was.\He decided knowing that.\In truth, thou art not keen on this plan either, art thou?\To do the best for one's Ashikabi is the Sekirei's duty.\The first duty of a Sekirei is to fight on!\And yet thou hidest thyself in this place...\In the end, thou art the same as those two! response:	Ah, Tsukiumi-san!
context: I warned him how dangerous this plan was.\He decided knowing that.\In truth, thou art not keen on this plan either, art thou?\To do the best for one's Ashikabi is the Sekirei's duty.\The first duty of a Sekirei is to fight on!\And yet thou hidest thyself in this place...\In the end, thou art the same as those two!\Ah, Tsukiumi-san! response:	Landlady.
context: He decided knowing that.\In truth, thou art not keen on this plan either, art thou?\To do the best for one's Ashikabi is the Sekirei's duty.\The first duty of a Sekirei is to fight on!\And yet thou hidest thyself in this place...\In the end, thou art the same as those two!\Ah, Tsukiumi-san!\Landlady. response:	I cannot understand what Musubi and even Number 03 are thinking by helping them thus...
context: In truth, thou art not keen on this plan either, art thou?\To do the best for one's Ashikabi is the Sekirei's duty.\The first duty of a Sekirei is to fight on!\And yet thou hidest thyself in this place...\In the end, thou art the same as those two!\Ah, Tsukiumi-san!\Landlady.\I cannot understand what Musubi and even Number 03 are thinking by helping them thus... response:	They may not be thinking anything.
context: To do the best for one's Ashikabi is the Sekirei's duty.\The first duty of a Sekirei is to fight on!\And yet thou hidest thyself in this place...\In the end, thou art the same as those two!\Ah, Tsukiumi-san!\Landlady.\I cannot understand what Musubi and even Number 03 are thinking by helping them thus...\They may not be thinking anything. response:	There is somebody in trouble, so you help them...
context: The first duty of a Sekirei is to fight on!\And yet thou hidest thyself in this place...\In the end, thou art the same as those two!\Ah, Tsukiumi-san!\Landlady.\I cannot understand what Musubi and even Number 03 are thinking by helping them thus...\They may not be thinking anything.\There is somebody in trouble, so you help them... response:	That may be the natural thing for a person to do.
context: And yet thou hidest thyself in this place...\In the end, thou art the same as those two!\Ah, Tsukiumi-san!\Landlady.\I cannot understand what Musubi and even Number 03 are thinking by helping them thus...\They may not be thinking anything.\There is somebody in trouble, so you help them...\That may be the natural thing for a person to do. response:	But we are Sekireis!
