context: J Like no one ever was J response:	J To catch them is my real test To train them is my cause J
context: J Like no one ever was J\J To catch them is my real test To train them is my cause J response:	J I will travel across the land Searching far and wide J
context: J Like no one ever was J\J To catch them is my real test To train them is my cause J\J I will travel across the land Searching far and wide J response:	J Each Pokemon to understand The power that's inside J
context: J Like no one ever was J\J To catch them is my real test To train them is my cause J\J I will travel across the land Searching far and wide J\J Each Pokemon to understand The power that's inside J response:	J Pokemon, gotta catch'em all It's you and me J
context: J Like no one ever was J\J To catch them is my real test To train them is my cause J\J I will travel across the land Searching far and wide J\J Each Pokemon to understand The power that's inside J\J Pokemon, gotta catch'em all It's you and me J response:	J I know it's my destiny Pokemon J
context: J Like no one ever was J\J To catch them is my real test To train them is my cause J\J I will travel across the land Searching far and wide J\J Each Pokemon to understand The power that's inside J\J Pokemon, gotta catch'em all It's you and me J\J I know it's my destiny Pokemon J response:	J Oh, you're my best friend In a world we must defend J
context: J Like no one ever was J\J To catch them is my real test To train them is my cause J\J I will travel across the land Searching far and wide J\J Each Pokemon to understand The power that's inside J\J Pokemon, gotta catch'em all It's you and me J\J I know it's my destiny Pokemon J\J Oh, you're my best friend In a world we must defend J response:	J Pokemon, gotta catch'em all A heart so true J
context: J Like no one ever was J\J To catch them is my real test To train them is my cause J\J I will travel across the land Searching far and wide J\J Each Pokemon to understand The power that's inside J\J Pokemon, gotta catch'em all It's you and me J\J I know it's my destiny Pokemon J\J Oh, you're my best friend In a world we must defend J\J Pokemon, gotta catch'em all A heart so true J response:	J Our courage will pull us through You teach me and I'll teach you J
context: J To catch them is my real test To train them is my cause J\J I will travel across the land Searching far and wide J\J Each Pokemon to understand The power that's inside J\J Pokemon, gotta catch'em all It's you and me J\J I know it's my destiny Pokemon J\J Oh, you're my best friend In a world we must defend J\J Pokemon, gotta catch'em all A heart so true J\J Our courage will pull us through You teach me and I'll teach you J response:	J Pokemon, gotta catch'em all Gotta catch them all J
context: J I will travel across the land Searching far and wide J\J Each Pokemon to understand The power that's inside J\J Pokemon, gotta catch'em all It's you and me J\J I know it's my destiny Pokemon J\J Oh, you're my best friend In a world we must defend J\J Pokemon, gotta catch'em all A heart so true J\J Our courage will pull us through You teach me and I'll teach you J\J Pokemon, gotta catch'em all Gotta catch them all J response:	J Gotta catch'em all Pokemon J
context: J Each Pokemon to understand The power that's inside J\J Pokemon, gotta catch'em all It's you and me J\J I know it's my destiny Pokemon J\J Oh, you're my best friend In a world we must defend J\J Pokemon, gotta catch'em all A heart so true J\J Our courage will pull us through You teach me and I'll teach you J\J Pokemon, gotta catch'em all Gotta catch them all J\J Gotta catch'em all Pokemon J response:	And Nidorino begins the battle with a Horn Attack.
context: J Pokemon, gotta catch'em all It's you and me J\J I know it's my destiny Pokemon J\J Oh, you're my best friend In a world we must defend J\J Pokemon, gotta catch'em all A heart so true J\J Our courage will pull us through You teach me and I'll teach you J\J Pokemon, gotta catch'em all Gotta catch them all J\J Gotta catch'em all Pokemon J\And Nidorino begins the battle with a Horn Attack. response:	Oh, but Gengar bounces right back and there it is,
context: J I know it's my destiny Pokemon J\J Oh, you're my best friend In a world we must defend J\J Pokemon, gotta catch'em all A heart so true J\J Our courage will pull us through You teach me and I'll teach you J\J Pokemon, gotta catch'em all Gotta catch them all J\J Gotta catch'em all Pokemon J\And Nidorino begins the battle with a Horn Attack.\Oh, but Gengar bounces right back and there it is, response:	the Hypnosis Power of Gengar!
context: J Oh, you're my best friend In a world we must defend J\J Pokemon, gotta catch'em all A heart so true J\J Our courage will pull us through You teach me and I'll teach you J\J Pokemon, gotta catch'em all Gotta catch them all J\J Gotta catch'em all Pokemon J\And Nidorino begins the battle with a Horn Attack.\Oh, but Gengar bounces right back and there it is,\the Hypnosis Power of Gengar! response:	This could be the end of Nidorino. Wait! The trainer recalls Nidorino.
context: J Pokemon, gotta catch'em all A heart so true J\J Our courage will pull us through You teach me and I'll teach you J\J Pokemon, gotta catch'em all Gotta catch them all J\J Gotta catch'em all Pokemon J\And Nidorino begins the battle with a Horn Attack.\Oh, but Gengar bounces right back and there it is,\the Hypnosis Power of Gengar!\This could be the end of Nidorino. Wait! The trainer recalls Nidorino. response:	Which Pokemon will he use now?
context: J Our courage will pull us through You teach me and I'll teach you J\J Pokemon, gotta catch'em all Gotta catch them all J\J Gotta catch'em all Pokemon J\And Nidorino begins the battle with a Horn Attack.\Oh, but Gengar bounces right back and there it is,\the Hypnosis Power of Gengar!\This could be the end of Nidorino. Wait! The trainer recalls Nidorino.\Which Pokemon will he use now? response:	-Oh, it's Onix! -
context: J Pokemon, gotta catch'em all Gotta catch them all J\J Gotta catch'em all Pokemon J\And Nidorino begins the battle with a Horn Attack.\Oh, but Gengar bounces right back and there it is,\the Hypnosis Power of Gengar!\This could be the end of Nidorino. Wait! The trainer recalls Nidorino.\Which Pokemon will he use now?\-Oh, it's Onix! - response:	Now this giant Pokemon is on the attack.
context: J Gotta catch'em all Pokemon J\And Nidorino begins the battle with a Horn Attack.\Oh, but Gengar bounces right back and there it is,\the Hypnosis Power of Gengar!\This could be the end of Nidorino. Wait! The trainer recalls Nidorino.\Which Pokemon will he use now?\-Oh, it's Onix! -\Now this giant Pokemon is on the attack. response:	Ho-ho! But Gengar jumps aside.
context: And Nidorino begins the battle with a Horn Attack.\Oh, but Gengar bounces right back and there it is,\the Hypnosis Power of Gengar!\This could be the end of Nidorino. Wait! The trainer recalls Nidorino.\Which Pokemon will he use now?\-Oh, it's Onix! -\Now this giant Pokemon is on the attack.\Ho-ho! But Gengar jumps aside. response:	Gengar is moving beautifully today...
context: Oh, but Gengar bounces right back and there it is,\the Hypnosis Power of Gengar!\This could be the end of Nidorino. Wait! The trainer recalls Nidorino.\Which Pokemon will he use now?\-Oh, it's Onix! -\Now this giant Pokemon is on the attack.\Ho-ho! But Gengar jumps aside.\Gengar is moving beautifully today... response:	Yes, I am Ash.
context: the Hypnosis Power of Gengar!\This could be the end of Nidorino. Wait! The trainer recalls Nidorino.\Which Pokemon will he use now?\-Oh, it's Onix! -\Now this giant Pokemon is on the attack.\Ho-ho! But Gengar jumps aside.\Gengar is moving beautifully today...\Yes, I am Ash. response:	Ash Ketchum is a boy from Pallet Town.
context: This could be the end of Nidorino. Wait! The trainer recalls Nidorino.\Which Pokemon will he use now?\-Oh, it's Onix! -\Now this giant Pokemon is on the attack.\Ho-ho! But Gengar jumps aside.\Gengar is moving beautifully today...\Yes, I am Ash.\Ash Ketchum is a boy from Pallet Town. response:	And now that I'm ten, I can finally get my Pokemon license.
context: Which Pokemon will he use now?\-Oh, it's Onix! -\Now this giant Pokemon is on the attack.\Ho-ho! But Gengar jumps aside.\Gengar is moving beautifully today...\Yes, I am Ash.\Ash Ketchum is a boy from Pallet Town.\And now that I'm ten, I can finally get my Pokemon license. response:	Ten-year-olds can get a beginner Pokemon from Professor Oak,
context: -Oh, it's Onix! -\Now this giant Pokemon is on the attack.\Ho-ho! But Gengar jumps aside.\Gengar is moving beautifully today...\Yes, I am Ash.\Ash Ketchum is a boy from Pallet Town.\And now that I'm ten, I can finally get my Pokemon license.\Ten-year-olds can get a beginner Pokemon from Professor Oak, response:	the town's Pokemon expert.
context: Now this giant Pokemon is on the attack.\Ho-ho! But Gengar jumps aside.\Gengar is moving beautifully today...\Yes, I am Ash.\Ash Ketchum is a boy from Pallet Town.\And now that I'm ten, I can finally get my Pokemon license.\Ten-year-olds can get a beginner Pokemon from Professor Oak,\the town's Pokemon expert. response:	I will journey to gain the wisdom of Pokemon training,
context: Ho-ho! But Gengar jumps aside.\Gengar is moving beautifully today...\Yes, I am Ash.\Ash Ketchum is a boy from Pallet Town.\And now that I'm ten, I can finally get my Pokemon license.\Ten-year-olds can get a beginner Pokemon from Professor Oak,\the town's Pokemon expert.\I will journey to gain the wisdom of Pokemon training, response:	and I hereby declare to the Pokemon of the world,
context: Gengar is moving beautifully today...\Yes, I am Ash.\Ash Ketchum is a boy from Pallet Town.\And now that I'm ten, I can finally get my Pokemon license.\Ten-year-olds can get a beginner Pokemon from Professor Oak,\the town's Pokemon expert.\I will journey to gain the wisdom of Pokemon training,\and I hereby declare to the Pokemon of the world, response:	I will be a Pokemon Master.
context: Yes, I am Ash.\Ash Ketchum is a boy from Pallet Town.\And now that I'm ten, I can finally get my Pokemon license.\Ten-year-olds can get a beginner Pokemon from Professor Oak,\the town's Pokemon expert.\I will journey to gain the wisdom of Pokemon training,\and I hereby declare to the Pokemon of the world,\I will be a Pokemon Master. response:	-Pokemon Master! That's what I'll- Ash, get to bed!
context: Ash Ketchum is a boy from Pallet Town.\And now that I'm ten, I can finally get my Pokemon license.\Ten-year-olds can get a beginner Pokemon from Professor Oak,\the town's Pokemon expert.\I will journey to gain the wisdom of Pokemon training,\and I hereby declare to the Pokemon of the world,\I will be a Pokemon Master.\-Pokemon Master! That's what I'll- Ash, get to bed! response:	It's 11 o'clock and you should be asleep.
context: And now that I'm ten, I can finally get my Pokemon license.\Ten-year-olds can get a beginner Pokemon from Professor Oak,\the town's Pokemon expert.\I will journey to gain the wisdom of Pokemon training,\and I hereby declare to the Pokemon of the world,\I will be a Pokemon Master.\-Pokemon Master! That's what I'll- Ash, get to bed!\It's 11 o'clock and you should be asleep. response:	But tomorrow I begin my Pokemon journey. I can't sleep.
context: Ten-year-olds can get a beginner Pokemon from Professor Oak,\the town's Pokemon expert.\I will journey to gain the wisdom of Pokemon training,\and I hereby declare to the Pokemon of the world,\I will be a Pokemon Master.\-Pokemon Master! That's what I'll- Ash, get to bed!\It's 11 o'clock and you should be asleep.\But tomorrow I begin my Pokemon journey. I can't sleep. response:	Well, if you can't sleep, you should at least get ready for tomorrow.
context: the town's Pokemon expert.\I will journey to gain the wisdom of Pokemon training,\and I hereby declare to the Pokemon of the world,\I will be a Pokemon Master.\-Pokemon Master! That's what I'll- Ash, get to bed!\It's 11 o'clock and you should be asleep.\But tomorrow I begin my Pokemon journey. I can't sleep.\Well, if you can't sleep, you should at least get ready for tomorrow. response:	-Here. Watch this. - Good evening, Pallet.
