context: Signs response:	Signs
context: Signs\Signs response:	Opening Romaji
context: Signs\Signs\Opening Romaji response:	Opening English
context: Signs\Signs\Opening Romaji\Opening English response:	Ending Romaji
context: Signs\Signs\Opening Romaji\Opening English\Ending Romaji response:	Ending English
context: Signs\Signs\Opening Romaji\Opening English\Ending Romaji\Ending English response:	My sil ky love
context: Signs\Signs\Opening Romaji\Opening English\Ending Romaji\Ending English\My sil ky love response:	My sil ky love
context: Signs\Signs\Opening Romaji\Opening English\Ending Romaji\Ending English\My sil ky love\My sil ky love response:	My sil ky love
context: Signs\Opening Romaji\Opening English\Ending Romaji\Ending English\My sil ky love\My sil ky love\My sil ky love response:	My sil ky love
context: Opening Romaji\Opening English\Ending Romaji\Ending English\My sil ky love\My sil ky love\My sil ky love\My sil ky love response:	Every hour of the day
context: Opening English\Ending Romaji\Ending English\My sil ky love\My sil ky love\My sil ky love\My sil ky love\Every hour of the day response:	whenever I think of you
context: Ending Romaji\Ending English\My sil ky love\My sil ky love\My sil ky love\My sil ky love\Every hour of the day\whenever I think of you response:	these impatient feelings
context: Ending English\My sil ky love\My sil ky love\My sil ky love\My sil ky love\Every hour of the day\whenever I think of you\these impatient feelings response:	simply overflow.
context: My sil ky love\My sil ky love\My sil ky love\My sil ky love\Every hour of the day\whenever I think of you\these impatient feelings\simply overflow. response:	Even though it's easy to say I love you
context: My sil ky love\My sil ky love\My sil ky love\Every hour of the day\whenever I think of you\these impatient feelings\simply overflow.\Even though it's easy to say I love you response:	when you stand in front of me
context: My sil ky love\My sil ky love\Every hour of the day\whenever I think of you\these impatient feelings\simply overflow.\Even though it's easy to say I love you\when you stand in front of me response:	my personality stands up and gets in my way.
context: My sil ky love\Every hour of the day\whenever I think of you\these impatient feelings\simply overflow.\Even though it's easy to say I love you\when you stand in front of me\my personality stands up and gets in my way. response:	I can usually pull through with my assertiveness
context: Every hour of the day\whenever I think of you\these impatient feelings\simply overflow.\Even though it's easy to say I love you\when you stand in front of me\my personality stands up and gets in my way.\I can usually pull through with my assertiveness response:	that's just how I am.
context: whenever I think of you\these impatient feelings\simply overflow.\Even though it's easy to say I love you\when you stand in front of me\my personality stands up and gets in my way.\I can usually pull through with my assertiveness\that's just how I am. response:	But no matter how hard I try, I can't break the wall that's between us.
context: these impatient feelings\simply overflow.\Even though it's easy to say I love you\when you stand in front of me\my personality stands up and gets in my way.\I can usually pull through with my assertiveness\that's just how I am.\But no matter how hard I try, I can't break the wall that's between us. response:	I want you to realise my feelings.
context: simply overflow.\Even though it's easy to say I love you\when you stand in front of me\my personality stands up and gets in my way.\I can usually pull through with my assertiveness\that's just how I am.\But no matter how hard I try, I can't break the wall that's between us.\I want you to realise my feelings. response:	So I always send a gaze
context: Even though it's easy to say I love you\when you stand in front of me\my personality stands up and gets in my way.\I can usually pull through with my assertiveness\that's just how I am.\But no matter how hard I try, I can't break the wall that's between us.\I want you to realise my feelings.\So I always send a gaze response:	of I really love you your way
