context: Did you draw these, Shippo? You're very good. response:	Oh, what a cute cat!
context: Did you draw these, Shippo? You're very good.\Oh, what a cute cat! response:	That's you, Kagome. See the resemblance?
context: Did you draw these, Shippo? You're very good.\Oh, what a cute cat!\That's you, Kagome. See the resemblance? response:	And this is Inuyasha. And this one's Koga.
context: Did you draw these, Shippo? You're very good.\Oh, what a cute cat!\That's you, Kagome. See the resemblance?\And this is Inuyasha. And this one's Koga. response:	It's the love triangle of a two-legged dog, a wolf...
context: Did you draw these, Shippo? You're very good.\Oh, what a cute cat!\That's you, Kagome. See the resemblance?\And this is Inuyasha. And this one's Koga.\It's the love triangle of a two-legged dog, a wolf... response:	and a cat who cried out, I'm going home!
context: Did you draw these, Shippo? You're very good.\Oh, what a cute cat!\That's you, Kagome. See the resemblance?\And this is Inuyasha. And this one's Koga.\It's the love triangle of a two-legged dog, a wolf...\and a cat who cried out, I'm going home! response:	W-wait a minute, Shippo!
context: Did you draw these, Shippo? You're very good.\Oh, what a cute cat!\That's you, Kagome. See the resemblance?\And this is Inuyasha. And this one's Koga.\It's the love triangle of a two-legged dog, a wolf...\and a cat who cried out, I'm going home!\W-wait a minute, Shippo! response:	Have you shown this embarrassing play to anyone else?
context: Did you draw these, Shippo? You're very good.\Oh, what a cute cat!\That's you, Kagome. See the resemblance?\And this is Inuyasha. And this one's Koga.\It's the love triangle of a two-legged dog, a wolf...\and a cat who cried out, I'm going home!\W-wait a minute, Shippo!\Have you shown this embarrassing play to anyone else? response:	I showed Old Kaede.
context: Oh, what a cute cat!\That's you, Kagome. See the resemblance?\And this is Inuyasha. And this one's Koga.\It's the love triangle of a two-legged dog, a wolf...\and a cat who cried out, I'm going home!\W-wait a minute, Shippo!\Have you shown this embarrassing play to anyone else?\I showed Old Kaede. response:	She complimented me that it was well done.
context: That's you, Kagome. See the resemblance?\And this is Inuyasha. And this one's Koga.\It's the love triangle of a two-legged dog, a wolf...\and a cat who cried out, I'm going home!\W-wait a minute, Shippo!\Have you shown this embarrassing play to anyone else?\I showed Old Kaede.\She complimented me that it was well done. response:	Old Kaede... knows the reason why I fought with Inuyasha?
context: And this is Inuyasha. And this one's Koga.\It's the love triangle of a two-legged dog, a wolf...\and a cat who cried out, I'm going home!\W-wait a minute, Shippo!\Have you shown this embarrassing play to anyone else?\I showed Old Kaede.\She complimented me that it was well done.\Old Kaede... knows the reason why I fought with Inuyasha? response:	Not only Old Kaede.
context: It's the love triangle of a two-legged dog, a wolf...\and a cat who cried out, I'm going home!\W-wait a minute, Shippo!\Have you shown this embarrassing play to anyone else?\I showed Old Kaede.\She complimented me that it was well done.\Old Kaede... knows the reason why I fought with Inuyasha?\Not only Old Kaede. response:	I wanted everyone to praise me...
context: and a cat who cried out, I'm going home!\W-wait a minute, Shippo!\Have you shown this embarrassing play to anyone else?\I showed Old Kaede.\She complimented me that it was well done.\Old Kaede... knows the reason why I fought with Inuyasha?\Not only Old Kaede.\I wanted everyone to praise me... response:	so I showed them all in the village.
context: W-wait a minute, Shippo!\Have you shown this embarrassing play to anyone else?\I showed Old Kaede.\She complimented me that it was well done.\Old Kaede... knows the reason why I fought with Inuyasha?\Not only Old Kaede.\I wanted everyone to praise me...\so I showed them all in the village. response:	What about it?
context: Have you shown this embarrassing play to anyone else?\I showed Old Kaede.\She complimented me that it was well done.\Old Kaede... knows the reason why I fought with Inuyasha?\Not only Old Kaede.\I wanted everyone to praise me...\so I showed them all in the village.\What about it? response:	How embarrassing!
context: I showed Old Kaede.\She complimented me that it was well done.\Old Kaede... knows the reason why I fought with Inuyasha?\Not only Old Kaede.\I wanted everyone to praise me...\so I showed them all in the village.\What about it?\How embarrassing! response:	I guess I can't go back to the village for a while.
context: She complimented me that it was well done.\Old Kaede... knows the reason why I fought with Inuyasha?\Not only Old Kaede.\I wanted everyone to praise me...\so I showed them all in the village.\What about it?\How embarrassing!\I guess I can't go back to the village for a while. response:	It's not a lie! Kagome is my woman!
context: Old Kaede... knows the reason why I fought with Inuyasha?\Not only Old Kaede.\I wanted everyone to praise me...\so I showed them all in the village.\What about it?\How embarrassing!\I guess I can't go back to the village for a while.\It's not a lie! Kagome is my woman! response:	I love Kagome!
context: Not only Old Kaede.\I wanted everyone to praise me...\so I showed them all in the village.\What about it?\How embarrassing!\I guess I can't go back to the village for a while.\It's not a lie! Kagome is my woman!\I love Kagome! response:	The Wolf-Demon Tribe...
context: I wanted everyone to praise me...\so I showed them all in the village.\What about it?\How embarrassing!\I guess I can't go back to the village for a while.\It's not a lie! Kagome is my woman!\I love Kagome!\The Wolf-Demon Tribe... response:	I met Koga when we encountered the Birds of Paradise...
context: so I showed them all in the village.\What about it?\How embarrassing!\I guess I can't go back to the village for a while.\It's not a lie! Kagome is my woman!\I love Kagome!\The Wolf-Demon Tribe...\I met Koga when we encountered the Birds of Paradise... response:	who tried to take the Sacred Jewel fragments.
context: What about it?\How embarrassing!\I guess I can't go back to the village for a while.\It's not a lie! Kagome is my woman!\I love Kagome!\The Wolf-Demon Tribe...\I met Koga when we encountered the Birds of Paradise...\who tried to take the Sacred Jewel fragments. response:	Koga...
context: How embarrassing!\I guess I can't go back to the village for a while.\It's not a lie! Kagome is my woman!\I love Kagome!\The Wolf-Demon Tribe...\I met Koga when we encountered the Birds of Paradise...\who tried to take the Sacred Jewel fragments.\Koga... response:	Kagome...
context: I guess I can't go back to the village for a while.\It's not a lie! Kagome is my woman!\I love Kagome!\The Wolf-Demon Tribe...\I met Koga when we encountered the Birds of Paradise...\who tried to take the Sacred Jewel fragments.\Koga...\Kagome... response:	Do you love this guy?
context: It's not a lie! Kagome is my woman!\I love Kagome!\The Wolf-Demon Tribe...\I met Koga when we encountered the Birds of Paradise...\who tried to take the Sacred Jewel fragments.\Koga...\Kagome...\Do you love this guy? response:	Huh? Love?
context: I love Kagome!\The Wolf-Demon Tribe...\I met Koga when we encountered the Birds of Paradise...\who tried to take the Sacred Jewel fragments.\Koga...\Kagome...\Do you love this guy?\Huh? Love? response:	I love Inuyasha?
context: The Wolf-Demon Tribe...\I met Koga when we encountered the Birds of Paradise...\who tried to take the Sacred Jewel fragments.\Koga...\Kagome...\Do you love this guy?\Huh? Love?\I love Inuyasha? response:	You must love him.
context: I met Koga when we encountered the Birds of Paradise...\who tried to take the Sacred Jewel fragments.\Koga...\Kagome...\Do you love this guy?\Huh? Love?\I love Inuyasha?\You must love him. response:	All right, that side was all clear.
