context: The moon is about to disappear. response:	Huh?! A shooting star!
context: The moon is about to disappear.\Huh?! A shooting star! response:	I wish that I can stay by Master Sesshomaru forever and ever.
context: The moon is about to disappear.\Huh?! A shooting star!\I wish that I can stay by Master Sesshomaru forever and ever. response:	Rin...
context: The moon is about to disappear.\Huh?! A shooting star!\I wish that I can stay by Master Sesshomaru forever and ever.\Rin... response:	Don't fall behind.
context: The moon is about to disappear.\Huh?! A shooting star!\I wish that I can stay by Master Sesshomaru forever and ever.\Rin...\Don't fall behind. response:	O-Okay.
context: The moon is about to disappear.\Huh?! A shooting star!\I wish that I can stay by Master Sesshomaru forever and ever.\Rin...\Don't fall behind.\O-Okay. response:	This strange feeling...
context: The moon is about to disappear.\Huh?! A shooting star!\I wish that I can stay by Master Sesshomaru forever and ever.\Rin...\Don't fall behind.\O-Okay.\This strange feeling... response:	Evil spirit... Why are you so restless?
context: The moon is about to disappear.\Huh?! A shooting star!\I wish that I can stay by Master Sesshomaru forever and ever.\Rin...\Don't fall behind.\O-Okay.\This strange feeling...\Evil spirit... Why are you so restless? response:	Tomorrow is a new moon.
context: Huh?! A shooting star!\I wish that I can stay by Master Sesshomaru forever and ever.\Rin...\Don't fall behind.\O-Okay.\This strange feeling...\Evil spirit... Why are you so restless?\Tomorrow is a new moon. response:	Even the moon has days when it can hide in darkness.
context: I wish that I can stay by Master Sesshomaru forever and ever.\Rin...\Don't fall behind.\O-Okay.\This strange feeling...\Evil spirit... Why are you so restless?\Tomorrow is a new moon.\Even the moon has days when it can hide in darkness. response:	But with Naraku holding on to my heart,
context: Rin...\Don't fall behind.\O-Okay.\This strange feeling...\Evil spirit... Why are you so restless?\Tomorrow is a new moon.\Even the moon has days when it can hide in darkness.\But with Naraku holding on to my heart, response:	there's nowhere for me to run.
context: Don't fall behind.\O-Okay.\This strange feeling...\Evil spirit... Why are you so restless?\Tomorrow is a new moon.\Even the moon has days when it can hide in darkness.\But with Naraku holding on to my heart,\there's nowhere for me to run. response:	What?!
context: O-Okay.\This strange feeling...\Evil spirit... Why are you so restless?\Tomorrow is a new moon.\Even the moon has days when it can hide in darkness.\But with Naraku holding on to my heart,\there's nowhere for me to run.\What?! response:	The demon spirits that Naraku kept around him...
context: This strange feeling...\Evil spirit... Why are you so restless?\Tomorrow is a new moon.\Even the moon has days when it can hide in darkness.\But with Naraku holding on to my heart,\there's nowhere for me to run.\What?!\The demon spirits that Naraku kept around him... response:	They've gone through the barrier!
context: Evil spirit... Why are you so restless?\Tomorrow is a new moon.\Even the moon has days when it can hide in darkness.\But with Naraku holding on to my heart,\there's nowhere for me to run.\What?!\The demon spirits that Naraku kept around him...\They've gone through the barrier! response:	Hey! Koga!
context: Tomorrow is a new moon.\Even the moon has days when it can hide in darkness.\But with Naraku holding on to my heart,\there's nowhere for me to run.\What?!\The demon spirits that Naraku kept around him...\They've gone through the barrier!\Hey! Koga! response:	Koga!
context: Even the moon has days when it can hide in darkness.\But with Naraku holding on to my heart,\there's nowhere for me to run.\What?!\The demon spirits that Naraku kept around him...\They've gone through the barrier!\Hey! Koga!\Koga! response:	Let's rest a bit.
context: But with Naraku holding on to my heart,\there's nowhere for me to run.\What?!\The demon spirits that Naraku kept around him...\They've gone through the barrier!\Hey! Koga!\Koga!\Let's rest a bit. response:	My body won't hold up!
context: there's nowhere for me to run.\What?!\The demon spirits that Naraku kept around him...\They've gone through the barrier!\Hey! Koga!\Koga!\Let's rest a bit.\My body won't hold up! response:	Even the wolves are out of breath. Koga!
context: What?!\The demon spirits that Naraku kept around him...\They've gone through the barrier!\Hey! Koga!\Koga!\Let's rest a bit.\My body won't hold up!\Even the wolves are out of breath. Koga! response:	Damn you guys!
context: The demon spirits that Naraku kept around him...\They've gone through the barrier!\Hey! Koga!\Koga!\Let's rest a bit.\My body won't hold up!\Even the wolves are out of breath. Koga!\Damn you guys! response:	If I had to wait for you,
context: They've gone through the barrier!\Hey! Koga!\Koga!\Let's rest a bit.\My body won't hold up!\Even the wolves are out of breath. Koga!\Damn you guys!\If I had to wait for you, response:	we wouldn't reach Naraku's castle even in a hundred years!
context: Hey! Koga!\Koga!\Let's rest a bit.\My body won't hold up!\Even the wolves are out of breath. Koga!\Damn you guys!\If I had to wait for you,\we wouldn't reach Naraku's castle even in a hundred years! response:	Then Koga...
context: Koga!\Let's rest a bit.\My body won't hold up!\Even the wolves are out of breath. Koga!\Damn you guys!\If I had to wait for you,\we wouldn't reach Naraku's castle even in a hundred years!\Then Koga... response:	You weren't just running around here and there?
context: Let's rest a bit.\My body won't hold up!\Even the wolves are out of breath. Koga!\Damn you guys!\If I had to wait for you,\we wouldn't reach Naraku's castle even in a hundred years!\Then Koga...\You weren't just running around here and there? response:	I can smell it. This foul odor.
context: My body won't hold up!\Even the wolves are out of breath. Koga!\Damn you guys!\If I had to wait for you,\we wouldn't reach Naraku's castle even in a hundred years!\Then Koga...\You weren't just running around here and there?\I can smell it. This foul odor. response:	It's close... Naraku's castle.
context: Even the wolves are out of breath. Koga!\Damn you guys!\If I had to wait for you,\we wouldn't reach Naraku's castle even in a hundred years!\Then Koga...\You weren't just running around here and there?\I can smell it. This foul odor.\It's close... Naraku's castle. response:	This time... I'll attack his castle and kill him!
context: Damn you guys!\If I had to wait for you,\we wouldn't reach Naraku's castle even in a hundred years!\Then Koga...\You weren't just running around here and there?\I can smell it. This foul odor.\It's close... Naraku's castle.\This time... I'll attack his castle and kill him! response:	I'll avenge my comrades who were tricked and slaughtered.
