context: Foolish Yamada Gu had made sound money or Kyota-B response:	Dear Larry, I Appley Well, I can configure many friends do not worry about me Kemeto
context: Foolish Yamada Gu had made sound money or Kyota-B\Dear Larry, I Appley Well, I can configure many friends do not worry about me Kemeto response:	Haku?
context: Foolish Yamada Gu had made sound money or Kyota-B\Dear Larry, I Appley Well, I can configure many friends do not worry about me Kemeto\Haku? response:	Are you here to visit?
context: Foolish Yamada Gu had made sound money or Kyota-B\Dear Larry, I Appley Well, I can configure many friends do not worry about me Kemeto\Haku?\Are you here to visit? response:	Potato cake?
context: Foolish Yamada Gu had made sound money or Kyota-B\Dear Larry, I Appley Well, I can configure many friends do not worry about me Kemeto\Haku?\Are you here to visit?\Potato cake? response:	Are you sure you want something you Btboukh I?
context: Foolish Yamada Gu had made sound money or Kyota-B\Dear Larry, I Appley Well, I can configure many friends do not worry about me Kemeto\Haku?\Are you here to visit?\Potato cake?\Are you sure you want something you Btboukh I? response:	You usually eat within a structured agenda, right?
context: Foolish Yamada Gu had made sound money or Kyota-B\Dear Larry, I Appley Well, I can configure many friends do not worry about me Kemeto\Haku?\Are you here to visit?\Potato cake?\Are you sure you want something you Btboukh I?\You usually eat within a structured agenda, right? response:	Oh, okay then I'll make something delicious, okay?
context: Foolish Yamada Gu had made sound money or Kyota-B\Dear Larry, I Appley Well, I can configure many friends do not worry about me Kemeto\Haku?\Are you here to visit?\Potato cake?\Are you sure you want something you Btboukh I?\You usually eat within a structured agenda, right?\Oh, okay then I'll make something delicious, okay? response:	Hmm?
context: Dear Larry, I Appley Well, I can configure many friends do not worry about me Kemeto\Haku?\Are you here to visit?\Potato cake?\Are you sure you want something you Btboukh I?\You usually eat within a structured agenda, right?\Oh, okay then I'll make something delicious, okay?\Hmm? response:	Very nice, huh?
context: Haku?\Are you here to visit?\Potato cake?\Are you sure you want something you Btboukh I?\You usually eat within a structured agenda, right?\Oh, okay then I'll make something delicious, okay?\Hmm?\Very nice, huh? response:	Ltyfh?
context: Are you here to visit?\Potato cake?\Are you sure you want something you Btboukh I?\You usually eat within a structured agenda, right?\Oh, okay then I'll make something delicious, okay?\Hmm?\Very nice, huh?\Ltyfh? response:	It's really hard satisfy, huh
context: Potato cake?\Are you sure you want something you Btboukh I?\You usually eat within a structured agenda, right?\Oh, okay then I'll make something delicious, okay?\Hmm?\Very nice, huh?\Ltyfh?\It's really hard satisfy, huh response:	Wait a moment, why not Tkhalaa Almriol?
context: Are you sure you want something you Btboukh I?\You usually eat within a structured agenda, right?\Oh, okay then I'll make something delicious, okay?\Hmm?\Very nice, huh?\Ltyfh?\It's really hard satisfy, huh\Wait a moment, why not Tkhalaa Almriol? response:	Well, ready to eat?
context: You usually eat within a structured agenda, right?\Oh, okay then I'll make something delicious, okay?\Hmm?\Very nice, huh?\Ltyfh?\It's really hard satisfy, huh\Wait a moment, why not Tkhalaa Almriol?\Well, ready to eat? response:	Is it good?
context: Oh, okay then I'll make something delicious, okay?\Hmm?\Very nice, huh?\Ltyfh?\It's really hard satisfy, huh\Wait a moment, why not Tkhalaa Almriol?\Well, ready to eat?\Is it good? response:	Delicious, huh?
context: Hmm?\Very nice, huh?\Ltyfh?\It's really hard satisfy, huh\Wait a moment, why not Tkhalaa Almriol?\Well, ready to eat?\Is it good?\Delicious, huh? response:	What is the thing that closes when a person enters it, but he opens up when it does not enter?
context: Very nice, huh?\Ltyfh?\It's really hard satisfy, huh\Wait a moment, why not Tkhalaa Almriol?\Well, ready to eat?\Is it good?\Delicious, huh?\What is the thing that closes when a person enters it, but he opens up when it does not enter? response:	Oh, puzzle?
context: Ltyfh?\It's really hard satisfy, huh\Wait a moment, why not Tkhalaa Almriol?\Well, ready to eat?\Is it good?\Delicious, huh?\What is the thing that closes when a person enters it, but he opens up when it does not enter?\Oh, puzzle? response:	The answer is trains crossing
context: It's really hard satisfy, huh\Wait a moment, why not Tkhalaa Almriol?\Well, ready to eat?\Is it good?\Delicious, huh?\What is the thing that closes when a person enters it, but he opens up when it does not enter?\Oh, puzzle?\The answer is trains crossing response:	Otnin that it is not a mystery?
context: Wait a moment, why not Tkhalaa Almriol?\Well, ready to eat?\Is it good?\Delicious, huh?\What is the thing that closes when a person enters it, but he opens up when it does not enter?\Oh, puzzle?\The answer is trains crossing\Otnin that it is not a mystery? response:	Gas? what do you mean?
context: Well, ready to eat?\Is it good?\Delicious, huh?\What is the thing that closes when a person enters it, but he opens up when it does not enter?\Oh, puzzle?\The answer is trains crossing\Otnin that it is not a mystery?\Gas? what do you mean? response:	Oh Well, I've already in this kindergarten or elementary school
context: Is it good?\Delicious, huh?\What is the thing that closes when a person enters it, but he opens up when it does not enter?\Oh, puzzle?\The answer is trains crossing\Otnin that it is not a mystery?\Gas? what do you mean?\Oh Well, I've already in this kindergarten or elementary school response:	Well, what about the elementary school?
context: Delicious, huh?\What is the thing that closes when a person enters it, but he opens up when it does not enter?\Oh, puzzle?\The answer is trains crossing\Otnin that it is not a mystery?\Gas? what do you mean?\Oh Well, I've already in this kindergarten or elementary school\Well, what about the elementary school? response:	What I did so Tstmtay in the past?
context: What is the thing that closes when a person enters it, but he opens up when it does not enter?\Oh, puzzle?\The answer is trains crossing\Otnin that it is not a mystery?\Gas? what do you mean?\Oh Well, I've already in this kindergarten or elementary school\Well, what about the elementary school?\What I did so Tstmtay in the past? response:	Huh?
context: Oh, puzzle?\The answer is trains crossing\Otnin that it is not a mystery?\Gas? what do you mean?\Oh Well, I've already in this kindergarten or elementary school\Well, what about the elementary school?\What I did so Tstmtay in the past?\Huh? response:	Robots carrying objects painted many of the CPU circuits manufactured
context: The answer is trains crossing\Otnin that it is not a mystery?\Gas? what do you mean?\Oh Well, I've already in this kindergarten or elementary school\Well, what about the elementary school?\What I did so Tstmtay in the past?\Huh?\Robots carrying objects painted many of the CPU circuits manufactured response:	The father of the frog Linq strongly Arepett-Arepett
context: Otnin that it is not a mystery?\Gas? what do you mean?\Oh Well, I've already in this kindergarten or elementary school\Well, what about the elementary school?\What I did so Tstmtay in the past?\Huh?\Robots carrying objects painted many of the CPU circuits manufactured\The father of the frog Linq strongly Arepett-Arepett response:	Chirping: is the voice of the frog
context: Gas? what do you mean?\Oh Well, I've already in this kindergarten or elementary school\Well, what about the elementary school?\What I did so Tstmtay in the past?\Huh?\Robots carrying objects painted many of the CPU circuits manufactured\The father of the frog Linq strongly Arepett-Arepett\Chirping: is the voice of the frog response:	The mother frog revision purity educated-educated
context: Oh Well, I've already in this kindergarten or elementary school\Well, what about the elementary school?\What I did so Tstmtay in the past?\Huh?\Robots carrying objects painted many of the CPU circuits manufactured\The father of the frog Linq strongly Arepett-Arepett\Chirping: is the voice of the frog\The mother frog revision purity educated-educated response:	So, how Linq frog son
context: Well, what about the elementary school?\What I did so Tstmtay in the past?\Huh?\Robots carrying objects painted many of the CPU circuits manufactured\The father of the frog Linq strongly Arepett-Arepett\Chirping: is the voice of the frog\The mother frog revision purity educated-educated\So, how Linq frog son response:	124!
context: What I did so Tstmtay in the past?\Huh?\Robots carrying objects painted many of the CPU circuits manufactured\The father of the frog Linq strongly Arepett-Arepett\Chirping: is the voice of the frog\The mother frog revision purity educated-educated\So, how Linq frog son\124! response:	How do I thought about this!?
context: Huh?\Robots carrying objects painted many of the CPU circuits manufactured\The father of the frog Linq strongly Arepett-Arepett\Chirping: is the voice of the frog\The mother frog revision purity educated-educated\So, how Linq frog son\124!\How do I thought about this!? response:	The correct answer is Achargvh for this it is not to croak
context: Robots carrying objects painted many of the CPU circuits manufactured\The father of the frog Linq strongly Arepett-Arepett\Chirping: is the voice of the frog\The mother frog revision purity educated-educated\So, how Linq frog son\124!\How do I thought about this!?\The correct answer is Achargvh for this it is not to croak response:	Achargvh: voice tadpole (son of frog)
context: The father of the frog Linq strongly Arepett-Arepett\Chirping: is the voice of the frog\The mother frog revision purity educated-educated\So, how Linq frog son\124!\How do I thought about this!?\The correct answer is Achargvh for this it is not to croak\Achargvh: voice tadpole (son of frog) response:	When the car wrapped around the turn, what is the thing that you lose definitely?
context: Chirping: is the voice of the frog\The mother frog revision purity educated-educated\So, how Linq frog son\124!\How do I thought about this!?\The correct answer is Achargvh for this it is not to croak\Achargvh: voice tadpole (son of frog)\When the car wrapped around the turn, what is the thing that you lose definitely? response:	Gasoline?
context: The mother frog revision purity educated-educated\So, how Linq frog son\124!\How do I thought about this!?\The correct answer is Achargvh for this it is not to croak\Achargvh: voice tadpole (son of frog)\When the car wrapped around the turn, what is the thing that you lose definitely?\Gasoline? response:	It does not lose gasoline, is not it?
context: So, how Linq frog son\124!\How do I thought about this!?\The correct answer is Achargvh for this it is not to croak\Achargvh: voice tadpole (son of frog)\When the car wrapped around the turn, what is the thing that you lose definitely?\Gasoline?\It does not lose gasoline, is not it? response:	Parts?
context: 124!\How do I thought about this!?\The correct answer is Achargvh for this it is not to croak\Achargvh: voice tadpole (son of frog)\When the car wrapped around the turn, what is the thing that you lose definitely?\Gasoline?\It does not lose gasoline, is not it?\Parts? response:	This will be scary
context: How do I thought about this!?\The correct answer is Achargvh for this it is not to croak\Achargvh: voice tadpole (son of frog)\When the car wrapped around the turn, what is the thing that you lose definitely?\Gasoline?\It does not lose gasoline, is not it?\Parts?\This will be scary response:	People?
context: The correct answer is Achargvh for this it is not to croak\Achargvh: voice tadpole (son of frog)\When the car wrapped around the turn, what is the thing that you lose definitely?\Gasoline?\It does not lose gasoline, is not it?\Parts?\This will be scary\People? response:	The answer is -azn
context: Achargvh: voice tadpole (son of frog)\When the car wrapped around the turn, what is the thing that you lose definitely?\Gasoline?\It does not lose gasoline, is not it?\Parts?\This will be scary\People?\The answer is -azn response:	Not yet
context: When the car wrapped around the turn, what is the thing that you lose definitely?\Gasoline?\It does not lose gasoline, is not it?\Parts?\This will be scary\People?\The answer is -azn\Not yet response:	Have you ever thought one?
context: Gasoline?\It does not lose gasoline, is not it?\Parts?\This will be scary\People?\The answer is -azn\Not yet\Have you ever thought one? response:	Rupture of the frame particles?
context: It does not lose gasoline, is not it?\Parts?\This will be scary\People?\The answer is -azn\Not yet\Have you ever thought one?\Rupture of the frame particles? response:	This is likely rupture when going in a straight line, too, right?
context: Parts?\This will be scary\People?\The answer is -azn\Not yet\Have you ever thought one?\Rupture of the frame particles?\This is likely rupture when going in a straight line, too, right? response:	The correct answer is Speed
context: This will be scary\People?\The answer is -azn\Not yet\Have you ever thought one?\Rupture of the frame particles?\This is likely rupture when going in a straight line, too, right?\The correct answer is Speed response:	Haku, you can not even think about it
context: People?\The answer is -azn\Not yet\Have you ever thought one?\Rupture of the frame particles?\This is likely rupture when going in a straight line, too, right?\The correct answer is Speed\Haku, you can not even think about it response:	Doll?
context: The answer is -azn\Not yet\Have you ever thought one?\Rupture of the frame particles?\This is likely rupture when going in a straight line, too, right?\The correct answer is Speed\Haku, you can not even think about it\Doll? response:	Haku
context: Not yet\Have you ever thought one?\Rupture of the frame particles?\This is likely rupture when going in a straight line, too, right?\The correct answer is Speed\Haku, you can not even think about it\Doll?\Haku response:	What was all this?
context: Have you ever thought one?\Rupture of the frame particles?\This is likely rupture when going in a straight line, too, right?\The correct answer is Speed\Haku, you can not even think about it\Doll?\Haku\What was all this? response:	As a matter Atodhan, Arzogaoa?
context: Rupture of the frame particles?\This is likely rupture when going in a straight line, too, right?\The correct answer is Speed\Haku, you can not even think about it\Doll?\Haku\What was all this?\As a matter Atodhan, Arzogaoa? response:	Ica-sama What idea on this matter
context: This is likely rupture when going in a straight line, too, right?\The correct answer is Speed\Haku, you can not even think about it\Doll?\Haku\What was all this?\As a matter Atodhan, Arzogaoa?\Ica-sama What idea on this matter response:	what do you mean!? They do this deliberate
context: The correct answer is Speed\Haku, you can not even think about it\Doll?\Haku\What was all this?\As a matter Atodhan, Arzogaoa?\Ica-sama What idea on this matter\what do you mean!? They do this deliberate response:	It is like a servant, like hers Seibestan
context: Haku, you can not even think about it\Doll?\Haku\What was all this?\As a matter Atodhan, Arzogaoa?\Ica-sama What idea on this matter\what do you mean!? They do this deliberate\It is like a servant, like hers Seibestan response:	Do you have to take off my clothes too?
context: Doll?\Haku\What was all this?\As a matter Atodhan, Arzogaoa?\Ica-sama What idea on this matter\what do you mean!? They do this deliberate\It is like a servant, like hers Seibestan\Do you have to take off my clothes too? response:	Huh?
context: Haku\What was all this?\As a matter Atodhan, Arzogaoa?\Ica-sama What idea on this matter\what do you mean!? They do this deliberate\It is like a servant, like hers Seibestan\Do you have to take off my clothes too?\Huh? response:	K-Kemeto-sama is out on a mission and will not come back today
context: What was all this?\As a matter Atodhan, Arzogaoa?\Ica-sama What idea on this matter\what do you mean!? They do this deliberate\It is like a servant, like hers Seibestan\Do you have to take off my clothes too?\Huh?\K-Kemeto-sama is out on a mission and will not come back today response:	Kemeto is not always here, is not it?
context: As a matter Atodhan, Arzogaoa?\Ica-sama What idea on this matter\what do you mean!? They do this deliberate\It is like a servant, like hers Seibestan\Do you have to take off my clothes too?\Huh?\K-Kemeto-sama is out on a mission and will not come back today\Kemeto is not always here, is not it? response:	I want to spend some time with you Haku-sama
context: Ica-sama What idea on this matter\what do you mean!? They do this deliberate\It is like a servant, like hers Seibestan\Do you have to take off my clothes too?\Huh?\K-Kemeto-sama is out on a mission and will not come back today\Kemeto is not always here, is not it?\I want to spend some time with you Haku-sama response:	what do you mean?
context: what do you mean!? They do this deliberate\It is like a servant, like hers Seibestan\Do you have to take off my clothes too?\Huh?\K-Kemeto-sama is out on a mission and will not come back today\Kemeto is not always here, is not it?\I want to spend some time with you Haku-sama\what do you mean? response:	when?
context: It is like a servant, like hers Seibestan\Do you have to take off my clothes too?\Huh?\K-Kemeto-sama is out on a mission and will not come back today\Kemeto is not always here, is not it?\I want to spend some time with you Haku-sama\what do you mean?\when? response:	No, often this is true?
context: Do you have to take off my clothes too?\Huh?\K-Kemeto-sama is out on a mission and will not come back today\Kemeto is not always here, is not it?\I want to spend some time with you Haku-sama\what do you mean?\when?\No, often this is true? response:	when?
context: Huh?\K-Kemeto-sama is out on a mission and will not come back today\Kemeto is not always here, is not it?\I want to spend some time with you Haku-sama\what do you mean?\when?\No, often this is true?\when? response:	Aika-sama What we have to do!?
context: K-Kemeto-sama is out on a mission and will not come back today\Kemeto is not always here, is not it?\I want to spend some time with you Haku-sama\what do you mean?\when?\No, often this is true?\when?\Aika-sama What we have to do!? response:	Kerry? Kerry?
context: Kemeto is not always here, is not it?\I want to spend some time with you Haku-sama\what do you mean?\when?\No, often this is true?\when?\Aika-sama What we have to do!?\Kerry? Kerry? response:	Do you called Rico-sama?
context: I want to spend some time with you Haku-sama\what do you mean?\when?\No, often this is true?\when?\Aika-sama What we have to do!?\Kerry? Kerry?\Do you called Rico-sama? response:	- and, Haku
context: what do you mean?\when?\No, often this is true?\when?\Aika-sama What we have to do!?\Kerry? Kerry?\Do you called Rico-sama?\- and, Haku response:	What it is, Aika-sama?
context: when?\No, often this is true?\when?\Aika-sama What we have to do!?\Kerry? Kerry?\Do you called Rico-sama?\- and, Haku\What it is, Aika-sama? response:	Do Kemeto-sama that every day passes!?
context: No, often this is true?\when?\Aika-sama What we have to do!?\Kerry? Kerry?\Do you called Rico-sama?\- and, Haku\What it is, Aika-sama?\Do Kemeto-sama that every day passes!? response:	The father of the frog Linq Arepett-Arepett
context: when?\Aika-sama What we have to do!?\Kerry? Kerry?\Do you called Rico-sama?\- and, Haku\What it is, Aika-sama?\Do Kemeto-sama that every day passes!?\The father of the frog Linq Arepett-Arepett response:	The mother frog revision educated-educated
context: Aika-sama What we have to do!?\Kerry? Kerry?\Do you called Rico-sama?\- and, Haku\What it is, Aika-sama?\Do Kemeto-sama that every day passes!?\The father of the frog Linq Arepett-Arepett\The mother frog revision educated-educated response:	So, how Linq their son?
context: Kerry? Kerry?\Do you called Rico-sama?\- and, Haku\What it is, Aika-sama?\Do Kemeto-sama that every day passes!?\The father of the frog Linq Arepett-Arepett\The mother frog revision educated-educated\So, how Linq their son? response:	Oh, puzzle?
context: Do you called Rico-sama?\- and, Haku\What it is, Aika-sama?\Do Kemeto-sama that every day passes!?\The father of the frog Linq Arepett-Arepett\The mother frog revision educated-educated\So, how Linq their son?\Oh, puzzle? response:	Father Arepett-Arepett and mother educated-educated?
context: - and, Haku\What it is, Aika-sama?\Do Kemeto-sama that every day passes!?\The father of the frog Linq Arepett-Arepett\The mother frog revision educated-educated\So, how Linq their son?\Oh, puzzle?\Father Arepett-Arepett and mother educated-educated? response:	Huh? Frog son Ichergv this he is not Linq
context: What it is, Aika-sama?\Do Kemeto-sama that every day passes!?\The father of the frog Linq Arepett-Arepett\The mother frog revision educated-educated\So, how Linq their son?\Oh, puzzle?\Father Arepett-Arepett and mother educated-educated?\Huh? Frog son Ichergv this he is not Linq response:	A-Llano, m-long time ago
context: Do Kemeto-sama that every day passes!?\The father of the frog Linq Arepett-Arepett\The mother frog revision educated-educated\So, how Linq their son?\Oh, puzzle?\Father Arepett-Arepett and mother educated-educated?\Huh? Frog son Ichergv this he is not Linq\A-Llano, m-long time ago response:	Oh, it may be, again?
context: The father of the frog Linq Arepett-Arepett\The mother frog revision educated-educated\So, how Linq their son?\Oh, puzzle?\Father Arepett-Arepett and mother educated-educated?\Huh? Frog son Ichergv this he is not Linq\A-Llano, m-long time ago\Oh, it may be, again? response:	Dear asshole, I was very worried, and I thought you did not love me anymore longer, learn this?
context: The mother frog revision educated-educated\So, how Linq their son?\Oh, puzzle?\Father Arepett-Arepett and mother educated-educated?\Huh? Frog son Ichergv this he is not Linq\A-Llano, m-long time ago\Oh, it may be, again?\Dear asshole, I was very worried, and I thought you did not love me anymore longer, learn this? response:	So how you will feel vectorial?
context: So, how Linq their son?\Oh, puzzle?\Father Arepett-Arepett and mother educated-educated?\Huh? Frog son Ichergv this he is not Linq\A-Llano, m-long time ago\Oh, it may be, again?\Dear asshole, I was very worried, and I thought you did not love me anymore longer, learn this?\So how you will feel vectorial? response:	Sorry, did I hear you well, say it again, okay?
context: Oh, puzzle?\Father Arepett-Arepett and mother educated-educated?\Huh? Frog son Ichergv this he is not Linq\A-Llano, m-long time ago\Oh, it may be, again?\Dear asshole, I was very worried, and I thought you did not love me anymore longer, learn this?\So how you will feel vectorial?\Sorry, did I hear you well, say it again, okay? response:	What do you do?
context: Father Arepett-Arepett and mother educated-educated?\Huh? Frog son Ichergv this he is not Linq\A-Llano, m-long time ago\Oh, it may be, again?\Dear asshole, I was very worried, and I thought you did not love me anymore longer, learn this?\So how you will feel vectorial?\Sorry, did I hear you well, say it again, okay?\What do you do? response:	Huh? Habiba in your game?
context: Huh? Frog son Ichergv this he is not Linq\A-Llano, m-long time ago\Oh, it may be, again?\Dear asshole, I was very worried, and I thought you did not love me anymore longer, learn this?\So how you will feel vectorial?\Sorry, did I hear you well, say it again, okay?\What do you do?\Huh? Habiba in your game? response:	So, what you're saying is it's not real, right?
context: A-Llano, m-long time ago\Oh, it may be, again?\Dear asshole, I was very worried, and I thought you did not love me anymore longer, learn this?\So how you will feel vectorial?\Sorry, did I hear you well, say it again, okay?\What do you do?\Huh? Habiba in your game?\So, what you're saying is it's not real, right? response:	I want to tell him how horrible this, but what do I do!?
context: Oh, it may be, again?\Dear asshole, I was very worried, and I thought you did not love me anymore longer, learn this?\So how you will feel vectorial?\Sorry, did I hear you well, say it again, okay?\What do you do?\Huh? Habiba in your game?\So, what you're saying is it's not real, right?\I want to tell him how horrible this, but what do I do!? response:	Sound actress?
context: Dear asshole, I was very worried, and I thought you did not love me anymore longer, learn this?\So how you will feel vectorial?\Sorry, did I hear you well, say it again, okay?\What do you do?\Huh? Habiba in your game?\So, what you're saying is it's not real, right?\I want to tell him how horrible this, but what do I do!?\Sound actress? response:	When Talban game, the characters are talking and stuff, right?
