context: Good morning, sir. response:	Do you know what the most important trick to living in this country is, Stevens?
context: Good morning, sir.\Do you know what the most important trick to living in this country is, Stevens? response:	I'm sorry, sir. I do not...
context: Good morning, sir.\Do you know what the most important trick to living in this country is, Stevens?\I'm sorry, sir. I do not... response:	It's knowing one's place.
context: Good morning, sir.\Do you know what the most important trick to living in this country is, Stevens?\I'm sorry, sir. I do not...\It's knowing one's place. response:	Appropriate behavoir...
context: Good morning, sir.\Do you know what the most important trick to living in this country is, Stevens?\I'm sorry, sir. I do not...\It's knowing one's place.\Appropriate behavoir... response:	That's how order and dignity are maintained.
context: Good morning, sir.\Do you know what the most important trick to living in this country is, Stevens?\I'm sorry, sir. I do not...\It's knowing one's place.\Appropriate behavoir...\That's how order and dignity are maintained. response:	Episode 6 The Visit
context: Good morning, sir.\Do you know what the most important trick to living in this country is, Stevens?\I'm sorry, sir. I do not...\It's knowing one's place.\Appropriate behavoir...\That's how order and dignity are maintained.\Episode 6 The Visit response:	Eggs.
context: Good morning, sir.\Do you know what the most important trick to living in this country is, Stevens?\I'm sorry, sir. I do not...\It's knowing one's place.\Appropriate behavoir...\That's how order and dignity are maintained.\Episode 6 The Visit\Eggs. response:	Right away!
context: Do you know what the most important trick to living in this country is, Stevens?\I'm sorry, sir. I do not...\It's knowing one's place.\Appropriate behavoir...\That's how order and dignity are maintained.\Episode 6 The Visit\Eggs.\Right away! response:	Emma, help me up.
context: I'm sorry, sir. I do not...\It's knowing one's place.\Appropriate behavoir...\That's how order and dignity are maintained.\Episode 6 The Visit\Eggs.\Right away!\Emma, help me up. response:	Yes, ma'am.
context: It's knowing one's place.\Appropriate behavoir...\That's how order and dignity are maintained.\Episode 6 The Visit\Eggs.\Right away!\Emma, help me up.\Yes, ma'am. response:	I'm sorry to make more work for you.
context: Appropriate behavoir...\That's how order and dignity are maintained.\Episode 6 The Visit\Eggs.\Right away!\Emma, help me up.\Yes, ma'am.\I'm sorry to make more work for you. response:	Not at all.
context: That's how order and dignity are maintained.\Episode 6 The Visit\Eggs.\Right away!\Emma, help me up.\Yes, ma'am.\I'm sorry to make more work for you.\Not at all. response:	I suppose I should ask Al to make me a walking stick.
context: Episode 6 The Visit\Eggs.\Right away!\Emma, help me up.\Yes, ma'am.\I'm sorry to make more work for you.\Not at all.\I suppose I should ask Al to make me a walking stick. response:	Um, it really isn't any trouble for me...
context: Eggs.\Right away!\Emma, help me up.\Yes, ma'am.\I'm sorry to make more work for you.\Not at all.\I suppose I should ask Al to make me a walking stick.\Um, it really isn't any trouble for me... response:	I see.
context: Right away!\Emma, help me up.\Yes, ma'am.\I'm sorry to make more work for you.\Not at all.\I suppose I should ask Al to make me a walking stick.\Um, it really isn't any trouble for me...\I see. response:	It's perfectly fine.
context: Emma, help me up.\Yes, ma'am.\I'm sorry to make more work for you.\Not at all.\I suppose I should ask Al to make me a walking stick.\Um, it really isn't any trouble for me...\I see.\It's perfectly fine. response:	I'd do anything for you, ma'am.
context: Yes, ma'am.\I'm sorry to make more work for you.\Not at all.\I suppose I should ask Al to make me a walking stick.\Um, it really isn't any trouble for me...\I see.\It's perfectly fine.\I'd do anything for you, ma'am. response:	Stevens, my cigars.
context: I'm sorry to make more work for you.\Not at all.\I suppose I should ask Al to make me a walking stick.\Um, it really isn't any trouble for me...\I see.\It's perfectly fine.\I'd do anything for you, ma'am.\Stevens, my cigars. response:	Yes, sir.
context: Not at all.\I suppose I should ask Al to make me a walking stick.\Um, it really isn't any trouble for me...\I see.\It's perfectly fine.\I'd do anything for you, ma'am.\Stevens, my cigars.\Yes, sir. response:	Hey brother, borrow The Death of King Arthur for me next time, okay?
context: I suppose I should ask Al to make me a walking stick.\Um, it really isn't any trouble for me...\I see.\It's perfectly fine.\I'd do anything for you, ma'am.\Stevens, my cigars.\Yes, sir.\Hey brother, borrow The Death of King Arthur for me next time, okay? response:	I want to see Beardsley's drawings!
context: Um, it really isn't any trouble for me...\I see.\It's perfectly fine.\I'd do anything for you, ma'am.\Stevens, my cigars.\Yes, sir.\Hey brother, borrow The Death of King Arthur for me next time, okay?\I want to see Beardsley's drawings! response:	They're not appropriate for you to see.
context: I see.\It's perfectly fine.\I'd do anything for you, ma'am.\Stevens, my cigars.\Yes, sir.\Hey brother, borrow The Death of King Arthur for me next time, okay?\I want to see Beardsley's drawings!\They're not appropriate for you to see. response:	Beardsley?
context: It's perfectly fine.\I'd do anything for you, ma'am.\Stevens, my cigars.\Yes, sir.\Hey brother, borrow The Death of King Arthur for me next time, okay?\I want to see Beardsley's drawings!\They're not appropriate for you to see.\Beardsley? response:	Apparently, he always wears black clothes. They say he looks like the grim reaper.
context: I'd do anything for you, ma'am.\Stevens, my cigars.\Yes, sir.\Hey brother, borrow The Death of King Arthur for me next time, okay?\I want to see Beardsley's drawings!\They're not appropriate for you to see.\Beardsley?\Apparently, he always wears black clothes. They say he looks like the grim reaper. response:	The grim reaper just loves crybabies!
context: Stevens, my cigars.\Yes, sir.\Hey brother, borrow The Death of King Arthur for me next time, okay?\I want to see Beardsley's drawings!\They're not appropriate for you to see.\Beardsley?\Apparently, he always wears black clothes. They say he looks like the grim reaper.\The grim reaper just loves crybabies! response:	Stop that!
context: Yes, sir.\Hey brother, borrow The Death of King Arthur for me next time, okay?\I want to see Beardsley's drawings!\They're not appropriate for you to see.\Beardsley?\Apparently, he always wears black clothes. They say he looks like the grim reaper.\The grim reaper just loves crybabies!\Stop that! response:	Maybe he'll come visit you tonight, Colin!
context: Hey brother, borrow The Death of King Arthur for me next time, okay?\I want to see Beardsley's drawings!\They're not appropriate for you to see.\Beardsley?\Apparently, he always wears black clothes. They say he looks like the grim reaper.\The grim reaper just loves crybabies!\Stop that!\Maybe he'll come visit you tonight, Colin! response:	That's enough.
context: I want to see Beardsley's drawings!\They're not appropriate for you to see.\Beardsley?\Apparently, he always wears black clothes. They say he looks like the grim reaper.\The grim reaper just loves crybabies!\Stop that!\Maybe he'll come visit you tonight, Colin!\That's enough. response:	All right...
context: They're not appropriate for you to see.\Beardsley?\Apparently, he always wears black clothes. They say he looks like the grim reaper.\The grim reaper just loves crybabies!\Stop that!\Maybe he'll come visit you tonight, Colin!\That's enough.\All right... response:	It's okay, there's no such thing as the grim reaper!
context: Beardsley?\Apparently, he always wears black clothes. They say he looks like the grim reaper.\The grim reaper just loves crybabies!\Stop that!\Maybe he'll come visit you tonight, Colin!\That's enough.\All right...\It's okay, there's no such thing as the grim reaper! response:	The minute father leaves the room, the place turns into a zoo.
context: Apparently, he always wears black clothes. They say he looks like the grim reaper.\The grim reaper just loves crybabies!\Stop that!\Maybe he'll come visit you tonight, Colin!\That's enough.\All right...\It's okay, there's no such thing as the grim reaper!\The minute father leaves the room, the place turns into a zoo. response:	Eh?
context: The grim reaper just loves crybabies!\Stop that!\Maybe he'll come visit you tonight, Colin!\That's enough.\All right...\It's okay, there's no such thing as the grim reaper!\The minute father leaves the room, the place turns into a zoo.\Eh? response:	So you're out here again.
context: Stop that!\Maybe he'll come visit you tonight, Colin!\That's enough.\All right...\It's okay, there's no such thing as the grim reaper!\The minute father leaves the room, the place turns into a zoo.\Eh?\So you're out here again. response:	This is the most pleasant spot.
