context: TS response:	OP
context: TS\OP response:	Ao, how's it going?
context: TS\OP\Ao, how's it going? response:	Caught anything?
context: TS\OP\Ao, how's it going?\Caught anything? response:	Not yet.
context: TS\OP\Ao, how's it going?\Caught anything?\Not yet. response:	Got something!
context: TS\OP\Ao, how's it going?\Caught anything?\Not yet.\Got something! response:	Be careful!
context: TS\OP\Ao, how's it going?\Caught anything?\Not yet.\Got something!\Be careful! response:	I'll be fine.
context: TS\OP\Ao, how's it going?\Caught anything?\Not yet.\Got something!\Be careful!\I'll be fine. response:	I was raised on an island after all!
context: OP\Ao, how's it going?\Caught anything?\Not yet.\Got something!\Be careful!\I'll be fine.\I was raised on an island after all! response:	The fishing rod...
context: Ao, how's it going?\Caught anything?\Not yet.\Got something!\Be careful!\I'll be fine.\I was raised on an island after all!\The fishing rod... response:	That was close.
context: Caught anything?\Not yet.\Got something!\Be careful!\I'll be fine.\I was raised on an island after all!\The fishing rod...\That was close. response:	Are you hurt?
context: Not yet.\Got something!\Be careful!\I'll be fine.\I was raised on an island after all!\The fishing rod...\That was close.\Are you hurt? response:	No... um, is your baby okay?
context: Got something!\Be careful!\I'll be fine.\I was raised on an island after all!\The fishing rod...\That was close.\Are you hurt?\No... um, is your baby okay? response:	Oh, you noticed?
context: Be careful!\I'll be fine.\I was raised on an island after all!\The fishing rod...\That was close.\Are you hurt?\No... um, is your baby okay?\Oh, you noticed? response:	Well...
context: I'll be fine.\I was raised on an island after all!\The fishing rod...\That was close.\Are you hurt?\No... um, is your baby okay?\Oh, you noticed?\Well... response:	I'm at six months now. The baby's doing well!
context: I was raised on an island after all!\The fishing rod...\That was close.\Are you hurt?\No... um, is your baby okay?\Oh, you noticed?\Well...\I'm at six months now. The baby's doing well! response:	Thanks for the food.
context: The fishing rod...\That was close.\Are you hurt?\No... um, is your baby okay?\Oh, you noticed?\Well...\I'm at six months now. The baby's doing well!\Thanks for the food. response:	Table manners.
context: That was close.\Are you hurt?\No... um, is your baby okay?\Oh, you noticed?\Well...\I'm at six months now. The baby's doing well!\Thanks for the food.\Table manners. response:	Thanks for the food.
context: Are you hurt?\No... um, is your baby okay?\Oh, you noticed?\Well...\I'm at six months now. The baby's doing well!\Thanks for the food.\Table manners.\Thanks for the food. response:	Good boy.
context: No... um, is your baby okay?\Oh, you noticed?\Well...\I'm at six months now. The baby's doing well!\Thanks for the food.\Table manners.\Thanks for the food.\Good boy. response:	You make it sound like I'm a kid.
context: Oh, you noticed?\Well...\I'm at six months now. The baby's doing well!\Thanks for the food.\Table manners.\Thanks for the food.\Good boy.\You make it sound like I'm a kid. response:	Huh? How old are you?
context: Well...\I'm at six months now. The baby's doing well!\Thanks for the food.\Table manners.\Thanks for the food.\Good boy.\You make it sound like I'm a kid.\Huh? How old are you? response:	I'm 13, and I should be in seventh grade,
context: I'm at six months now. The baby's doing well!\Thanks for the food.\Table manners.\Thanks for the food.\Good boy.\You make it sound like I'm a kid.\Huh? How old are you?\I'm 13, and I should be in seventh grade, response:	but stuff happened on the day of the entrance ceremony.
context: Thanks for the food.\Table manners.\Thanks for the food.\Good boy.\You make it sound like I'm a kid.\Huh? How old are you?\I'm 13, and I should be in seventh grade,\but stuff happened on the day of the entrance ceremony. response:	This is so good!
context: Table manners.\Thanks for the food.\Good boy.\You make it sound like I'm a kid.\Huh? How old are you?\I'm 13, and I should be in seventh grade,\but stuff happened on the day of the entrance ceremony.\This is so good! response:	So good! So good! So good!
context: Thanks for the food.\Good boy.\You make it sound like I'm a kid.\Huh? How old are you?\I'm 13, and I should be in seventh grade,\but stuff happened on the day of the entrance ceremony.\This is so good!\So good! So good! So good! response:	What is this? It's all so good!
context: Good boy.\You make it sound like I'm a kid.\Huh? How old are you?\I'm 13, and I should be in seventh grade,\but stuff happened on the day of the entrance ceremony.\This is so good!\So good! So good! So good!\What is this? It's all so good! response:	Isn't this wonderful?
context: You make it sound like I'm a kid.\Huh? How old are you?\I'm 13, and I should be in seventh grade,\but stuff happened on the day of the entrance ceremony.\This is so good!\So good! So good! So good!\What is this? It's all so good!\Isn't this wonderful? response:	These are just emergency rations...
context: Huh? How old are you?\I'm 13, and I should be in seventh grade,\but stuff happened on the day of the entrance ceremony.\This is so good!\So good! So good! So good!\What is this? It's all so good!\Isn't this wonderful?\These are just emergency rations... response:	But Generation Bleu is overseeing a food supply chain as well, so...
context: I'm 13, and I should be in seventh grade,\but stuff happened on the day of the entrance ceremony.\This is so good!\So good! So good! So good!\What is this? It's all so good!\Isn't this wonderful?\These are just emergency rations...\But Generation Bleu is overseeing a food supply chain as well, so... response:	Um... You really should ask for protection.
context: but stuff happened on the day of the entrance ceremony.\This is so good!\So good! So good! So good!\What is this? It's all so good!\Isn't this wonderful?\These are just emergency rations...\But Generation Bleu is overseeing a food supply chain as well, so...\Um... You really should ask for protection. response:	From Generati... You mentioned them earlier.
context: This is so good!\So good! So good! So good!\What is this? It's all so good!\Isn't this wonderful?\These are just emergency rations...\But Generation Bleu is overseeing a food supply chain as well, so...\Um... You really should ask for protection.\From Generati... You mentioned them earlier. response:	Is that the name of this country?
context: So good! So good! So good!\What is this? It's all so good!\Isn't this wonderful?\These are just emergency rations...\But Generation Bleu is overseeing a food supply chain as well, so...\Um... You really should ask for protection.\From Generati... You mentioned them earlier.\Is that the name of this country? response:	No, it's not a country...
context: What is this? It's all so good!\Isn't this wonderful?\These are just emergency rations...\But Generation Bleu is overseeing a food supply chain as well, so...\Um... You really should ask for protection.\From Generati... You mentioned them earlier.\Is that the name of this country?\No, it's not a country... response:	Ah, right. This is Earth after all.
context: Isn't this wonderful?\These are just emergency rations...\But Generation Bleu is overseeing a food supply chain as well, so...\Um... You really should ask for protection.\From Generati... You mentioned them earlier.\Is that the name of this country?\No, it's not a country...\Ah, right. This is Earth after all. response:	But it's entirely different from the one I come from.
context: These are just emergency rations...\But Generation Bleu is overseeing a food supply chain as well, so...\Um... You really should ask for protection.\From Generati... You mentioned them earlier.\Is that the name of this country?\No, it's not a country...\Ah, right. This is Earth after all.\But it's entirely different from the one I come from. response:	Mo
context: But Generation Bleu is overseeing a food supply chain as well, so...\Um... You really should ask for protection.\From Generati... You mentioned them earlier.\Is that the name of this country?\No, it's not a country...\Ah, right. This is Earth after all.\But it's entirely different from the one I come from.\Mo response:	Eureka, what was your Earth like?
context: Um... You really should ask for protection.\From Generati... You mentioned them earlier.\Is that the name of this country?\No, it's not a country...\Ah, right. This is Earth after all.\But it's entirely different from the one I come from.\Mo\Eureka, what was your Earth like? response:	Have you heard of the Scub Coral?
context: From Generati... You mentioned them earlier.\Is that the name of this country?\No, it's not a country...\Ah, right. This is Earth after all.\But it's entirely different from the one I come from.\Mo\Eureka, what was your Earth like?\Have you heard of the Scub Coral? response:	Yeah. We have it here too.
context: Is that the name of this country?\No, it's not a country...\Ah, right. This is Earth after all.\But it's entirely different from the one I come from.\Mo\Eureka, what was your Earth like?\Have you heard of the Scub Coral?\Yeah. We have it here too. response:	No, there's a lot more of it.
context: No, it's not a country...\Ah, right. This is Earth after all.\But it's entirely different from the one I come from.\Mo\Eureka, what was your Earth like?\Have you heard of the Scub Coral?\Yeah. We have it here too.\No, there's a lot more of it. response:	It covers the entire planet.
context: Ah, right. This is Earth after all.\But it's entirely different from the one I come from.\Mo\Eureka, what was your Earth like?\Have you heard of the Scub Coral?\Yeah. We have it here too.\No, there's a lot more of it.\It covers the entire planet. response:	People were living on the top of it.
context: But it's entirely different from the one I come from.\Mo\Eureka, what was your Earth like?\Have you heard of the Scub Coral?\Yeah. We have it here too.\No, there's a lot more of it.\It covers the entire planet.\People were living on the top of it. response:	Humans and the Scub Coral lived together.
context: Mo\Eureka, what was your Earth like?\Have you heard of the Scub Coral?\Yeah. We have it here too.\No, there's a lot more of it.\It covers the entire planet.\People were living on the top of it.\Humans and the Scub Coral lived together. response:	If you don't have authority on this matter, just say so.
context: Eureka, what was your Earth like?\Have you heard of the Scub Coral?\Yeah. We have it here too.\No, there's a lot more of it.\It covers the entire planet.\People were living on the top of it.\Humans and the Scub Coral lived together.\If you don't have authority on this matter, just say so. response:	I'll contact the Secretary of Defense directly.
context: Have you heard of the Scub Coral?\Yeah. We have it here too.\No, there's a lot more of it.\It covers the entire planet.\People were living on the top of it.\Humans and the Scub Coral lived together.\If you don't have authority on this matter, just say so.\I'll contact the Secretary of Defense directly. response:	She's back! Eureka! The one that disappeared 10 years ago!
context: Yeah. We have it here too.\No, there's a lot more of it.\It covers the entire planet.\People were living on the top of it.\Humans and the Scub Coral lived together.\If you don't have authority on this matter, just say so.\I'll contact the Secretary of Defense directly.\She's back! Eureka! The one that disappeared 10 years ago! response:	Not to mention she has a new Mark I,
context: No, there's a lot more of it.\It covers the entire planet.\People were living on the top of it.\Humans and the Scub Coral lived together.\If you don't have authority on this matter, just say so.\I'll contact the Secretary of Defense directly.\She's back! Eureka! The one that disappeared 10 years ago!\Not to mention she has a new Mark I, response:	no, a Mark II with her now!
context: It covers the entire planet.\People were living on the top of it.\Humans and the Scub Coral lived together.\If you don't have authority on this matter, just say so.\I'll contact the Secretary of Defense directly.\She's back! Eureka! The one that disappeared 10 years ago!\Not to mention she has a new Mark I,\no, a Mark II with her now! response:	This time we won't
context: People were living on the top of it.\Humans and the Scub Coral lived together.\If you don't have authority on this matter, just say so.\I'll contact the Secretary of Defense directly.\She's back! Eureka! The one that disappeared 10 years ago!\Not to mention she has a new Mark I,\no, a Mark II with her now!\This time we won't response:	Well, yes, it's in Japanese waters.
context: Humans and the Scub Coral lived together.\If you don't have authority on this matter, just say so.\I'll contact the Secretary of Defense directly.\She's back! Eureka! The one that disappeared 10 years ago!\Not to mention she has a new Mark I,\no, a Mark II with her now!\This time we won't\Well, yes, it's in Japanese waters. response:	But we can't just let the Japanese take it...
context: If you don't have authority on this matter, just say so.\I'll contact the Secretary of Defense directly.\She's back! Eureka! The one that disappeared 10 years ago!\Not to mention she has a new Mark I,\no, a Mark II with her now!\This time we won't\Well, yes, it's in Japanese waters.\But we can't just let the Japanese take it... response:	Sorry for causing you all this trouble.
context: I'll contact the Secretary of Defense directly.\She's back! Eureka! The one that disappeared 10 years ago!\Not to mention she has a new Mark I,\no, a Mark II with her now!\This time we won't\Well, yes, it's in Japanese waters.\But we can't just let the Japanese take it...\Sorry for causing you all this trouble. response:	Not at all.
context: She's back! Eureka! The one that disappeared 10 years ago!\Not to mention she has a new Mark I,\no, a Mark II with her now!\This time we won't\Well, yes, it's in Japanese waters.\But we can't just let the Japanese take it...\Sorry for causing you all this trouble.\Not at all. response:	I'm a reserve, so I've always been prepared to stand on the frontline.
context: Not to mention she has a new Mark I,\no, a Mark II with her now!\This time we won't\Well, yes, it's in Japanese waters.\But we can't just let the Japanese take it...\Sorry for causing you all this trouble.\Not at all.\I'm a reserve, so I've always been prepared to stand on the frontline. response:	Especially with Japan being as it is...
context: no, a Mark II with her now!\This time we won't\Well, yes, it's in Japanese waters.\But we can't just let the Japanese take it...\Sorry for causing you all this trouble.\Not at all.\I'm a reserve, so I've always been prepared to stand on the frontline.\Especially with Japan being as it is... response:	I'm really grateful.
context: This time we won't\Well, yes, it's in Japanese waters.\But we can't just let the Japanese take it...\Sorry for causing you all this trouble.\Not at all.\I'm a reserve, so I've always been prepared to stand on the frontline.\Especially with Japan being as it is...\I'm really grateful. response:	But... is it true?
context: Well, yes, it's in Japanese waters.\But we can't just let the Japanese take it...\Sorry for causing you all this trouble.\Not at all.\I'm a reserve, so I've always been prepared to stand on the frontline.\Especially with Japan being as it is...\I'm really grateful.\But... is it true? response:	Generation Bleu is denying it,
context: But we can't just let the Japanese take it...\Sorry for causing you all this trouble.\Not at all.\I'm a reserve, so I've always been prepared to stand on the frontline.\Especially with Japan being as it is...\I'm really grateful.\But... is it true?\Generation Bleu is denying it, response:	but from our surveillance photographs...
context: Sorry for causing you all this trouble.\Not at all.\I'm a reserve, so I've always been prepared to stand on the frontline.\Especially with Japan being as it is...\I'm really grateful.\But... is it true?\Generation Bleu is denying it,\but from our surveillance photographs... response:	I can hardly believe my eyes.
context: Not at all.\I'm a reserve, so I've always been prepared to stand on the frontline.\Especially with Japan being as it is...\I'm really grateful.\But... is it true?\Generation Bleu is denying it,\but from our surveillance photographs...\I can hardly believe my eyes. response:	This is why I asked you to come.
context: I'm a reserve, so I've always been prepared to stand on the frontline.\Especially with Japan being as it is...\I'm really grateful.\But... is it true?\Generation Bleu is denying it,\but from our surveillance photographs...\I can hardly believe my eyes.\This is why I asked you to come. response:	In the Japanese army, you're the only one who survived the Scub Burst 10 years ago.
context: Especially with Japan being as it is...\I'm really grateful.\But... is it true?\Generation Bleu is denying it,\but from our surveillance photographs...\I can hardly believe my eyes.\This is why I asked you to come.\In the Japanese army, you're the only one who survived the Scub Burst 10 years ago. response:	If you negotiate with Eureka,
context: I'm really grateful.\But... is it true?\Generation Bleu is denying it,\but from our surveillance photographs...\I can hardly believe my eyes.\This is why I asked you to come.\In the Japanese army, you're the only one who survived the Scub Burst 10 years ago.\If you negotiate with Eureka, response:	you could very possibly convince her to cooperate with our country.
context: But... is it true?\Generation Bleu is denying it,\but from our surveillance photographs...\I can hardly believe my eyes.\This is why I asked you to come.\In the Japanese army, you're the only one who survived the Scub Burst 10 years ago.\If you negotiate with Eureka,\you could very possibly convince her to cooperate with our country. response:	She's a good ship, captain.
context: Generation Bleu is denying it,\but from our surveillance photographs...\I can hardly believe my eyes.\This is why I asked you to come.\In the Japanese army, you're the only one who survived the Scub Burst 10 years ago.\If you negotiate with Eureka,\you could very possibly convince her to cooperate with our country.\She's a good ship, captain. response:	Agent Nakamura, what exactly is the meaning of that?
context: but from our surveillance photographs...\I can hardly believe my eyes.\This is why I asked you to come.\In the Japanese army, you're the only one who survived the Scub Burst 10 years ago.\If you negotiate with Eureka,\you could very possibly convince her to cooperate with our country.\She's a good ship, captain.\Agent Nakamura, what exactly is the meaning of that? response:	Huh?
context: I can hardly believe my eyes.\This is why I asked you to come.\In the Japanese army, you're the only one who survived the Scub Burst 10 years ago.\If you negotiate with Eureka,\you could very possibly convince her to cooperate with our country.\She's a good ship, captain.\Agent Nakamura, what exactly is the meaning of that?\Huh? response:	She got on board without asking a question.
