context: That night, we had jammed until very late. response:	Our neighbors in the building came to complain...
context: That night, we had jammed until very late.\Our neighbors in the building came to complain... response:	as was to be expected.
context: That night, we had jammed until very late.\Our neighbors in the building came to complain...\as was to be expected. response:	When I was darkness at that time
context: That night, we had jammed until very late.\Our neighbors in the building came to complain...\as was to be expected.\When I was darkness at that time response:	With trembling lips
context: That night, we had jammed until very late.\Our neighbors in the building came to complain...\as was to be expected.\When I was darkness at that time\With trembling lips response:	The more I struggle
context: That night, we had jammed until very late.\Our neighbors in the building came to complain...\as was to be expected.\When I was darkness at that time\With trembling lips\The more I struggle response:	The more this wound deepens
context: That night, we had jammed until very late.\Our neighbors in the building came to complain...\as was to be expected.\When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens response:	The broken promise hurt me
context: That night, we had jammed until very late.\Our neighbors in the building came to complain...\as was to be expected.\When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me response:	Nobody can save me
context: Our neighbors in the building came to complain...\as was to be expected.\When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me response:	God, I have only one request
context: as was to be expected.\When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request response:	Stop tearing apart my love
context: When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love response:	I need your love
context: With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love response:	I'm a broken rose
context: The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose response:	Sorrow tumbling down is your song
context: The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song response:	All alone with nowhere to go in my life
context: The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life response:	I need your love
context: Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love response:	I'm a broken rose
context: God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose response:	Oh baby, help me from frozen pain
context: Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain response:	With your smile, your eyes, and sing me, just for me
context: I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me response:	I wanna need your love
context: I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love response:	I'm a broken rose
context: Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose response:	I wanna need your love
context: All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose\I wanna need your love response:	I am so sorry!
context: I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose\I wanna need your love\I am so sorry! response:	Will you please give me a break! Do you know what time it is?
context: I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose\I wanna need your love\I am so sorry!\Will you please give me a break! Do you know what time it is? response:	Yes, I'm sorry!
context: Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose\I wanna need your love\I am so sorry!\Will you please give me a break! Do you know what time it is?\Yes, I'm sorry! response:	This is the problem with young people.
context: With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose\I wanna need your love\I am so sorry!\Will you please give me a break! Do you know what time it is?\Yes, I'm sorry!\This is the problem with young people. response:	We'll be careful from now on.
context: I wanna need your love\I'm a broken rose\I wanna need your love\I am so sorry!\Will you please give me a break! Do you know what time it is?\Yes, I'm sorry!\This is the problem with young people.\We'll be careful from now on. response:	Why do we always have trouble with apartment 707?
context: I'm a broken rose\I wanna need your love\I am so sorry!\Will you please give me a break! Do you know what time it is?\Yes, I'm sorry!\This is the problem with young people.\We'll be careful from now on.\Why do we always have trouble with apartment 707? response:	Now, now, Ms. Yamada. We're not supposed to talk about that.
context: I wanna need your love\I am so sorry!\Will you please give me a break! Do you know what time it is?\Yes, I'm sorry!\This is the problem with young people.\We'll be careful from now on.\Why do we always have trouble with apartment 707?\Now, now, Ms. Yamada. We're not supposed to talk about that. response:	A murder?! In this apartment?
context: I am so sorry!\Will you please give me a break! Do you know what time it is?\Yes, I'm sorry!\This is the problem with young people.\We'll be careful from now on.\Why do we always have trouble with apartment 707?\Now, now, Ms. Yamada. We're not supposed to talk about that.\A murder?! In this apartment? response:	Whoever lived here before us was murdered!
context: Will you please give me a break! Do you know what time it is?\Yes, I'm sorry!\This is the problem with young people.\We'll be careful from now on.\Why do we always have trouble with apartment 707?\Now, now, Ms. Yamada. We're not supposed to talk about that.\A murder?! In this apartment?\Whoever lived here before us was murdered! response:	Who'd you hear that from?
context: Yes, I'm sorry!\This is the problem with young people.\We'll be careful from now on.\Why do we always have trouble with apartment 707?\Now, now, Ms. Yamada. We're not supposed to talk about that.\A murder?! In this apartment?\Whoever lived here before us was murdered!\Who'd you hear that from? response:	- Ms. Yamada! - Who's that?
context: This is the problem with young people.\We'll be careful from now on.\Why do we always have trouble with apartment 707?\Now, now, Ms. Yamada. We're not supposed to talk about that.\A murder?! In this apartment?\Whoever lived here before us was murdered!\Who'd you hear that from?\- Ms. Yamada! - Who's that? response:	I don't know! An ageless woman!
context: We'll be careful from now on.\Why do we always have trouble with apartment 707?\Now, now, Ms. Yamada. We're not supposed to talk about that.\A murder?! In this apartment?\Whoever lived here before us was murdered!\Who'd you hear that from?\- Ms. Yamada! - Who's that?\I don't know! An ageless woman! response:	In a nightgown, hair's done up in a twist, wearing a mountain of make-up!
context: Why do we always have trouble with apartment 707?\Now, now, Ms. Yamada. We're not supposed to talk about that.\A murder?! In this apartment?\Whoever lived here before us was murdered!\Who'd you hear that from?\- Ms. Yamada! - Who's that?\I don't know! An ageless woman!\In a nightgown, hair's done up in a twist, wearing a mountain of make-up! response:	Why is that?!
context: Now, now, Ms. Yamada. We're not supposed to talk about that.\A murder?! In this apartment?\Whoever lived here before us was murdered!\Who'd you hear that from?\- Ms. Yamada! - Who's that?\I don't know! An ageless woman!\In a nightgown, hair's done up in a twist, wearing a mountain of make-up!\Why is that?! response:	I wonder if she's entertaining some young man.
context: A murder?! In this apartment?\Whoever lived here before us was murdered!\Who'd you hear that from?\- Ms. Yamada! - Who's that?\I don't know! An ageless woman!\In a nightgown, hair's done up in a twist, wearing a mountain of make-up!\Why is that?!\I wonder if she's entertaining some young man. response:	I really couldn't care less about Yamada!
context: Whoever lived here before us was murdered!\Who'd you hear that from?\- Ms. Yamada! - Who's that?\I don't know! An ageless woman!\In a nightgown, hair's done up in a twist, wearing a mountain of make-up!\Why is that?!\I wonder if she's entertaining some young man.\I really couldn't care less about Yamada! response:	But I'm curious! I wonder what he's like?
