context: Excuse me! response:	I'd like a Baby Star monja and a
context: Excuse me!\I'd like a Baby Star monja and a response:	cod roe mochi cheese and seafood monja!
context: Excuse me!\I'd like a Baby Star monja and a\cod roe mochi cheese and seafood monja! response:	Wow...
context: Excuse me!\I'd like a Baby Star monja and a\cod roe mochi cheese and seafood monja!\Wow... response:	You're still hungry?
context: Excuse me!\I'd like a Baby Star monja and a\cod roe mochi cheese and seafood monja!\Wow...\You're still hungry? response:	Shut up!
context: Excuse me!\I'd like a Baby Star monja and a\cod roe mochi cheese and seafood monja!\Wow...\You're still hungry?\Shut up! response:	I need to eat my mind out!
context: Excuse me!\I'd like a Baby Star monja and a\cod roe mochi cheese and seafood monja!\Wow...\You're still hungry?\Shut up!\I need to eat my mind out! response:	My heart's still pounding...
context: Excuse me!\I'd like a Baby Star monja and a\cod roe mochi cheese and seafood monja!\Wow...\You're still hungry?\Shut up!\I need to eat my mind out!\My heart's still pounding... response:	Probably because I was so surprised.
context: I'd like a Baby Star monja and a\cod roe mochi cheese and seafood monja!\Wow...\You're still hungry?\Shut up!\I need to eat my mind out!\My heart's still pounding...\Probably because I was so surprised. response:	That must be it.
context: cod roe mochi cheese and seafood monja!\Wow...\You're still hungry?\Shut up!\I need to eat my mind out!\My heart's still pounding...\Probably because I was so surprised.\That must be it. response:	I've never had anything this good before.
context: Wow...\You're still hungry?\Shut up!\I need to eat my mind out!\My heart's still pounding...\Probably because I was so surprised.\That must be it.\I've never had anything this good before. response:	I guess everything tastes good when I'm with you.
context: You're still hungry?\Shut up!\I need to eat my mind out!\My heart's still pounding...\Probably because I was so surprised.\That must be it.\I've never had anything this good before.\I guess everything tastes good when I'm with you. response:	The strange throbbing in my chest shows no sign of slowing.
context: Shut up!\I need to eat my mind out!\My heart's still pounding...\Probably because I was so surprised.\That must be it.\I've never had anything this good before.\I guess everything tastes good when I'm with you.\The strange throbbing in my chest shows no sign of slowing. response:	I more or less know what's causing it...
context: I need to eat my mind out!\My heart's still pounding...\Probably because I was so surprised.\That must be it.\I've never had anything this good before.\I guess everything tastes good when I'm with you.\The strange throbbing in my chest shows no sign of slowing.\I more or less know what's causing it... response:	A mixed monja with a double helping of pork!
context: My heart's still pounding...\Probably because I was so surprised.\That must be it.\I've never had anything this good before.\I guess everything tastes good when I'm with you.\The strange throbbing in my chest shows no sign of slowing.\I more or less know what's causing it...\A mixed monja with a double helping of pork! response:	Huh? You're still not done?
context: Probably because I was so surprised.\That must be it.\I've never had anything this good before.\I guess everything tastes good when I'm with you.\The strange throbbing in my chest shows no sign of slowing.\I more or less know what's causing it...\A mixed monja with a double helping of pork!\Huh? You're still not done? response:	In any case,
context: That must be it.\I've never had anything this good before.\I guess everything tastes good when I'm with you.\The strange throbbing in my chest shows no sign of slowing.\I more or less know what's causing it...\A mixed monja with a double helping of pork!\Huh? You're still not done?\In any case, response:	I enjoyed my first experience with monjayaki,
context: I've never had anything this good before.\I guess everything tastes good when I'm with you.\The strange throbbing in my chest shows no sign of slowing.\I more or less know what's causing it...\A mixed monja with a double helping of pork!\Huh? You're still not done?\In any case,\I enjoyed my first experience with monjayaki, response:	so it wasn't all bad.
context: I guess everything tastes good when I'm with you.\The strange throbbing in my chest shows no sign of slowing.\I more or less know what's causing it...\A mixed monja with a double helping of pork!\Huh? You're still not done?\In any case,\I enjoyed my first experience with monjayaki,\so it wasn't all bad. response:	Weird
context: The strange throbbing in my chest shows no sign of slowing.\I more or less know what's causing it...\A mixed monja with a double helping of pork!\Huh? You're still not done?\In any case,\I enjoyed my first experience with monjayaki,\so it wasn't all bad.\Weird response:	From a young age, my only concern was my grades.
context: I more or less know what's causing it...\A mixed monja with a double helping of pork!\Huh? You're still not done?\In any case,\I enjoyed my first experience with monjayaki,\so it wasn't all bad.\Weird\From a young age, my only concern was my grades. response:	I didn't care about anybody else or anything else.
