context: Th-This can't be happening! response:	Even Groribas, our best warrior, defeated?!
context: Th-This can't be happening!\Even Groribas, our best warrior, defeated?! response:	What manner of creature is he? And how'd he get aboard?
context: Th-This can't be happening!\Even Groribas, our best warrior, defeated?!\What manner of creature is he? And how'd he get aboard? response:	Damn it!
context: Th-This can't be happening!\Even Groribas, our best warrior, defeated?!\What manner of creature is he? And how'd he get aboard?\Damn it! response:	Melzargard was supposed to be guarding the ship!
context: Th-This can't be happening!\Even Groribas, our best warrior, defeated?!\What manner of creature is he? And how'd he get aboard?\Damn it!\Melzargard was supposed to be guarding the ship! response:	Now he and I are the only elite fighters left!
context: Th-This can't be happening!\Even Groribas, our best warrior, defeated?!\What manner of creature is he? And how'd he get aboard?\Damn it!\Melzargard was supposed to be guarding the ship!\Now he and I are the only elite fighters left! response:	I bet he's just mucking about
context: Th-This can't be happening!\Even Groribas, our best warrior, defeated?!\What manner of creature is he? And how'd he get aboard?\Damn it!\Melzargard was supposed to be guarding the ship!\Now he and I are the only elite fighters left!\I bet he's just mucking about response:	I need him now!
context: Th-This can't be happening!\Even Groribas, our best warrior, defeated?!\What manner of creature is he? And how'd he get aboard?\Damn it!\Melzargard was supposed to be guarding the ship!\Now he and I are the only elite fighters left!\I bet he's just mucking about\I need him now! response:	Curse the bastard!
context: Even Groribas, our best warrior, defeated?!\What manner of creature is he? And how'd he get aboard?\Damn it!\Melzargard was supposed to be guarding the ship!\Now he and I are the only elite fighters left!\I bet he's just mucking about\I need him now!\Curse the bastard! response:	Geryuganshoop, what is the problem?
context: What manner of creature is he? And how'd he get aboard?\Damn it!\Melzargard was supposed to be guarding the ship!\Now he and I are the only elite fighters left!\I bet he's just mucking about\I need him now!\Curse the bastard!\Geryuganshoop, what is the problem? response:	Lord Boros! I-I'm terribly sorry.
context: Damn it!\Melzargard was supposed to be guarding the ship!\Now he and I are the only elite fighters left!\I bet he's just mucking about\I need him now!\Curse the bastard!\Geryuganshoop, what is the problem?\Lord Boros! I-I'm terribly sorry. response:	I've allowed one of the natives to infiltrate the ship.
