context: The Grand Magic Games elimination round! Sky Labyrinth... response:	Begin!
context: The Grand Magic Games elimination round! Sky Labyrinth...\Begin! response:	If this is a race, we better hurry up.
context: The Grand Magic Games elimination round! Sky Labyrinth...\Begin!\If this is a race, we better hurry up. response:	Yeah!
context: The Grand Magic Games elimination round! Sky Labyrinth...\Begin!\If this is a race, we better hurry up.\Yeah! response:	Wait!
context: The Grand Magic Games elimination round! Sky Labyrinth...\Begin!\If this is a race, we better hurry up.\Yeah!\Wait! response:	What?!
context: The Grand Magic Games elimination round! Sky Labyrinth...\Begin!\If this is a race, we better hurry up.\Yeah!\Wait!\What?! response:	He said all five members of the team have to reach the goal together.
context: The Grand Magic Games elimination round! Sky Labyrinth...\Begin!\If this is a race, we better hurry up.\Yeah!\Wait!\What?!\He said all five members of the team have to reach the goal together. response:	Wendy isn't back yet.
context: The Grand Magic Games elimination round! Sky Labyrinth...\Begin!\If this is a race, we better hurry up.\Yeah!\Wait!\What?!\He said all five members of the team have to reach the goal together.\Wendy isn't back yet. response:	Oh, that's right!
context: Begin!\If this is a race, we better hurry up.\Yeah!\Wait!\What?!\He said all five members of the team have to reach the goal together.\Wendy isn't back yet.\Oh, that's right! response:	Wendy!
context: If this is a race, we better hurry up.\Yeah!\Wait!\What?!\He said all five members of the team have to reach the goal together.\Wendy isn't back yet.\Oh, that's right!\Wendy! response:	Then what are we gonna do?!
context: Yeah!\Wait!\What?!\He said all five members of the team have to reach the goal together.\Wendy isn't back yet.\Oh, that's right!\Wendy!\Then what are we gonna do?! response:	Even with Wendy gone, you got a Man right here.
context: Wait!\What?!\He said all five members of the team have to reach the goal together.\Wendy isn't back yet.\Oh, that's right!\Wendy!\Then what are we gonna do?!\Even with Wendy gone, you got a Man right here. response:	Member change!
context: What?!\He said all five members of the team have to reach the goal together.\Wendy isn't back yet.\Oh, that's right!\Wendy!\Then what are we gonna do?!\Even with Wendy gone, you got a Man right here.\Member change! response:	What superhuman strength!
context: He said all five members of the team have to reach the goal together.\Wendy isn't back yet.\Oh, that's right!\Wendy!\Then what are we gonna do?!\Even with Wendy gone, you got a Man right here.\Member change!\What superhuman strength! response:	Elf-nii-chan!
context: Wendy isn't back yet.\Oh, that's right!\Wendy!\Then what are we gonna do?!\Even with Wendy gone, you got a Man right here.\Member change!\What superhuman strength!\Elf-nii-chan! response:	Guess we got no choice. I don't think we have time to wait for Wendy!
context: Oh, that's right!\Wendy!\Then what are we gonna do?!\Even with Wendy gone, you got a Man right here.\Member change!\What superhuman strength!\Elf-nii-chan!\Guess we got no choice. I don't think we have time to wait for Wendy! response:	We're in your hands, Elfman!
context: Wendy!\Then what are we gonna do?!\Even with Wendy gone, you got a Man right here.\Member change!\What superhuman strength!\Elf-nii-chan!\Guess we got no choice. I don't think we have time to wait for Wendy!\We're in your hands, Elfman! response:	Leave it to me!
context: Then what are we gonna do?!\Even with Wendy gone, you got a Man right here.\Member change!\What superhuman strength!\Elf-nii-chan!\Guess we got no choice. I don't think we have time to wait for Wendy!\We're in your hands, Elfman!\Leave it to me! response:	Lisanna! Happy!
