context: Don't touch me with your right hand! response:	This is the last cherry bomb I have.
context: Don't touch me with your right hand!\This is the last cherry bomb I have. response:	I'll hold it in your place, Nice, and set it off with care.
context: Don't touch me with your right hand!\This is the last cherry bomb I have.\I'll hold it in your place, Nice, and set it off with care. response:	If they resist, kill them.
context: Don't touch me with your right hand!\This is the last cherry bomb I have.\I'll hold it in your place, Nice, and set it off with care.\If they resist, kill them. response:	Ennis, you're kidding, right?
context: Don't touch me with your right hand!\This is the last cherry bomb I have.\I'll hold it in your place, Nice, and set it off with care.\If they resist, kill them.\Ennis, you're kidding, right? response:	E-Ennis!
context: Don't touch me with your right hand!\This is the last cherry bomb I have.\I'll hold it in your place, Nice, and set it off with care.\If they resist, kill them.\Ennis, you're kidding, right?\E-Ennis! response:	What?!
context: Don't touch me with your right hand!\This is the last cherry bomb I have.\I'll hold it in your place, Nice, and set it off with care.\If they resist, kill them.\Ennis, you're kidding, right?\E-Ennis!\What?! response:	I'm not too sure about the man, but the woman is all right.
context: Don't touch me with your right hand!\This is the last cherry bomb I have.\I'll hold it in your place, Nice, and set it off with care.\If they resist, kill them.\Ennis, you're kidding, right?\E-Ennis!\What?!\I'm not too sure about the man, but the woman is all right. response:	I thought he was just common scum, but he's something else.
context: This is the last cherry bomb I have.\I'll hold it in your place, Nice, and set it off with care.\If they resist, kill them.\Ennis, you're kidding, right?\E-Ennis!\What?!\I'm not too sure about the man, but the woman is all right.\I thought he was just common scum, but he's something else. response:	Don't you think so?
context: I'll hold it in your place, Nice, and set it off with care.\If they resist, kill them.\Ennis, you're kidding, right?\E-Ennis!\What?!\I'm not too sure about the man, but the woman is all right.\I thought he was just common scum, but he's something else.\Don't you think so? response:	Now then,
context: If they resist, kill them.\Ennis, you're kidding, right?\E-Ennis!\What?!\I'm not too sure about the man, but the woman is all right.\I thought he was just common scum, but he's something else.\Don't you think so?\Now then, response:	I promised that I would kill the one who survived,
context: Ennis, you're kidding, right?\E-Ennis!\What?!\I'm not too sure about the man, but the woman is all right.\I thought he was just common scum, but he's something else.\Don't you think so?\Now then,\I promised that I would kill the one who survived, response:	but it's not clear whether he's alive or dead.
context: E-Ennis!\What?!\I'm not too sure about the man, but the woman is all right.\I thought he was just common scum, but he's something else.\Don't you think so?\Now then,\I promised that I would kill the one who survived,\but it's not clear whether he's alive or dead. response:	What do you think I should do?
context: What?!\I'm not too sure about the man, but the woman is all right.\I thought he was just common scum, but he's something else.\Don't you think so?\Now then,\I promised that I would kill the one who survived,\but it's not clear whether he's alive or dead.\What do you think I should do? response:	Is this Huey guy your sweetheart?
