context: Why does this wine taste different from usual? response:	Where did this young man come from?
context: Why does this wine taste different from usual?\Where did this young man come from? response:	Su Su.
context: Why does this wine taste different from usual?\Where did this young man come from?\Su Su. response:	Su Su.
context: Why does this wine taste different from usual?\Where did this young man come from?\Su Su.\Su Su. response:	Su Su.
context: Why does this wine taste different from usual?\Where did this young man come from?\Su Su.\Su Su.\Su Su. response:	Su Su!
context: Why does this wine taste different from usual?\Where did this young man come from?\Su Su.\Su Su.\Su Su.\Su Su! response:	Su Su!
context: Why does this wine taste different from usual?\Where did this young man come from?\Su Su.\Su Su.\Su Su.\Su Su!\Su Su! response:	Su Su!
context: Why does this wine taste different from usual?\Where did this young man come from?\Su Su.\Su Su.\Su Su.\Su Su!\Su Su!\Su Su! response:	Su Su!
context: Where did this young man come from?\Su Su.\Su Su.\Su Su.\Su Su!\Su Su!\Su Su!\Su Su! response:	I must have walked into High God's confusion shield.
context: Su Su.\Su Su.\Su Su.\Su Su!\Su Su!\Su Su!\Su Su!\I must have walked into High God's confusion shield. response:	I'll come visit again after the Eastern Sea banquet.
context: Su Su.\Su Su.\Su Su!\Su Su!\Su Su!\Su Su!\I must have walked into High God's confusion shield.\I'll come visit again after the Eastern Sea banquet. response:	Why am I here?
context: Su Su.\Su Su!\Su Su!\Su Su!\Su Su!\I must have walked into High God's confusion shield.\I'll come visit again after the Eastern Sea banquet.\Why am I here? response:	What an amusing dream.
context: Su Su!\Su Su!\Su Su!\Su Su!\I must have walked into High God's confusion shield.\I'll come visit again after the Eastern Sea banquet.\Why am I here?\What an amusing dream. response:	What dream has you smiling so cheerfully?
context: Su Su!\Su Su!\Su Su!\I must have walked into High God's confusion shield.\I'll come visit again after the Eastern Sea banquet.\Why am I here?\What an amusing dream.\What dream has you smiling so cheerfully? response:	A dream of romance.
context: Su Su!\Su Su!\I must have walked into High God's confusion shield.\I'll come visit again after the Eastern Sea banquet.\Why am I here?\What an amusing dream.\What dream has you smiling so cheerfully?\A dream of romance. response:	In my dream, I seem to have cast an enchanting spell
context: Su Su!\I must have walked into High God's confusion shield.\I'll come visit again after the Eastern Sea banquet.\Why am I here?\What an amusing dream.\What dream has you smiling so cheerfully?\A dream of romance.\In my dream, I seem to have cast an enchanting spell response:	to harass an innocent young man.
context: I must have walked into High God's confusion shield.\I'll come visit again after the Eastern Sea banquet.\Why am I here?\What an amusing dream.\What dream has you smiling so cheerfully?\A dream of romance.\In my dream, I seem to have cast an enchanting spell\to harass an innocent young man. response:	What an interesting dream. Do you remember what he looked like?
context: I'll come visit again after the Eastern Sea banquet.\Why am I here?\What an amusing dream.\What dream has you smiling so cheerfully?\A dream of romance.\In my dream, I seem to have cast an enchanting spell\to harass an innocent young man.\What an interesting dream. Do you remember what he looked like? response:	Your wine was too strong.
context: Why am I here?\What an amusing dream.\What dream has you smiling so cheerfully?\A dream of romance.\In my dream, I seem to have cast an enchanting spell\to harass an innocent young man.\What an interesting dream. Do you remember what he looked like?\Your wine was too strong. response:	I couldn't even see the moon clearly. How could I remember his face?
context: What an amusing dream.\What dream has you smiling so cheerfully?\A dream of romance.\In my dream, I seem to have cast an enchanting spell\to harass an innocent young man.\What an interesting dream. Do you remember what he looked like?\Your wine was too strong.\I couldn't even see the moon clearly. How could I remember his face? response:	He seemed to have been wearing dark-colored robes.
context: What dream has you smiling so cheerfully?\A dream of romance.\In my dream, I seem to have cast an enchanting spell\to harass an innocent young man.\What an interesting dream. Do you remember what he looked like?\Your wine was too strong.\I couldn't even see the moon clearly. How could I remember his face?\He seemed to have been wearing dark-colored robes. response:	Even I can't break out of the Nine-tailed Fox Clan's enchanting spells.
context: A dream of romance.\In my dream, I seem to have cast an enchanting spell\to harass an innocent young man.\What an interesting dream. Do you remember what he looked like?\Your wine was too strong.\I couldn't even see the moon clearly. How could I remember his face?\He seemed to have been wearing dark-colored robes.\Even I can't break out of the Nine-tailed Fox Clan's enchanting spells. response:	Go on. Don't be late.
context: In my dream, I seem to have cast an enchanting spell\to harass an innocent young man.\What an interesting dream. Do you remember what he looked like?\Your wine was too strong.\I couldn't even see the moon clearly. How could I remember his face?\He seemed to have been wearing dark-colored robes.\Even I can't break out of the Nine-tailed Fox Clan's enchanting spells.\Go on. Don't be late. response:	I'm leaving now.
context: to harass an innocent young man.\What an interesting dream. Do you remember what he looked like?\Your wine was too strong.\I couldn't even see the moon clearly. How could I remember his face?\He seemed to have been wearing dark-colored robes.\Even I can't break out of the Nine-tailed Fox Clan's enchanting spells.\Go on. Don't be late.\I'm leaving now. response:	Oh, yes.
context: What an interesting dream. Do you remember what he looked like?\Your wine was too strong.\I couldn't even see the moon clearly. How could I remember his face?\He seemed to have been wearing dark-colored robes.\Even I can't break out of the Nine-tailed Fox Clan's enchanting spells.\Go on. Don't be late.\I'm leaving now.\Oh, yes. response:	Your Fourth Brother has been gone for quite a while now.
context: Your wine was too strong.\I couldn't even see the moon clearly. How could I remember his face?\He seemed to have been wearing dark-colored robes.\Even I can't break out of the Nine-tailed Fox Clan's enchanting spells.\Go on. Don't be late.\I'm leaving now.\Oh, yes.\Your Fourth Brother has been gone for quite a while now. response:	When you deliver the wine to him, tell him to come back when he has time.
context: I couldn't even see the moon clearly. How could I remember his face?\He seemed to have been wearing dark-colored robes.\Even I can't break out of the Nine-tailed Fox Clan's enchanting spells.\Go on. Don't be late.\I'm leaving now.\Oh, yes.\Your Fourth Brother has been gone for quite a while now.\When you deliver the wine to him, tell him to come back when he has time. response:	It's time for those two fields in front of the mountains to be tended to.
context: He seemed to have been wearing dark-colored robes.\Even I can't break out of the Nine-tailed Fox Clan's enchanting spells.\Go on. Don't be late.\I'm leaving now.\Oh, yes.\Your Fourth Brother has been gone for quite a while now.\When you deliver the wine to him, tell him to come back when he has time.\It's time for those two fields in front of the mountains to be tended to. response:	You're the one who angered him. You get him to come back.
context: Even I can't break out of the Nine-tailed Fox Clan's enchanting spells.\Go on. Don't be late.\I'm leaving now.\Oh, yes.\Your Fourth Brother has been gone for quite a while now.\When you deliver the wine to him, tell him to come back when he has time.\It's time for those two fields in front of the mountains to be tended to.\You're the one who angered him. You get him to come back. response:	I don't want to be scolded in your place.
context: Go on. Don't be late.\I'm leaving now.\Oh, yes.\Your Fourth Brother has been gone for quite a while now.\When you deliver the wine to him, tell him to come back when he has time.\It's time for those two fields in front of the mountains to be tended to.\You're the one who angered him. You get him to come back.\I don't want to be scolded in your place. response:	I hereby-
context: I'm leaving now.\Oh, yes.\Your Fourth Brother has been gone for quite a while now.\When you deliver the wine to him, tell him to come back when he has time.\It's time for those two fields in front of the mountains to be tended to.\You're the one who angered him. You get him to come back.\I don't want to be scolded in your place.\I hereby- response:	I'm afraid of being struck by lightning.
