context: This is bad... this is definitely bad... response:	There aren't supposed to be any other Saiyans.
context: This is bad... this is definitely bad...\There aren't supposed to be any other Saiyans. response:	W- who could it be?
context: This is bad... this is definitely bad...\There aren't supposed to be any other Saiyans.\W- who could it be? response:	Now there are three more, yes?
context: This is bad... this is definitely bad...\There aren't supposed to be any other Saiyans.\W- who could it be?\Now there are three more, yes? response:	Hold them with care, Dodoria- san. It appears that Vegeta is after them, as well.
context: This is bad... this is definitely bad...\There aren't supposed to be any other Saiyans.\W- who could it be?\Now there are three more, yes?\Hold them with care, Dodoria- san. It appears that Vegeta is after them, as well. response:	Freeza- sama, Kewie, who is pursuing Vegeta, has just landed.
context: This is bad... this is definitely bad...\There aren't supposed to be any other Saiyans.\W- who could it be?\Now there are three more, yes?\Hold them with care, Dodoria- san. It appears that Vegeta is after them, as well.\Freeza- sama, Kewie, who is pursuing Vegeta, has just landed. response:	And as for those two large power readings that appeared earlier,
context: This is bad... this is definitely bad...\There aren't supposed to be any other Saiyans.\W- who could it be?\Now there are three more, yes?\Hold them with care, Dodoria- san. It appears that Vegeta is after them, as well.\Freeza- sama, Kewie, who is pursuing Vegeta, has just landed.\And as for those two large power readings that appeared earlier, response:	they suddenly disappeared, and remain so.
context: This is bad... this is definitely bad...\There aren't supposed to be any other Saiyans.\W- who could it be?\Now there are three more, yes?\Hold them with care, Dodoria- san. It appears that Vegeta is after them, as well.\Freeza- sama, Kewie, who is pursuing Vegeta, has just landed.\And as for those two large power readings that appeared earlier,\they suddenly disappeared, and remain so. response:	We are searching the area where the readings were located,
context: There aren't supposed to be any other Saiyans.\W- who could it be?\Now there are three more, yes?\Hold them with care, Dodoria- san. It appears that Vegeta is after them, as well.\Freeza- sama, Kewie, who is pursuing Vegeta, has just landed.\And as for those two large power readings that appeared earlier,\they suddenly disappeared, and remain so.\We are searching the area where the readings were located, response:	so we should soon discover what their source was.
context: W- who could it be?\Now there are three more, yes?\Hold them with care, Dodoria- san. It appears that Vegeta is after them, as well.\Freeza- sama, Kewie, who is pursuing Vegeta, has just landed.\And as for those two large power readings that appeared earlier,\they suddenly disappeared, and remain so.\We are searching the area where the readings were located,\so we should soon discover what their source was. response:	Well, the issue here is the disposal of Vegeta, who has defied me.
context: Now there are three more, yes?\Hold them with care, Dodoria- san. It appears that Vegeta is after them, as well.\Freeza- sama, Kewie, who is pursuing Vegeta, has just landed.\And as for those two large power readings that appeared earlier,\they suddenly disappeared, and remain so.\We are searching the area where the readings were located,\so we should soon discover what their source was.\Well, the issue here is the disposal of Vegeta, who has defied me. response:	In that case, you need not worry.
context: Hold them with care, Dodoria- san. It appears that Vegeta is after them, as well.\Freeza- sama, Kewie, who is pursuing Vegeta, has just landed.\And as for those two large power readings that appeared earlier,\they suddenly disappeared, and remain so.\We are searching the area where the readings were located,\so we should soon discover what their source was.\Well, the issue here is the disposal of Vegeta, who has defied me.\In that case, you need not worry. response:	Kewie should now be heading after Vegeta to deal with him.
context: Freeza- sama, Kewie, who is pursuing Vegeta, has just landed.\And as for those two large power readings that appeared earlier,\they suddenly disappeared, and remain so.\We are searching the area where the readings were located,\so we should soon discover what their source was.\Well, the issue here is the disposal of Vegeta, who has defied me.\In that case, you need not worry.\Kewie should now be heading after Vegeta to deal with him. response:	Those two have always hated each other, and their abilities are roughly the same.
context: And as for those two large power readings that appeared earlier,\they suddenly disappeared, and remain so.\We are searching the area where the readings were located,\so we should soon discover what their source was.\Well, the issue here is the disposal of Vegeta, who has defied me.\In that case, you need not worry.\Kewie should now be heading after Vegeta to deal with him.\Those two have always hated each other, and their abilities are roughly the same. response:	In any event, Vegeta is not likely to come away unscathed.
context: they suddenly disappeared, and remain so.\We are searching the area where the readings were located,\so we should soon discover what their source was.\Well, the issue here is the disposal of Vegeta, who has defied me.\In that case, you need not worry.\Kewie should now be heading after Vegeta to deal with him.\Those two have always hated each other, and their abilities are roughly the same.\In any event, Vegeta is not likely to come away unscathed. response:	Vegeta, you're not getting away from me.
context: We are searching the area where the readings were located,\so we should soon discover what their source was.\Well, the issue here is the disposal of Vegeta, who has defied me.\In that case, you need not worry.\Kewie should now be heading after Vegeta to deal with him.\Those two have always hated each other, and their abilities are roughly the same.\In any event, Vegeta is not likely to come away unscathed.\Vegeta, you're not getting away from me. response:	I've found you, Vegeta. I'm under orders from Freeza- sama!
context: so we should soon discover what their source was.\Well, the issue here is the disposal of Vegeta, who has defied me.\In that case, you need not worry.\Kewie should now be heading after Vegeta to deal with him.\Those two have always hated each other, and their abilities are roughly the same.\In any event, Vegeta is not likely to come away unscathed.\Vegeta, you're not getting away from me.\I've found you, Vegeta. I'm under orders from Freeza- sama! response:	Are you reading me, Vegeta!? Now I can kill you out in the open!
context: Well, the issue here is the disposal of Vegeta, who has defied me.\In that case, you need not worry.\Kewie should now be heading after Vegeta to deal with him.\Those two have always hated each other, and their abilities are roughly the same.\In any event, Vegeta is not likely to come away unscathed.\Vegeta, you're not getting away from me.\I've found you, Vegeta. I'm under orders from Freeza- sama!\Are you reading me, Vegeta!? Now I can kill you out in the open! response:	Don't make me laugh, Kewie. You think you can kill me?
context: In that case, you need not worry.\Kewie should now be heading after Vegeta to deal with him.\Those two have always hated each other, and their abilities are roughly the same.\In any event, Vegeta is not likely to come away unscathed.\Vegeta, you're not getting away from me.\I've found you, Vegeta. I'm under orders from Freeza- sama!\Are you reading me, Vegeta!? Now I can kill you out in the open!\Don't make me laugh, Kewie. You think you can kill me? response:	I'm waiting here for you, so get here fast.
