context: So, what do you want? response:	I have two questions for you.
context: So, what do you want?\I have two questions for you. response:	Huh? What are they?
context: So, what do you want?\I have two questions for you.\Huh? What are they? response:	Then here is my first question.
context: So, what do you want?\I have two questions for you.\Huh? What are they?\Then here is my first question. response:	Why did you suddenly decide to swim in the relay?
context: So, what do you want?\I have two questions for you.\Huh? What are they?\Then here is my first question.\Why did you suddenly decide to swim in the relay? response:	Furious All-out!
context: So, what do you want?\I have two questions for you.\Huh? What are they?\Then here is my first question.\Why did you suddenly decide to swim in the relay?\Furious All-out! response:	Why did you suddenly decide to swim in the relay?
context: So, what do you want?\I have two questions for you.\Huh? What are they?\Then here is my first question.\Why did you suddenly decide to swim in the relay?\Furious All-out!\Why did you suddenly decide to swim in the relay? response:	I changed my mind.
context: So, what do you want?\I have two questions for you.\Huh? What are they?\Then here is my first question.\Why did you suddenly decide to swim in the relay?\Furious All-out!\Why did you suddenly decide to swim in the relay?\I changed my mind. response:	You came out here to ask me that?
context: I have two questions for you.\Huh? What are they?\Then here is my first question.\Why did you suddenly decide to swim in the relay?\Furious All-out!\Why did you suddenly decide to swim in the relay?\I changed my mind.\You came out here to ask me that? response:	That answer does not convince me.
context: Huh? What are they?\Then here is my first question.\Why did you suddenly decide to swim in the relay?\Furious All-out!\Why did you suddenly decide to swim in the relay?\I changed my mind.\You came out here to ask me that?\That answer does not convince me. response:	You've been fixated on racing Haruka-senpai all this time.
context: Then here is my first question.\Why did you suddenly decide to swim in the relay?\Furious All-out!\Why did you suddenly decide to swim in the relay?\I changed my mind.\You came out here to ask me that?\That answer does not convince me.\You've been fixated on racing Haruka-senpai all this time. response:	Your reason was that you couldn't move forward until you defeated him.
context: Why did you suddenly decide to swim in the relay?\Furious All-out!\Why did you suddenly decide to swim in the relay?\I changed my mind.\You came out here to ask me that?\That answer does not convince me.\You've been fixated on racing Haruka-senpai all this time.\Your reason was that you couldn't move forward until you defeated him. response:	And in the last tournament, you beat him.
context: Furious All-out!\Why did you suddenly decide to swim in the relay?\I changed my mind.\You came out here to ask me that?\That answer does not convince me.\You've been fixated on racing Haruka-senpai all this time.\Your reason was that you couldn't move forward until you defeated him.\And in the last tournament, you beat him. response:	Doesn't that mean you've achieved your goal?
context: Why did you suddenly decide to swim in the relay?\I changed my mind.\You came out here to ask me that?\That answer does not convince me.\You've been fixated on racing Haruka-senpai all this time.\Your reason was that you couldn't move forward until you defeated him.\And in the last tournament, you beat him.\Doesn't that mean you've achieved your goal? response:	My goal isn't to beat Haru.
context: I changed my mind.\You came out here to ask me that?\That answer does not convince me.\You've been fixated on racing Haruka-senpai all this time.\Your reason was that you couldn't move forward until you defeated him.\And in the last tournament, you beat him.\Doesn't that mean you've achieved your goal?\My goal isn't to beat Haru. response:	And it's not to win tournaments in this country.
context: You came out here to ask me that?\That answer does not convince me.\You've been fixated on racing Haruka-senpai all this time.\Your reason was that you couldn't move forward until you defeated him.\And in the last tournament, you beat him.\Doesn't that mean you've achieved your goal?\My goal isn't to beat Haru.\And it's not to win tournaments in this country. response:	I aim higher. My goal is the world.
context: That answer does not convince me.\You've been fixated on racing Haruka-senpai all this time.\Your reason was that you couldn't move forward until you defeated him.\And in the last tournament, you beat him.\Doesn't that mean you've achieved your goal?\My goal isn't to beat Haru.\And it's not to win tournaments in this country.\I aim higher. My goal is the world. response:	The world?
context: You've been fixated on racing Haruka-senpai all this time.\Your reason was that you couldn't move forward until you defeated him.\And in the last tournament, you beat him.\Doesn't that mean you've achieved your goal?\My goal isn't to beat Haru.\And it's not to win tournaments in this country.\I aim higher. My goal is the world.\The world? response:	Very well.
context: Your reason was that you couldn't move forward until you defeated him.\And in the last tournament, you beat him.\Doesn't that mean you've achieved your goal?\My goal isn't to beat Haru.\And it's not to win tournaments in this country.\I aim higher. My goal is the world.\The world?\Very well. response:	Moving on to my second question.
context: And in the last tournament, you beat him.\Doesn't that mean you've achieved your goal?\My goal isn't to beat Haru.\And it's not to win tournaments in this country.\I aim higher. My goal is the world.\The world?\Very well.\Moving on to my second question. response:	How do you feel about Haruka-senpai?
context: Doesn't that mean you've achieved your goal?\My goal isn't to beat Haru.\And it's not to win tournaments in this country.\I aim higher. My goal is the world.\The world?\Very well.\Moving on to my second question.\How do you feel about Haruka-senpai? response:	Huh?
context: My goal isn't to beat Haru.\And it's not to win tournaments in this country.\I aim higher. My goal is the world.\The world?\Very well.\Moving on to my second question.\How do you feel about Haruka-senpai?\Huh? response:	In grade school, you and Haruka-senpai were close rivals.
context: And it's not to win tournaments in this country.\I aim higher. My goal is the world.\The world?\Very well.\Moving on to my second question.\How do you feel about Haruka-senpai?\Huh?\In grade school, you and Haruka-senpai were close rivals. response:	I saw old pictures of you guys
context: I aim higher. My goal is the world.\The world?\Very well.\Moving on to my second question.\How do you feel about Haruka-senpai?\Huh?\In grade school, you and Haruka-senpai were close rivals.\I saw old pictures of you guys response:	when we were at Coach Sasabe's house.
context: The world?\Very well.\Moving on to my second question.\How do you feel about Haruka-senpai?\Huh?\In grade school, you and Haruka-senpai were close rivals.\I saw old pictures of you guys\when we were at Coach Sasabe's house. response:	You used to smile all the time.
context: Very well.\Moving on to my second question.\How do you feel about Haruka-senpai?\Huh?\In grade school, you and Haruka-senpai were close rivals.\I saw old pictures of you guys\when we were at Coach Sasabe's house.\You used to smile all the time. response:	With Haruka-senpai, Makoto-senpai, and Nagisa-kun...
context: Moving on to my second question.\How do you feel about Haruka-senpai?\Huh?\In grade school, you and Haruka-senpai were close rivals.\I saw old pictures of you guys\when we were at Coach Sasabe's house.\You used to smile all the time.\With Haruka-senpai, Makoto-senpai, and Nagisa-kun... response:	The four of you were always together and having fun.
context: How do you feel about Haruka-senpai?\Huh?\In grade school, you and Haruka-senpai were close rivals.\I saw old pictures of you guys\when we were at Coach Sasabe's house.\You used to smile all the time.\With Haruka-senpai, Makoto-senpai, and Nagisa-kun...\The four of you were always together and having fun. response:	So what made you change after going to study abroad?
context: Huh?\In grade school, you and Haruka-senpai were close rivals.\I saw old pictures of you guys\when we were at Coach Sasabe's house.\You used to smile all the time.\With Haruka-senpai, Makoto-senpai, and Nagisa-kun...\The four of you were always together and having fun.\So what made you change after going to study abroad? response:	Why didn't you contact Haruka-senpai
context: In grade school, you and Haruka-senpai were close rivals.\I saw old pictures of you guys\when we were at Coach Sasabe's house.\You used to smile all the time.\With Haruka-senpai, Makoto-senpai, and Nagisa-kun...\The four of you were always together and having fun.\So what made you change after going to study abroad?\Why didn't you contact Haruka-senpai response:	or any of the others after you returned to Japan?
context: I saw old pictures of you guys\when we were at Coach Sasabe's house.\You used to smile all the time.\With Haruka-senpai, Makoto-senpai, and Nagisa-kun...\The four of you were always together and having fun.\So what made you change after going to study abroad?\Why didn't you contact Haruka-senpai\or any of the others after you returned to Japan? response:	What happened while you were abroad?
context: when we were at Coach Sasabe's house.\You used to smile all the time.\With Haruka-senpai, Makoto-senpai, and Nagisa-kun...\The four of you were always together and having fun.\So what made you change after going to study abroad?\Why didn't you contact Haruka-senpai\or any of the others after you returned to Japan?\What happened while you were abroad? response:	You used to be good friends, so why?
context: You used to smile all the time.\With Haruka-senpai, Makoto-senpai, and Nagisa-kun...\The four of you were always together and having fun.\So what made you change after going to study abroad?\Why didn't you contact Haruka-senpai\or any of the others after you returned to Japan?\What happened while you were abroad?\You used to be good friends, so why? response:	You swam in a relay together, so why?
context: With Haruka-senpai, Makoto-senpai, and Nagisa-kun...\The four of you were always together and having fun.\So what made you change after going to study abroad?\Why didn't you contact Haruka-senpai\or any of the others after you returned to Japan?\What happened while you were abroad?\You used to be good friends, so why?\You swam in a relay together, so why? response:	You must have been thrilled about swimming in a relay with them!
context: The four of you were always together and having fun.\So what made you change after going to study abroad?\Why didn't you contact Haruka-senpai\or any of the others after you returned to Japan?\What happened while you were abroad?\You used to be good friends, so why?\You swam in a relay together, so why?\You must have been thrilled about swimming in a relay with them! response:	Aren't you the one who understands more than anyone
context: So what made you change after going to study abroad?\Why didn't you contact Haruka-senpai\or any of the others after you returned to Japan?\What happened while you were abroad?\You used to be good friends, so why?\You swam in a relay together, so why?\You must have been thrilled about swimming in a relay with them!\Aren't you the one who understands more than anyone response:	how great that relay was?
context: Why didn't you contact Haruka-senpai\or any of the others after you returned to Japan?\What happened while you were abroad?\You used to be good friends, so why?\You swam in a relay together, so why?\You must have been thrilled about swimming in a relay with them!\Aren't you the one who understands more than anyone\how great that relay was? response:	Shut up!
context: or any of the others after you returned to Japan?\What happened while you were abroad?\You used to be good friends, so why?\You swam in a relay together, so why?\You must have been thrilled about swimming in a relay with them!\Aren't you the one who understands more than anyone\how great that relay was?\Shut up! response:	I let you talk, and you think you can spout all the stupid logic you want?!
context: What happened while you were abroad?\You used to be good friends, so why?\You swam in a relay together, so why?\You must have been thrilled about swimming in a relay with them!\Aren't you the one who understands more than anyone\how great that relay was?\Shut up!\I let you talk, and you think you can spout all the stupid logic you want?! response:	Why do I have to explain myself to you?!
context: You used to be good friends, so why?\You swam in a relay together, so why?\You must have been thrilled about swimming in a relay with them!\Aren't you the one who understands more than anyone\how great that relay was?\Shut up!\I let you talk, and you think you can spout all the stupid logic you want?!\Why do I have to explain myself to you?! response:	Because I'm a victim.
context: You swam in a relay together, so why?\You must have been thrilled about swimming in a relay with them!\Aren't you the one who understands more than anyone\how great that relay was?\Shut up!\I let you talk, and you think you can spout all the stupid logic you want?!\Why do I have to explain myself to you?!\Because I'm a victim. response:	I was originally on the track team, but I ended up joining the swim club.
context: You must have been thrilled about swimming in a relay with them!\Aren't you the one who understands more than anyone\how great that relay was?\Shut up!\I let you talk, and you think you can spout all the stupid logic you want?!\Why do I have to explain myself to you?!\Because I'm a victim.\I was originally on the track team, but I ended up joining the swim club. response:	After watching Haruka-senpai swim,
context: Aren't you the one who understands more than anyone\how great that relay was?\Shut up!\I let you talk, and you think you can spout all the stupid logic you want?!\Why do I have to explain myself to you?!\Because I'm a victim.\I was originally on the track team, but I ended up joining the swim club.\After watching Haruka-senpai swim, response:	I wanted to swim like him.
context: how great that relay was?\Shut up!\I let you talk, and you think you can spout all the stupid logic you want?!\Why do I have to explain myself to you?!\Because I'm a victim.\I was originally on the track team, but I ended up joining the swim club.\After watching Haruka-senpai swim,\I wanted to swim like him. response:	Practice was hard at first,
context: Shut up!\I let you talk, and you think you can spout all the stupid logic you want?!\Why do I have to explain myself to you?!\Because I'm a victim.\I was originally on the track team, but I ended up joining the swim club.\After watching Haruka-senpai swim,\I wanted to swim like him.\Practice was hard at first, response:	but it started to grow on me.
context: I let you talk, and you think you can spout all the stupid logic you want?!\Why do I have to explain myself to you?!\Because I'm a victim.\I was originally on the track team, but I ended up joining the swim club.\After watching Haruka-senpai swim,\I wanted to swim like him.\Practice was hard at first,\but it started to grow on me. response:	Eventually, I was having fun swimming with everyone.
context: Why do I have to explain myself to you?!\Because I'm a victim.\I was originally on the track team, but I ended up joining the swim club.\After watching Haruka-senpai swim,\I wanted to swim like him.\Practice was hard at first,\but it started to grow on me.\Eventually, I was having fun swimming with everyone. response:	At prefecturals, I finally swam in a relay with them.
context: Because I'm a victim.\I was originally on the track team, but I ended up joining the swim club.\After watching Haruka-senpai swim,\I wanted to swim like him.\Practice was hard at first,\but it started to grow on me.\Eventually, I was having fun swimming with everyone.\At prefecturals, I finally swam in a relay with them. response:	That was the first time I really understood relays
context: I was originally on the track team, but I ended up joining the swim club.\After watching Haruka-senpai swim,\I wanted to swim like him.\Practice was hard at first,\but it started to grow on me.\Eventually, I was having fun swimming with everyone.\At prefecturals, I finally swam in a relay with them.\That was the first time I really understood relays response:	as more than just a theory.
context: After watching Haruka-senpai swim,\I wanted to swim like him.\Practice was hard at first,\but it started to grow on me.\Eventually, I was having fun swimming with everyone.\At prefecturals, I finally swam in a relay with them.\That was the first time I really understood relays\as more than just a theory. response:	I realized how fun they could be!
context: I wanted to swim like him.\Practice was hard at first,\but it started to grow on me.\Eventually, I was having fun swimming with everyone.\At prefecturals, I finally swam in a relay with them.\That was the first time I really understood relays\as more than just a theory.\I realized how fun they could be! response:	I can still remember how it felt.
context: Practice was hard at first,\but it started to grow on me.\Eventually, I was having fun swimming with everyone.\At prefecturals, I finally swam in a relay with them.\That was the first time I really understood relays\as more than just a theory.\I realized how fun they could be!\I can still remember how it felt. response:	We were finally united as one!
context: but it started to grow on me.\Eventually, I was having fun swimming with everyone.\At prefecturals, I finally swam in a relay with them.\That was the first time I really understood relays\as more than just a theory.\I realized how fun they could be!\I can still remember how it felt.\We were finally united as one! response:	We felt like a real team!
