context: Good morning! response:	It's 8:15 on November 5th!
context: Good morning!\It's 8:15 on November 5th! response:	Tsunemori Akane, your Psycho-Pass Hue is powder blue this morning!
context: Good morning!\It's 8:15 on November 5th!\Tsunemori Akane, your Psycho-Pass Hue is powder blue this morning! response:	Have a wonderful day with that healthy mind of yours!
context: Good morning!\It's 8:15 on November 5th!\Tsunemori Akane, your Psycho-Pass Hue is powder blue this morning!\Have a wonderful day with that healthy mind of yours! response:	Oh man, I messed up...
context: Good morning!\It's 8:15 on November 5th!\Tsunemori Akane, your Psycho-Pass Hue is powder blue this morning!\Have a wonderful day with that healthy mind of yours!\Oh man, I messed up... response:	My head is full of things
context: Good morning!\It's 8:15 on November 5th!\Tsunemori Akane, your Psycho-Pass Hue is powder blue this morning!\Have a wonderful day with that healthy mind of yours!\Oh man, I messed up...\My head is full of things response:	My head is full of things
context: Good morning!\It's 8:15 on November 5th!\Tsunemori Akane, your Psycho-Pass Hue is powder blue this morning!\Have a wonderful day with that healthy mind of yours!\Oh man, I messed up...\My head is full of things\My head is full of things response:	that I can never tell anybody of
context: Good morning!\It's 8:15 on November 5th!\Tsunemori Akane, your Psycho-Pass Hue is powder blue this morning!\Have a wonderful day with that healthy mind of yours!\Oh man, I messed up...\My head is full of things\My head is full of things\that I can never tell anybody of response:	that I can never tell anybody of
context: It's 8:15 on November 5th!\Tsunemori Akane, your Psycho-Pass Hue is powder blue this morning!\Have a wonderful day with that healthy mind of yours!\Oh man, I messed up...\My head is full of things\My head is full of things\that I can never tell anybody of\that I can never tell anybody of response:	In this perfect world
context: Tsunemori Akane, your Psycho-Pass Hue is powder blue this morning!\Have a wonderful day with that healthy mind of yours!\Oh man, I messed up...\My head is full of things\My head is full of things\that I can never tell anybody of\that I can never tell anybody of\In this perfect world response:	In this perfect world
context: Have a wonderful day with that healthy mind of yours!\Oh man, I messed up...\My head is full of things\My head is full of things\that I can never tell anybody of\that I can never tell anybody of\In this perfect world\In this perfect world response:	I roam, a lost being
context: Oh man, I messed up...\My head is full of things\My head is full of things\that I can never tell anybody of\that I can never tell anybody of\In this perfect world\In this perfect world\I roam, a lost being response:	I roam, a lost being
context: My head is full of things\My head is full of things\that I can never tell anybody of\that I can never tell anybody of\In this perfect world\In this perfect world\I roam, a lost being\I roam, a lost being response:	The impossible is holding sway over me
context: My head is full of things\that I can never tell anybody of\that I can never tell anybody of\In this perfect world\In this perfect world\I roam, a lost being\I roam, a lost being\The impossible is holding sway over me response:	The impossible is holding sway over me
context: that I can never tell anybody of\that I can never tell anybody of\In this perfect world\In this perfect world\I roam, a lost being\I roam, a lost being\The impossible is holding sway over me\The impossible is holding sway over me response:	All I know of the world is what I can see
context: that I can never tell anybody of\In this perfect world\In this perfect world\I roam, a lost being\I roam, a lost being\The impossible is holding sway over me\The impossible is holding sway over me\All I know of the world is what I can see response:	All I know of the world is what I can see
context: In this perfect world\In this perfect world\I roam, a lost being\I roam, a lost being\The impossible is holding sway over me\The impossible is holding sway over me\All I know of the world is what I can see\All I know of the world is what I can see response:	Is that enough to find its faults?
context: In this perfect world\I roam, a lost being\I roam, a lost being\The impossible is holding sway over me\The impossible is holding sway over me\All I know of the world is what I can see\All I know of the world is what I can see\Is that enough to find its faults? response:	Is that enough to find its faults?
context: I roam, a lost being\I roam, a lost being\The impossible is holding sway over me\The impossible is holding sway over me\All I know of the world is what I can see\All I know of the world is what I can see\Is that enough to find its faults?\Is that enough to find its faults? response:	Artificial, artificial
context: I roam, a lost being\The impossible is holding sway over me\The impossible is holding sway over me\All I know of the world is what I can see\All I know of the world is what I can see\Is that enough to find its faults?\Is that enough to find its faults?\Artificial, artificial response:	Artificial, artificial
context: The impossible is holding sway over me\The impossible is holding sway over me\All I know of the world is what I can see\All I know of the world is what I can see\Is that enough to find its faults?\Is that enough to find its faults?\Artificial, artificial\Artificial, artificial response:	Hey, how can they stay so sane?
context: The impossible is holding sway over me\All I know of the world is what I can see\All I know of the world is what I can see\Is that enough to find its faults?\Is that enough to find its faults?\Artificial, artificial\Artificial, artificial\Hey, how can they stay so sane? response:	Hey, how can they stay so sane?
context: All I know of the world is what I can see\All I know of the world is what I can see\Is that enough to find its faults?\Is that enough to find its faults?\Artificial, artificial\Artificial, artificial\Hey, how can they stay so sane?\Hey, how can they stay so sane? response:	This is their artificial world
context: All I know of the world is what I can see\Is that enough to find its faults?\Is that enough to find its faults?\Artificial, artificial\Artificial, artificial\Hey, how can they stay so sane?\Hey, how can they stay so sane?\This is their artificial world response:	This is their artificial world
context: Is that enough to find its faults?\Is that enough to find its faults?\Artificial, artificial\Artificial, artificial\Hey, how can they stay so sane?\Hey, how can they stay so sane?\This is their artificial world\This is their artificial world response:	In this beautiful world
context: Is that enough to find its faults?\Artificial, artificial\Artificial, artificial\Hey, how can they stay so sane?\Hey, how can they stay so sane?\This is their artificial world\This is their artificial world\In this beautiful world response:	In this beautiful world
context: Artificial, artificial\Artificial, artificial\Hey, how can they stay so sane?\Hey, how can they stay so sane?\This is their artificial world\This is their artificial world\In this beautiful world\In this beautiful world response:	there is something
context: Artificial, artificial\Hey, how can they stay so sane?\Hey, how can they stay so sane?\This is their artificial world\This is their artificial world\In this beautiful world\In this beautiful world\there is something response:	there is something
context: Hey, how can they stay so sane?\Hey, how can they stay so sane?\This is their artificial world\This is their artificial world\In this beautiful world\In this beautiful world\there is something\there is something response:	that obscures all light for me
context: Hey, how can they stay so sane?\This is their artificial world\This is their artificial world\In this beautiful world\In this beautiful world\there is something\there is something\that obscures all light for me response:	that obscures all light for me
context: This is their artificial world\This is their artificial world\In this beautiful world\In this beautiful world\there is something\there is something\that obscures all light for me\that obscures all light for me response:	My heart tries to make sense of it
context: This is their artificial world\In this beautiful world\In this beautiful world\there is something\there is something\that obscures all light for me\that obscures all light for me\My heart tries to make sense of it response:	My heart tries to make sense of it
context: In this beautiful world\In this beautiful world\there is something\there is something\that obscures all light for me\that obscures all light for me\My heart tries to make sense of it\My heart tries to make sense of it response:	and finds no answer
context: In this beautiful world\there is something\there is something\that obscures all light for me\that obscures all light for me\My heart tries to make sense of it\My heart tries to make sense of it\and finds no answer response:	and finds no answer
context: there is something\there is something\that obscures all light for me\that obscures all light for me\My heart tries to make sense of it\My heart tries to make sense of it\and finds no answer\and finds no answer response:	Secret kills for you
