context: I doubt even Shiroe predicted this. response:	Looks like I won't be able to watch over them from hiding anymore.
context: I doubt even Shiroe predicted this.\Looks like I won't be able to watch over them from hiding anymore. response:	Normally, when you're expecting an attack on a population center like a city,
context: I doubt even Shiroe predicted this.\Looks like I won't be able to watch over them from hiding anymore.\Normally, when you're expecting an attack on a population center like a city, response:	you should try to take the fight as far away from it as possible.
context: I doubt even Shiroe predicted this.\Looks like I won't be able to watch over them from hiding anymore.\Normally, when you're expecting an attack on a population center like a city,\you should try to take the fight as far away from it as possible. response:	I understand.
context: I doubt even Shiroe predicted this.\Looks like I won't be able to watch over them from hiding anymore.\Normally, when you're expecting an attack on a population center like a city,\you should try to take the fight as far away from it as possible.\I understand. response:	Even if you succeed in repelling them,
context: I doubt even Shiroe predicted this.\Looks like I won't be able to watch over them from hiding anymore.\Normally, when you're expecting an attack on a population center like a city,\you should try to take the fight as far away from it as possible.\I understand.\Even if you succeed in repelling them, response:	the damage to the city and surroundings could make life after the battle very difficult.
context: I doubt even Shiroe predicted this.\Looks like I won't be able to watch over them from hiding anymore.\Normally, when you're expecting an attack on a population center like a city,\you should try to take the fight as far away from it as possible.\I understand.\Even if you succeed in repelling them,\the damage to the city and surroundings could make life after the battle very difficult. response:	Yes!
context: I doubt even Shiroe predicted this.\Looks like I won't be able to watch over them from hiding anymore.\Normally, when you're expecting an attack on a population center like a city,\you should try to take the fight as far away from it as possible.\I understand.\Even if you succeed in repelling them,\the damage to the city and surroundings could make life after the battle very difficult.\Yes! response:	We can't use telepathy, so keep your party chat open and bring Isuzu here.
context: Looks like I won't be able to watch over them from hiding anymore.\Normally, when you're expecting an attack on a population center like a city,\you should try to take the fight as far away from it as possible.\I understand.\Even if you succeed in repelling them,\the damage to the city and surroundings could make life after the battle very difficult.\Yes!\We can't use telepathy, so keep your party chat open and bring Isuzu here. response:	Roger.
context: Normally, when you're expecting an attack on a population center like a city,\you should try to take the fight as far away from it as possible.\I understand.\Even if you succeed in repelling them,\the damage to the city and surroundings could make life after the battle very difficult.\Yes!\We can't use telepathy, so keep your party chat open and bring Isuzu here.\Roger. response:	The Red Night
context: you should try to take the fight as far away from it as possible.\I understand.\Even if you succeed in repelling them,\the damage to the city and surroundings could make life after the battle very difficult.\Yes!\We can't use telepathy, so keep your party chat open and bring Isuzu here.\Roger.\The Red Night response:	The Red Night.
