context: How long are you gonna stay here, Dad? response:	I dunno. You'd be sad if I left, right, Sota?
context: How long are you gonna stay here, Dad?\I dunno. You'd be sad if I left, right, Sota? response:	Gotta pee!
context: How long are you gonna stay here, Dad?\I dunno. You'd be sad if I left, right, Sota?\Gotta pee! response:	Mmkay, don't fall in!
context: How long are you gonna stay here, Dad?\I dunno. You'd be sad if I left, right, Sota?\Gotta pee!\Mmkay, don't fall in! response:	I'm wondering the same thing, sweetheart. How long are you staying?
context: How long are you gonna stay here, Dad?\I dunno. You'd be sad if I left, right, Sota?\Gotta pee!\Mmkay, don't fall in!\I'm wondering the same thing, sweetheart. How long are you staying? response:	Why're you asking?
context: How long are you gonna stay here, Dad?\I dunno. You'd be sad if I left, right, Sota?\Gotta pee!\Mmkay, don't fall in!\I'm wondering the same thing, sweetheart. How long are you staying?\Why're you asking? response:	Yuriko... do I not have a home here?
context: How long are you gonna stay here, Dad?\I dunno. You'd be sad if I left, right, Sota?\Gotta pee!\Mmkay, don't fall in!\I'm wondering the same thing, sweetheart. How long are you staying?\Why're you asking?\Yuriko... do I not have a home here? response:	I'm just wondering if your job is okay with you being here so long.
context: How long are you gonna stay here, Dad?\I dunno. You'd be sad if I left, right, Sota?\Gotta pee!\Mmkay, don't fall in!\I'm wondering the same thing, sweetheart. How long are you staying?\Why're you asking?\Yuriko... do I not have a home here?\I'm just wondering if your job is okay with you being here so long. response:	I'm back. Kyosuke, Miyamura's here.
context: I dunno. You'd be sad if I left, right, Sota?\Gotta pee!\Mmkay, don't fall in!\I'm wondering the same thing, sweetheart. How long are you staying?\Why're you asking?\Yuriko... do I not have a home here?\I'm just wondering if your job is okay with you being here so long.\I'm back. Kyosuke, Miyamura's here. response:	Whoa, really?!
context: Gotta pee!\Mmkay, don't fall in!\I'm wondering the same thing, sweetheart. How long are you staying?\Why're you asking?\Yuriko... do I not have a home here?\I'm just wondering if your job is okay with you being here so long.\I'm back. Kyosuke, Miyamura's here.\Whoa, really?! response:	Thank you for having me.
context: Mmkay, don't fall in!\I'm wondering the same thing, sweetheart. How long are you staying?\Why're you asking?\Yuriko... do I not have a home here?\I'm just wondering if your job is okay with you being here so long.\I'm back. Kyosuke, Miyamura's here.\Whoa, really?!\Thank you for having me. response:	Who the hell are you?
context: I'm wondering the same thing, sweetheart. How long are you staying?\Why're you asking?\Yuriko... do I not have a home here?\I'm just wondering if your job is okay with you being here so long.\I'm back. Kyosuke, Miyamura's here.\Whoa, really?!\Thank you for having me.\Who the hell are you? response:	It's your best buddy, Miyamura.
context: Why're you asking?\Yuriko... do I not have a home here?\I'm just wondering if your job is okay with you being here so long.\I'm back. Kyosuke, Miyamura's here.\Whoa, really?!\Thank you for having me.\Who the hell are you?\It's your best buddy, Miyamura. response:	Um, uh...
context: Yuriko... do I not have a home here?\I'm just wondering if your job is okay with you being here so long.\I'm back. Kyosuke, Miyamura's here.\Whoa, really?!\Thank you for having me.\Who the hell are you?\It's your best buddy, Miyamura.\Um, uh... response:	Th-Thank you for having me...
context: I'm just wondering if your job is okay with you being here so long.\I'm back. Kyosuke, Miyamura's here.\Whoa, really?!\Thank you for having me.\Who the hell are you?\It's your best buddy, Miyamura.\Um, uh...\Th-Thank you for having me... response:	Hot damn, it is you!
context: I'm back. Kyosuke, Miyamura's here.\Whoa, really?!\Thank you for having me.\Who the hell are you?\It's your best buddy, Miyamura.\Um, uh...\Th-Thank you for having me...\Hot damn, it is you! response:	Yes, it's me.
context: Whoa, really?!\Thank you for having me.\Who the hell are you?\It's your best buddy, Miyamura.\Um, uh...\Th-Thank you for having me...\Hot damn, it is you!\Yes, it's me. response:	C'mon, it's hot enough without you smothering him. Get off.
context: Thank you for having me.\Who the hell are you?\It's your best buddy, Miyamura.\Um, uh...\Th-Thank you for having me...\Hot damn, it is you!\Yes, it's me.\C'mon, it's hot enough without you smothering him. Get off. response:	Damn, you sure are sweating hard. Makes sense with the summer heat.
context: Who the hell are you?\It's your best buddy, Miyamura.\Um, uh...\Th-Thank you for having me...\Hot damn, it is you!\Yes, it's me.\C'mon, it's hot enough without you smothering him. Get off.\Damn, you sure are sweating hard. Makes sense with the summer heat. response:	Yes, right...
context: It's your best buddy, Miyamura.\Um, uh...\Th-Thank you for having me...\Hot damn, it is you!\Yes, it's me.\C'mon, it's hot enough without you smothering him. Get off.\Damn, you sure are sweating hard. Makes sense with the summer heat.\Yes, right... response:	It's actually a cold sweat.
context: Um, uh...\Th-Thank you for having me...\Hot damn, it is you!\Yes, it's me.\C'mon, it's hot enough without you smothering him. Get off.\Damn, you sure are sweating hard. Makes sense with the summer heat.\Yes, right...\It's actually a cold sweat. response:	I got an idea, Miyamura-kun!
context: Th-Thank you for having me...\Hot damn, it is you!\Yes, it's me.\C'mon, it's hot enough without you smothering him. Get off.\Damn, you sure are sweating hard. Makes sense with the summer heat.\Yes, right...\It's actually a cold sweat.\I got an idea, Miyamura-kun! response:	Yes, sir?
context: Hot damn, it is you!\Yes, it's me.\C'mon, it's hot enough without you smothering him. Get off.\Damn, you sure are sweating hard. Makes sense with the summer heat.\Yes, right...\It's actually a cold sweat.\I got an idea, Miyamura-kun!\Yes, sir? response:	You should take a bath with me!
context: Yes, it's me.\C'mon, it's hot enough without you smothering him. Get off.\Damn, you sure are sweating hard. Makes sense with the summer heat.\Yes, right...\It's actually a cold sweat.\I got an idea, Miyamura-kun!\Yes, sir?\You should take a bath with me! response:	Wait, what?!
context: C'mon, it's hot enough without you smothering him. Get off.\Damn, you sure are sweating hard. Makes sense with the summer heat.\Yes, right...\It's actually a cold sweat.\I got an idea, Miyamura-kun!\Yes, sir?\You should take a bath with me!\Wait, what?! response:	I've already filled the bath. Feel free to jump in.
context: Damn, you sure are sweating hard. Makes sense with the summer heat.\Yes, right...\It's actually a cold sweat.\I got an idea, Miyamura-kun!\Yes, sir?\You should take a bath with me!\Wait, what?!\I've already filled the bath. Feel free to jump in. response:	It'll be a while before dinner is ready.
context: Yes, right...\It's actually a cold sweat.\I got an idea, Miyamura-kun!\Yes, sir?\You should take a bath with me!\Wait, what?!\I've already filled the bath. Feel free to jump in.\It'll be a while before dinner is ready. response:	Oh, no thank you.
context: It's actually a cold sweat.\I got an idea, Miyamura-kun!\Yes, sir?\You should take a bath with me!\Wait, what?!\I've already filled the bath. Feel free to jump in.\It'll be a while before dinner is ready.\Oh, no thank you. response:	You don't wanna bathe with me?
context: I got an idea, Miyamura-kun!\Yes, sir?\You should take a bath with me!\Wait, what?!\I've already filled the bath. Feel free to jump in.\It'll be a while before dinner is ready.\Oh, no thank you.\You don't wanna bathe with me? response:	Huh? No, that's not it.
context: Yes, sir?\You should take a bath with me!\Wait, what?!\I've already filled the bath. Feel free to jump in.\It'll be a while before dinner is ready.\Oh, no thank you.\You don't wanna bathe with me?\Huh? No, that's not it. response:	Really? Sweet, let's hop in!
context: You should take a bath with me!\Wait, what?!\I've already filled the bath. Feel free to jump in.\It'll be a while before dinner is ready.\Oh, no thank you.\You don't wanna bathe with me?\Huh? No, that's not it.\Really? Sweet, let's hop in! response:	-Aww, don't be shy, it'll be fun!
context: Wait, what?!\I've already filled the bath. Feel free to jump in.\It'll be a while before dinner is ready.\Oh, no thank you.\You don't wanna bathe with me?\Huh? No, that's not it.\Really? Sweet, let's hop in!\-Aww, don't be shy, it'll be fun! response:	-Aww, c'mon. Don't be shy. -Aww, don't be shy, it'll be fun!
