context: I'll do it. response:	I'll change history.
context: I'll do it.\I'll change history. response:	I'm going to protect them.
context: I'll do it.\I'll change history.\I'm going to protect them. response:	I promise. I promise. I promise!
context: I'll do it.\I'll change history.\I'm going to protect them.\I promise. I promise. I promise! response:	When is this?!
context: I'll do it.\I'll change history.\I'm going to protect them.\I promise. I promise. I promise!\When is this?! response:	Huh?
context: I'll do it.\I'll change history.\I'm going to protect them.\I promise. I promise. I promise!\When is this?!\Huh? response:	I'm asking you what month and day it is!
context: I'll do it.\I'll change history.\I'm going to protect them.\I promise. I promise. I promise!\When is this?!\Huh?\I'm asking you what month and day it is! response:	I-It's December 21st...
context: I'll do it.\I'll change history.\I'm going to protect them.\I promise. I promise. I promise!\When is this?!\Huh?\I'm asking you what month and day it is!\I-It's December 21st... response:	Yes!
context: I'll change history.\I'm going to protect them.\I promise. I promise. I promise!\When is this?!\Huh?\I'm asking you what month and day it is!\I-It's December 21st...\Yes! response:	Punch Line
context: I'm going to protect them.\I promise. I promise. I promise!\When is this?!\Huh?\I'm asking you what month and day it is!\I-It's December 21st...\Yes!\Punch Line response:	So anyway, I've really been through hell.
context: I promise. I promise. I promise!\When is this?!\Huh?\I'm asking you what month and day it is!\I-It's December 21st...\Yes!\Punch Line\So anyway, I've really been through hell. response:	Seriously, one wrong move and I could have died.
context: When is this?!\Huh?\I'm asking you what month and day it is!\I-It's December 21st...\Yes!\Punch Line\So anyway, I've really been through hell.\Seriously, one wrong move and I could have died. response:	Did it go okay?
context: Huh?\I'm asking you what month and day it is!\I-It's December 21st...\Yes!\Punch Line\So anyway, I've really been through hell.\Seriously, one wrong move and I could have died.\Did it go okay? response:	The police investigation was rough, huh?
context: I'm asking you what month and day it is!\I-It's December 21st...\Yes!\Punch Line\So anyway, I've really been through hell.\Seriously, one wrong move and I could have died.\Did it go okay?\The police investigation was rough, huh? response:	I just got back, too.
context: I-It's December 21st...\Yes!\Punch Line\So anyway, I've really been through hell.\Seriously, one wrong move and I could have died.\Did it go okay?\The police investigation was rough, huh?\I just got back, too. response:	Come on, we can talk about that later.
context: Yes!\Punch Line\So anyway, I've really been through hell.\Seriously, one wrong move and I could have died.\Did it go okay?\The police investigation was rough, huh?\I just got back, too.\Come on, we can talk about that later. response:	Before that, here. Want one?
context: Punch Line\So anyway, I've really been through hell.\Seriously, one wrong move and I could have died.\Did it go okay?\The police investigation was rough, huh?\I just got back, too.\Come on, we can talk about that later.\Before that, here. Want one? response:	It's hot.
context: So anyway, I've really been through hell.\Seriously, one wrong move and I could have died.\Did it go okay?\The police investigation was rough, huh?\I just got back, too.\Come on, we can talk about that later.\Before that, here. Want one?\It's hot. response:	What's his problem?
context: Seriously, one wrong move and I could have died.\Did it go okay?\The police investigation was rough, huh?\I just got back, too.\Come on, we can talk about that later.\Before that, here. Want one?\It's hot.\What's his problem? response:	Panty Panic Returns
context: Did it go okay?\The police investigation was rough, huh?\I just got back, too.\Come on, we can talk about that later.\Before that, here. Want one?\It's hot.\What's his problem?\Panty Panic Returns response:	Yeah, it's my room.
context: The police investigation was rough, huh?\I just got back, too.\Come on, we can talk about that later.\Before that, here. Want one?\It's hot.\What's his problem?\Panty Panic Returns\Yeah, it's my room. response:	Yeah, it's my body.
context: I just got back, too.\Come on, we can talk about that later.\Before that, here. Want one?\It's hot.\What's his problem?\Panty Panic Returns\Yeah, it's my room.\Yeah, it's my body. response:	I'm back, baby!
context: Come on, we can talk about that later.\Before that, here. Want one?\It's hot.\What's his problem?\Panty Panic Returns\Yeah, it's my room.\Yeah, it's my body.\I'm back, baby! response:	Must be that thing they call PTSD.
context: Before that, here. Want one?\It's hot.\What's his problem?\Panty Panic Returns\Yeah, it's my room.\Yeah, it's my body.\I'm back, baby!\Must be that thing they call PTSD. response:	Wait! This isn't the time for celebrating!
context: It's hot.\What's his problem?\Panty Panic Returns\Yeah, it's my room.\Yeah, it's my body.\I'm back, baby!\Must be that thing they call PTSD.\Wait! This isn't the time for celebrating! response:	Only ten days until New Year's Eve.
context: What's his problem?\Panty Panic Returns\Yeah, it's my room.\Yeah, it's my body.\I'm back, baby!\Must be that thing they call PTSD.\Wait! This isn't the time for celebrating!\Only ten days until New Year's Eve. response:	What do I do?
context: Panty Panic Returns\Yeah, it's my room.\Yeah, it's my body.\I'm back, baby!\Must be that thing they call PTSD.\Wait! This isn't the time for celebrating!\Only ten days until New Year's Eve.\What do I do? response:	For starters, I'll try outlining everything that's about to happen.
context: Yeah, it's my room.\Yeah, it's my body.\I'm back, baby!\Must be that thing they call PTSD.\Wait! This isn't the time for celebrating!\Only ten days until New Year's Eve.\What do I do?\For starters, I'll try outlining everything that's about to happen. response:	Cheermancy/ Muhi discovered
context: Yeah, it's my body.\I'm back, baby!\Must be that thing they call PTSD.\Wait! This isn't the time for celebrating!\Only ten days until New Year's Eve.\What do I do?\For starters, I'll try outlining everything that's about to happen.\Cheermancy/ Muhi discovered response:	23rd: Cheermancy; Muhi discovered.
