context: Your newbie hasn't quit yet? response:	Nope, he's hanging in there.
context: Your newbie hasn't quit yet?\Nope, he's hanging in there. response:	Oh?
context: Your newbie hasn't quit yet?\Nope, he's hanging in there.\Oh? response:	I'm a good judge of character, regardless of what you may think.
context: Your newbie hasn't quit yet?\Nope, he's hanging in there.\Oh?\I'm a good judge of character, regardless of what you may think. response:	Yeah, right.
context: Your newbie hasn't quit yet?\Nope, he's hanging in there.\Oh?\I'm a good judge of character, regardless of what you may think.\Yeah, right. response:	Everyone younger than Sakaki-kun quit.
context: Your newbie hasn't quit yet?\Nope, he's hanging in there.\Oh?\I'm a good judge of character, regardless of what you may think.\Yeah, right.\Everyone younger than Sakaki-kun quit. response:	Oh, it's here. Right here.
context: Your newbie hasn't quit yet?\Nope, he's hanging in there.\Oh?\I'm a good judge of character, regardless of what you may think.\Yeah, right.\Everyone younger than Sakaki-kun quit.\Oh, it's here. Right here. response:	Is this a crime?
context: Your newbie hasn't quit yet?\Nope, he's hanging in there.\Oh?\I'm a good judge of character, regardless of what you may think.\Yeah, right.\Everyone younger than Sakaki-kun quit.\Oh, it's here. Right here.\Is this a crime? response:	I don't know.
context: Nope, he's hanging in there.\Oh?\I'm a good judge of character, regardless of what you may think.\Yeah, right.\Everyone younger than Sakaki-kun quit.\Oh, it's here. Right here.\Is this a crime?\I don't know. response:	Is it in our jurisdiction?
context: Oh?\I'm a good judge of character, regardless of what you may think.\Yeah, right.\Everyone younger than Sakaki-kun quit.\Oh, it's here. Right here.\Is this a crime?\I don't know.\Is it in our jurisdiction? response:	Yeah, probably.
context: I'm a good judge of character, regardless of what you may think.\Yeah, right.\Everyone younger than Sakaki-kun quit.\Oh, it's here. Right here.\Is this a crime?\I don't know.\Is it in our jurisdiction?\Yeah, probably. response:	Yeah...
context: Yeah, right.\Everyone younger than Sakaki-kun quit.\Oh, it's here. Right here.\Is this a crime?\I don't know.\Is it in our jurisdiction?\Yeah, probably.\Yeah... response:	But my request to investigate the scene keeps getting rejected.
context: Everyone younger than Sakaki-kun quit.\Oh, it's here. Right here.\Is this a crime?\I don't know.\Is it in our jurisdiction?\Yeah, probably.\Yeah...\But my request to investigate the scene keeps getting rejected. response:	And if you get us involved, that problem will go away?
context: Oh, it's here. Right here.\Is this a crime?\I don't know.\Is it in our jurisdiction?\Yeah, probably.\Yeah...\But my request to investigate the scene keeps getting rejected.\And if you get us involved, that problem will go away? response:	Yeah, that's about right.
context: Is this a crime?\I don't know.\Is it in our jurisdiction?\Yeah, probably.\Yeah...\But my request to investigate the scene keeps getting rejected.\And if you get us involved, that problem will go away?\Yeah, that's about right. response:	June 13th Nocturnal Community Relations Section
context: I don't know.\Is it in our jurisdiction?\Yeah, probably.\Yeah...\But my request to investigate the scene keeps getting rejected.\And if you get us involved, that problem will go away?\Yeah, that's about right.\June 13th Nocturnal Community Relations Section response:	You want us to investigate the north and south elevators at City Hall?
context: Is it in our jurisdiction?\Yeah, probably.\Yeah...\But my request to investigate the scene keeps getting rejected.\And if you get us involved, that problem will go away?\Yeah, that's about right.\June 13th Nocturnal Community Relations Section\You want us to investigate the north and south elevators at City Hall? response:	We got official permission.
context: Yeah, probably.\Yeah...\But my request to investigate the scene keeps getting rejected.\And if you get us involved, that problem will go away?\Yeah, that's about right.\June 13th Nocturnal Community Relations Section\You want us to investigate the north and south elevators at City Hall?\We got official permission. response:	Finally, huh?
context: Yeah...\But my request to investigate the scene keeps getting rejected.\And if you get us involved, that problem will go away?\Yeah, that's about right.\June 13th Nocturnal Community Relations Section\You want us to investigate the north and south elevators at City Hall?\We got official permission.\Finally, huh? response:	What's going on?
