context: Damn! response:	Found some sake, Chief.
context: Damn!\Found some sake, Chief. response:	Hey! Come over here and pour!
context: Damn!\Found some sake, Chief.\Hey! Come over here and pour! response:	Half-demon, you've weakened considerably.
context: Damn!\Found some sake, Chief.\Hey! Come over here and pour!\Half-demon, you've weakened considerably. response:	Serves you right.
context: Damn!\Found some sake, Chief.\Hey! Come over here and pour!\Half-demon, you've weakened considerably.\Serves you right. response:	Siding with humans and attacking like that.
context: Damn!\Found some sake, Chief.\Hey! Come over here and pour!\Half-demon, you've weakened considerably.\Serves you right.\Siding with humans and attacking like that. response:	No...the barrier isn't going to hold much longer.
context: Damn!\Found some sake, Chief.\Hey! Come over here and pour!\Half-demon, you've weakened considerably.\Serves you right.\Siding with humans and attacking like that.\No...the barrier isn't going to hold much longer. response:	Damn!
context: Damn!\Found some sake, Chief.\Hey! Come over here and pour!\Half-demon, you've weakened considerably.\Serves you right.\Siding with humans and attacking like that.\No...the barrier isn't going to hold much longer.\Damn! response:	Hurry and serve the Chief!
context: Found some sake, Chief.\Hey! Come over here and pour!\Half-demon, you've weakened considerably.\Serves you right.\Siding with humans and attacking like that.\No...the barrier isn't going to hold much longer.\Damn!\Hurry and serve the Chief! response:	Are you afraid, woman?
context: Hey! Come over here and pour!\Half-demon, you've weakened considerably.\Serves you right.\Siding with humans and attacking like that.\No...the barrier isn't going to hold much longer.\Damn!\Hurry and serve the Chief!\Are you afraid, woman? response:	I like your face.
context: Half-demon, you've weakened considerably.\Serves you right.\Siding with humans and attacking like that.\No...the barrier isn't going to hold much longer.\Damn!\Hurry and serve the Chief!\Are you afraid, woman?\I like your face. response:	He is a demon.
context: Serves you right.\Siding with humans and attacking like that.\No...the barrier isn't going to hold much longer.\Damn!\Hurry and serve the Chief!\Are you afraid, woman?\I like your face.\He is a demon. response:	Every woman the Chief had disappeared mysteriously.
context: Siding with humans and attacking like that.\No...the barrier isn't going to hold much longer.\Damn!\Hurry and serve the Chief!\Are you afraid, woman?\I like your face.\He is a demon.\Every woman the Chief had disappeared mysteriously. response:	We used to wonder about that.
context: No...the barrier isn't going to hold much longer.\Damn!\Hurry and serve the Chief!\Are you afraid, woman?\I like your face.\He is a demon.\Every woman the Chief had disappeared mysteriously.\We used to wonder about that. response:	Why you... bastard!
context: Damn!\Hurry and serve the Chief!\Are you afraid, woman?\I like your face.\He is a demon.\Every woman the Chief had disappeared mysteriously.\We used to wonder about that.\Why you... bastard! response:	Are you all right, Inuyasha?!
