context: Piercing through the Macro sky, response:	a thunderbolt strikes the Earth
context: Piercing through the Macro sky,\a thunderbolt strikes the Earth response:	To awaken us, the young mankind,
context: Piercing through the Macro sky,\a thunderbolt strikes the Earth\To awaken us, the young mankind, response:	the Light struck
context: Piercing through the Macro sky,\a thunderbolt strikes the Earth\To awaken us, the young mankind,\the Light struck response:	Macross! Macross!
context: Piercing through the Macro sky,\a thunderbolt strikes the Earth\To awaken us, the young mankind,\the Light struck\Macross! Macross! response:	The brave youths who arise
context: Piercing through the Macro sky,\a thunderbolt strikes the Earth\To awaken us, the young mankind,\the Light struck\Macross! Macross!\The brave youths who arise response:	and fight to protect their loved ones
context: Piercing through the Macro sky,\a thunderbolt strikes the Earth\To awaken us, the young mankind,\the Light struck\Macross! Macross!\The brave youths who arise\and fight to protect their loved ones response:	Will set out on their journey as the war rages on.
context: Piercing through the Macro sky,\a thunderbolt strikes the Earth\To awaken us, the young mankind,\the Light struck\Macross! Macross!\The brave youths who arise\and fight to protect their loved ones\Will set out on their journey as the war rages on. response:	Will you love me tomorrow?
context: a thunderbolt strikes the Earth\To awaken us, the young mankind,\the Light struck\Macross! Macross!\The brave youths who arise\and fight to protect their loved ones\Will set out on their journey as the war rages on.\Will you love me tomorrow? response:	Slicing through the darkness they fly toward
context: To awaken us, the young mankind,\the Light struck\Macross! Macross!\The brave youths who arise\and fight to protect their loved ones\Will set out on their journey as the war rages on.\Will you love me tomorrow?\Slicing through the darkness they fly toward response:	That blue planet that shines in the distance
context: the Light struck\Macross! Macross!\The brave youths who arise\and fight to protect their loved ones\Will set out on their journey as the war rages on.\Will you love me tomorrow?\Slicing through the darkness they fly toward\That blue planet that shines in the distance response:	Macross! Macross!
context: Macross! Macross!\The brave youths who arise\and fight to protect their loved ones\Will set out on their journey as the war rages on.\Will you love me tomorrow?\Slicing through the darkness they fly toward\That blue planet that shines in the distance\Macross! Macross! response:	Macross!
context: The brave youths who arise\and fight to protect their loved ones\Will set out on their journey as the war rages on.\Will you love me tomorrow?\Slicing through the darkness they fly toward\That blue planet that shines in the distance\Macross! Macross!\Macross! response:	Roughly two years have passed since the terrible war
context: and fight to protect their loved ones\Will set out on their journey as the war rages on.\Will you love me tomorrow?\Slicing through the darkness they fly toward\That blue planet that shines in the distance\Macross! Macross!\Macross!\Roughly two years have passed since the terrible war response:	between the Zentradi and the Earth UN Forces.
context: Will set out on their journey as the war rages on.\Will you love me tomorrow?\Slicing through the darkness they fly toward\That blue planet that shines in the distance\Macross! Macross!\Macross!\Roughly two years have passed since the terrible war\between the Zentradi and the Earth UN Forces. response:	MY ALBUM
context: Will you love me tomorrow?\Slicing through the darkness they fly toward\That blue planet that shines in the distance\Macross! Macross!\Macross!\Roughly two years have passed since the terrible war\between the Zentradi and the Earth UN Forces.\MY ALBUM response:	Most of the Earth has been devastated,
context: Slicing through the darkness they fly toward\That blue planet that shines in the distance\Macross! Macross!\Macross!\Roughly two years have passed since the terrible war\between the Zentradi and the Earth UN Forces.\MY ALBUM\Most of the Earth has been devastated, response:	with the only survivors being those aboard the Macross,
context: That blue planet that shines in the distance\Macross! Macross!\Macross!\Roughly two years have passed since the terrible war\between the Zentradi and the Earth UN Forces.\MY ALBUM\Most of the Earth has been devastated,\with the only survivors being those aboard the Macross, response:	a handful of civilians on the surface,
context: Macross! Macross!\Macross!\Roughly two years have passed since the terrible war\between the Zentradi and the Earth UN Forces.\MY ALBUM\Most of the Earth has been devastated,\with the only survivors being those aboard the Macross,\a handful of civilians on the surface, response:	and a few members of the Zentradi army.
context: Macross!\Roughly two years have passed since the terrible war\between the Zentradi and the Earth UN Forces.\MY ALBUM\Most of the Earth has been devastated,\with the only survivors being those aboard the Macross,\a handful of civilians on the surface,\and a few members of the Zentradi army. response:	Flowers!
context: Roughly two years have passed since the terrible war\between the Zentradi and the Earth UN Forces.\MY ALBUM\Most of the Earth has been devastated,\with the only survivors being those aboard the Macross,\a handful of civilians on the surface,\and a few members of the Zentradi army.\Flowers! response:	Plants!
context: between the Zentradi and the Earth UN Forces.\MY ALBUM\Most of the Earth has been devastated,\with the only survivors being those aboard the Macross,\a handful of civilians on the surface,\and a few members of the Zentradi army.\Flowers!\Plants! response:	Leader, please come in. Leader!
context: MY ALBUM\Most of the Earth has been devastated,\with the only survivors being those aboard the Macross,\a handful of civilians on the surface,\and a few members of the Zentradi army.\Flowers!\Plants!\Leader, please come in. Leader! response:	What's the matter?
context: Most of the Earth has been devastated,\with the only survivors being those aboard the Macross,\a handful of civilians on the surface,\and a few members of the Zentradi army.\Flowers!\Plants!\Leader, please come in. Leader!\What's the matter? response:	Our squad leader isn't responding.
context: with the only survivors being those aboard the Macross,\a handful of civilians on the surface,\and a few members of the Zentradi army.\Flowers!\Plants!\Leader, please come in. Leader!\What's the matter?\Our squad leader isn't responding. response:	He's probably out of his Valkyrie and poking around the ruins.
context: a handful of civilians on the surface,\and a few members of the Zentradi army.\Flowers!\Plants!\Leader, please come in. Leader!\What's the matter?\Our squad leader isn't responding.\He's probably out of his Valkyrie and poking around the ruins. response:	That's just a waste of time. There aren't any survivors out here.
context: and a few members of the Zentradi army.\Flowers!\Plants!\Leader, please come in. Leader!\What's the matter?\Our squad leader isn't responding.\He's probably out of his Valkyrie and poking around the ruins.\That's just a waste of time. There aren't any survivors out here. response:	Having to fly this patrol every day is a waste of time too.
context: Flowers!\Plants!\Leader, please come in. Leader!\What's the matter?\Our squad leader isn't responding.\He's probably out of his Valkyrie and poking around the ruins.\That's just a waste of time. There aren't any survivors out here.\Having to fly this patrol every day is a waste of time too. response:	Hey, quit complaining.
context: Plants!\Leader, please come in. Leader!\What's the matter?\Our squad leader isn't responding.\He's probably out of his Valkyrie and poking around the ruins.\That's just a waste of time. There aren't any survivors out here.\Having to fly this patrol every day is a waste of time too.\Hey, quit complaining. response:	Some of the Zentradi have started running wild in town so it's not like we have a choice.
context: Leader, please come in. Leader!\What's the matter?\Our squad leader isn't responding.\He's probably out of his Valkyrie and poking around the ruins.\That's just a waste of time. There aren't any survivors out here.\Having to fly this patrol every day is a waste of time too.\Hey, quit complaining.\Some of the Zentradi have started running wild in town so it's not like we have a choice. response:	Just think of it as a mission and get used to it.
context: What's the matter?\Our squad leader isn't responding.\He's probably out of his Valkyrie and poking around the ruins.\That's just a waste of time. There aren't any survivors out here.\Having to fly this patrol every day is a waste of time too.\Hey, quit complaining.\Some of the Zentradi have started running wild in town so it's not like we have a choice.\Just think of it as a mission and get used to it. response:	Maybe those guys are just fed up.
context: Our squad leader isn't responding.\He's probably out of his Valkyrie and poking around the ruins.\That's just a waste of time. There aren't any survivors out here.\Having to fly this patrol every day is a waste of time too.\Hey, quit complaining.\Some of the Zentradi have started running wild in town so it's not like we have a choice.\Just think of it as a mission and get used to it.\Maybe those guys are just fed up. response:	Fed up?
context: He's probably out of his Valkyrie and poking around the ruins.\That's just a waste of time. There aren't any survivors out here.\Having to fly this patrol every day is a waste of time too.\Hey, quit complaining.\Some of the Zentradi have started running wild in town so it's not like we have a choice.\Just think of it as a mission and get used to it.\Maybe those guys are just fed up.\Fed up? response:	Think about it.
context: That's just a waste of time. There aren't any survivors out here.\Having to fly this patrol every day is a waste of time too.\Hey, quit complaining.\Some of the Zentradi have started running wild in town so it's not like we have a choice.\Just think of it as a mission and get used to it.\Maybe those guys are just fed up.\Fed up?\Think about it. response:	Destruction was the only thing they lived for.
context: Having to fly this patrol every day is a waste of time too.\Hey, quit complaining.\Some of the Zentradi have started running wild in town so it's not like we have a choice.\Just think of it as a mission and get used to it.\Maybe those guys are just fed up.\Fed up?\Think about it.\Destruction was the only thing they lived for. response:	Then we go and tell them they have to build things?
context: Hey, quit complaining.\Some of the Zentradi have started running wild in town so it's not like we have a choice.\Just think of it as a mission and get used to it.\Maybe those guys are just fed up.\Fed up?\Think about it.\Destruction was the only thing they lived for.\Then we go and tell them they have to build things? response:	This has gotta be tough on them.
context: Some of the Zentradi have started running wild in town so it's not like we have a choice.\Just think of it as a mission and get used to it.\Maybe those guys are just fed up.\Fed up?\Think about it.\Destruction was the only thing they lived for.\Then we go and tell them they have to build things?\This has gotta be tough on them. response:	Some of them are bound to get fed up because they can't adjust.
context: Just think of it as a mission and get used to it.\Maybe those guys are just fed up.\Fed up?\Think about it.\Destruction was the only thing they lived for.\Then we go and tell them they have to build things?\This has gotta be tough on them.\Some of them are bound to get fed up because they can't adjust. response:	I guess you're right.
context: Maybe those guys are just fed up.\Fed up?\Think about it.\Destruction was the only thing they lived for.\Then we go and tell them they have to build things?\This has gotta be tough on them.\Some of them are bound to get fed up because they can't adjust.\I guess you're right. response:	That's probably what makes'em go and stir up trouble with us humans.
context: Fed up?\Think about it.\Destruction was the only thing they lived for.\Then we go and tell them they have to build things?\This has gotta be tough on them.\Some of them are bound to get fed up because they can't adjust.\I guess you're right.\That's probably what makes'em go and stir up trouble with us humans. response:	Well, let's take our time doing our rounds and hope nothing comes up.
context: Think about it.\Destruction was the only thing they lived for.\Then we go and tell them they have to build things?\This has gotta be tough on them.\Some of them are bound to get fed up because they can't adjust.\I guess you're right.\That's probably what makes'em go and stir up trouble with us humans.\Well, let's take our time doing our rounds and hope nothing comes up. response:	Okay, all done.
context: Destruction was the only thing they lived for.\Then we go and tell them they have to build things?\This has gotta be tough on them.\Some of them are bound to get fed up because they can't adjust.\I guess you're right.\That's probably what makes'em go and stir up trouble with us humans.\Well, let's take our time doing our rounds and hope nothing comes up.\Okay, all done. response:	Maybe I should start charging him.
context: Then we go and tell them they have to build things?\This has gotta be tough on them.\Some of them are bound to get fed up because they can't adjust.\I guess you're right.\That's probably what makes'em go and stir up trouble with us humans.\Well, let's take our time doing our rounds and hope nothing comes up.\Okay, all done.\Maybe I should start charging him. response:	No, that wouldn't work. He doesn't ask me, I just do it on my own.
context: This has gotta be tough on them.\Some of them are bound to get fed up because they can't adjust.\I guess you're right.\That's probably what makes'em go and stir up trouble with us humans.\Well, let's take our time doing our rounds and hope nothing comes up.\Okay, all done.\Maybe I should start charging him.\No, that wouldn't work. He doesn't ask me, I just do it on my own. response:	Some things never change.
context: Some of them are bound to get fed up because they can't adjust.\I guess you're right.\That's probably what makes'em go and stir up trouble with us humans.\Well, let's take our time doing our rounds and hope nothing comes up.\Okay, all done.\Maybe I should start charging him.\No, that wouldn't work. He doesn't ask me, I just do it on my own.\Some things never change. response:	Sempai, I'm still in the military.
context: I guess you're right.\That's probably what makes'em go and stir up trouble with us humans.\Well, let's take our time doing our rounds and hope nothing comes up.\Okay, all done.\Maybe I should start charging him.\No, that wouldn't work. He doesn't ask me, I just do it on my own.\Some things never change.\Sempai, I'm still in the military. response:	What's the matter, Hikaru?
context: That's probably what makes'em go and stir up trouble with us humans.\Well, let's take our time doing our rounds and hope nothing comes up.\Okay, all done.\Maybe I should start charging him.\No, that wouldn't work. He doesn't ask me, I just do it on my own.\Some things never change.\Sempai, I'm still in the military.\What's the matter, Hikaru? response:	Wipe that pitiful look off your face!
context: Well, let's take our time doing our rounds and hope nothing comes up.\Okay, all done.\Maybe I should start charging him.\No, that wouldn't work. He doesn't ask me, I just do it on my own.\Some things never change.\Sempai, I'm still in the military.\What's the matter, Hikaru?\Wipe that pitiful look off your face! response:	You signed up because you wanted to protect Minmay, right?
context: Okay, all done.\Maybe I should start charging him.\No, that wouldn't work. He doesn't ask me, I just do it on my own.\Some things never change.\Sempai, I'm still in the military.\What's the matter, Hikaru?\Wipe that pitiful look off your face!\You signed up because you wanted to protect Minmay, right? response:	What's she up to now?
context: Maybe I should start charging him.\No, that wouldn't work. He doesn't ask me, I just do it on my own.\Some things never change.\Sempai, I'm still in the military.\What's the matter, Hikaru?\Wipe that pitiful look off your face!\You signed up because you wanted to protect Minmay, right?\What's she up to now? response:	Minmay, huh?
context: No, that wouldn't work. He doesn't ask me, I just do it on my own.\Some things never change.\Sempai, I'm still in the military.\What's the matter, Hikaru?\Wipe that pitiful look off your face!\You signed up because you wanted to protect Minmay, right?\What's she up to now?\Minmay, huh? response:	Come to think of it, I haven't seen her in a while.
context: Some things never change.\Sempai, I'm still in the military.\What's the matter, Hikaru?\Wipe that pitiful look off your face!\You signed up because you wanted to protect Minmay, right?\What's she up to now?\Minmay, huh?\Come to think of it, I haven't seen her in a while. response:	You haven't even seen her?!
context: Sempai, I'm still in the military.\What's the matter, Hikaru?\Wipe that pitiful look off your face!\You signed up because you wanted to protect Minmay, right?\What's she up to now?\Minmay, huh?\Come to think of it, I haven't seen her in a while.\You haven't even seen her?! response:	What, you got yourself another woman, did you?
context: What's the matter, Hikaru?\Wipe that pitiful look off your face!\You signed up because you wanted to protect Minmay, right?\What's she up to now?\Minmay, huh?\Come to think of it, I haven't seen her in a while.\You haven't even seen her?!\What, you got yourself another woman, did you? response:	Is that true, Hikaru?
context: Wipe that pitiful look off your face!\You signed up because you wanted to protect Minmay, right?\What's she up to now?\Minmay, huh?\Come to think of it, I haven't seen her in a while.\You haven't even seen her?!\What, you got yourself another woman, did you?\Is that true, Hikaru? response:	The reason I joined the military was that I love women.
context: You signed up because you wanted to protect Minmay, right?\What's she up to now?\Minmay, huh?\Come to think of it, I haven't seen her in a while.\You haven't even seen her?!\What, you got yourself another woman, did you?\Is that true, Hikaru?\The reason I joined the military was that I love women. response:	Protecting the woman you love...
context: What's she up to now?\Minmay, huh?\Come to think of it, I haven't seen her in a while.\You haven't even seen her?!\What, you got yourself another woman, did you?\Is that true, Hikaru?\The reason I joined the military was that I love women.\Protecting the woman you love... response:	Is that a great job or what?
context: Minmay, huh?\Come to think of it, I haven't seen her in a while.\You haven't even seen her?!\What, you got yourself another woman, did you?\Is that true, Hikaru?\The reason I joined the military was that I love women.\Protecting the woman you love...\Is that a great job or what? response:	Protect the woman you love...
