context: This is your last chance to surrender, Garo! response:	You're thinking, This isn't how it was supposed to go down, huh?
context: This is your last chance to surrender, Garo!\You're thinking, This isn't how it was supposed to go down, huh? response:	Well, too bad, hero hunter.
context: This is your last chance to surrender, Garo!\You're thinking, This isn't how it was supposed to go down, huh?\Well, too bad, hero hunter. response:	Everyone here is a highly skilled hero who's stared death in the face before.
context: This is your last chance to surrender, Garo!\You're thinking, This isn't how it was supposed to go down, huh?\Well, too bad, hero hunter.\Everyone here is a highly skilled hero who's stared death in the face before. response:	I brought together the heroes I admire most...
context: This is your last chance to surrender, Garo!\You're thinking, This isn't how it was supposed to go down, huh?\Well, too bad, hero hunter.\Everyone here is a highly skilled hero who's stared death in the face before.\I brought together the heroes I admire most... response:	so that we can hunt you!
context: This is your last chance to surrender, Garo!\You're thinking, This isn't how it was supposed to go down, huh?\Well, too bad, hero hunter.\Everyone here is a highly skilled hero who's stared death in the face before.\I brought together the heroes I admire most...\so that we can hunt you! response:	Highly skilled heroes, eh?
context: This is your last chance to surrender, Garo!\You're thinking, This isn't how it was supposed to go down, huh?\Well, too bad, hero hunter.\Everyone here is a highly skilled hero who's stared death in the face before.\I brought together the heroes I admire most...\so that we can hunt you!\Highly skilled heroes, eh? response:	Am I the only one who finds that line funny?
context: This is your last chance to surrender, Garo!\You're thinking, This isn't how it was supposed to go down, huh?\Well, too bad, hero hunter.\Everyone here is a highly skilled hero who's stared death in the face before.\I brought together the heroes I admire most...\so that we can hunt you!\Highly skilled heroes, eh?\Am I the only one who finds that line funny? response:	What about all the Class S heroes?
context: You're thinking, This isn't how it was supposed to go down, huh?\Well, too bad, hero hunter.\Everyone here is a highly skilled hero who's stared death in the face before.\I brought together the heroes I admire most...\so that we can hunt you!\Highly skilled heroes, eh?\Am I the only one who finds that line funny?\What about all the Class S heroes? response:	The Hero Association still doesn't understand how dangerous I am?
context: Well, too bad, hero hunter.\Everyone here is a highly skilled hero who's stared death in the face before.\I brought together the heroes I admire most...\so that we can hunt you!\Highly skilled heroes, eh?\Am I the only one who finds that line funny?\What about all the Class S heroes?\The Hero Association still doesn't understand how dangerous I am? response:	You all seem like a hodgepodge I'd find in some value pack.
context: Everyone here is a highly skilled hero who's stared death in the face before.\I brought together the heroes I admire most...\so that we can hunt you!\Highly skilled heroes, eh?\Am I the only one who finds that line funny?\What about all the Class S heroes?\The Hero Association still doesn't understand how dangerous I am?\You all seem like a hodgepodge I'd find in some value pack. response:	It's not exciting me at all.
context: I brought together the heroes I admire most...\so that we can hunt you!\Highly skilled heroes, eh?\Am I the only one who finds that line funny?\What about all the Class S heroes?\The Hero Association still doesn't understand how dangerous I am?\You all seem like a hodgepodge I'd find in some value pack.\It's not exciting me at all. response:	So you only pay attention to Class S heroes?
