context: Edolas, the homeland of Carla and myself! response:	I'm glad we made it there to search for our missing friends,
context: Edolas, the homeland of Carla and myself!\I'm glad we made it there to search for our missing friends, response:	but there's a whole lot of things different in this world...
context: Edolas, the homeland of Carla and myself!\I'm glad we made it there to search for our missing friends,\but there's a whole lot of things different in this world... response:	We can't use magic? I never heard of something like that!
context: Edolas, the homeland of Carla and myself!\I'm glad we made it there to search for our missing friends,\but there's a whole lot of things different in this world...\We can't use magic? I never heard of something like that! response:	Everyone at the guild is acting odd...
context: Edolas, the homeland of Carla and myself!\I'm glad we made it there to search for our missing friends,\but there's a whole lot of things different in this world...\We can't use magic? I never heard of something like that!\Everyone at the guild is acting odd... response:	What in the world is going on?!
context: Edolas, the homeland of Carla and myself!\I'm glad we made it there to search for our missing friends,\but there's a whole lot of things different in this world...\We can't use magic? I never heard of something like that!\Everyone at the guild is acting odd...\What in the world is going on?! response:	Who the hell are you?
context: Edolas, the homeland of Carla and myself!\I'm glad we made it there to search for our missing friends,\but there's a whole lot of things different in this world...\We can't use magic? I never heard of something like that!\Everyone at the guild is acting odd...\What in the world is going on?!\Who the hell are you? response:	What the hell are you doing sneaking around under there?
context: Edolas, the homeland of Carla and myself!\I'm glad we made it there to search for our missing friends,\but there's a whole lot of things different in this world...\We can't use magic? I never heard of something like that!\Everyone at the guild is acting odd...\What in the world is going on?!\Who the hell are you?\What the hell are you doing sneaking around under there? response:	What's wrong with everyone?
context: I'm glad we made it there to search for our missing friends,\but there's a whole lot of things different in this world...\We can't use magic? I never heard of something like that!\Everyone at the guild is acting odd...\What in the world is going on?!\Who the hell are you?\What the hell are you doing sneaking around under there?\What's wrong with everyone? response:	Lucy-san is scary...
context: but there's a whole lot of things different in this world...\We can't use magic? I never heard of something like that!\Everyone at the guild is acting odd...\What in the world is going on?!\Who the hell are you?\What the hell are you doing sneaking around under there?\What's wrong with everyone?\Lucy-san is scary... response:	Natsu?
context: We can't use magic? I never heard of something like that!\Everyone at the guild is acting odd...\What in the world is going on?!\Who the hell are you?\What the hell are you doing sneaking around under there?\What's wrong with everyone?\Lucy-san is scary...\Natsu? response:	Now I take a closer look at ya, you're Natsu!
context: Everyone at the guild is acting odd...\What in the world is going on?!\Who the hell are you?\What the hell are you doing sneaking around under there?\What's wrong with everyone?\Lucy-san is scary...\Natsu?\Now I take a closer look at ya, you're Natsu! response:	Natsu, she says?
context: What in the world is going on?!\Who the hell are you?\What the hell are you doing sneaking around under there?\What's wrong with everyone?\Lucy-san is scary...\Natsu?\Now I take a closer look at ya, you're Natsu!\Natsu, she says? response:	What's with the outfit?
