context: Louise... response:	Louise, come here.
context: Louise...\Louise, come here. response:	Even in your dreams, you want to see me.
context: Louise...\Louise, come here.\Even in your dreams, you want to see me. response:	I guess you love me so much, you just can't help it.
context: Louise...\Louise, come here.\Even in your dreams, you want to see me.\I guess you love me so much, you just can't help it. response:	Now beg.
context: Louise...\Louise, come here.\Even in your dreams, you want to see me.\I guess you love me so much, you just can't help it.\Now beg. response:	Say, I am my owner's puppy.
context: Louise...\Louise, come here.\Even in your dreams, you want to see me.\I guess you love me so much, you just can't help it.\Now beg.\Say, I am my owner's puppy. response:	Huh?
context: Louise...\Louise, come here.\Even in your dreams, you want to see me.\I guess you love me so much, you just can't help it.\Now beg.\Say, I am my owner's puppy.\Huh? response:	So that's what he wants me to do.
context: Louise...\Louise, come here.\Even in your dreams, you want to see me.\I guess you love me so much, you just can't help it.\Now beg.\Say, I am my owner's puppy.\Huh?\So that's what he wants me to do. response:	What a naughty dog.
context: Louise, come here.\Even in your dreams, you want to see me.\I guess you love me so much, you just can't help it.\Now beg.\Say, I am my owner's puppy.\Huh?\So that's what he wants me to do.\What a naughty dog. response:	But I'm a kind master, and since it's just a dream,
context: Even in your dreams, you want to see me.\I guess you love me so much, you just can't help it.\Now beg.\Say, I am my owner's puppy.\Huh?\So that's what he wants me to do.\What a naughty dog.\But I'm a kind master, and since it's just a dream, response:	I'll let that one slip.
context: I guess you love me so much, you just can't help it.\Now beg.\Say, I am my owner's puppy.\Huh?\So that's what he wants me to do.\What a naughty dog.\But I'm a kind master, and since it's just a dream,\I'll let that one slip. response:	An unobstructed, flat plain...
context: Now beg.\Say, I am my owner's puppy.\Huh?\So that's what he wants me to do.\What a naughty dog.\But I'm a kind master, and since it's just a dream,\I'll let that one slip.\An unobstructed, flat plain... response:	And now the mountain range...
context: Say, I am my owner's puppy.\Huh?\So that's what he wants me to do.\What a naughty dog.\But I'm a kind master, and since it's just a dream,\I'll let that one slip.\An unobstructed, flat plain...\And now the mountain range... response:	Louise, what was that for?!
context: Huh?\So that's what he wants me to do.\What a naughty dog.\But I'm a kind master, and since it's just a dream,\I'll let that one slip.\An unobstructed, flat plain...\And now the mountain range...\Louise, what was that for?! response:	T-Tabitha?
context: So that's what he wants me to do.\What a naughty dog.\But I'm a kind master, and since it's just a dream,\I'll let that one slip.\An unobstructed, flat plain...\And now the mountain range...\Louise, what was that for?!\T-Tabitha? response:	What are you doing here?
context: What a naughty dog.\But I'm a kind master, and since it's just a dream,\I'll let that one slip.\An unobstructed, flat plain...\And now the mountain range...\Louise, what was that for?!\T-Tabitha?\What are you doing here? response:	Guarding him.
context: But I'm a kind master, and since it's just a dream,\I'll let that one slip.\An unobstructed, flat plain...\And now the mountain range...\Louise, what was that for?!\T-Tabitha?\What are you doing here?\Guarding him. response:	I'm Saito's knight.
context: I'll let that one slip.\An unobstructed, flat plain...\And now the mountain range...\Louise, what was that for?!\T-Tabitha?\What are you doing here?\Guarding him.\I'm Saito's knight. response:	Stay out of this!
context: An unobstructed, flat plain...\And now the mountain range...\Louise, what was that for?!\T-Tabitha?\What are you doing here?\Guarding him.\I'm Saito's knight.\Stay out of this! response:	This dog here,
context: And now the mountain range...\Louise, what was that for?!\T-Tabitha?\What are you doing here?\Guarding him.\I'm Saito's knight.\Stay out of this!\This dog here, response:	dared to touch my breasts and compare them to a flat plain!
context: Louise, what was that for?!\T-Tabitha?\What are you doing here?\Guarding him.\I'm Saito's knight.\Stay out of this!\This dog here,\dared to touch my breasts and compare them to a flat plain! response:	I would be happy about that.
context: T-Tabitha?\What are you doing here?\Guarding him.\I'm Saito's knight.\Stay out of this!\This dog here,\dared to touch my breasts and compare them to a flat plain!\I would be happy about that. response:	Anyway, it's the truth.
