context: Again, huh? response:	Episode 10 Slight Fever
context: Again, huh?\Episode 10 Slight Fever response:	I hear Ohana's been
context: Again, huh?\Episode 10 Slight Fever\I hear Ohana's been response:	getting up really early these past few days.
context: Again, huh?\Episode 10 Slight Fever\I hear Ohana's been\getting up really early these past few days. response:	Yeah, when I arrive in the morning,
context: Again, huh?\Episode 10 Slight Fever\I hear Ohana's been\getting up really early these past few days.\Yeah, when I arrive in the morning, response:	the entrance is already clean.
context: Again, huh?\Episode 10 Slight Fever\I hear Ohana's been\getting up really early these past few days.\Yeah, when I arrive in the morning,\the entrance is already clean. response:	She's taking the initiative to clean early every day, huh...
context: Again, huh?\Episode 10 Slight Fever\I hear Ohana's been\getting up really early these past few days.\Yeah, when I arrive in the morning,\the entrance is already clean.\She's taking the initiative to clean early every day, huh... response:	Yes.
context: Again, huh?\Episode 10 Slight Fever\I hear Ohana's been\getting up really early these past few days.\Yeah, when I arrive in the morning,\the entrance is already clean.\She's taking the initiative to clean early every day, huh...\Yes. response:	Even the duckboards, the window frames, and the wooden floors.
context: Episode 10 Slight Fever\I hear Ohana's been\getting up really early these past few days.\Yeah, when I arrive in the morning,\the entrance is already clean.\She's taking the initiative to clean early every day, huh...\Yes.\Even the duckboards, the window frames, and the wooden floors. response:	By herself?!
context: I hear Ohana's been\getting up really early these past few days.\Yeah, when I arrive in the morning,\the entrance is already clean.\She's taking the initiative to clean early every day, huh...\Yes.\Even the duckboards, the window frames, and the wooden floors.\By herself?! response:	Oh, and she cleans the front desk, too.
context: getting up really early these past few days.\Yeah, when I arrive in the morning,\the entrance is already clean.\She's taking the initiative to clean early every day, huh...\Yes.\Even the duckboards, the window frames, and the wooden floors.\By herself?!\Oh, and she cleans the front desk, too. response:	And you didn't stop her?
context: Yeah, when I arrive in the morning,\the entrance is already clean.\She's taking the initiative to clean early every day, huh...\Yes.\Even the duckboards, the window frames, and the wooden floors.\By herself?!\Oh, and she cleans the front desk, too.\And you didn't stop her? response:	I didn't want to take the fight out of her.
context: the entrance is already clean.\She's taking the initiative to clean early every day, huh...\Yes.\Even the duckboards, the window frames, and the wooden floors.\By herself?!\Oh, and she cleans the front desk, too.\And you didn't stop her?\I didn't want to take the fight out of her. response:	So, why was she collapsed on the hallway...?
context: She's taking the initiative to clean early every day, huh...\Yes.\Even the duckboards, the window frames, and the wooden floors.\By herself?!\Oh, and she cleans the front desk, too.\And you didn't stop her?\I didn't want to take the fight out of her.\So, why was she collapsed on the hallway...? response:	No idea.
context: Yes.\Even the duckboards, the window frames, and the wooden floors.\By herself?!\Oh, and she cleans the front desk, too.\And you didn't stop her?\I didn't want to take the fight out of her.\So, why was she collapsed on the hallway...?\No idea. response:	Umm...
context: Even the duckboards, the window frames, and the wooden floors.\By herself?!\Oh, and she cleans the front desk, too.\And you didn't stop her?\I didn't want to take the fight out of her.\So, why was she collapsed on the hallway...?\No idea.\Umm... response:	Anyway, let's let her rest for a while.
context: By herself?!\Oh, and she cleans the front desk, too.\And you didn't stop her?\I didn't want to take the fight out of her.\So, why was she collapsed on the hallway...?\No idea.\Umm...\Anyway, let's let her rest for a while. response:	Yeah.
context: Oh, and she cleans the front desk, too.\And you didn't stop her?\I didn't want to take the fight out of her.\So, why was she collapsed on the hallway...?\No idea.\Umm...\Anyway, let's let her rest for a while.\Yeah. response:	Okay.
context: And you didn't stop her?\I didn't want to take the fight out of her.\So, why was she collapsed on the hallway...?\No idea.\Umm...\Anyway, let's let her rest for a while.\Yeah.\Okay. response:	How was she?
context: I didn't want to take the fight out of her.\So, why was she collapsed on the hallway...?\No idea.\Umm...\Anyway, let's let her rest for a while.\Yeah.\Okay.\How was she? response:	She was asleep.
context: So, why was she collapsed on the hallway...?\No idea.\Umm...\Anyway, let's let her rest for a while.\Yeah.\Okay.\How was she?\She was asleep. response:	Has her fever gone down?
context: No idea.\Umm...\Anyway, let's let her rest for a while.\Yeah.\Okay.\How was she?\She was asleep.\Has her fever gone down? response:	The doctor said that her fever
context: Umm...\Anyway, let's let her rest for a while.\Yeah.\Okay.\How was she?\She was asleep.\Has her fever gone down?\The doctor said that her fever response:	might stay a bit for the rest of the day.
context: Anyway, let's let her rest for a while.\Yeah.\Okay.\How was she?\She was asleep.\Has her fever gone down?\The doctor said that her fever\might stay a bit for the rest of the day. response:	Oh...
context: Yeah.\Okay.\How was she?\She was asleep.\Has her fever gone down?\The doctor said that her fever\might stay a bit for the rest of the day.\Oh... response:	But apparently, after she rests for the entire day,
context: Okay.\How was she?\She was asleep.\Has her fever gone down?\The doctor said that her fever\might stay a bit for the rest of the day.\Oh...\But apparently, after she rests for the entire day, response:	she should be able to work tomorrow.
context: How was she?\She was asleep.\Has her fever gone down?\The doctor said that her fever\might stay a bit for the rest of the day.\Oh...\But apparently, after she rests for the entire day,\she should be able to work tomorrow. response:	Oh...
context: She was asleep.\Has her fever gone down?\The doctor said that her fever\might stay a bit for the rest of the day.\Oh...\But apparently, after she rests for the entire day,\she should be able to work tomorrow.\Oh... response:	She was just overworked, he says.
context: Has her fever gone down?\The doctor said that her fever\might stay a bit for the rest of the day.\Oh...\But apparently, after she rests for the entire day,\she should be able to work tomorrow.\Oh...\She was just overworked, he says. response:	Oh...
context: The doctor said that her fever\might stay a bit for the rest of the day.\Oh...\But apparently, after she rests for the entire day,\she should be able to work tomorrow.\Oh...\She was just overworked, he says.\Oh... response:	She's been working really hard lately.
context: might stay a bit for the rest of the day.\Oh...\But apparently, after she rests for the entire day,\she should be able to work tomorrow.\Oh...\She was just overworked, he says.\Oh...\She's been working really hard lately. response:	Perhaps I should cook something for her.
context: Oh...\But apparently, after she rests for the entire day,\she should be able to work tomorrow.\Oh...\She was just overworked, he says.\Oh...\She's been working really hard lately.\Perhaps I should cook something for her. response:	Minko, have Tohru teach you more about broiling.
context: But apparently, after she rests for the entire day,\she should be able to work tomorrow.\Oh...\She was just overworked, he says.\Oh...\She's been working really hard lately.\Perhaps I should cook something for her.\Minko, have Tohru teach you more about broiling. response:	Okay!
context: she should be able to work tomorrow.\Oh...\She was just overworked, he says.\Oh...\She's been working really hard lately.\Perhaps I should cook something for her.\Minko, have Tohru teach you more about broiling.\Okay! response:	Rice porridge, maybe?
context: Oh...\She was just overworked, he says.\Oh...\She's been working really hard lately.\Perhaps I should cook something for her.\Minko, have Tohru teach you more about broiling.\Okay!\Rice porridge, maybe? response:	Here.
context: She was just overworked, he says.\Oh...\She's been working really hard lately.\Perhaps I should cook something for her.\Minko, have Tohru teach you more about broiling.\Okay!\Rice porridge, maybe?\Here. response:	Give it back!
context: Oh...\She's been working really hard lately.\Perhaps I should cook something for her.\Minko, have Tohru teach you more about broiling.\Okay!\Rice porridge, maybe?\Here.\Give it back! response:	Try and get it back.
context: She's been working really hard lately.\Perhaps I should cook something for her.\Minko, have Tohru teach you more about broiling.\Okay!\Rice porridge, maybe?\Here.\Give it back!\Try and get it back. response:	How about something like this?
context: Perhaps I should cook something for her.\Minko, have Tohru teach you more about broiling.\Okay!\Rice porridge, maybe?\Here.\Give it back!\Try and get it back.\How about something like this? response:	What?!
context: Minko, have Tohru teach you more about broiling.\Okay!\Rice porridge, maybe?\Here.\Give it back!\Try and get it back.\How about something like this?\What?! response:	First, the Madam Manager, and now, one of the waitresses?!
context: Okay!\Rice porridge, maybe?\Here.\Give it back!\Try and get it back.\How about something like this?\What?!\First, the Madam Manager, and now, one of the waitresses?! response:	What's wrong with this inn?!
context: Rice porridge, maybe?\Here.\Give it back!\Try and get it back.\How about something like this?\What?!\First, the Madam Manager, and now, one of the waitresses?!\What's wrong with this inn?! response:	Listen, Saturday is an important day for the Kissuiso!
context: Here.\Give it back!\Try and get it back.\How about something like this?\What?!\First, the Madam Manager, and now, one of the waitresses?!\What's wrong with this inn?!\Listen, Saturday is an important day for the Kissuiso! response:	Taking care of your own body is a part of being a professional!
context: Give it back!\Try and get it back.\How about something like this?\What?!\First, the Madam Manager, and now, one of the waitresses?!\What's wrong with this inn?!\Listen, Saturday is an important day for the Kissuiso!\Taking care of your own body is a part of being a professional! response:	Well, umm...
context: Try and get it back.\How about something like this?\What?!\First, the Madam Manager, and now, one of the waitresses?!\What's wrong with this inn?!\Listen, Saturday is an important day for the Kissuiso!\Taking care of your own body is a part of being a professional!\Well, umm... response:	Yes?
context: How about something like this?\What?!\First, the Madam Manager, and now, one of the waitresses?!\What's wrong with this inn?!\Listen, Saturday is an important day for the Kissuiso!\Taking care of your own body is a part of being a professional!\Well, umm...\Yes? response:	Ohana was working hard for the sake of Kissuiso...
